<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
COG.US,5,20131112,153500,33.6000,33.6500,33.5600,33.6000,91465,0
COG.US,5,20131112,154000,33.6000,33.8500,33.5300,33.8300,84377,0
COG.US,5,20131112,154500,33.8400,33.9800,33.7100,33.9700,70831,0
COG.US,5,20131112,155000,33.9700,34.2100,33.9300,34.1800,240573,0
COG.US,5,20131112,155500,34.1800,34.2300,34.1000,34.2100,82215,0
COG.US,5,20131112,160000,34.2100,34.3300,34.1700,34.3200,138206,0
COG.US,5,20131112,160500,34.3100,34.3400,34.0500,34.0600,95822,0
COG.US,5,20131112,161000,34.0500,34.0700,33.9600,33.9700,141732,0
COG.US,5,20131112,161500,33.9700,34.0800,33.9700,34.0100,104470,0
COG.US,5,20131112,162000,34.0000,34.3300,33.9900,34.3300,133707,0
COG.US,5,20131112,162500,34.3300,34.3400,34.1800,34.1900,97401,0
COG.US,5,20131112,163000,34.1800,34.1900,34.0800,34.1100,41354,0
COG.US,5,20131112,163500,34.1100,34.1100,33.9700,33.9700,64300,0
COG.US,5,20131112,164000,33.9700,33.9800,33.8800,33.9600,49505,0
COG.US,5,20131112,164500,33.9600,33.9700,33.9000,33.9700,43623,0
COG.US,5,20131112,165000,33.9800,33.9800,33.8600,33.9100,41026,0
COG.US,5,20131112,165500,33.9100,33.9200,33.7600,33.7600,41294,0
COG.US,5,20131112,170000,33.7600,33.8000,33.7000,33.7800,54770,0
COG.US,5,20131112,170500,33.7800,33.8200,33.6900,33.7400,116204,0
COG.US,5,20131112,171000,33.7300,33.7700,33.6800,33.7200,36513,0
COG.US,5,20131112,171500,33.7200,33.8000,33.6900,33.7800,33849,0
COG.US,5,20131112,172000,33.7900,33.8100,33.7100,33.7600,39789,0
COG.US,5,20131112,172500,33.7600,33.8500,33.7500,33.7700,81339,0
COG.US,5,20131112,173000,33.7700,33.8100,33.7700,33.7900,70535,0
COG.US,5,20131112,173500,33.7900,33.8700,33.7900,33.8400,51721,0
COG.US,5,20131112,174000,33.8400,33.8400,33.7500,33.7600,56614,0
COG.US,5,20131112,174500,33.7700,33.8200,33.7000,33.7200,53970,0
COG.US,5,20131112,175000,33.7100,33.7400,33.6900,33.7200,49705,0
COG.US,5,20131112,175500,33.7300,33.7500,33.7000,33.7000,26371,0
COG.US,5,20131112,180000,33.7000,33.7100,33.6700,33.6900,17705,0
COG.US,5,20131112,180500,33.7000,33.7200,33.6200,33.6200,26344,0
COG.US,5,20131112,181000,33.6200,33.6300,33.5300,33.5900,34255,0
COG.US,5,20131112,181500,33.5900,33.6200,33.5400,33.5900,28836,0
COG.US,5,20131112,182000,33.5800,33.6700,33.5700,33.6400,41090,0
COG.US,5,20131112,182500,33.6400,33.6700,33.6200,33.6200,17315,0
COG.US,5,20131112,183000,33.6200,33.6200,33.5300,33.6000,62266,0
COG.US,5,20131112,183500,33.6000,33.6700,33.6000,33.6700,16710,0
COG.US,5,20131112,184000,33.6700,33.6700,33.5700,33.6300,29780,0
