<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
COR-A.US,5,20131112,175000,23.5100,23.5100,23.5100,23.5100,408,0
COR-A.US,5,20131112,181000,23.5100,23.5100,23.5100,23.5100,100,0
COR-A.US,5,20131112,202000,23.6200,23.6200,23.6200,23.6200,800,0
COR-A.US,5,20131112,204500,23.5500,23.5500,23.5500,23.5500,100,0
COR-A.US,5,20131112,205000,23.5100,23.5100,23.5100,23.5100,100,0
COR-A.US,5,20131112,211500,23.5100,23.5100,23.5100,23.5100,1000,0
COR-A.US,5,20131112,212500,23.4500,23.5100,23.3000,23.3500,5265,0
COR-A.US,5,20131112,213000,23.1000,23.3000,23.1000,23.3000,50300,0
COR-A.US,5,20131112,215500,23.5000,23.5000,23.5000,23.5000,450,0
COR-A.US,5,20131113,154500,23.3500,23.3500,23.3500,23.3500,208,0
COR-A.US,5,20131113,173500,23.3400,23.3400,23.3400,23.3400,100,0
COR-A.US,5,20131113,201500,23.4000,23.4000,23.4000,23.4000,2000,0
COR-A.US,5,20131113,213000,23.5300,23.5300,23.5300,23.5300,500,0
COR-A.US,5,20131113,215500,23.5000,23.5000,23.5000,23.5000,100,0
COR-A.US,5,20131114,172000,23.4800,23.4800,23.4800,23.4800,400,0
COR-A.US,5,20131114,191000,23.4100,23.4100,23.4100,23.4100,100,0
COR-A.US,5,20131115,160000,23.3700,23.3700,23.3100,23.3100,918,0
COR-A.US,5,20131115,165000,23.4200,23.4200,23.4200,23.4200,500,0
COR-A.US,5,20131115,172500,23.3800,23.3800,23.3800,23.3800,200,0
COR-A.US,5,20131115,174000,23.3800,23.3800,23.3800,23.3800,100,0
COR-A.US,5,20131115,184500,23.3100,23.3100,23.3100,23.3100,210,0
COR-A.US,5,20131115,215000,23.3000,23.3000,23.3000,23.3000,700,0
COR-A.US,5,20131115,220000,23.3000,23.3000,23.3000,23.3000,300,0
COR-A.US,5,20131118,161000,23.3000,23.3000,23.3000,23.3000,400,0
COR-A.US,5,20131118,163000,23.3000,23.3000,23.3000,23.3000,389,0
COR-A.US,5,20131118,174500,23.5000,23.5000,23.5000,23.5000,200,0
COR-A.US,5,20131118,175000,23.5000,23.5000,23.5000,23.5000,700,0
COR-A.US,5,20131118,182500,23.5000,23.5000,23.5000,23.5000,100,0
COR-A.US,5,20131118,200500,23.4700,23.4700,23.4700,23.4700,500,0
COR-A.US,5,20131118,214000,23.3400,23.3400,23.3400,23.3400,750,0
COR-A.US,5,20131118,214500,23.3400,23.3400,23.3400,23.3400,100,0
COR-A.US,5,20131119,162000,23.3400,23.3400,23.3400,23.3400,400,0
COR-A.US,5,20131119,165500,23.3400,23.3400,23.3400,23.3400,2000,0
