<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
COY.US,5,20131112,153500,7.0600,7.0700,7.0600,7.0700,300,0
COY.US,5,20131112,154000,7.0700,7.0700,7.0600,7.0600,6451,0
COY.US,5,20131112,154500,7.0600,7.0700,7.0600,7.0600,900,0
COY.US,5,20131112,155000,7.0600,7.0600,7.0600,7.0600,200,0
COY.US,5,20131112,160000,7.0700,7.0700,7.0600,7.0600,700,0
COY.US,5,20131112,161000,7.0600,7.0600,7.0600,7.0600,774,0
COY.US,5,20131112,161500,7.0600,7.0600,7.0600,7.0600,470,0
COY.US,5,20131112,162000,7.0600,7.0600,7.0500,7.0500,1156,0
COY.US,5,20131112,162500,7.0500,7.0500,7.0500,7.0500,7425,0
COY.US,5,20131112,163000,7.0500,7.0500,7.0500,7.0500,300,0
COY.US,5,20131112,163500,7.0600,7.0600,7.0500,7.0500,4648,0
COY.US,5,20131112,164000,7.0600,7.0600,7.0500,7.0500,11022,0
COY.US,5,20131112,164500,7.0500,7.0500,7.0500,7.0500,500,0
COY.US,5,20131112,165000,7.0500,7.0500,7.0500,7.0500,100,0
COY.US,5,20131112,165500,7.0500,7.0500,7.0500,7.0500,200,0
COY.US,5,20131112,170000,7.0600,7.0600,7.0500,7.0500,3836,0
COY.US,5,20131112,170500,7.0500,7.0500,7.0500,7.0500,1300,0
COY.US,5,20131112,171000,7.0500,7.0600,7.0500,7.0600,1200,0
COY.US,5,20131112,173000,7.0500,7.0500,7.0500,7.0500,1300,0
COY.US,5,20131112,173500,7.0500,7.0500,7.0500,7.0500,100,0
COY.US,5,20131112,174000,7.0500,7.0500,7.0500,7.0500,300,0
COY.US,5,20131112,174500,7.0500,7.0500,7.0500,7.0500,100,0
COY.US,5,20131112,175000,7.0600,7.0600,7.0600,7.0600,1000,0
COY.US,5,20131112,180500,7.0500,7.0500,7.0500,7.0500,500,0
COY.US,5,20131112,181000,7.0500,7.0500,7.0500,7.0500,700,0
COY.US,5,20131112,181500,7.0600,7.0600,7.0500,7.0500,2100,0
COY.US,5,20131112,183000,7.0500,7.0500,7.0500,7.0500,300,0
COY.US,5,20131112,183500,7.0500,7.0500,7.0500,7.0500,3203,0
COY.US,5,20131112,184000,7.0500,7.0500,7.0500,7.0500,200,0
COY.US,5,20131112,185000,7.0600,7.0600,7.0600,7.0600,553,0
COY.US,5,20131112,190000,7.0500,7.0500,7.0500,7.0500,300,0
COY.US,5,20131112,190500,7.0500,7.0500,7.0500,7.0500,300,0
COY.US,5,20131112,192000,7.0500,7.0500,7.0500,7.0500,300,0
COY.US,5,20131112,192500,7.0500,7.0500,7.0400,7.0500,8188,0
COY.US,5,20131112,193000,7.0500,7.0500,7.0500,7.0500,700,0
COY.US,5,20131112,194500,7.0500,7.0600,7.0400,7.0600,1775,0
COY.US,5,20131112,200000,7.0500,7.0500,7.0500,7.0500,100,0
COY.US,5,20131112,200500,7.0500,7.0500,7.0400,7.0400,1712,0
COY.US,5,20131112,201500,7.0400,7.0400,7.0400,7.0400,650,0
COY.US,5,20131112,202000,7.0500,7.0500,7.0400,7.0400,2800,0
COY.US,5,20131112,203000,7.0400,7.0400,7.0400,7.0400,100,0
COY.US,5,20131112,204000,7.0500,7.0500,7.0500,7.0500,300,0
COY.US,5,20131112,204500,7.0500,7.0600,7.0500,7.0600,821,0
COY.US,5,20131112,205000,7.0500,7.0600,7.0500,7.0600,1514,0
COY.US,5,20131112,210500,7.0500,7.0500,7.0500,7.0500,2031,0
COY.US,5,20131112,213500,7.0600,7.0600,7.0500,7.0500,957,0
COY.US,5,20131112,214500,7.0500,7.0600,7.0400,7.0500,16300,0
COY.US,5,20131112,215000,7.0500,7.0600,7.0500,7.0600,1740,0
COY.US,5,20131112,215500,7.0500,7.0600,7.0500,7.0600,1226,0
COY.US,5,20131112,220000,7.0600,7.0600,7.0400,7.0600,2623,0
COY.US,5,20131113,153500,7.0200,7.0300,7.0200,7.0300,200,0
COY.US,5,20131113,154000,7.0200,7.0200,7.0000,7.0000,47516,0
COY.US,5,20131113,154500,7.0000,7.0200,7.0000,7.0100,1702,0
COY.US,5,20131113,155000,7.0100,7.0100,7.0100,7.0100,200,0
COY.US,5,20131113,155500,7.0100,7.0100,7.0100,7.0100,200,0
COY.US,5,20131113,160000,7.0100,7.0100,7.0100,7.0100,100,0
COY.US,5,20131113,161000,7.0200,7.0200,7.0200,7.0200,3500,0
COY.US,5,20131113,162000,7.0100,7.0100,7.0100,7.0100,10200,0
COY.US,5,20131113,162500,7.0100,7.0200,7.0100,7.0200,1800,0
COY.US,5,20131113,163000,7.0100,7.0200,7.0100,7.0100,1400,0
COY.US,5,20131113,163500,7.0100,7.0100,7.0100,7.0100,200,0
COY.US,5,20131113,164000,7.0100,7.0100,7.0100,7.0100,20082,0
COY.US,5,20131113,164500,7.0100,7.0100,7.0100,7.0100,7200,0
COY.US,5,20131113,165000,7.0100,7.0200,7.0100,7.0100,4600,0
COY.US,5,20131113,165500,7.0100,7.0100,7.0100,7.0100,300,0
COY.US,5,20131113,170000,7.0100,7.0100,7.0100,7.0100,504,0
COY.US,5,20131113,171000,7.0200,7.0200,7.0000,7.0100,7603,0
COY.US,5,20131113,171500,7.0000,7.0000,7.0000,7.0000,9368,0
COY.US,5,20131113,172000,7.0100,7.0200,7.0000,7.0200,20001,0
COY.US,5,20131113,172500,7.0100,7.0100,7.0100,7.0100,100,0
COY.US,5,20131113,173000,7.0100,7.0100,7.0100,7.0100,1000,0
COY.US,5,20131113,174000,7.0200,7.0200,7.0200,7.0200,1000,0
COY.US,5,20131113,175500,7.0100,7.0100,7.0100,7.0100,5000,0
COY.US,5,20131113,180000,7.0100,7.0100,7.0000,7.0000,5100,0
COY.US,5,20131113,181500,7.0100,7.0200,7.0000,7.0200,10271,0
COY.US,5,20131113,182000,7.0200,7.0200,7.0200,7.0200,100,0
COY.US,5,20131113,183000,7.0100,7.0100,7.0100,7.0100,100,0
COY.US,5,20131113,183500,7.0200,7.0300,7.0200,7.0300,2600,0
COY.US,5,20131113,184000,7.0400,7.0400,7.0400,7.0400,826,0
COY.US,5,20131113,192000,7.0400,7.0400,7.0400,7.0400,900,0
COY.US,5,20131113,192500,7.0500,7.0500,7.0500,7.0500,2300,0
COY.US,5,20131113,200000,7.0600,7.0600,7.0600,7.0600,1634,0
COY.US,5,20131113,203000,7.0600,7.0600,7.0600,7.0600,249,0
COY.US,5,20131113,204000,7.0500,7.0500,7.0500,7.0500,600,0
COY.US,5,20131113,205000,7.0600,7.0600,7.0600,7.0600,618,0
COY.US,5,20131113,205500,7.0600,7.0600,7.0600,7.0600,900,0
COY.US,5,20131113,210000,7.0500,7.0500,7.0500,7.0500,175,0
COY.US,5,20131113,211000,7.0500,7.0500,7.0500,7.0500,150,0
COY.US,5,20131113,211500,7.0500,7.0600,7.0500,7.0600,4250,0
COY.US,5,20131113,213000,7.0500,7.0500,7.0500,7.0500,1000,0
COY.US,5,20131113,214000,7.0500,7.0600,7.0500,7.0500,7100,0
COY.US,5,20131113,214500,7.0500,7.0500,7.0500,7.0500,488,0
COY.US,5,20131113,215000,7.0600,7.0600,7.0600,7.0600,900,0
COY.US,5,20131113,220000,7.0700,7.0700,7.0700,7.0700,1346,0
COY.US,5,20131114,154500,7.0800,7.0800,7.0800,7.0800,1000,0
COY.US,5,20131114,155000,7.0700,7.0700,7.0700,7.0700,2300,0
COY.US,5,20131114,162000,7.0700,7.0700,7.0700,7.0700,400,0
COY.US,5,20131114,163000,7.0600,7.0600,7.0500,7.0500,1260,0
COY.US,5,20131114,163500,7.0500,7.0500,7.0400,7.0400,5886,0
COY.US,5,20131114,164000,7.0300,7.0400,7.0300,7.0400,2250,0
COY.US,5,20131114,164500,7.0300,7.0400,7.0300,7.0400,5600,0
COY.US,5,20131114,165000,7.0300,7.0400,7.0300,7.0300,6300,0
COY.US,5,20131114,165500,7.0300,7.0300,7.0300,7.0300,1850,0
COY.US,5,20131114,170000,7.0400,7.0500,7.0400,7.0500,5136,0
COY.US,5,20131114,171500,7.0500,7.0500,7.0500,7.0500,1700,0
COY.US,5,20131114,172000,7.0500,7.0500,7.0500,7.0500,1900,0
COY.US,5,20131114,172500,7.0600,7.0700,7.0600,7.0700,7207,0
COY.US,5,20131114,173000,7.0700,7.0800,7.0600,7.0600,4500,0
COY.US,5,20131114,173500,7.0700,7.0700,7.0700,7.0700,1198,0
COY.US,5,20131114,174000,7.0700,7.0800,7.0700,7.0800,3402,0
COY.US,5,20131114,175500,7.0700,7.0700,7.0700,7.0700,2828,0
COY.US,5,20131114,180500,7.0800,7.0800,7.0700,7.0800,2436,0
COY.US,5,20131114,181000,7.0700,7.0700,7.0600,7.0600,600,0
COY.US,5,20131114,181500,7.0600,7.0600,7.0600,7.0600,3800,0
COY.US,5,20131114,182000,7.0600,7.0600,7.0600,7.0600,300,0
COY.US,5,20131114,182500,7.0600,7.0800,7.0600,7.0800,4878,0
COY.US,5,20131114,183000,7.0700,7.0700,7.0700,7.0700,325,0
COY.US,5,20131114,184500,7.0800,7.0800,7.0800,7.0800,3088,0
COY.US,5,20131114,185000,7.0800,7.0800,7.0800,7.0800,3700,0
COY.US,5,20131114,190000,7.0700,7.0700,7.0500,7.0500,16022,0
COY.US,5,20131114,192500,7.0500,7.0600,7.0500,7.0600,7391,0
COY.US,5,20131114,193000,7.0600,7.0700,7.0600,7.0700,600,0
COY.US,5,20131114,194500,7.0800,7.0800,7.0800,7.0800,6875,0
COY.US,5,20131114,195500,7.0700,7.0700,7.0700,7.0700,700,0
COY.US,5,20131114,201000,7.0700,7.0800,7.0600,7.0800,16539,0
COY.US,5,20131114,202000,7.0800,7.0800,7.0800,7.0800,7100,0
COY.US,5,20131114,202500,7.0800,7.0800,7.0800,7.0800,300,0
COY.US,5,20131114,203000,7.0800,7.0800,7.0800,7.0800,300,0
COY.US,5,20131114,203500,7.0800,7.0900,7.0800,7.0800,10035,0
COY.US,5,20131114,204500,7.0800,7.0800,7.0800,7.0800,300,0
COY.US,5,20131114,205000,7.0800,7.0800,7.0800,7.0800,200,0
COY.US,5,20131114,205500,7.0800,7.0900,7.0800,7.0800,400,0
COY.US,5,20131114,210000,7.0800,7.0800,7.0800,7.0800,800,0
COY.US,5,20131114,210500,7.0800,7.0800,7.0800,7.0800,300,0
COY.US,5,20131114,211000,7.0800,7.0800,7.0800,7.0800,978,0
COY.US,5,20131114,211500,7.0900,7.0900,7.0800,7.0800,1600,0
COY.US,5,20131114,212000,7.0800,7.0800,7.0800,7.0800,600,0
COY.US,5,20131114,212500,7.0800,7.0800,7.0800,7.0800,300,0
COY.US,5,20131114,213000,7.0800,7.0800,7.0800,7.0800,400,0
COY.US,5,20131114,213500,7.0800,7.0800,7.0800,7.0800,300,0
COY.US,5,20131114,214000,7.0800,7.0900,7.0800,7.0800,3600,0
COY.US,5,20131114,214500,7.0800,7.0800,7.0800,7.0800,1500,0
COY.US,5,20131114,215000,7.0800,7.0800,7.0800,7.0800,700,0
COY.US,5,20131114,215500,7.0800,7.0800,7.0800,7.0800,5400,0
COY.US,5,20131114,220000,7.0900,7.1000,7.0800,7.0800,27718,0
COY.US,5,20131115,153500,7.0900,7.0900,7.0900,7.0900,220,0
COY.US,5,20131115,154000,7.0900,7.0900,7.0900,7.0900,525,0
COY.US,5,20131115,154500,7.0800,7.0800,7.0800,7.0800,3655,0
COY.US,5,20131115,155500,7.0800,7.0800,7.0800,7.0800,340,0
COY.US,5,20131115,160500,7.0800,7.0800,7.0800,7.0800,200,0
COY.US,5,20131115,161500,7.0900,7.0900,7.0900,7.0900,600,0
COY.US,5,20131115,162500,7.0900,7.1000,7.0900,7.1000,11790,0
COY.US,5,20131115,163000,7.1000,7.1100,7.1000,7.1100,9098,0
COY.US,5,20131115,164000,7.1100,7.1200,7.1100,7.1200,2876,0
COY.US,5,20131115,164500,7.1200,7.1200,7.1200,7.1200,5200,0
COY.US,5,20131115,165000,7.1200,7.1200,7.1200,7.1200,10000,0
