<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CSV.US,5,20131112,153500,19.3700,19.5100,19.3700,19.4500,579,0
CSV.US,5,20131112,154000,19.4500,19.5800,19.4500,19.5600,400,0
CSV.US,5,20131112,154500,19.5700,19.5700,19.5600,19.5600,300,0
CSV.US,5,20131112,155000,19.5600,19.5800,19.5600,19.5800,600,0
CSV.US,5,20131112,155500,19.5900,19.5900,19.5900,19.5900,100,0
CSV.US,5,20131112,160000,19.5300,19.5300,19.4700,19.4700,1000,0
CSV.US,5,20131112,160500,19.5600,19.5700,19.5600,19.5700,200,0
CSV.US,5,20131112,161500,19.5300,19.5700,19.4400,19.5000,5455,0
CSV.US,5,20131112,162000,19.5700,19.5700,19.5700,19.5700,617,0
CSV.US,5,20131112,162500,19.5400,19.5800,19.5000,19.5800,2044,0
CSV.US,5,20131112,163000,19.5900,19.5900,19.5900,19.5900,100,0
CSV.US,5,20131112,164000,19.5900,19.5900,19.5900,19.5900,200,0
CSV.US,5,20131112,165000,19.5000,19.5800,19.5000,19.5000,500,0
CSV.US,5,20131112,165500,19.4500,19.4500,19.4400,19.4400,2400,0
CSV.US,5,20131112,170000,19.3900,19.4500,19.3900,19.4500,1300,0
CSV.US,5,20131112,170500,19.5300,19.5300,19.5300,19.5300,100,0
CSV.US,5,20131112,171000,19.4800,19.4800,19.4600,19.4800,300,0
CSV.US,5,20131112,172000,19.5200,19.5500,19.5100,19.5500,300,0
CSV.US,5,20131112,172500,19.5300,19.5300,19.4300,19.5000,1700,0
CSV.US,5,20131112,173500,19.3900,19.4500,19.3900,19.4300,1000,0
CSV.US,5,20131112,174000,19.3700,19.3700,19.3700,19.3700,100,0
CSV.US,5,20131112,174500,19.3300,19.3300,19.2500,19.2500,200,0
CSV.US,5,20131112,175000,19.2500,19.2800,19.2500,19.2800,400,0
CSV.US,5,20131112,175500,19.2600,19.3000,19.2600,19.3000,200,0
CSV.US,5,20131112,180000,19.2700,19.2900,19.2700,19.2900,600,0
CSV.US,5,20131112,180500,19.3100,19.3300,19.3000,19.3200,2000,0
CSV.US,5,20131112,181000,19.2700,19.2900,19.2200,19.2500,1030,0
CSV.US,5,20131112,181500,19.2100,19.2100,19.1600,19.1600,200,0
CSV.US,5,20131112,182000,19.1300,19.1700,19.0800,19.0800,800,0
CSV.US,5,20131112,182500,19.0400,19.1300,19.0400,19.0600,1700,0
CSV.US,5,20131112,183000,19.0600,19.1300,19.0600,19.0600,300,0
CSV.US,5,20131112,183500,19.0600,19.1300,19.0600,19.0900,797,0
CSV.US,5,20131112,184000,19.0900,19.0900,19.0900,19.0900,400,0
CSV.US,5,20131112,184500,19.0900,19.1200,19.0600,19.1200,600,0
CSV.US,5,20131112,185000,19.0900,19.0900,19.0900,19.0900,200,0
CSV.US,5,20131112,185500,19.1200,19.1800,19.0800,19.1800,2763,0
CSV.US,5,20131112,190500,19.1900,19.1900,19.1900,19.1900,100,0
CSV.US,5,20131112,191000,19.2200,19.2200,19.2200,19.2200,100,0
CSV.US,5,20131112,191500,19.1800,19.1800,19.1800,19.1800,100,0
CSV.US,5,20131112,192000,19.2500,19.2500,19.2500,19.2500,100,0
CSV.US,5,20131112,193000,19.2100,19.2100,19.1900,19.1900,400,0
CSV.US,5,20131112,193500,19.1700,19.1800,19.1000,19.1200,16400,0
CSV.US,5,20131112,194000,19.0700,19.0700,19.0400,19.0500,500,0
CSV.US,5,20131112,194500,19.0300,19.0300,18.9700,18.9700,3100,0
CSV.US,5,20131112,195000,18.9800,18.9800,18.9800,18.9800,100,0
CSV.US,5,20131112,195500,18.9900,19.0000,18.9500,19.0000,1800,0
CSV.US,5,20131112,200000,19.0100,19.0400,19.0100,19.0400,400,0
CSV.US,5,20131112,200500,19.0500,19.0900,19.0500,19.0800,11100,0
CSV.US,5,20131112,201000,19.1000,19.1100,19.0900,19.1100,600,0
CSV.US,5,20131112,201500,19.1400,19.1400,19.1400,19.1400,200,0
CSV.US,5,20131112,202000,19.1800,19.2300,19.1800,19.2300,200,0
CSV.US,5,20131112,202500,19.2800,19.3000,19.2800,19.3000,200,0
CSV.US,5,20131112,203000,19.3400,19.3400,19.3100,19.3200,500,0
CSV.US,5,20131112,205000,19.3000,19.3000,19.3000,19.3000,100,0
CSV.US,5,20131112,205500,19.3400,19.3400,19.2900,19.2900,200,0
CSV.US,5,20131112,210500,19.3500,19.3700,19.3500,19.3700,200,0
CSV.US,5,20131112,211500,19.3800,19.3800,19.3000,19.3000,200,0
CSV.US,5,20131112,212000,19.3000,19.3000,19.3000,19.3000,100,0
CSV.US,5,20131112,212500,19.3400,19.3500,19.3400,19.3500,300,0
CSV.US,5,20131112,213000,19.3700,19.3700,19.3000,19.3000,200,0
CSV.US,5,20131112,213500,19.3500,19.3600,19.3500,19.3600,300,0
CSV.US,5,20131112,214000,19.3400,19.3400,19.3400,19.3400,400,0
CSV.US,5,20131112,214500,19.3600,19.3600,19.3300,19.3300,200,0
CSV.US,5,20131112,215000,19.3400,19.3400,19.2900,19.2900,1000,0
CSV.US,5,20131112,215500,19.3000,19.3100,19.2800,19.3000,400,0
CSV.US,5,20131112,220000,19.3000,19.3700,19.2700,19.3500,1087,0
CSV.US,5,20131112,220500,19.3200,19.3200,19.3200,19.3200,3256,0
CSV.US,5,20131113,153500,19.1600,19.1600,19.1600,19.1600,827,0
CSV.US,5,20131113,155000,19.1600,19.1600,19.1600,19.1600,100,0
CSV.US,5,20131113,161000,19.2300,19.2300,19.2300,19.2300,100,0
CSV.US,5,20131113,161500,19.2000,19.2000,19.2000,19.2000,100,0
CSV.US,5,20131113,163500,19.2300,19.2600,19.2300,19.2600,1500,0
CSV.US,5,20131113,164000,19.2900,19.4700,19.2900,19.4000,2580,0
CSV.US,5,20131113,164500,19.5000,19.5000,19.5000,19.5000,100,0
CSV.US,5,20131113,165000,19.4300,19.4300,19.4300,19.4300,200,0
CSV.US,5,20131113,165500,19.4000,19.4000,19.4000,19.4000,100,0
CSV.US,5,20131113,170000,19.4500,19.4700,19.4300,19.4300,1100,0
CSV.US,5,20131113,171000,19.4500,19.4500,19.3500,19.4200,7700,0
CSV.US,5,20131113,171500,19.4200,19.4300,19.3400,19.4300,2600,0
CSV.US,5,20131113,172000,19.4900,19.4900,19.4100,19.4100,1492,0
CSV.US,5,20131113,172500,19.3700,19.3700,19.3700,19.3700,100,0
CSV.US,5,20131113,173000,19.3700,19.3700,19.3200,19.3200,300,0
CSV.US,5,20131113,175000,19.1900,19.2100,19.1900,19.2100,200,0
CSV.US,5,20131113,175500,19.2100,19.2300,19.1800,19.2300,600,0
CSV.US,5,20131113,181000,19.2100,19.2100,19.2000,19.2000,200,0
CSV.US,5,20131113,182000,19.1800,19.1800,19.1400,19.1700,900,0
CSV.US,5,20131113,183000,19.1500,19.1500,19.1500,19.1500,300,0
CSV.US,5,20131113,183500,19.1700,19.1900,19.1700,19.1900,700,0
CSV.US,5,20131113,184500,19.1900,19.1900,19.1600,19.1600,500,0
CSV.US,5,20131113,185000,19.1400,19.1400,19.1400,19.1400,300,0
CSV.US,5,20131113,185500,19.1800,19.1800,19.1200,19.1200,400,0
CSV.US,5,20131113,190000,19.1000,19.1100,19.0600,19.0600,983,0
CSV.US,5,20131113,190500,19.0600,19.1400,19.0600,19.1400,1700,0
CSV.US,5,20131113,191000,19.1200,19.1200,19.1200,19.1200,200,0
CSV.US,5,20131113,192000,19.0600,19.1200,19.0300,19.0300,3000,0
CSV.US,5,20131113,193000,19.0700,19.1500,19.0100,19.1500,4945,0
CSV.US,5,20131113,193500,19.1400,19.2000,19.1400,19.1600,800,0
CSV.US,5,20131113,194000,19.1600,19.2200,19.1600,19.2200,2560,0
CSV.US,5,20131113,194500,19.1800,19.1800,19.1100,19.1100,1040,0
CSV.US,5,20131113,195500,19.0600,19.0600,19.0600,19.0600,100,0
CSV.US,5,20131113,200000,19.0200,19.0200,19.0200,19.0200,100,0
CSV.US,5,20131113,201000,19.0500,19.0600,19.0000,19.0000,1103,0
CSV.US,5,20131113,201500,19.0700,19.1100,19.0700,19.1000,300,0
CSV.US,5,20131113,202500,19.1000,19.1900,19.1000,19.1900,1200,0
CSV.US,5,20131113,204000,19.2200,19.2200,19.2200,19.2200,200,0
CSV.US,5,20131113,210000,19.2100,19.2100,19.2100,19.2100,100,0
CSV.US,5,20131113,210500,19.1900,19.1900,19.1900,19.1900,200,0
CSV.US,5,20131113,212000,19.1500,19.1500,19.1400,19.1400,200,0
CSV.US,5,20131113,212500,19.1600,19.1600,19.1000,19.1200,400,0
CSV.US,5,20131113,213500,19.1700,19.1700,19.1400,19.1400,200,0
CSV.US,5,20131113,215000,19.2200,19.2800,19.2000,19.2300,3406,0
CSV.US,5,20131113,215500,19.2100,19.2100,19.1800,19.1900,400,0
CSV.US,5,20131113,220000,19.2100,19.2600,19.2000,19.2600,1028,0
CSV.US,5,20131113,220500,19.2400,19.2400,19.2400,19.2400,2838,0
CSV.US,5,20131114,153500,19.1500,19.2300,19.1500,19.2300,300,0
CSV.US,5,20131114,154000,19.1700,19.1700,19.1600,19.1600,700,0
CSV.US,5,20131114,154500,19.3300,19.3300,19.1600,19.1600,400,0
CSV.US,5,20131114,155000,19.1200,19.2200,19.1200,19.2200,400,0
CSV.US,5,20131114,155500,19.1700,19.2000,19.0600,19.1000,1200,0
CSV.US,5,20131114,160000,19.2100,19.2100,19.0600,19.1600,1000,0
CSV.US,5,20131114,160500,19.2200,19.2200,19.0400,19.0400,1300,0
CSV.US,5,20131114,161000,19.1100,19.2000,19.0100,19.0100,5733,0
CSV.US,5,20131114,161500,19.0700,19.0900,19.0100,19.0900,784,0
CSV.US,5,20131114,162000,19.1200,19.1200,18.9600,18.9600,2100,0
CSV.US,5,20131114,162500,18.9800,18.9800,18.9800,18.9800,100,0
CSV.US,5,20131114,163000,18.9900,18.9900,18.9900,18.9900,200,0
CSV.US,5,20131114,163500,18.9900,19.0200,18.9300,19.0200,3400,0
CSV.US,5,20131114,164000,19.0200,19.0700,19.0200,19.0400,600,0
CSV.US,5,20131114,164500,19.0600,19.1400,19.0600,19.1400,200,0
CSV.US,5,20131114,165000,19.1000,19.1000,19.1000,19.1000,200,0
CSV.US,5,20131114,165500,19.1200,19.1200,19.0500,19.0500,200,0
CSV.US,5,20131114,170000,19.0500,19.0500,19.0500,19.0500,100,0
CSV.US,5,20131114,170500,19.1600,19.1600,19.1200,19.1400,400,0
CSV.US,5,20131114,171000,19.1300,19.1600,19.1300,19.1600,200,0
CSV.US,5,20131114,172000,19.1300,19.1900,19.1200,19.1400,8690,0
CSV.US,5,20131114,172500,19.1100,19.1200,19.1100,19.1200,400,0
CSV.US,5,20131114,173000,19.1400,19.1400,19.1400,19.1400,100,0
CSV.US,5,20131114,173500,19.0300,19.0700,19.0300,19.0700,500,0
CSV.US,5,20131114,174500,19.0800,19.0800,19.0800,19.0800,100,0
CSV.US,5,20131114,175000,19.1100,19.1900,19.0400,19.1000,5638,0
CSV.US,5,20131114,175500,19.1400,19.1400,19.1300,19.1300,300,0
CSV.US,5,20131114,180000,19.0800,19.1800,19.0800,19.1800,900,0
CSV.US,5,20131114,180500,19.1900,19.1900,19.1900,19.1900,100,0
CSV.US,5,20131114,181000,19.2300,19.3000,19.2300,19.3000,600,0
CSV.US,5,20131114,181500,19.2800,19.3500,19.2800,19.3100,800,0
CSV.US,5,20131114,182500,19.3200,19.3200,19.2400,19.3200,518,0
CSV.US,5,20131114,183000,19.3400,19.3400,19.2900,19.2900,200,0
CSV.US,5,20131114,184500,19.3500,19.4000,19.3000,19.3000,1270,0
CSV.US,5,20131114,185500,19.2700,19.2800,19.1000,19.1600,6523,0
CSV.US,5,20131114,190000,19.1400,19.1700,19.0500,19.0800,3200,0
CSV.US,5,20131114,190500,19.0700,19.1300,19.0700,19.1300,5800,0
CSV.US,5,20131114,191000,19.1000,19.1300,19.0500,19.0900,15987,0
CSV.US,5,20131114,191500,19.0900,19.3500,19.0700,19.3500,5236,0
