<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CVA.US,5,20131112,153500,17.4900,17.5700,17.4700,17.5300,15060,0
CVA.US,5,20131112,154000,17.5300,17.5500,17.5000,17.5300,15745,0
CVA.US,5,20131112,154500,17.5300,17.6100,17.5200,17.6000,45068,0
CVA.US,5,20131112,155000,17.6000,17.6500,17.6000,17.6500,34470,0
CVA.US,5,20131112,155500,17.6400,17.6400,17.6100,17.6100,23271,0
CVA.US,5,20131112,160000,17.6100,17.6800,17.6100,17.6800,18700,0
CVA.US,5,20131112,160500,17.6800,17.6900,17.6100,17.6100,15274,0
CVA.US,5,20131112,161000,17.6200,17.6200,17.6100,17.6100,34680,0
CVA.US,5,20131112,161500,17.6100,17.6400,17.6000,17.6400,17449,0
CVA.US,5,20131112,162000,17.6300,17.6600,17.6200,17.6600,25769,0
CVA.US,5,20131112,162500,17.6600,17.6700,17.6200,17.6300,17801,0
CVA.US,5,20131112,163000,17.6300,17.6500,17.6300,17.6500,17822,0
CVA.US,5,20131112,163500,17.6500,17.6700,17.6400,17.6500,10411,0
CVA.US,5,20131112,164000,17.6500,17.6800,17.6500,17.6600,84050,0
CVA.US,5,20131112,164500,17.6500,17.7100,17.6500,17.7000,37328,0
CVA.US,5,20131112,165000,17.7000,17.7100,17.6600,17.6700,16788,0
CVA.US,5,20131112,165500,17.6700,17.6700,17.6200,17.6500,23645,0
CVA.US,5,20131112,170000,17.6600,17.7200,17.6600,17.7200,51264,0
CVA.US,5,20131112,170500,17.7200,17.7700,17.7000,17.7400,90796,0
CVA.US,5,20131112,171000,17.7400,17.7600,17.7300,17.7400,10098,0
CVA.US,5,20131112,171500,17.7400,17.7400,17.7200,17.7200,12600,0
CVA.US,5,20131112,172000,17.7200,17.7300,17.7200,17.7200,12897,0
CVA.US,5,20131112,172500,17.7300,17.7500,17.7200,17.7300,21880,0
CVA.US,5,20131112,173000,17.7300,17.8000,17.7300,17.7900,111060,0
CVA.US,5,20131112,173500,17.7900,17.8200,17.7500,17.7600,36114,0
CVA.US,5,20131112,174000,17.7500,17.7600,17.7000,17.7000,33163,0
CVA.US,5,20131112,174500,17.7100,17.7500,17.7000,17.7500,161745,0
CVA.US,5,20131112,175000,17.7500,17.7800,17.7200,17.7300,35606,0
CVA.US,5,20131112,175500,17.7200,17.7300,17.7000,17.7300,25509,0
CVA.US,5,20131112,180000,17.7200,17.7300,17.7000,17.7000,138815,0
CVA.US,5,20131112,180500,17.7000,17.7000,17.6800,17.7000,41851,0
CVA.US,5,20131112,181000,17.7000,17.7000,17.6700,17.7000,42741,0
CVA.US,5,20131112,181500,17.7000,17.7000,17.6700,17.6800,8675,0
CVA.US,5,20131112,182000,17.6900,17.6900,17.6500,17.6500,21050,0
CVA.US,5,20131112,182500,17.6600,17.6600,17.6300,17.6300,40171,0
CVA.US,5,20131112,183000,17.6300,17.7000,17.6300,17.7000,53029,0
CVA.US,5,20131112,183500,17.7000,17.7100,17.6800,17.7000,172426,0
CVA.US,5,20131112,184000,17.7100,17.7100,17.7000,17.7000,14282,0
CVA.US,5,20131112,184500,17.7000,17.7100,17.6700,17.6700,11700,0
CVA.US,5,20131112,185000,17.6700,17.7100,17.6700,17.7100,13500,0
CVA.US,5,20131112,185500,17.7100,17.7100,17.7000,17.7000,3000,0
CVA.US,5,20131112,190000,17.7000,17.7100,17.6600,17.6800,21518,0
CVA.US,5,20131112,190500,17.6800,17.6900,17.6700,17.6900,25222,0
CVA.US,5,20131112,191000,17.6800,17.6900,17.6800,17.6800,800,0
CVA.US,5,20131112,191500,17.6900,17.7100,17.6800,17.7100,34046,0
CVA.US,5,20131112,192000,17.7100,17.7100,17.7000,17.7100,6240,0
CVA.US,5,20131112,192500,17.7100,17.7400,17.7000,17.7300,43339,0
CVA.US,5,20131112,193000,17.7300,17.7400,17.6900,17.6900,17023,0
CVA.US,5,20131112,193500,17.6800,17.6900,17.6600,17.6700,22187,0
CVA.US,5,20131112,194000,17.6600,17.6700,17.6600,17.6600,2750,0
CVA.US,5,20131112,194500,17.6600,17.6900,17.6500,17.6900,24558,0
CVA.US,5,20131112,195000,17.6900,17.7100,17.6800,17.7100,26844,0
CVA.US,5,20131112,195500,17.7100,17.7400,17.6900,17.7400,44642,0
CVA.US,5,20131112,200000,17.7400,17.7500,17.7300,17.7300,22768,0
CVA.US,5,20131112,200500,17.7400,17.7400,17.7100,17.7100,16573,0
CVA.US,5,20131112,201000,17.7100,17.7100,17.6700,17.7000,170892,0
CVA.US,5,20131112,201500,17.7100,17.7100,17.7000,17.7000,3400,0
CVA.US,5,20131112,202000,17.7100,17.7400,17.6900,17.7400,76185,0
CVA.US,5,20131112,202500,17.7300,17.7700,17.7300,17.7500,41294,0
CVA.US,5,20131112,203000,17.7400,17.7500,17.7100,17.7100,18730,0
CVA.US,5,20131112,203500,17.7100,17.7200,17.7100,17.7100,8898,0
CVA.US,5,20131112,204000,17.7200,17.7700,17.7200,17.7600,114762,0
CVA.US,5,20131112,204500,17.7600,17.7600,17.7300,17.7400,10000,0
