<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CVO.US,5,20131112,153500,3.4300,3.4300,3.4000,3.4200,590,0
CVO.US,5,20131112,154000,3.4400,3.4400,3.4400,3.4400,300,0
CVO.US,5,20131112,154500,3.4400,3.4400,3.4000,3.4000,900,0
CVO.US,5,20131112,155000,3.4000,3.4100,3.4000,3.4000,400,0
CVO.US,5,20131112,155500,3.4000,3.4000,3.3800,3.3900,26869,0
CVO.US,5,20131112,160000,3.3900,3.4100,3.3900,3.3900,7600,0
CVO.US,5,20131112,160500,3.3900,3.3900,3.3600,3.3700,1500,0
CVO.US,5,20131112,161000,3.3600,3.3700,3.3500,3.3600,1360,0
CVO.US,5,20131112,161500,3.3600,3.3600,3.3500,3.3500,1400,0
CVO.US,5,20131112,162000,3.3600,3.3700,3.3600,3.3700,1300,0
CVO.US,5,20131112,162500,3.3700,3.3700,3.3500,3.3500,1100,0
CVO.US,5,20131112,163000,3.3500,3.4400,3.3500,3.3900,15954,0
CVO.US,5,20131112,163500,3.3900,3.3900,3.3700,3.3700,700,0
CVO.US,5,20131112,164000,3.3700,3.3700,3.3600,3.3600,900,0
CVO.US,5,20131112,164500,3.3600,3.3600,3.3500,3.3600,9445,0
CVO.US,5,20131112,165000,3.3600,3.3600,3.3500,3.3500,1800,0
CVO.US,5,20131112,165500,3.3500,3.3500,3.3500,3.3500,300,0
CVO.US,5,20131112,170000,3.3500,3.3600,3.3500,3.3600,600,0
CVO.US,5,20131112,170500,3.3600,3.3600,3.3600,3.3600,100,0
CVO.US,5,20131112,171000,3.3500,3.3600,3.3500,3.3600,498,0
CVO.US,5,20131112,172000,3.3600,3.3700,3.3600,3.3700,1000,0
CVO.US,5,20131112,172500,3.3700,3.3700,3.3700,3.3700,200,0
CVO.US,5,20131112,173000,3.3700,3.3700,3.3700,3.3700,100,0
CVO.US,5,20131112,173500,3.3700,3.3900,3.3700,3.3700,6200,0
CVO.US,5,20131112,174000,3.3800,3.3800,3.3800,3.3800,1400,0
CVO.US,5,20131112,174500,3.3800,3.3800,3.3700,3.3700,1000,0
CVO.US,5,20131112,175000,3.3800,3.3800,3.3700,3.3800,1400,0
CVO.US,5,20131112,175500,3.3800,3.3800,3.3800,3.3800,200,0
CVO.US,5,20131112,180000,3.3800,3.3900,3.3700,3.3700,4900,0
CVO.US,5,20131112,181000,3.3700,3.3800,3.3700,3.3700,10900,0
CVO.US,5,20131112,181500,3.3700,3.3800,3.3700,3.3800,2100,0
