<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CYN.US,5,20131112,153500,74.3800,74.7200,74.3800,74.5500,400,0
CYN.US,5,20131112,154500,74.7000,74.7000,74.6100,74.6400,500,0
CYN.US,5,20131112,155000,74.7800,74.8700,74.7000,74.7600,800,0
CYN.US,5,20131112,155500,74.7300,74.7400,74.7100,74.7400,700,0
CYN.US,5,20131112,160000,74.6600,74.7800,74.6600,74.7600,900,0
CYN.US,5,20131112,160500,74.8000,74.8800,74.7100,74.7200,3062,0
CYN.US,5,20131112,161000,74.7800,74.8300,74.6300,74.6900,4400,0
CYN.US,5,20131112,161500,74.8900,74.8900,74.6300,74.6300,1500,0
CYN.US,5,20131112,162000,74.7200,74.8000,74.5800,74.7900,2854,0
CYN.US,5,20131112,162500,74.8500,74.8500,74.7000,74.7000,300,0
CYN.US,5,20131112,163000,74.7800,74.7800,74.7800,74.7800,100,0
CYN.US,5,20131112,163500,74.7200,74.7800,74.7200,74.7800,233,0
CYN.US,5,20131112,164000,74.7400,74.7400,74.7400,74.7400,300,0
CYN.US,5,20131112,164500,74.7800,74.7800,74.7800,74.7800,100,0
CYN.US,5,20131112,165000,74.7800,74.8100,74.7700,74.8000,800,0
CYN.US,5,20131112,165500,74.7000,74.7000,74.6400,74.6700,693,0
CYN.US,5,20131112,170000,74.6300,74.6300,74.4400,74.5300,1300,0
CYN.US,5,20131112,170500,74.5200,74.5200,74.5200,74.5200,200,0
CYN.US,5,20131112,171000,74.5500,74.5500,74.4600,74.4600,1400,0
CYN.US,5,20131112,171500,74.5100,74.5900,74.4500,74.4600,654,0
CYN.US,5,20131112,172000,74.4700,74.4700,74.4700,74.4700,100,0
CYN.US,5,20131112,172500,74.4800,74.4800,74.3600,74.3600,5169,0
CYN.US,5,20131112,173000,74.4000,74.4100,74.3900,74.3900,400,0
CYN.US,5,20131112,173500,74.4000,74.4300,74.4000,74.4200,718,0
CYN.US,5,20131112,174000,74.4000,74.4000,74.3800,74.3800,300,0
CYN.US,5,20131112,174500,74.3400,74.3600,74.3400,74.3500,400,0
CYN.US,5,20131112,175000,74.3400,74.3500,74.2400,74.3000,700,0
CYN.US,5,20131112,175500,74.3200,74.3200,74.2300,74.2300,200,0
CYN.US,5,20131112,180000,74.1900,74.1900,74.0900,74.0900,400,0
CYN.US,5,20131112,180500,74.1700,74.1700,74.1200,74.1200,500,0
CYN.US,5,20131112,181000,74.1700,74.1700,73.8700,73.9300,1219,0
CYN.US,5,20131112,181500,73.9200,74.0300,73.9200,74.0300,500,0
CYN.US,5,20131112,182000,74.0200,74.0700,73.9800,74.0600,700,0
