<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CYS-A.US,5,20131112,155500,22.0100,22.1600,21.9100,22.1600,810,0
CYS-A.US,5,20131112,163000,22.1600,22.1900,22.1600,22.1900,500,0
CYS-A.US,5,20131112,194500,22.1700,22.1700,22.1700,22.1700,300,0
CYS-A.US,5,20131112,202500,22.1000,22.1000,22.1000,22.1000,100,0
CYS-A.US,5,20131112,203500,22.1100,22.1100,22.0000,22.0000,7661,0
CYS-A.US,5,20131113,154500,21.8000,21.8000,21.8000,21.8000,200,0
CYS-A.US,5,20131113,155000,21.9000,21.9000,21.9000,21.9000,100,0
CYS-A.US,5,20131113,161000,21.9000,21.9000,21.9000,21.9000,325,0
CYS-A.US,5,20131113,162500,21.9000,21.9000,21.8100,21.9000,2200,0
CYS-A.US,5,20131113,163000,21.9000,21.9000,21.9000,21.9000,750,0
CYS-A.US,5,20131113,163500,21.9000,21.9000,21.9000,21.9000,306,0
CYS-A.US,5,20131113,164000,21.9000,21.9000,21.9000,21.9000,694,0
CYS-A.US,5,20131113,183000,21.8100,21.8300,21.8100,21.8300,400,0
CYS-A.US,5,20131113,184000,21.8100,21.8300,21.8100,21.8300,1863,0
CYS-A.US,5,20131113,193500,21.8700,21.8700,21.8100,21.8100,3300,0
CYS-A.US,5,20131113,194000,21.8100,21.8200,21.8100,21.8100,13450,0
CYS-A.US,5,20131113,194500,21.8100,21.8100,21.8100,21.8100,5700,0
CYS-A.US,5,20131113,195000,21.9000,21.9000,21.9000,21.9000,100,0
CYS-A.US,5,20131113,201000,21.9000,21.9000,21.9000,21.9000,500,0
CYS-A.US,5,20131113,202000,21.9000,21.9000,21.9000,21.9000,700,0
CYS-A.US,5,20131113,204000,21.9000,21.9000,21.9000,21.9000,1500,0
CYS-A.US,5,20131113,210500,21.9400,21.9400,21.9400,21.9400,250,0
CYS-A.US,5,20131113,211000,22.0000,22.0000,22.0000,22.0000,650,0
CYS-A.US,5,20131113,212000,21.9000,21.9000,21.9000,21.9000,600,0
CYS-A.US,5,20131113,212500,21.9000,21.9000,21.9000,21.9000,800,0
CYS-A.US,5,20131114,171000,21.8000,21.8000,21.8000,21.8000,200,0
CYS-A.US,5,20131114,173000,21.8000,21.8100,21.5500,21.5500,3147,0
CYS-A.US,5,20131114,180500,21.9500,21.9500,21.9500,21.9500,110,0
CYS-A.US,5,20131114,201000,21.6600,21.6600,21.6400,21.6400,5925,0
CYS-A.US,5,20131114,201500,21.6500,21.6600,21.6500,21.6600,3100,0
CYS-A.US,5,20131114,203000,21.7100,21.7100,21.7000,21.7100,2900,0
CYS-A.US,5,20131114,211000,21.6900,21.7100,21.6900,21.7100,1000,0
CYS-A.US,5,20131114,211500,21.6900,21.6900,21.6900,21.6900,500,0
CYS-A.US,5,20131114,212000,21.6900,21.6900,21.6900,21.6900,100,0
CYS-A.US,5,20131114,213500,21.6900,21.6900,21.6700,21.6800,1700,0
CYS-A.US,5,20131114,214500,21.7000,21.7000,21.7000,21.7000,600,0
CYS-A.US,5,20131114,215000,21.7100,21.7100,21.7100,21.7100,200,0
CYS-A.US,5,20131115,155500,21.5600,21.5600,21.5600,21.5600,200,0
CYS-A.US,5,20131115,160500,21.5600,21.5600,21.5600,21.5600,1600,0
CYS-A.US,5,20131115,161000,21.6800,21.7800,21.6800,21.7700,1000,0
CYS-A.US,5,20131115,161500,21.7800,21.7800,21.7600,21.7800,1100,0
CYS-A.US,5,20131115,163000,21.7000,21.7100,21.6300,21.6300,1000,0
CYS-A.US,5,20131115,164500,21.6100,21.6100,21.6100,21.6100,300,0
CYS-A.US,5,20131115,171500,21.7500,21.7500,21.7500,21.7500,523,0
CYS-A.US,5,20131115,172000,21.7000,21.7000,21.7000,21.7000,1000,0
CYS-A.US,5,20131115,172500,21.7000,21.7000,21.7000,21.7000,3600,0
CYS-A.US,5,20131115,184000,21.7000,21.7000,21.7000,21.7000,200,0
CYS-A.US,5,20131115,185500,21.7000,21.7000,21.6900,21.6900,2200,0
CYS-A.US,5,20131115,191500,21.6500,21.6900,21.6500,21.6900,2150,0
CYS-A.US,5,20131115,192000,21.7000,21.7000,21.7000,21.7000,100,0
CYS-A.US,5,20131115,202000,21.6300,21.7000,21.5500,21.7000,3750,0
CYS-A.US,5,20131115,203000,21.7000,21.7000,21.6800,21.7000,600,0
CYS-A.US,5,20131115,203500,21.6800,21.6800,21.6800,21.6800,800,0
CYS-A.US,5,20131115,211000,21.7300,21.7300,21.7200,21.7200,225,0
CYS-A.US,5,20131118,155000,21.6900,21.6900,21.6900,21.6900,150,0
CYS-A.US,5,20131118,160000,21.5400,21.5400,21.5000,21.5200,2500,0
CYS-A.US,5,20131118,160500,21.6800,21.6800,21.6800,21.6800,100,0
CYS-A.US,5,20131118,170000,21.5600,21.5600,21.5600,21.5600,800,0
CYS-A.US,5,20131118,174000,21.6300,21.6300,21.6300,21.6300,100,0
CYS-A.US,5,20131118,174500,21.6300,21.6300,21.6300,21.6300,400,0
CYS-A.US,5,20131118,180000,21.6300,21.6300,21.6300,21.6300,380,0
CYS-A.US,5,20131118,180500,21.6500,21.6500,21.6500,21.6500,100,0
CYS-A.US,5,20131118,185000,21.6300,21.6300,21.6300,21.6300,300,0
CYS-A.US,5,20131118,194000,21.7100,21.7100,21.6900,21.7100,1100,0
CYS-A.US,5,20131118,203000,21.6500,21.7100,21.6500,21.7100,2795,0
CYS-A.US,5,20131118,204500,21.7100,21.7100,21.7100,21.7100,200,0
CYS-A.US,5,20131118,211000,21.7300,21.7300,21.7300,21.7300,120,0
CYS-A.US,5,20131118,214500,21.7400,21.9900,21.6600,21.9900,3050,0
CYS-A.US,5,20131119,155500,21.9700,21.9700,21.9700,21.9700,150,0
CYS-A.US,5,20131119,164000,21.9300,21.9300,21.9300,21.9300,225,0
CYS-A.US,5,20131119,180000,21.9500,21.9500,21.9500,21.9500,428,0
CYS-A.US,5,20131119,192000,21.7800,21.9500,21.7600,21.9200,1481,0
CYS-A.US,5,20131119,193000,21.9200,21.9500,21.9200,21.9500,1497,0
CYS-A.US,5,20131119,194500,21.9800,21.9800,21.9800,21.9800,400,0
CYS-A.US,5,20131119,214000,21.9000,21.9000,21.9000,21.9000,500,0
CYS-A.US,5,20131120,160000,21.7800,21.7800,21.7600,21.7600,500,0
CYS-A.US,5,20131120,161000,21.8200,21.8200,21.8200,21.8200,200,0
CYS-A.US,5,20131120,165500,21.8300,21.8300,21.7700,21.7700,5000,0
CYS-A.US,5,20131120,170000,21.7700,21.7700,21.7700,21.7700,100,0
CYS-A.US,5,20131120,171000,21.9000,21.9000,21.9000,21.9000,700,0
CYS-A.US,5,20131120,172500,21.9700,21.9800,21.9700,21.9700,600,0
CYS-A.US,5,20131120,202500,21.8100,21.8100,21.8100,21.8100,936,0
CYS-A.US,5,20131120,210500,21.9000,21.9000,21.9000,21.9000,100,0
CYS-A.US,5,20131121,163500,21.8900,21.9200,21.8900,21.9200,760,0
CYS-A.US,5,20131121,173000,21.5500,21.7300,21.5300,21.6500,7730,0
CYS-A.US,5,20131121,173500,21.6500,21.6800,21.6500,21.6500,1300,0
CYS-A.US,5,20131121,180000,21.6600,21.6600,21.6600,21.6600,1100,0
CYS-A.US,5,20131121,183000,21.6800,21.6800,21.5800,21.5800,1100,0
CYS-A.US,5,20131121,184000,21.5800,21.6300,21.5800,21.6300,800,0
CYS-A.US,5,20131121,190000,21.6700,21.6700,21.5900,21.5900,200,0
CYS-A.US,5,20131121,194500,21.7600,21.7600,21.7600,21.7600,100,0
CYS-A.US,5,20131121,203000,21.7400,21.7400,21.7400,21.7400,300,0
CYS-A.US,5,20131121,213500,21.6800,21.6800,21.6800,21.6800,700,0
CYS-A.US,5,20131121,214000,21.6800,21.6800,21.6800,21.6800,300,0
CYS-A.US,5,20131121,220000,21.6500,21.6500,21.6500,21.6500,100,0
CYS-A.US,5,20131122,155000,21.5100,21.5100,21.5000,21.5000,900,0
CYS-A.US,5,20131122,161500,21.5600,21.5600,21.5600,21.5600,1000,0
CYS-A.US,5,20131122,162000,21.5600,21.5600,21.5600,21.5600,500,0
CYS-A.US,5,20131122,172500,21.6000,21.6000,21.6000,21.6000,150,0
CYS-A.US,5,20131122,174000,21.6500,21.6600,21.6500,21.6600,1000,0
CYS-A.US,5,20131122,181000,21.6600,21.6700,21.6600,21.6700,2000,0
CYS-A.US,5,20131122,182500,21.6500,21.6500,21.6500,21.6500,225,0
CYS-A.US,5,20131122,185000,21.6100,21.6200,21.6100,21.6200,400,0
CYS-A.US,5,20131122,185500,21.6100,21.6100,21.6100,21.6100,300,0
CYS-A.US,5,20131122,192000,21.6100,21.6200,21.6000,21.6200,706,0
CYS-A.US,5,20131122,195500,21.6700,21.6700,21.6700,21.6700,200,0
CYS-A.US,5,20131122,202000,21.6200,21.6200,21.6200,21.6200,500,0
CYS-A.US,5,20131122,211000,21.6200,21.6200,21.6200,21.6200,200,0
CYS-A.US,5,20131122,212000,21.6200,21.6200,21.5600,21.5600,1906,0
CYS-A.US,5,20131125,162000,21.5600,21.5600,21.5100,21.5100,2100,0
CYS-A.US,5,20131125,163500,21.5100,21.5600,21.5000,21.5600,1380,0
CYS-A.US,5,20131125,164500,21.5500,21.5500,21.5500,21.5500,100,0
CYS-A.US,5,20131125,165500,21.5600,21.5600,21.5600,21.5600,200,0
CYS-A.US,5,20131125,170500,21.5700,21.5700,21.5700,21.5700,200,0
CYS-A.US,5,20131125,171000,21.5700,21.5700,21.5700,21.5700,200,0
CYS-A.US,5,20131125,180000,21.5500,21.5600,21.5500,21.5600,500,0
CYS-A.US,5,20131125,181500,21.5000,21.5000,21.5000,21.5000,400,0
CYS-A.US,5,20131125,182000,21.5400,21.5400,21.5400,21.5400,200,0
CYS-A.US,5,20131125,183000,21.5600,21.5600,21.5600,21.5600,400,0
CYS-A.US,5,20131125,184500,21.5400,21.5400,21.4400,21.4400,2000,0
CYS-A.US,5,20131125,194000,21.5000,21.5000,21.4300,21.4300,800,0
CYS-A.US,5,20131125,194500,21.4300,21.4500,21.4300,21.4500,500,0
CYS-A.US,5,20131125,195500,21.4300,21.4400,21.3500,21.3500,2425,0
CYS-A.US,5,20131125,200000,21.3500,21.3500,21.3500,21.3500,5900,0
CYS-A.US,5,20131125,200500,21.5500,21.5500,21.5500,21.5500,100,0
CYS-A.US,5,20131125,201000,21.5100,21.5100,21.4700,21.4800,700,0
CYS-A.US,5,20131125,202000,21.4500,21.4500,21.4400,21.4400,600,0
CYS-A.US,5,20131125,204000,21.3600,21.4500,21.3600,21.4500,1300,0
CYS-A.US,5,20131125,205000,21.3600,21.3600,21.3100,21.3100,950,0
CYS-A.US,5,20131125,205500,21.3500,21.4500,21.3500,21.4500,500,0
CYS-A.US,5,20131125,210000,21.4200,21.4400,21.4200,21.4400,1400,0
CYS-A.US,5,20131125,210500,21.4500,21.4500,21.4500,21.4500,300,0
CYS-A.US,5,20131125,212500,21.4500,21.4500,21.4500,21.4500,400,0
CYS-A.US,5,20131125,213500,21.3000,21.4500,21.2400,21.4500,1250,0
CYS-A.US,5,20131125,214000,21.4300,21.4300,21.4300,21.4300,500,0
CYS-A.US,5,20131125,215000,21.4200,21.4200,21.4200,21.4200,400,0
CYS-A.US,5,20131126,172500,21.3800,21.3800,21.3800,21.3800,200,0
CYS-A.US,5,20131126,182500,21.4200,21.4200,21.2400,21.2600,4020,0
CYS-A.US,5,20131126,184500,21.3500,21.3500,21.3500,21.3500,500,0
CYS-A.US,5,20131126,185000,21.2900,21.2900,21.2900,21.2900,200,0
CYS-A.US,5,20131126,201000,21.2900,21.2900,21.2900,21.2900,100,0
CYS-A.US,5,20131126,204000,21.2900,21.2900,21.2800,21.2800,2000,0
CYS-A.US,5,20131126,212000,21.3900,21.4200,21.3900,21.4100,1600,0
CYS-A.US,5,20131126,212500,21.4100,21.4100,21.4100,21.4100,200,0
CYS-A.US,5,20131126,213500,21.3900,21.3900,21.3900,21.3900,100,0
CYS-A.US,5,20131126,214000,21.3900,21.3900,21.2400,21.3700,2600,0
CYS-A.US,5,20131126,215500,21.3700,21.3700,21.3600,21.3700,600,0
CYS-A.US,5,20131126,221000,21.3500,21.3500,21.3500,21.3500,100,0
CYS-A.US,5,20131127,180500,21.3000,21.3000,21.3000,21.3000,600,0
CYS-A.US,5,20131127,182000,21.3000,21.3500,21.3000,21.3500,1150,0
CYS-A.US,5,20131127,185000,21.3300,21.3500,21.3300,21.3500,200,0
CYS-A.US,5,20131127,185500,21.3000,21.3500,21.3000,21.3500,1000,0
CYS-A.US,5,20131127,191500,21.3500,21.3500,21.3500,21.3500,804,0
CYS-A.US,5,20131127,203000,21.3400,21.3500,21.3400,21.3400,1000,0
CYS-A.US,5,20131127,220500,21.4000,21.4000,21.4000,21.4000,100,0
CYS-A.US,5,20131129,190500,21.4000,21.4000,21.4000,21.4000,100,0
CYS-A.US,5,20131202,155000,21.4000,21.4000,21.4000,21.4000,100,0
CYS-A.US,5,20131202,162000,21.4000,21.4000,21.4000,21.4000,100,0
CYS-A.US,5,20131202,172000,21.4000,21.4000,21.4000,21.4000,646,0
CYS-A.US,5,20131202,172500,21.4000,21.4000,21.4000,21.4000,125,0
CYS-A.US,5,20131202,180500,21.3100,21.3100,21.3100,21.3100,200,0
CYS-A.US,5,20131202,182000,21.3900,21.5000,21.3900,21.4200,900,0
CYS-A.US,5,20131202,195000,21.3000,21.3500,21.3000,21.3500,600,0
CYS-A.US,5,20131202,203500,21.4000,21.4000,21.4000,21.4000,1000,0
CYS-A.US,5,20131202,212500,21.4000,21.4000,21.4000,21.4000,600,0
CYS-A.US,5,20131203,155500,21.4600,21.4600,21.4600,21.4600,100,0
CYS-A.US,5,20131203,162500,21.2800,21.2800,21.2600,21.2600,1000,0
CYS-A.US,5,20131203,171500,21.2800,21.2800,21.2500,21.2500,4400,0
CYS-A.US,5,20131203,185000,21.3900,21.3900,21.3900,21.3900,100,0
CYS-A.US,5,20131203,201000,21.2500,21.3000,21.2500,21.3000,12100,0
CYS-A.US,5,20131203,204000,21.2500,21.2800,21.2500,21.2500,700,0
CYS-A.US,5,20131203,213500,21.2800,21.2800,21.2600,21.2700,700,0
CYS-A.US,5,20131203,215500,21.3200,21.3200,21.2700,21.2700,850,0
CYS-A.US,5,20131203,220000,21.2800,21.2800,21.2800,21.2800,200,0
CYS-A.US,5,20131203,220500,21.3100,21.3100,21.3100,21.3100,100,0
CYS-A.US,5,20131204,155500,21.2300,21.2300,21.2300,21.2300,300,0
CYS-A.US,5,20131204,160000,21.2300,21.2300,21.2200,21.2300,2000,0
CYS-A.US,5,20131204,164500,21.2000,21.2000,21.2000,21.2000,1350,0
CYS-A.US,5,20131204,165500,21.2100,21.2200,21.1600,21.2100,2457,0
CYS-A.US,5,20131204,173500,21.3700,21.3700,21.3700,21.3700,535,0
CYS-A.US,5,20131204,183000,21.1700,21.1700,21.1700,21.1700,100,0
CYS-A.US,5,20131204,192500,21.2100,21.2100,21.2000,21.2000,1400,0
CYS-A.US,5,20131204,193500,21.2300,21.2300,21.1500,21.1500,2400,0
CYS-A.US,5,20131204,200500,21.2000,21.2000,21.2000,21.2000,100,0
CYS-A.US,5,20131204,210000,21.1600,21.1700,21.1500,21.1500,5000,0
CYS-A.US,5,20131204,215500,21.2000,21.2000,21.2000,21.2000,300,0
CYS-A.US,5,20131205,163000,21.2300,21.2300,21.2300,21.2300,100,0
CYS-A.US,5,20131205,165500,21.1800,21.1800,21.1800,21.1800,1000,0
CYS-A.US,5,20131205,172500,21.1100,21.1200,21.0900,21.0900,2300,0
CYS-A.US,5,20131205,173000,21.1100,21.1100,21.1100,21.1100,1200,0
CYS-A.US,5,20131205,175000,21.1500,21.1500,21.1500,21.1500,550,0
CYS-A.US,5,20131205,180000,21.1500,21.1500,21.1500,21.1500,483,0
CYS-A.US,5,20131205,182000,21.1900,21.1900,21.1900,21.1900,100,0
CYS-A.US,5,20131205,194000,21.1000,21.1100,21.0900,21.1100,2500,0
