<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CYT.US,5,20131112,154000,85.0300,85.0300,85.0300,85.0300,304,0
CYT.US,5,20131112,155000,85.1900,85.1900,85.1600,85.1800,400,0
CYT.US,5,20131112,155500,85.1200,85.1200,84.9800,84.9900,2000,0
CYT.US,5,20131112,160000,85.0000,85.0600,85.0000,85.0600,1000,0
CYT.US,5,20131112,160500,85.1600,85.2000,84.8800,84.9100,2800,0
CYT.US,5,20131112,161000,84.8900,84.9600,84.8600,84.9600,1600,0
CYT.US,5,20131112,161500,84.8000,84.8000,84.8000,84.8000,100,0
CYT.US,5,20131112,162000,84.9600,84.9900,84.9600,84.9900,400,0
CYT.US,5,20131112,162500,85.0100,85.0900,84.9700,84.9700,1355,0
CYT.US,5,20131112,163000,85.0400,85.1000,85.0000,85.0000,600,0
CYT.US,5,20131112,163500,85.0400,85.0400,84.9100,84.9800,1800,0
CYT.US,5,20131112,164000,85.0300,85.0300,85.0300,85.0300,100,0
CYT.US,5,20131112,164500,85.1300,85.1300,84.9300,85.0600,400,0
CYT.US,5,20131112,165000,85.1100,85.1600,85.1100,85.1600,400,0
CYT.US,5,20131112,165500,85.1000,85.2100,85.0500,85.1800,24956,0
CYT.US,5,20131112,170000,85.1300,85.3000,85.1300,85.2900,3600,0
CYT.US,5,20131112,170500,85.2700,85.4400,85.2700,85.4400,3000,0
CYT.US,5,20131112,171000,85.3900,85.4800,85.3800,85.4000,3350,0
CYT.US,5,20131112,171500,85.3900,85.5700,85.3900,85.5100,900,0
CYT.US,5,20131112,172000,85.5800,85.5800,85.5300,85.5700,1500,0
CYT.US,5,20131112,172500,85.5500,85.5600,85.5100,85.5200,1725,0
CYT.US,5,20131112,173000,85.5400,85.5500,85.5100,85.5500,400,0
CYT.US,5,20131112,173500,85.5500,85.5800,85.5200,85.5800,700,0
