<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
C_A.US,5,20131112,171500,0.6300,0.6300,0.6300,0.6300,700,0
C_A.US,5,20131112,191000,0.6400,0.6500,0.6400,0.6500,2700,0
C_A.US,5,20131112,201500,0.6400,0.6400,0.6400,0.6400,1500,0
C_A.US,5,20131112,204000,0.6300,0.6300,0.6300,0.6300,1000,0
C_A.US,5,20131113,165000,0.6300,0.6300,0.6300,0.6300,1000,0
C_A.US,5,20131113,185000,0.6200,0.6200,0.6200,0.6200,2500,0
C_A.US,5,20131113,190000,0.6200,0.6200,0.6200,0.6200,605,0
C_A.US,5,20131113,202500,0.6200,0.6200,0.6200,0.6200,4191,0
C_A.US,5,20131113,204500,0.6100,0.6100,0.6100,0.6100,4000,0
C_A.US,5,20131113,215000,0.6200,0.6200,0.6200,0.6200,400,0
C_A.US,5,20131114,154500,0.6300,0.6300,0.6300,0.6300,4000,0
C_A.US,5,20131114,161500,0.6400,0.6400,0.6400,0.6400,3075,0
C_A.US,5,20131114,164500,0.6200,0.6200,0.6000,0.6000,98200,0
C_A.US,5,20131114,170000,0.5900,0.5900,0.5900,0.5900,3000,0
C_A.US,5,20131114,171000,0.6000,0.6000,0.6000,0.6000,32200,0
C_A.US,5,20131114,173000,0.6300,0.6300,0.6300,0.6300,100,0
C_A.US,5,20131114,202000,0.6300,0.6300,0.6300,0.6300,1494,0
C_A.US,5,20131114,203500,0.6100,0.6100,0.6100,0.6100,13575,0
C_A.US,5,20131115,162000,0.6100,0.6100,0.6100,0.6100,300,0
C_A.US,5,20131115,163500,0.6200,0.6200,0.6200,0.6200,4000,0
C_A.US,5,20131115,184000,0.6400,0.6400,0.6400,0.6400,100,0
C_A.US,5,20131115,190000,0.6400,0.6500,0.6400,0.6500,500,0
C_A.US,5,20131115,211000,0.6300,0.6300,0.6300,0.6300,1900,0
C_A.US,5,20131118,153500,0.6200,0.6300,0.6200,0.6300,6440,0
C_A.US,5,20131118,155000,0.6500,0.6500,0.6500,0.6500,100,0
C_A.US,5,20131118,162500,0.6500,0.6500,0.6300,0.6300,26879,0
C_A.US,5,20131118,163500,0.6500,0.6500,0.6500,0.6500,400,0
C_A.US,5,20131118,164000,0.6500,0.6500,0.6500,0.6500,2600,0
C_A.US,5,20131118,165000,0.6500,0.6500,0.6500,0.6500,6740,0
C_A.US,5,20131118,171500,0.6600,0.6600,0.6600,0.6600,5000,0
C_A.US,5,20131118,172000,0.6700,0.6700,0.6700,0.6700,2000,0
C_A.US,5,20131118,173000,0.6700,0.6800,0.6700,0.6800,28000,0
C_A.US,5,20131118,173500,0.6800,0.6800,0.6700,0.6800,26585,0
C_A.US,5,20131118,174000,0.6800,0.6800,0.6700,0.6800,53167,0
C_A.US,5,20131118,174500,0.6800,0.6800,0.6800,0.6800,3500,0
C_A.US,5,20131118,181000,0.6800,0.6800,0.6800,0.6800,30000,0
C_A.US,5,20131118,183500,0.6700,0.6700,0.6700,0.6700,5000,0
C_A.US,5,20131118,184500,0.6800,0.6800,0.6800,0.6800,52000,0
C_A.US,5,20131118,190500,0.6600,0.6800,0.6600,0.6800,2100,0
C_A.US,5,20131118,191000,0.6800,0.6800,0.6800,0.6800,40000,0
C_A.US,5,20131118,201500,0.6800,0.6800,0.6800,0.6800,6000,0
C_A.US,5,20131118,202500,0.6800,0.6800,0.6800,0.6800,16200,0
C_A.US,5,20131118,203000,0.6800,0.6800,0.6800,0.6800,50000,0
C_A.US,5,20131118,204500,0.6800,0.6800,0.6800,0.6800,6800,0
C_A.US,5,20131118,210000,0.6800,0.6800,0.6800,0.6800,28200,0
C_A.US,5,20131118,211500,0.6800,0.6800,0.6800,0.6800,10000,0
C_A.US,5,20131118,213000,0.6800,0.6800,0.6800,0.6800,51600,0
C_A.US,5,20131118,214000,0.6500,0.6500,0.6500,0.6500,8800,0
C_A.US,5,20131119,160000,0.6700,0.6700,0.6700,0.6700,200,0
C_A.US,5,20131119,161000,0.6500,0.6500,0.6500,0.6500,18000,0
C_A.US,5,20131119,162500,0.6700,0.6700,0.6700,0.6700,24000,0
C_A.US,5,20131119,163500,0.6700,0.6700,0.6700,0.6700,10000,0
C_A.US,5,20131119,192500,0.6700,0.6700,0.6700,0.6700,500,0
C_A.US,5,20131119,193000,0.6600,0.6600,0.6600,0.6600,728,0
C_A.US,5,20131119,203500,0.6700,0.6700,0.6700,0.6700,2000,0
C_A.US,5,20131119,215000,0.6700,0.6700,0.6700,0.6700,8300,0
C_A.US,5,20131119,215500,0.6700,0.6700,0.6700,0.6700,1700,0
C_A.US,5,20131121,165000,0.6800,0.6800,0.6800,0.6800,30000,0
C_A.US,5,20131121,174000,0.6800,0.6800,0.6800,0.6800,2000,0
C_A.US,5,20131121,180000,0.6800,0.6800,0.6800,0.6800,60000,0
C_A.US,5,20131121,192500,0.6800,0.6800,0.6800,0.6800,3150,0
C_A.US,5,20131121,203500,0.6800,0.6800,0.6800,0.6800,2000,0
C_A.US,5,20131121,205000,0.6800,0.6800,0.6800,0.6800,27000,0
C_A.US,5,20131121,212000,0.6900,0.6900,0.6900,0.6900,58000,0
C_A.US,5,20131121,213000,0.7000,0.7000,0.7000,0.7000,31800,0
C_A.US,5,20131121,213500,0.7000,0.7000,0.7000,0.7000,11000,0
C_A.US,5,20131121,215500,0.6700,0.6700,0.6700,0.6700,10000,0
C_A.US,5,20131122,154500,0.6800,0.6800,0.6800,0.6800,7500,0
C_A.US,5,20131122,155500,0.6800,0.6800,0.6800,0.6800,500,0
C_A.US,5,20131122,165000,0.6700,0.6700,0.6700,0.6700,1200,0
C_A.US,5,20131122,165500,0.6800,0.6800,0.6800,0.6800,100,0
C_A.US,5,20131122,174500,0.6700,0.6700,0.6700,0.6700,1150,0
C_A.US,5,20131122,175000,0.6800,0.6800,0.6800,0.6800,17400,0
C_A.US,5,20131122,182000,0.6800,0.6800,0.6800,0.6800,52600,0
C_A.US,5,20131122,184000,0.6800,0.6800,0.6800,0.6800,40000,0
C_A.US,5,20131122,190500,0.6800,0.6800,0.6800,0.6800,25000,0
C_A.US,5,20131122,191000,0.6900,0.6900,0.6900,0.6900,25000,0
C_A.US,5,20131122,193500,0.7000,0.7100,0.7000,0.7100,200,0
C_A.US,5,20131122,202000,0.7000,0.7000,0.7000,0.7000,683,0
C_A.US,5,20131122,203500,0.7000,0.7000,0.6900,0.6900,36100,0
C_A.US,5,20131122,212000,0.7000,0.7000,0.7000,0.7000,100,0
C_A.US,5,20131122,212500,0.7000,0.7000,0.7000,0.7000,27900,0
C_A.US,5,20131122,213000,0.7000,0.7000,0.7000,0.7000,24000,0
C_A.US,5,20131125,154500,0.7000,0.7000,0.7000,0.7000,6600,0
C_A.US,5,20131125,155000,0.7000,0.7000,0.7000,0.7000,50000,0
C_A.US,5,20131125,155500,0.7100,0.7100,0.7100,0.7100,15000,0
C_A.US,5,20131125,160500,0.7100,0.7100,0.7100,0.7100,10000,0
C_A.US,5,20131125,161000,0.7100,0.7100,0.7100,0.7100,25000,0
C_A.US,5,20131125,162000,0.7100,0.7100,0.7000,0.7100,8000,0
C_A.US,5,20131125,162500,0.7100,0.7100,0.7100,0.7100,3600,0
C_A.US,5,20131125,164000,0.7100,0.7100,0.7100,0.7100,3521,0
C_A.US,5,20131125,171000,0.7100,0.7100,0.7100,0.7100,100500,0
C_A.US,5,20131125,172500,0.7100,0.7100,0.7100,0.7100,42200,0
C_A.US,5,20131125,173500,0.7100,0.7100,0.7100,0.7100,5000,0
C_A.US,5,20131125,174500,0.7100,0.7100,0.7100,0.7100,10000,0
C_A.US,5,20131125,180000,0.7100,0.7100,0.7100,0.7100,10000,0
C_A.US,5,20131125,184000,0.7000,0.7000,0.7000,0.7000,17500,0
C_A.US,5,20131125,184500,0.7000,0.7000,0.7000,0.7000,1700,0
C_A.US,5,20131125,185000,0.7000,0.7000,0.7000,0.7000,10400,0
C_A.US,5,20131125,190000,0.7000,0.7000,0.7000,0.7000,5000,0
C_A.US,5,20131125,193500,0.7000,0.7000,0.7000,0.7000,100280,0
C_A.US,5,20131125,194500,0.7000,0.7000,0.7000,0.7000,9500,0
C_A.US,5,20131125,195000,0.7000,0.7000,0.7000,0.7000,10000,0
C_A.US,5,20131125,200000,0.7000,0.7000,0.7000,0.7000,42700,0
C_A.US,5,20131125,200500,0.7000,0.7000,0.7000,0.7000,31000,0
C_A.US,5,20131125,201000,0.7000,0.7000,0.7000,0.7000,15000,0
C_A.US,5,20131125,201500,0.7000,0.7000,0.7000,0.7000,25000,0
C_A.US,5,20131125,202000,0.7000,0.7000,0.7000,0.7000,9800,0
C_A.US,5,20131125,202500,0.7000,0.7000,0.7000,0.7000,27000,0
C_A.US,5,20131125,203500,0.7000,0.7000,0.7000,0.7000,30200,0
C_A.US,5,20131125,204500,0.7000,0.7000,0.7000,0.7000,15800,0
C_A.US,5,20131125,205000,0.7000,0.7000,0.7000,0.7000,2000,0
C_A.US,5,20131125,205500,0.7000,0.7000,0.7000,0.7000,575,0
C_A.US,5,20131125,210000,0.7000,0.7000,0.7000,0.7000,5000,0
C_A.US,5,20131125,210500,0.7000,0.7000,0.7000,0.7000,4000,0
C_A.US,5,20131125,211000,0.7000,0.7000,0.7000,0.7000,42500,0
C_A.US,5,20131125,211500,0.7000,0.7000,0.7000,0.7000,400,0
C_A.US,5,20131125,212000,0.7000,0.7000,0.7000,0.7000,3000,0
C_A.US,5,20131125,212500,0.7000,0.7000,0.7000,0.7000,1600,0
C_A.US,5,20131125,213000,0.7000,0.7000,0.7000,0.7000,2600,0
C_A.US,5,20131125,215500,0.7000,0.7000,0.7000,0.7000,7400,0
C_A.US,5,20131125,220000,0.7000,0.7000,0.6900,0.7000,5750,0
C_A.US,5,20131126,154000,0.7100,0.7300,0.7100,0.7300,40000,0
C_A.US,5,20131126,161000,0.7300,0.7300,0.7300,0.7300,100,0
C_A.US,5,20131126,163000,0.7200,0.7200,0.7200,0.7200,10000,0
C_A.US,5,20131126,180500,0.7200,0.7200,0.7200,0.7200,15000,0
C_A.US,5,20131126,181000,0.7200,0.7200,0.7200,0.7200,20000,0
C_A.US,5,20131126,185000,0.7200,0.7200,0.7200,0.7200,3000,0
C_A.US,5,20131126,195000,0.7000,0.7000,0.7000,0.7000,10000,0
C_A.US,5,20131126,215500,0.7100,0.7100,0.7100,0.7100,4000,0
C_A.US,5,20131127,161000,0.7000,0.7000,0.7000,0.7000,6652,0
C_A.US,5,20131127,161500,0.7000,0.7000,0.7000,0.7000,10000,0
C_A.US,5,20131127,164000,0.7000,0.7000,0.7000,0.7000,2857,0
C_A.US,5,20131127,172000,0.6900,0.7000,0.6900,0.7000,10500,0
C_A.US,5,20131127,174000,0.7000,0.7000,0.7000,0.7000,27700,0
C_A.US,5,20131127,175500,0.7000,0.7000,0.7000,0.7000,3600,0
C_A.US,5,20131127,181500,0.7000,0.7000,0.7000,0.7000,2000,0
C_A.US,5,20131127,193500,0.7000,0.7000,0.7000,0.7000,5000,0
C_A.US,5,20131127,200000,0.7000,0.7000,0.7000,0.7000,25000,0
C_A.US,5,20131127,202000,0.7000,0.7000,0.7000,0.7000,500,0
C_A.US,5,20131127,202500,0.7000,0.7000,0.7000,0.7000,4000,0
C_A.US,5,20131129,161000,0.7000,0.7000,0.7000,0.7000,4300,0
C_A.US,5,20131129,161500,0.7000,0.7000,0.7000,0.7000,39200,0
C_A.US,5,20131129,172000,0.7000,0.7000,0.7000,0.7000,1600,0
C_A.US,5,20131129,180500,0.7000,0.7000,0.7000,0.7000,100,0
C_A.US,5,20131129,181000,0.6900,0.6900,0.6900,0.6900,500,0
C_A.US,5,20131129,182500,0.6900,0.7000,0.6900,0.7000,22271,0
C_A.US,5,20131129,183000,0.6900,0.6900,0.6900,0.6900,421,0
C_A.US,5,20131129,183500,0.7000,0.7000,0.7000,0.7000,7100,0
C_A.US,5,20131129,184000,0.7000,0.7000,0.7000,0.7000,4800,0
C_A.US,5,20131129,184500,0.7000,0.7000,0.7000,0.7000,5312,0
C_A.US,5,20131129,185500,0.7000,0.7000,0.7000,0.7000,2000,0
C_A.US,5,20131202,153500,0.6900,0.7000,0.6900,0.7000,5535,0
C_A.US,5,20131202,154500,0.6900,0.6900,0.6900,0.6900,2400,0
C_A.US,5,20131202,162000,0.7100,0.7100,0.7100,0.7100,100,0
C_A.US,5,20131202,163500,0.7100,0.7100,0.7100,0.7100,32150,0
C_A.US,5,20131202,164000,0.7100,0.7100,0.7100,0.7100,10000,0
C_A.US,5,20131202,165500,0.7100,0.7100,0.7100,0.7100,19650,0
C_A.US,5,20131202,172000,0.7000,0.7000,0.7000,0.7000,100000,0
C_A.US,5,20131202,172500,0.7000,0.7000,0.7000,0.7000,100000,0
C_A.US,5,20131202,190000,0.7000,0.7000,0.7000,0.7000,6000,0
C_A.US,5,20131202,191500,0.7000,0.7000,0.7000,0.7000,6955,0
C_A.US,5,20131202,203500,0.7000,0.7000,0.7000,0.7000,5700,0
C_A.US,5,20131202,212500,0.7000,0.7000,0.7000,0.7000,100000,0
C_A.US,5,20131203,161000,0.7000,0.7000,0.7000,0.7000,300,0
C_A.US,5,20131203,205000,0.7000,0.7000,0.7000,0.7000,680,0
C_A.US,5,20131204,155000,0.6900,0.6900,0.6900,0.6900,1500,0
C_A.US,5,20131204,163000,0.7000,0.7000,0.7000,0.7000,3500,0
C_A.US,5,20131204,192000,0.6500,0.6500,0.6500,0.6500,500,0
C_A.US,5,20131204,202000,0.6700,0.6700,0.6700,0.6700,500,0
C_A.US,5,20131204,214500,0.6900,0.7000,0.6900,0.7000,10000,0
C_A.US,5,20131204,215000,0.7000,0.7000,0.7000,0.7000,10000,0
C_A.US,5,20131205,175500,0.6800,0.6800,0.6800,0.6800,5000,0
C_A.US,5,20131205,183500,0.6800,0.6800,0.6800,0.6800,15000,0
C_A.US,5,20131205,184500,0.6800,0.6800,0.6800,0.6800,10800,0
C_A.US,5,20131205,191500,0.6800,0.6800,0.6800,0.6800,10200,0
C_A.US,5,20131205,203000,0.6900,0.6900,0.6900,0.6900,3700,0
C_A.US,5,20131205,203500,0.6900,0.6900,0.6900,0.6900,5000,0
C_A.US,5,20131205,215500,0.6800,0.6800,0.6700,0.6700,2700,0
C_A.US,5,20131206,153500,0.6500,0.6500,0.6500,0.6500,100,0
C_A.US,5,20131206,154500,0.6900,0.6900,0.6900,0.6900,500,0
C_A.US,5,20131206,174500,0.6500,0.6500,0.6500,0.6500,1000,0
C_A.US,5,20131206,175000,0.6900,0.6900,0.6900,0.6900,100,0
C_A.US,5,20131206,182500,0.6700,0.6800,0.6700,0.6700,11500,0
C_A.US,5,20131206,184000,0.6700,0.6700,0.6700,0.6700,1000,0
C_A.US,5,20131206,185000,0.6900,0.6900,0.6700,0.6700,1100,0
C_A.US,5,20131206,185500,0.6900,0.6900,0.6900,0.6900,100,0
C_A.US,5,20131206,201000,0.6900,0.6900,0.6700,0.6700,5100,0
C_A.US,5,20131206,201500,0.6700,0.6700,0.6700,0.6700,10000,0
C_A.US,5,20131206,202500,0.6900,0.6900,0.6900,0.6900,1033,0
C_A.US,5,20131206,210000,0.6800,0.6800,0.6700,0.6800,3600,0
C_A.US,5,20131206,210500,0.6700,0.6700,0.6700,0.6700,1000,0
C_A.US,5,20131206,211000,0.6800,0.6800,0.6800,0.6800,180,0
C_A.US,5,20131206,212500,0.6800,0.6800,0.6800,0.6800,30000,0
C_A.US,5,20131206,213500,0.6800,0.6800,0.6800,0.6800,2000,0
C_A.US,5,20131206,215500,0.6700,0.6700,0.6700,0.6700,22600,0
C_A.US,5,20131206,220000,0.6600,0.6700,0.6600,0.6700,52700,0
C_A.US,5,20131209,160000,0.6800,0.6800,0.6800,0.6800,100,0
C_A.US,5,20131209,162000,0.6800,0.6800,0.6800,0.6800,10880,0
C_A.US,5,20131209,163500,0.6600,0.6800,0.6600,0.6800,21400,0
C_A.US,5,20131209,165500,0.6700,0.6900,0.6700,0.6800,85350,0
C_A.US,5,20131209,170000,0.6800,0.6800,0.6700,0.6700,18350,0
C_A.US,5,20131209,170500,0.6700,0.6700,0.6700,0.6700,300,0
C_A.US,5,20131209,172000,0.6800,0.6800,0.6800,0.6800,250000,0
C_A.US,5,20131209,181000,0.6800,0.6800,0.6800,0.6800,200,0
C_A.US,5,20131209,192500,0.6600,0.6600,0.6600,0.6600,6000,0
C_A.US,5,20131209,195500,0.6700,0.6700,0.6700,0.6700,3000,0
C_A.US,5,20131209,200000,0.6500,0.6700,0.6500,0.6700,71820,0
C_A.US,5,20131209,201500,0.6700,0.6700,0.6600,0.6600,40000,0
C_A.US,5,20131209,211000,0.6600,0.6600,0.6600,0.6600,30000,0
C_A.US,5,20131209,212500,0.6500,0.6500,0.6500,0.6500,10000,0
C_A.US,5,20131209,214500,0.6500,0.6500,0.6500,0.6500,16340,0
