<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
C-S.US,5,20131112,153500,24.8300,24.8500,24.8300,24.8500,1444,0
C-S.US,5,20131112,154500,24.8700,24.8700,24.8700,24.8700,200,0
C-S.US,5,20131112,155000,24.8900,24.8900,24.8900,24.8900,100,0
C-S.US,5,20131112,160500,24.8800,24.8800,24.8700,24.8700,600,0
C-S.US,5,20131112,161000,24.8600,24.8600,24.8400,24.8400,4723,0
C-S.US,5,20131112,161500,24.8400,24.8400,24.8300,24.8400,3515,0
C-S.US,5,20131112,162000,24.8400,24.8600,24.8400,24.8600,4377,0
C-S.US,5,20131112,162500,24.8700,24.9100,24.8700,24.9100,1912,0
C-S.US,5,20131112,163000,24.8800,24.9400,24.8800,24.9300,4120,0
C-S.US,5,20131112,164500,24.8900,24.9400,24.8900,24.9400,1112,0
C-S.US,5,20131112,172500,24.8900,24.8900,24.8900,24.8900,357,0
C-S.US,5,20131112,173000,24.8900,24.8900,24.8900,24.8900,324,0
C-S.US,5,20131112,174500,24.8900,24.8900,24.8900,24.8900,139,0
C-S.US,5,20131112,181500,24.8800,24.8900,24.8800,24.8900,1553,0
C-S.US,5,20131112,182000,24.8800,24.8800,24.8600,24.8600,600,0
C-S.US,5,20131112,182500,24.9000,24.9300,24.9000,24.9000,2694,0
C-S.US,5,20131112,183500,24.8600,24.8700,24.8600,24.8700,1012,0
C-S.US,5,20131112,185500,24.9000,24.9000,24.9000,24.9000,136,0
C-S.US,5,20131112,190500,24.9000,24.9000,24.9000,24.9000,180,0
C-S.US,5,20131112,191000,24.9100,24.9200,24.9000,24.9000,1780,0
C-S.US,5,20131112,191500,24.9000,24.9000,24.9000,24.9000,400,0
C-S.US,5,20131112,192500,24.9000,24.9200,24.9000,24.9200,538,0
C-S.US,5,20131112,194000,24.9200,24.9300,24.9200,24.9300,7700,0
C-S.US,5,20131112,194500,24.9100,24.9100,24.9100,24.9100,400,0
C-S.US,5,20131112,200500,24.9000,24.9000,24.9000,24.9000,140,0
C-S.US,5,20131112,201000,24.9000,24.9000,24.8800,24.8800,2800,0
C-S.US,5,20131112,201500,24.8800,24.8800,24.8800,24.8800,2302,0
C-S.US,5,20131112,203000,24.9000,24.9000,24.9000,24.9000,211,0
C-S.US,5,20131112,204500,24.9000,24.9400,24.9000,24.9300,4200,0
C-S.US,5,20131112,205000,24.9300,24.9400,24.9300,24.9300,4222,0
C-S.US,5,20131112,205500,24.9400,24.9400,24.9000,24.9200,5245,0
C-S.US,5,20131112,210000,24.9200,24.9200,24.9200,24.9200,500,0
C-S.US,5,20131112,210500,24.9200,24.9300,24.9200,24.9200,1300,0
C-S.US,5,20131112,212000,24.9200,24.9500,24.9200,24.9500,12163,0
C-S.US,5,20131112,212500,24.9400,24.9600,24.9400,24.9400,6909,0
C-S.US,5,20131112,213500,24.9200,24.9200,24.9200,24.9200,100,0
C-S.US,5,20131112,214000,24.9400,24.9400,24.9400,24.9400,400,0
C-S.US,5,20131112,215500,24.9200,24.9300,24.9200,24.9200,2531,0
C-S.US,5,20131112,220000,24.9300,24.9300,24.9300,24.9300,1200,0
C-S.US,5,20131113,154000,24.9500,24.9500,24.9500,24.9500,500,0
C-S.US,5,20131113,155000,24.9500,24.9500,24.9500,24.9500,100,0
C-S.US,5,20131113,155500,24.9400,24.9500,24.9400,24.9500,500,0
C-S.US,5,20131113,160000,24.9400,24.9400,24.9400,24.9400,666,0
C-S.US,5,20131113,160500,24.9400,24.9400,24.9300,24.9400,3600,0
C-S.US,5,20131113,161000,24.9300,24.9300,24.9300,24.9300,600,0
C-S.US,5,20131113,161500,24.9300,24.9300,24.9300,24.9300,141,0
C-S.US,5,20131113,162000,24.9400,24.9400,24.9300,24.9300,932,0
C-S.US,5,20131113,162500,24.9400,24.9400,24.9400,24.9400,7100,0
C-S.US,5,20131113,163500,24.9400,24.9400,24.9400,24.9400,345,0
C-S.US,5,20131113,164000,24.9300,24.9300,24.9300,24.9300,675,0
C-S.US,5,20131113,164500,24.9400,24.9400,24.9400,24.9400,400,0
C-S.US,5,20131113,170000,24.9300,24.9300,24.9300,24.9300,400,0
C-S.US,5,20131113,170500,24.9300,24.9300,24.9300,24.9300,352,0
C-S.US,5,20131113,171500,24.9400,24.9400,24.9400,24.9400,1034,0
C-S.US,5,20131113,175500,24.9400,24.9400,24.9300,24.9300,3831,0
C-S.US,5,20131113,180500,24.9300,24.9300,24.9300,24.9300,200,0
