<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DATA.US,5,20131112,153500,63.8300,64.0200,63.5400,63.6600,3695,0
DATA.US,5,20131112,154000,63.7100,63.7800,63.5100,63.5100,2299,0
DATA.US,5,20131112,154500,63.4900,63.9800,63.4900,63.9800,4466,0
DATA.US,5,20131112,155000,63.8500,64.1200,63.7100,64.0200,7225,0
DATA.US,5,20131112,155500,64.0200,64.0800,64.0000,64.0000,1410,0
DATA.US,5,20131112,160000,64.0100,64.0600,63.8700,63.8900,10700,0
DATA.US,5,20131112,160500,63.9300,63.9300,63.7000,63.7800,2000,0
DATA.US,5,20131112,161000,63.7200,63.7300,63.6500,63.6800,3968,0
DATA.US,5,20131112,161500,63.6900,63.8400,63.6500,63.8100,4300,0
DATA.US,5,20131112,162000,63.7400,64.1900,63.7400,64.1700,6854,0
DATA.US,5,20131112,162500,64.2800,64.3000,64.0000,64.0000,6000,0
DATA.US,5,20131112,163000,64.0600,64.0600,64.0000,64.0000,500,0
DATA.US,5,20131112,163500,64.0000,64.0200,63.8300,63.8400,4101,0
DATA.US,5,20131112,164000,63.8300,64.1500,63.8300,64.0000,4323,0
DATA.US,5,20131112,164500,64.0700,64.0700,63.7500,63.7500,4000,0
DATA.US,5,20131112,165000,63.7500,63.9500,63.7500,63.9500,4500,0
DATA.US,5,20131112,165500,64.0700,64.2100,64.0700,64.2100,400,0
DATA.US,5,20131112,170000,64.0900,64.2000,64.0300,64.0900,8656,0
DATA.US,5,20131112,170500,64.1100,64.1200,63.9300,63.9300,15775,0
DATA.US,5,20131112,171000,63.9500,64.0100,63.9200,63.9200,3700,0
DATA.US,5,20131112,171500,64.0000,64.0200,63.9800,64.0100,2300,0
DATA.US,5,20131112,172000,63.9800,63.9800,63.8300,63.8300,1100,0
DATA.US,5,20131112,172500,63.8600,64.1600,63.8600,63.8700,12600,0
DATA.US,5,20131112,173000,63.8800,64.0800,63.8800,64.0600,2700,0
DATA.US,5,20131112,173500,64.0100,64.1100,63.9900,64.1100,3900,0
DATA.US,5,20131112,174000,64.0000,64.0000,63.8100,63.8100,2700,0
DATA.US,5,20131112,174500,63.8100,63.9100,63.6700,63.7400,10092,0
DATA.US,5,20131112,175000,63.9400,64.1500,63.8700,63.9200,16115,0
DATA.US,5,20131112,175500,63.9200,64.0300,63.8400,63.9300,9650,0
DATA.US,5,20131112,180000,63.9300,63.9600,63.8500,63.9300,3785,0
DATA.US,5,20131112,180500,63.9000,63.9000,63.9000,63.9000,300,0
DATA.US,5,20131112,181000,63.9700,63.9700,63.7500,63.7500,3697,0
DATA.US,5,20131112,181500,63.8000,63.8400,63.6500,63.8100,24017,0
DATA.US,5,20131112,182000,63.8300,63.8500,63.7600,63.7800,6450,0
DATA.US,5,20131112,182500,63.7900,63.7900,63.4100,63.5500,30320,0
DATA.US,5,20131112,183000,63.5200,63.5200,63.4400,63.4700,3000,0
DATA.US,5,20131112,183500,63.4400,63.6500,63.4300,63.5900,14668,0
DATA.US,5,20131112,184000,63.6000,63.6100,63.4000,63.4000,4839,0
DATA.US,5,20131112,184500,63.4000,63.5100,63.3900,63.4800,6313,0
DATA.US,5,20131112,185000,63.4500,63.4500,63.3900,63.4000,3680,0
DATA.US,5,20131112,185500,63.4900,63.6100,63.4900,63.5300,963,0
DATA.US,5,20131112,190000,63.5000,63.5900,63.4500,63.4500,2301,0
DATA.US,5,20131112,190500,63.5000,63.6100,63.5000,63.5000,7883,0
DATA.US,5,20131112,191000,63.4600,63.5800,63.3800,63.4100,11421,0
DATA.US,5,20131112,191500,63.4100,63.5000,63.4100,63.4900,1956,0
DATA.US,5,20131112,192000,63.5000,63.6400,63.4600,63.4700,10224,0
DATA.US,5,20131112,192500,63.5000,63.5000,63.3900,63.4200,16252,0
DATA.US,5,20131112,193000,63.4900,63.5300,63.4500,63.5300,4700,0
DATA.US,5,20131112,193500,63.4900,63.5500,63.4400,63.4400,3500,0
DATA.US,5,20131112,194000,63.4300,63.5400,63.4300,63.5200,900,0
DATA.US,5,20131112,194500,63.5000,63.5000,63.4400,63.4400,900,0
DATA.US,5,20131112,195000,63.4300,63.4800,63.4300,63.4300,2000,0
DATA.US,5,20131112,195500,63.4300,63.5200,63.3500,63.3600,11955,0
DATA.US,5,20131112,200000,63.3600,63.4200,63.3500,63.4100,5600,0
