<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DB.US,5,20131112,153500,46.0400,46.0600,46.0000,46.0600,39349,0
DB.US,5,20131112,154000,46.0600,46.1600,46.0500,46.1300,15065,0
DB.US,5,20131112,154500,46.1300,46.2000,46.1300,46.2000,22010,0
DB.US,5,20131112,155000,46.2200,46.2300,46.1900,46.1900,6028,0
DB.US,5,20131112,155500,46.1900,46.2600,46.1800,46.2600,8620,0
DB.US,5,20131112,160000,46.2800,46.3000,46.2500,46.2900,6100,0
DB.US,5,20131112,160500,46.3000,46.3500,46.2700,46.2900,9568,0
DB.US,5,20131112,161000,46.3100,46.3400,46.2600,46.3400,5315,0
DB.US,5,20131112,161500,46.3400,46.3600,46.3200,46.3500,3600,0
DB.US,5,20131112,162000,46.3500,46.4100,46.3300,46.4100,19667,0
DB.US,5,20131112,162500,46.4100,46.4200,46.3500,46.3700,9466,0
DB.US,5,20131112,163000,46.3500,46.3800,46.3500,46.3600,4300,0
DB.US,5,20131112,163500,46.3600,46.3700,46.2800,46.2900,10828,0
DB.US,5,20131112,164000,46.3000,46.3200,46.2900,46.3100,3594,0
DB.US,5,20131112,164500,46.2800,46.3000,46.2700,46.2700,6100,0
DB.US,5,20131112,165000,46.2600,46.3100,46.2600,46.2700,5920,0
DB.US,5,20131112,165500,46.2700,46.2700,46.1300,46.1400,6435,0
DB.US,5,20131112,170000,46.1500,46.2100,46.0900,46.1000,24329,0
DB.US,5,20131112,170500,46.1100,46.1600,46.1100,46.1400,9400,0
DB.US,5,20131112,171000,46.1300,46.1700,46.1100,46.1100,4350,0
DB.US,5,20131112,171500,46.1200,46.1900,46.1200,46.1700,7687,0
DB.US,5,20131112,172000,46.1600,46.1900,46.1100,46.1200,5469,0
DB.US,5,20131112,172500,46.1100,46.1500,46.1100,46.1400,3720,0
DB.US,5,20131112,173000,46.1500,46.1500,46.1100,46.1300,10030,0
DB.US,5,20131112,173500,46.1300,46.1400,46.1100,46.1100,13615,0
DB.US,5,20131112,174000,46.1100,46.1100,46.0400,46.0400,15014,0
DB.US,5,20131112,174500,46.0300,46.0300,46.0100,46.0100,4516,0
DB.US,5,20131112,175000,46.0000,46.0000,45.9800,45.9800,8758,0
DB.US,5,20131112,175500,45.9700,45.9800,45.9500,45.9500,2700,0
DB.US,5,20131112,180000,45.9400,45.9400,45.9100,45.9300,10758,0
DB.US,5,20131112,180500,45.9400,45.9900,45.9400,45.9700,11570,0
DB.US,5,20131112,181000,45.9600,45.9700,45.9400,45.9600,5378,0
DB.US,5,20131112,181500,45.9500,45.9900,45.9500,45.9700,11622,0
DB.US,5,20131112,182000,45.9600,45.9900,45.9600,45.9800,3600,0
DB.US,5,20131112,182500,45.9800,45.9900,45.9600,45.9700,8680,0
DB.US,5,20131112,183000,45.9800,45.9800,45.9500,45.9600,3800,0
DB.US,5,20131112,183500,45.9600,45.9800,45.9600,45.9800,11502,0
DB.US,5,20131112,184000,45.9800,46.0000,45.9700,45.9800,1550,0
DB.US,5,20131112,184500,45.9800,45.9800,45.9700,45.9800,6900,0
DB.US,5,20131112,185000,45.9700,46.0000,45.9700,46.0000,7068,0
DB.US,5,20131112,185500,46.0000,46.0300,46.0000,46.0100,6313,0
DB.US,5,20131112,190000,46.0100,46.0200,45.9900,45.9900,2300,0
DB.US,5,20131112,190500,45.9900,45.9900,45.9700,45.9800,4007,0
DB.US,5,20131112,191000,45.9600,45.9900,45.9600,45.9900,4100,0
DB.US,5,20131112,191500,45.9900,46.0300,45.9900,46.0300,30718,0
DB.US,5,20131112,192000,46.0300,46.0700,46.0300,46.0700,11076,0
DB.US,5,20131112,192500,46.0800,46.1000,46.0600,46.0600,6029,0
DB.US,5,20131112,193000,46.0500,46.0600,46.0200,46.0200,2558,0
DB.US,5,20131112,193500,46.0200,46.0300,45.9900,46.0200,4000,0
DB.US,5,20131112,194000,46.0100,46.0200,45.9900,45.9900,9046,0
DB.US,5,20131112,194500,45.9900,46.0000,45.9700,46.0000,5530,0
DB.US,5,20131112,195000,46.0000,46.0100,45.9900,46.0000,2400,0
DB.US,5,20131112,195500,45.9900,45.9900,45.9700,45.9700,5300,0
DB.US,5,20131112,200000,45.9800,45.9800,45.9600,45.9600,1815,0
DB.US,5,20131112,200500,45.9500,45.9600,45.9300,45.9500,6776,0
DB.US,5,20131112,201000,45.9500,45.9500,45.9500,45.9500,1317,0
DB.US,5,20131112,201500,45.9400,45.9900,45.9200,45.9900,22880,0
DB.US,5,20131112,202000,45.9700,45.9700,45.9600,45.9700,700,0
DB.US,5,20131112,202500,45.9800,46.0000,45.9700,45.9700,3400,0
DB.US,5,20131112,203000,45.9600,45.9600,45.9400,45.9400,5050,0
DB.US,5,20131112,203500,45.9400,45.9400,45.9300,45.9400,3000,0
DB.US,5,20131112,204000,45.9300,45.9700,45.9300,45.9700,6683,0
DB.US,5,20131112,204500,45.9600,45.9800,45.9600,45.9800,8093,0
DB.US,5,20131112,205000,45.9700,45.9800,45.9700,45.9800,3300,0
DB.US,5,20131112,205500,45.9800,45.9900,45.9800,45.9800,1520,0
DB.US,5,20131112,210000,45.9900,46.0700,45.9900,46.0600,4435,0
DB.US,5,20131112,210500,46.0500,46.0600,46.0400,46.0600,3215,0
DB.US,5,20131112,211000,46.0400,46.0500,46.0200,46.0500,17150,0
DB.US,5,20131112,211500,46.0500,46.0600,46.0400,46.0600,3619,0
DB.US,5,20131112,212000,46.0500,46.0800,46.0500,46.0800,2460,0
DB.US,5,20131112,212500,46.0700,46.0700,46.0300,46.0300,6046,0
DB.US,5,20131112,213000,46.0400,46.0400,46.0200,46.0300,4619,0
DB.US,5,20131112,213500,46.0200,46.0500,46.0100,46.0500,7200,0
DB.US,5,20131112,214000,46.0500,46.0700,46.0400,46.0400,8644,0
DB.US,5,20131112,214500,46.0500,46.0800,46.0500,46.0800,5778,0
DB.US,5,20131112,215000,46.0800,46.0800,46.0400,46.0500,16306,0
DB.US,5,20131112,215500,46.0400,46.0500,46.0400,46.0400,8325,0
DB.US,5,20131112,220000,46.0500,46.1000,46.0400,46.1000,24013,0
DB.US,5,20131112,220500,46.1100,46.1100,46.1100,46.1100,10947,0
DB.US,5,20131113,153500,45.3200,45.4000,45.3200,45.3400,48199,0
DB.US,5,20131113,154000,45.3400,45.3400,45.2600,45.2700,69258,0
DB.US,5,20131113,154500,45.2800,45.3200,45.2500,45.3100,23367,0
DB.US,5,20131113,155000,45.3100,45.5100,45.2900,45.4900,24798,0
DB.US,5,20131113,155500,45.5000,45.5400,45.4700,45.4900,32205,0
DB.US,5,20131113,160000,45.5000,45.6200,45.4900,45.6200,16340,0
DB.US,5,20131113,160500,45.6400,45.6500,45.5900,45.6000,4526,0
DB.US,5,20131113,161000,45.6100,45.6100,45.4500,45.4600,5843,0
DB.US,5,20131113,161500,45.4700,45.5700,45.4700,45.5700,4100,0
DB.US,5,20131113,162000,45.5900,45.6200,45.5700,45.6000,12862,0
DB.US,5,20131113,162500,45.5900,45.6100,45.5700,45.6100,22820,0
DB.US,5,20131113,163000,45.6300,45.6900,45.6300,45.6800,2438,0
DB.US,5,20131113,163500,45.6900,45.7000,45.6500,45.6700,4100,0
DB.US,5,20131113,164000,45.6700,45.7100,45.6600,45.7000,4673,0
DB.US,5,20131113,164500,45.7000,45.7300,45.6400,45.7300,9557,0
DB.US,5,20131113,165000,45.7400,45.7800,45.7300,45.7600,9110,0
DB.US,5,20131113,165500,45.7700,45.7700,45.7300,45.7300,3100,0
