<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DCUA.US,5,20131112,153500,55.2300,55.2300,55.1100,55.1100,654,0
DCUA.US,5,20131112,154000,55.1100,55.2300,55.1100,55.2200,300,0
DCUA.US,5,20131112,154500,55.1700,55.1700,55.1600,55.1600,200,0
DCUA.US,5,20131112,155000,55.1700,55.1700,55.1600,55.1600,200,0
DCUA.US,5,20131112,160000,55.1700,55.1700,55.1700,55.1700,100,0
DCUA.US,5,20131112,162500,55.2300,55.2300,55.2300,55.2300,100,0
DCUA.US,5,20131112,163000,55.2100,55.2100,55.2100,55.2100,100,0
DCUA.US,5,20131112,180500,55.1900,55.1900,55.1900,55.1900,100,0
DCUA.US,5,20131112,202000,55.1600,55.1600,55.1600,55.1600,100,0
DCUA.US,5,20131112,203500,55.2600,55.2600,55.2600,55.2600,117,0
DCUA.US,5,20131113,153500,55.2400,55.3600,54.9900,54.9900,900,0
DCUA.US,5,20131113,154500,55.0100,55.0100,55.0100,55.0100,300,0
DCUA.US,5,20131113,160500,55.0900,55.0900,55.0900,55.0900,2000,0
DCUA.US,5,20131113,162500,55.2200,55.2200,55.2200,55.2200,2000,0
DCUA.US,5,20131113,163000,55.3000,55.3100,55.3000,55.3100,300,0
DCUA.US,5,20131113,172500,55.3600,55.3600,55.3600,55.3600,100,0
DCUA.US,5,20131113,173000,55.3400,55.3500,55.3400,55.3500,368,0
DCUA.US,5,20131113,181000,55.1000,55.1000,55.1000,55.1000,550,0
DCUA.US,5,20131113,184000,55.3200,55.3200,55.3200,55.3200,300,0
DCUA.US,5,20131113,191500,55.3900,55.3900,55.3900,55.3900,100,0
DCUA.US,5,20131113,192000,55.3500,55.4200,55.3500,55.3600,1600,0
DCUA.US,5,20131113,192500,55.4000,55.4200,55.3500,55.3900,1500,0
DCUA.US,5,20131113,193000,55.3500,55.4500,55.3400,55.4300,800,0
DCUA.US,5,20131113,193500,55.4600,55.4600,55.4100,55.4600,900,0
DCUA.US,5,20131113,194500,55.3800,55.3800,55.3500,55.3500,200,0
DCUA.US,5,20131113,195000,55.3900,55.4300,55.3600,55.4300,600,0
DCUA.US,5,20131113,195500,55.4500,55.4500,55.4000,55.4500,1000,0
DCUA.US,5,20131113,200000,55.4300,55.4600,55.3800,55.3800,1700,0
DCUA.US,5,20131113,200500,55.4400,55.4400,55.3700,55.3700,400,0
DCUA.US,5,20131113,210000,55.4100,55.4200,55.4100,55.4200,800,0
DCUA.US,5,20131113,210500,55.4200,55.5200,55.4000,55.4100,5400,0
DCUA.US,5,20131113,211000,55.4500,55.6000,55.3800,55.5400,102300,0
DCUA.US,5,20131113,211500,55.5500,55.5500,55.5000,55.5000,600,0
DCUA.US,5,20131113,212000,55.5500,55.5500,55.4200,55.5200,100700,0
