<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DDR-K.US,5,20131112,155500,20.8200,20.8200,20.8200,20.8200,2000,0
DDR-K.US,5,20131112,161000,20.7100,20.7100,20.7000,20.7000,400,0
DDR-K.US,5,20131112,164500,20.6800,20.6800,20.6700,20.6700,300,0
DDR-K.US,5,20131112,180500,20.6900,20.6900,20.6600,20.6600,600,0
DDR-K.US,5,20131112,181000,20.6700,20.6700,20.6600,20.6600,400,0
DDR-K.US,5,20131112,185000,20.6600,20.6600,20.6600,20.6600,2000,0
DDR-K.US,5,20131112,185500,20.6600,20.6600,20.5800,20.5800,1489,0
DDR-K.US,5,20131112,193500,20.7300,20.7300,20.7300,20.7300,800,0
DDR-K.US,5,20131112,195000,20.6500,20.6500,20.6500,20.6500,500,0
DDR-K.US,5,20131112,213000,20.6500,20.6500,20.6000,20.6000,1500,0
DDR-K.US,5,20131112,215500,20.6000,20.6000,20.6000,20.6000,146,0
DDR-K.US,5,20131113,155000,20.7300,20.7400,20.7300,20.7400,947,0
DDR-K.US,5,20131113,162000,20.7200,20.7700,20.7200,20.7700,1936,0
DDR-K.US,5,20131113,180000,20.6100,20.7200,20.6100,20.7200,500,0
DDR-K.US,5,20131113,192500,20.6600,20.6600,20.6600,20.6600,200,0
DDR-K.US,5,20131113,194000,20.6300,20.6300,20.6300,20.6300,1000,0
DDR-K.US,5,20131113,201000,20.6600,20.6600,20.6600,20.6600,800,0
DDR-K.US,5,20131113,202500,20.6200,20.6200,20.6100,20.6100,1000,0
DDR-K.US,5,20131113,205000,20.6500,20.6600,20.6400,20.6400,900,0
DDR-K.US,5,20131113,205500,20.6100,20.6100,20.6000,20.6100,5116,0
DDR-K.US,5,20131113,210000,20.6500,20.6500,20.6500,20.6500,100,0
DDR-K.US,5,20131113,210500,20.6400,20.6400,20.6400,20.6400,200,0
DDR-K.US,5,20131113,211000,20.6500,20.6500,20.6500,20.6500,300,0
DDR-K.US,5,20131113,211500,20.6500,20.6500,20.6000,20.6100,921,0
DDR-K.US,5,20131113,212000,20.6100,20.6100,20.6100,20.6100,500,0
DDR-K.US,5,20131113,220000,20.7000,20.7000,20.7000,20.7000,273,0
DDR-K.US,5,20131114,175000,20.6500,20.6500,20.6500,20.6500,200,0
