<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DDT.US,5,20131112,154000,25.2200,25.2200,25.2200,25.2200,500,0
DDT.US,5,20131112,160000,25.1200,25.1700,25.1200,25.1700,400,0
DDT.US,5,20131112,162000,25.3100,25.3100,25.3100,25.3100,175,0
DDT.US,5,20131112,162500,25.2900,25.2900,25.2900,25.2900,175,0
DDT.US,5,20131112,164500,25.4000,25.4000,25.2500,25.2500,575,0
DDT.US,5,20131112,175000,25.2200,25.2200,25.2000,25.2000,1120,0
DDT.US,5,20131112,181000,25.2800,25.2800,25.2800,25.2800,300,0
DDT.US,5,20131112,194500,25.1600,25.1600,25.1600,25.1600,400,0
DDT.US,5,20131113,154500,25.1600,25.1600,25.1600,25.1600,480,0
DDT.US,5,20131113,175500,25.1200,25.1200,25.1200,25.1200,1300,0
DDT.US,5,20131113,181500,25.1200,25.1300,25.1200,25.1300,600,0
DDT.US,5,20131113,190000,25.1300,25.1300,25.1300,25.1300,100,0
DDT.US,5,20131113,192500,25.1400,25.1400,25.1400,25.1400,1500,0
DDT.US,5,20131113,195500,25.1400,25.1400,25.1400,25.1400,1000,0
DDT.US,5,20131113,202000,25.1000,25.1000,25.1000,25.1000,500,0
DDT.US,5,20131113,204000,25.1000,25.1000,25.1000,25.1000,100,0
DDT.US,5,20131113,204500,25.1000,25.1000,25.1000,25.1000,1000,0
DDT.US,5,20131113,210000,25.1000,25.1000,25.1000,25.1000,100,0
DDT.US,5,20131113,210500,25.1600,25.3300,25.1000,25.1500,2584,0
DDT.US,5,20131113,213500,25.1600,25.1600,25.1600,25.1600,700,0
DDT.US,5,20131113,215500,25.1700,25.1700,25.1700,25.1700,300,0
DDT.US,5,20131113,220000,25.1700,25.1700,25.1500,25.1500,700,0
DDT.US,5,20131114,161000,25.1400,25.1400,25.1400,25.1400,100,0
DDT.US,5,20131114,164500,25.2500,25.2500,25.2500,25.2500,200,0
DDT.US,5,20131114,174500,25.1400,25.1400,25.1400,25.1400,210,0
DDT.US,5,20131114,175500,25.1400,25.1500,25.1400,25.1400,850,0
DDT.US,5,20131114,181500,25.2000,25.2000,25.2000,25.2000,480,0
DDT.US,5,20131114,202500,25.1400,25.1500,25.1400,25.1500,1000,0
DDT.US,5,20131114,211000,25.1400,25.1400,25.1400,25.1400,100,0
DDT.US,5,20131114,213500,25.1500,25.1500,25.1500,25.1500,2300,0
DDT.US,5,20131114,214000,25.1900,25.2000,25.1900,25.2000,262,0
DDT.US,5,20131114,215500,25.1500,25.1500,25.1500,25.1500,1500,0
DDT.US,5,20131115,153500,25.2500,25.2500,25.2500,25.2500,200,0
DDT.US,5,20131115,163000,25.0000,25.1300,25.0000,25.0800,12885,0
DDT.US,5,20131115,165000,25.1900,25.1900,25.1700,25.1700,500,0
DDT.US,5,20131115,165500,25.1700,25.1700,25.1700,25.1700,100,0
DDT.US,5,20131115,191500,25.1500,25.1500,25.1500,25.1500,1000,0
DDT.US,5,20131115,194500,25.1600,25.1800,25.1600,25.1800,750,0
DDT.US,5,20131115,203000,25.1600,25.1900,25.1600,25.1800,1500,0
DDT.US,5,20131118,153500,25.1400,25.1500,25.1000,25.1000,985,0
DDT.US,5,20131118,154000,25.1100,25.1100,25.1100,25.1100,110,0
DDT.US,5,20131118,161000,25.1600,25.1600,25.1500,25.1500,900,0
DDT.US,5,20131118,164500,25.1500,25.1500,25.1500,25.1500,400,0
DDT.US,5,20131118,170500,25.1700,25.1700,25.1700,25.1700,800,0
DDT.US,5,20131118,172500,25.1700,25.1700,25.1700,25.1700,185,0
DDT.US,5,20131118,180000,25.1200,25.1200,25.1200,25.1200,227,0
DDT.US,5,20131118,183000,25.1200,25.1200,25.1200,25.1200,164,0
DDT.US,5,20131118,185500,25.1700,25.1700,25.1700,25.1700,100,0
DDT.US,5,20131118,191000,25.1700,25.1800,25.1700,25.1800,600,0
DDT.US,5,20131118,195000,25.1700,25.1700,25.1700,25.1700,700,0
DDT.US,5,20131118,202500,25.1800,25.1800,25.1800,25.1800,250,0
DDT.US,5,20131118,205000,25.1200,25.1200,25.1200,25.1200,300,0
DDT.US,5,20131118,212500,25.1100,25.1100,25.1100,25.1100,100,0
DDT.US,5,20131118,214000,25.1200,25.1200,25.1200,25.1200,141,0
DDT.US,5,20131119,160500,25.1900,25.1900,25.1900,25.1900,100,0
DDT.US,5,20131119,163000,25.1000,25.1800,25.1000,25.1500,1582,0
DDT.US,5,20131119,163500,25.1800,25.1800,25.1800,25.1800,200,0
DDT.US,5,20131119,170000,25.1400,25.1800,25.1400,25.1800,200,0
DDT.US,5,20131119,171000,25.1000,25.1000,25.1000,25.1000,500,0
DDT.US,5,20131119,172000,25.1700,25.1700,25.1700,25.1700,200,0
DDT.US,5,20131119,175500,25.1000,25.1000,25.1000,25.1000,333,0
DDT.US,5,20131119,182000,25.1000,25.1000,25.1000,25.1000,600,0
DDT.US,5,20131119,185500,25.1100,25.1100,25.1100,25.1100,808,0
DDT.US,5,20131119,191500,25.1000,25.1000,25.1000,25.1000,400,0
DDT.US,5,20131119,192000,25.1100,25.1100,25.1100,25.1100,100,0
DDT.US,5,20131119,195000,25.1100,25.1100,25.1000,25.1000,966,0
