<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DE.US,5,20131112,153500,81.6000,81.9400,81.4900,81.9000,42752,0
DE.US,5,20131112,154000,81.9000,81.9100,81.7600,81.8500,18000,0
DE.US,5,20131112,154500,81.8400,81.9400,81.6900,81.9200,49691,0
DE.US,5,20131112,155000,81.9300,82.0100,81.9200,81.9200,22753,0
DE.US,5,20131112,155500,81.8900,81.9200,81.8000,81.8600,46615,0
DE.US,5,20131112,160000,81.8600,82.0400,81.7600,81.9500,48137,0
DE.US,5,20131112,160500,81.9400,81.9400,81.8300,81.8600,29182,0
DE.US,5,20131112,161000,81.8600,81.9600,81.8300,81.9100,35194,0
DE.US,5,20131112,161500,81.9100,81.9900,81.8900,81.9600,24194,0
DE.US,5,20131112,162000,81.9600,82.0900,81.9100,81.9100,117916,0
DE.US,5,20131112,162500,81.9100,81.9600,81.8400,81.8600,34327,0
DE.US,5,20131112,163000,81.8500,81.9800,81.8500,81.9500,19671,0
DE.US,5,20131112,163500,81.9400,81.9700,81.8700,81.9500,11960,0
DE.US,5,20131112,164000,81.9600,82.0000,81.9100,81.9600,37905,0
DE.US,5,20131112,164500,81.9500,82.0100,81.9200,81.9800,14369,0
DE.US,5,20131112,165000,81.9800,81.9900,81.9300,81.9400,25175,0
DE.US,5,20131112,165500,81.9300,81.9700,81.8600,81.9400,32265,0
DE.US,5,20131112,170000,81.9400,81.9600,81.8900,81.9500,27200,0
DE.US,5,20131112,170500,81.9500,81.9700,81.9000,81.9500,19907,0
DE.US,5,20131112,171000,81.9500,81.9500,81.8900,81.9400,16125,0
DE.US,5,20131112,171500,81.9500,82.0000,81.9500,81.9900,25435,0
DE.US,5,20131112,172000,81.9900,82.0500,81.9700,82.0500,14965,0
DE.US,5,20131112,172500,82.0400,82.0700,81.9900,82.0300,20666,0
DE.US,5,20131112,173000,82.0400,82.0400,81.9900,82.0100,22900,0
DE.US,5,20131112,173500,82.0100,82.0400,81.9600,81.9700,22471,0
DE.US,5,20131112,174000,81.9700,81.9800,81.8700,81.8700,16380,0
DE.US,5,20131112,174500,81.8700,81.9800,81.8600,81.8700,68519,0
DE.US,5,20131112,175000,81.8600,81.8800,81.8400,81.8700,23876,0
DE.US,5,20131112,175500,81.8700,81.8800,81.8200,81.8300,18417,0
DE.US,5,20131112,180000,81.8200,81.8300,81.7800,81.8100,15328,0
DE.US,5,20131112,180500,81.8100,81.8500,81.7900,81.8200,16076,0
DE.US,5,20131112,181000,81.8100,81.8200,81.7500,81.8200,19988,0
DE.US,5,20131112,181500,81.8100,81.8600,81.8100,81.8600,19440,0
DE.US,5,20131112,182000,81.8500,81.8600,81.8200,81.8400,11758,0
DE.US,5,20131112,182500,81.8500,81.8700,81.8100,81.8300,16903,0
DE.US,5,20131112,183000,81.8300,81.8300,81.7500,81.7900,17232,0
DE.US,5,20131112,183500,81.7800,81.7900,81.7500,81.7900,20437,0
DE.US,5,20131112,184000,81.7900,81.7900,81.7500,81.7600,18856,0
DE.US,5,20131112,184500,81.7500,81.7800,81.7400,81.7600,12598,0
DE.US,5,20131112,185000,81.7700,81.8100,81.7600,81.7900,12374,0
DE.US,5,20131112,185500,81.7800,81.8100,81.7200,81.7600,30469,0
DE.US,5,20131112,190000,81.7500,81.7600,81.7100,81.7400,19838,0
DE.US,5,20131112,190500,81.7500,81.8300,81.7400,81.8000,20993,0
DE.US,5,20131112,191000,81.8000,81.8300,81.7900,81.8300,20223,0
DE.US,5,20131112,191500,81.8200,81.8800,81.8000,81.8700,23891,0
DE.US,5,20131112,192000,81.8700,81.8700,81.8300,81.8400,18837,0
DE.US,5,20131112,192500,81.8500,81.8500,81.7400,81.7600,21154,0
DE.US,5,20131112,193000,81.7700,81.8100,81.7500,81.7500,34402,0
DE.US,5,20131112,193500,81.7500,81.7800,81.7000,81.7100,19712,0
DE.US,5,20131112,194000,81.7200,81.7200,81.6700,81.7000,20293,0
DE.US,5,20131112,194500,81.6900,81.7200,81.6400,81.7200,20792,0
DE.US,5,20131112,195000,81.7200,81.7500,81.7100,81.7400,22525,0
DE.US,5,20131112,195500,81.7400,81.8300,81.7400,81.8300,28335,0
DE.US,5,20131112,200000,81.8400,81.8500,81.8100,81.8100,14962,0
DE.US,5,20131112,200500,81.8100,81.8900,81.8100,81.8300,32644,0
