<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DFP.US,5,20131112,154000,20.1600,20.1600,20.1600,20.1600,300,0
DFP.US,5,20131112,154500,20.1600,20.1600,20.1600,20.1600,300,0
DFP.US,5,20131112,160000,20.2100,20.2100,20.1400,20.1400,1600,0
DFP.US,5,20131112,162000,20.1300,20.1300,20.1300,20.1300,330,0
DFP.US,5,20131112,162500,20.1300,20.1300,20.1300,20.1300,2000,0
DFP.US,5,20131112,163000,20.1500,20.1500,20.1300,20.1300,2263,0
DFP.US,5,20131112,163500,20.1300,20.1400,20.1300,20.1400,1113,0
DFP.US,5,20131112,164000,20.1500,20.1500,20.1500,20.1500,4280,0
DFP.US,5,20131112,170500,20.2300,20.2300,20.2300,20.2300,816,0
DFP.US,5,20131112,172000,20.1100,20.1100,20.1100,20.1100,1000,0
DFP.US,5,20131112,173000,20.1700,20.2000,20.1700,20.2000,1430,0
DFP.US,5,20131112,173500,20.1300,20.2100,20.1300,20.2100,1085,0
DFP.US,5,20131112,174000,20.1100,20.1100,20.1100,20.1100,400,0
DFP.US,5,20131112,174500,20.1400,20.1500,20.1400,20.1500,800,0
DFP.US,5,20131112,175000,20.1400,20.1500,20.1400,20.1500,535,0
DFP.US,5,20131112,175500,20.1400,20.1500,20.1300,20.1300,2200,0
DFP.US,5,20131112,180000,20.1300,20.1300,20.1100,20.1100,650,0
DFP.US,5,20131112,180500,20.1500,20.1500,20.1500,20.1500,900,0
DFP.US,5,20131112,181500,20.1500,20.1500,20.1500,20.1500,100,0
DFP.US,5,20131112,182500,20.1100,20.1100,20.1100,20.1100,1000,0
DFP.US,5,20131112,183000,20.1100,20.1400,20.1100,20.1400,1170,0
DFP.US,5,20131112,185000,20.1100,20.1600,20.0500,20.0600,4590,0
DFP.US,5,20131112,191000,20.0500,20.0500,19.9200,19.9600,6303,0
DFP.US,5,20131112,191500,19.9900,20.0600,19.9800,20.0600,3221,0
DFP.US,5,20131112,192000,19.9900,20.0900,19.9900,20.0900,1300,0
DFP.US,5,20131112,192500,20.0900,20.0900,20.0900,20.0900,150,0
DFP.US,5,20131112,193000,20.1100,20.1200,20.0000,20.1100,2200,0
DFP.US,5,20131112,193500,20.0000,20.0000,20.0000,20.0000,530,0
DFP.US,5,20131112,194000,20.0900,20.0900,20.0900,20.0900,165,0
DFP.US,5,20131112,195500,20.1000,20.1000,20.1000,20.1000,150,0
DFP.US,5,20131112,201000,20.0800,20.0800,20.0800,20.0800,613,0
DFP.US,5,20131112,202000,20.0000,20.0000,20.0000,20.0000,977,0
DFP.US,5,20131112,202500,20.1000,20.1000,20.1000,20.1000,600,0
DFP.US,5,20131112,203000,19.9800,19.9800,19.9800,19.9800,500,0
DFP.US,5,20131112,203500,19.9800,19.9900,19.9300,19.9300,5500,0
DFP.US,5,20131112,204000,19.9900,19.9900,19.9100,19.9100,3060,0
DFP.US,5,20131112,204500,19.9100,19.9500,19.8600,19.8600,7232,0
DFP.US,5,20131112,205000,19.8500,19.8800,19.8500,19.8800,1425,0
DFP.US,5,20131112,205500,19.9300,19.9300,19.8800,19.8800,3600,0
DFP.US,5,20131112,210000,19.8800,19.9100,19.8800,19.9000,2500,0
DFP.US,5,20131112,210500,19.9000,19.9000,19.8500,19.8500,2300,0
DFP.US,5,20131112,211000,19.8500,19.8500,19.8500,19.8500,1000,0
DFP.US,5,20131112,211500,19.9200,19.9200,19.8700,19.8700,3000,0
DFP.US,5,20131112,212000,19.9000,19.9000,19.8400,19.8500,5777,0
DFP.US,5,20131112,212500,19.8400,19.8800,19.7800,19.8500,6160,0
DFP.US,5,20131112,213000,19.8600,19.8900,19.8600,19.8900,500,0
DFP.US,5,20131112,213500,19.8600,19.9200,19.8600,19.9200,1727,0
DFP.US,5,20131112,214000,19.9100,19.9400,19.8500,19.8500,688,0
DFP.US,5,20131112,214500,19.8500,19.8500,19.8500,19.8500,489,0
DFP.US,5,20131112,215000,19.9000,19.9100,19.9000,19.9100,500,0
DFP.US,5,20131112,215500,19.9500,19.9500,19.9500,19.9500,200,0
DFP.US,5,20131112,220000,19.9500,19.9700,19.8800,19.9200,5276,0
DFP.US,5,20131113,154000,19.9700,20.0300,19.9500,20.0300,3026,0
DFP.US,5,20131113,155000,19.9500,19.9500,19.9500,19.9500,720,0
DFP.US,5,20131113,155500,19.9300,19.9300,19.9300,19.9300,300,0
DFP.US,5,20131113,160000,20.0000,20.0100,19.9800,20.0100,2211,0
