<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DIN.US,5,20131112,153500,81.3900,81.3900,81.0900,81.1000,820,0
DIN.US,5,20131112,154000,81.1000,81.2400,81.1000,81.2400,1100,0
DIN.US,5,20131112,155000,81.0000,81.1900,80.8500,81.0200,800,0
DIN.US,5,20131112,155500,81.1200,81.1400,81.1200,81.1400,200,0
DIN.US,5,20131112,160000,81.0500,81.0700,81.0500,81.0500,700,0
DIN.US,5,20131112,160500,81.0800,81.0800,81.0000,81.0000,400,0
DIN.US,5,20131112,161000,80.8700,80.9500,80.8700,80.9500,400,0
DIN.US,5,20131112,161500,80.9600,81.0000,80.9600,81.0000,400,0
DIN.US,5,20131112,162000,81.0000,81.1200,80.9600,81.1200,700,0
DIN.US,5,20131112,162500,81.0100,81.0100,80.9500,80.9500,400,0
DIN.US,5,20131112,163000,80.9200,80.9600,80.9200,80.9600,400,0
DIN.US,5,20131112,163500,80.9800,80.9800,80.9800,80.9800,100,0
DIN.US,5,20131112,164000,81.0700,81.0800,81.0200,81.0800,700,0
DIN.US,5,20131112,165000,81.1400,81.1400,81.1200,81.1300,979,0
DIN.US,5,20131112,165500,81.1100,81.1400,81.1100,81.1400,200,0
DIN.US,5,20131112,170500,81.1200,81.1300,81.0800,81.0800,400,0
DIN.US,5,20131112,171000,81.0400,81.1200,81.0400,81.0900,500,0
DIN.US,5,20131112,172000,81.2200,81.4200,81.2000,81.4200,500,0
DIN.US,5,20131112,172500,81.3900,81.4000,81.3900,81.4000,550,0
DIN.US,5,20131112,173000,81.3800,81.3800,81.3800,81.3800,500,0
DIN.US,5,20131112,173500,81.4500,81.5500,81.4200,81.5500,700,0
DIN.US,5,20131112,174000,81.4300,81.4300,81.4200,81.4200,200,0
DIN.US,5,20131112,174500,81.0000,81.0700,81.0000,81.0700,900,0
DIN.US,5,20131112,175000,81.1400,81.1500,81.1400,81.1500,300,0
DIN.US,5,20131112,175500,81.1200,81.1700,81.1200,81.1700,200,0
DIN.US,5,20131112,180000,81.2700,81.2700,81.2100,81.2200,800,0
DIN.US,5,20131112,180500,81.1500,81.1500,81.1500,81.1500,400,0
DIN.US,5,20131112,181000,81.1500,81.1500,81.0300,81.1500,700,0
DIN.US,5,20131112,181500,81.0700,81.1500,81.0300,81.1500,300,0
DIN.US,5,20131112,182000,81.2500,81.2500,81.2500,81.2500,100,0
DIN.US,5,20131112,182500,81.2500,81.2500,81.2500,81.2500,100,0
DIN.US,5,20131112,183500,81.2100,81.2100,81.1200,81.1700,500,0
DIN.US,5,20131112,184000,81.2100,81.2100,81.2100,81.2100,100,0
DIN.US,5,20131112,184500,81.3100,81.3100,81.2300,81.3100,400,0
DIN.US,5,20131112,185000,81.3000,81.3400,81.2200,81.3100,2301,0
DIN.US,5,20131112,185500,81.3300,81.3400,81.2200,81.2800,1500,0
DIN.US,5,20131112,190500,81.2300,81.2300,81.2300,81.2300,100,0
DIN.US,5,20131112,192000,81.1600,81.2100,81.1600,81.2100,600,0
DIN.US,5,20131112,193000,81.2200,81.2200,81.1400,81.1500,1700,0
DIN.US,5,20131112,193500,81.1300,81.1500,81.1000,81.1300,1000,0
DIN.US,5,20131112,194000,81.1700,81.2000,81.1700,81.2000,200,0
DIN.US,5,20131112,194500,81.2500,81.2500,81.2500,81.2500,300,0
DIN.US,5,20131112,195000,81.3200,81.3500,81.1400,81.2900,11000,0
DIN.US,5,20131112,195500,81.1400,81.1400,81.1400,81.1400,100,0
DIN.US,5,20131112,200000,81.2600,81.2600,81.1500,81.1500,200,0
DIN.US,5,20131112,201000,81.2600,81.2600,81.1400,81.2400,388,0
DIN.US,5,20131112,201500,81.2700,81.2700,81.2700,81.2700,300,0
DIN.US,5,20131112,202000,81.2800,81.2800,81.2800,81.2800,500,0
DIN.US,5,20131112,202500,81.3600,81.3600,81.3600,81.3600,100,0
DIN.US,5,20131112,203000,81.3600,81.3600,81.3600,81.3600,100,0
DIN.US,5,20131112,204000,81.3500,81.3500,81.3500,81.3500,100,0
DIN.US,5,20131112,205000,81.3600,81.6600,81.3400,81.4800,1772,0
DIN.US,5,20131112,205500,81.4600,81.5500,81.4600,81.5400,550,0
DIN.US,5,20131112,210000,81.5200,81.6000,81.5000,81.5900,600,0
DIN.US,5,20131112,210500,81.6100,81.6400,81.6100,81.6400,350,0
DIN.US,5,20131112,211500,81.6300,81.6900,81.6300,81.6500,600,0
DIN.US,5,20131112,212000,81.6600,81.8000,81.6600,81.7000,600,0
DIN.US,5,20131112,212500,81.7700,81.7700,81.6800,81.7000,800,0
DIN.US,5,20131112,213500,81.7400,81.7400,81.7400,81.7400,100,0
DIN.US,5,20131112,214000,81.6800,81.6800,81.5800,81.5800,1214,0
