<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DLB.US,5,20131112,153500,35.2100,35.3400,35.2100,35.3400,2231,0
DLB.US,5,20131112,154000,35.3400,35.3400,35.2500,35.2800,1900,0
DLB.US,5,20131112,154500,35.2100,35.3300,35.1900,35.3200,4958,0
DLB.US,5,20131112,155000,35.3200,35.3400,35.2700,35.3400,5075,0
DLB.US,5,20131112,155500,35.2900,35.3200,35.2900,35.2900,700,0
DLB.US,5,20131112,160000,35.3100,35.3100,35.2900,35.3000,4472,0
DLB.US,5,20131112,160500,35.3000,35.3000,35.2700,35.2900,4492,0
DLB.US,5,20131112,161000,35.2900,35.3400,35.2800,35.3400,5471,0
DLB.US,5,20131112,161500,35.3400,35.3700,35.3200,35.3700,2556,0
DLB.US,5,20131112,162000,35.3700,35.3800,35.3200,35.3200,1700,0
DLB.US,5,20131112,162500,35.3200,35.3500,35.3000,35.3200,2356,0
DLB.US,5,20131112,163000,35.3200,35.4100,35.3000,35.3600,4224,0
DLB.US,5,20131112,163500,35.3600,35.3800,35.3600,35.3600,421,0
DLB.US,5,20131112,164000,35.3700,35.3900,35.3700,35.3900,729,0
DLB.US,5,20131112,164500,35.4400,35.4600,35.4400,35.4600,2900,0
DLB.US,5,20131112,165000,35.4600,35.4700,35.4600,35.4600,500,0
DLB.US,5,20131112,165500,35.4900,35.4900,35.4600,35.4600,1112,0
DLB.US,5,20131112,170000,35.4600,35.5200,35.4600,35.5000,3246,0
DLB.US,5,20131112,170500,35.5100,35.5100,35.5100,35.5100,1100,0
DLB.US,5,20131112,171000,35.5500,35.5700,35.5200,35.5700,8023,0
DLB.US,5,20131112,171500,35.5700,35.5800,35.5400,35.5400,1546,0
DLB.US,5,20131112,172000,35.5500,35.5700,35.5300,35.5600,2087,0
DLB.US,5,20131112,172500,35.5600,35.6000,35.5600,35.5800,870,0
DLB.US,5,20131112,173000,35.6200,35.6200,35.5700,35.5700,1500,0
DLB.US,5,20131112,173500,35.5900,35.6600,35.5900,35.6600,1297,0
DLB.US,5,20131112,174000,35.6400,35.6400,35.5600,35.5800,1800,0
DLB.US,5,20131112,174500,35.5600,35.5900,35.5000,35.5300,16749,0
DLB.US,5,20131112,175000,35.5300,35.5800,35.4700,35.4700,7002,0
DLB.US,5,20131112,175500,35.4800,35.4800,35.4600,35.4700,600,0
DLB.US,5,20131112,180000,35.5100,35.5300,35.4900,35.5200,2117,0
DLB.US,5,20131112,180500,35.4700,35.5000,35.4600,35.4900,2048,0
DLB.US,5,20131112,181000,35.4600,35.4600,35.3600,35.3600,800,0
DLB.US,5,20131112,181500,35.3600,35.3600,35.3600,35.3600,700,0
DLB.US,5,20131112,182000,35.3700,35.3900,35.3700,35.3900,1000,0
DLB.US,5,20131112,182500,35.3900,35.3900,35.3900,35.3900,100,0
DLB.US,5,20131112,183000,35.3900,35.3900,35.3400,35.3800,2700,0
DLB.US,5,20131112,183500,35.3600,35.3900,35.3600,35.3900,952,0
DLB.US,5,20131112,184000,35.3300,35.4000,35.3300,35.3500,12907,0
DLB.US,5,20131112,184500,35.3800,35.4500,35.3400,35.3600,14731,0
DLB.US,5,20131112,185000,35.3700,35.3900,35.3700,35.3900,600,0
DLB.US,5,20131112,185500,35.3900,35.3900,35.3500,35.3600,1600,0
DLB.US,5,20131112,190000,35.3500,35.3700,35.3500,35.3500,1500,0
DLB.US,5,20131112,190500,35.3600,35.3600,35.3600,35.3600,100,0
DLB.US,5,20131112,191000,35.4100,35.4900,35.4100,35.4700,1200,0
DLB.US,5,20131112,191500,35.4700,35.5100,35.4700,35.5100,1230,0
DLB.US,5,20131112,192000,35.5100,35.5300,35.4500,35.5000,9400,0
DLB.US,5,20131112,192500,35.5300,35.5300,35.4900,35.4900,1215,0
DLB.US,5,20131112,193000,35.4900,35.4900,35.4500,35.4800,500,0
DLB.US,5,20131112,193500,35.4500,35.4500,35.3500,35.4200,2600,0
DLB.US,5,20131112,194000,35.3900,35.4100,35.3800,35.3800,5056,0
DLB.US,5,20131112,194500,35.3800,35.4300,35.3800,35.4300,1300,0
DLB.US,5,20131112,195000,35.4000,35.5100,35.4000,35.5100,1700,0
DLB.US,5,20131112,195500,35.5100,35.5100,35.4900,35.4900,700,0
DLB.US,5,20131112,200000,35.5000,35.5100,35.5000,35.5000,1070,0
DLB.US,5,20131112,200500,35.5000,35.5000,35.4600,35.4600,1066,0
DLB.US,5,20131112,201000,35.4500,35.4600,35.4500,35.4600,800,0
DLB.US,5,20131112,201500,35.4600,35.5100,35.4600,35.4600,1700,0
