<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DLPH.US,5,20131112,153500,54.7000,54.8000,54.5700,54.7900,11568,0
DLPH.US,5,20131112,154000,54.7500,54.8100,54.6200,54.7200,14888,0
DLPH.US,5,20131112,154500,54.7200,54.8400,54.6800,54.7500,14859,0
DLPH.US,5,20131112,155000,54.7400,54.8100,54.6900,54.7600,11400,0
DLPH.US,5,20131112,155500,54.7700,54.8300,54.7600,54.8000,18402,0
DLPH.US,5,20131112,160000,54.7800,54.8100,54.6900,54.7200,24800,0
DLPH.US,5,20131112,160500,54.7500,54.8000,54.6700,54.7000,26333,0
DLPH.US,5,20131112,161000,54.7200,54.7900,54.6800,54.7500,20476,0
DLPH.US,5,20131112,161500,54.7400,54.7800,54.6900,54.7400,29249,0
DLPH.US,5,20131112,162000,54.7500,54.8100,54.7000,54.7700,32659,0
DLPH.US,5,20131112,162500,54.8000,54.8000,54.6900,54.7800,11361,0
DLPH.US,5,20131112,163000,54.7900,54.8300,54.7700,54.8100,28337,0
DLPH.US,5,20131112,163500,54.8100,54.8600,54.7600,54.8200,27956,0
DLPH.US,5,20131112,164000,54.8300,54.9200,54.8100,54.9200,17255,0
DLPH.US,5,20131112,164500,54.9300,55.0200,54.9300,54.9800,31323,0
DLPH.US,5,20131112,165000,54.9800,55.0200,54.9600,55.0000,16997,0
DLPH.US,5,20131112,165500,55.0000,55.0200,54.9600,54.9900,19630,0
DLPH.US,5,20131112,170000,55.0000,55.0400,54.9600,54.9900,26884,0
DLPH.US,5,20131112,170500,55.0100,55.0500,54.9900,55.0300,14150,0
DLPH.US,5,20131112,171000,55.0200,55.0200,54.9900,55.0200,12400,0
DLPH.US,5,20131112,171500,55.0200,55.1400,55.0200,55.0900,13300,0
DLPH.US,5,20131112,172000,55.1000,55.1600,55.0900,55.1200,13656,0
DLPH.US,5,20131112,172500,55.1200,55.1800,55.0600,55.1700,17135,0
DLPH.US,5,20131112,173000,55.1600,55.2300,55.1400,55.2300,18341,0
DLPH.US,5,20131112,173500,55.2100,55.2300,55.1500,55.2000,28271,0
DLPH.US,5,20131112,174000,55.1900,55.2000,55.1300,55.1500,19355,0
DLPH.US,5,20131112,174500,55.1600,55.1800,55.1000,55.1200,23350,0
DLPH.US,5,20131112,175000,55.1200,55.1400,54.9900,55.0200,30002,0
DLPH.US,5,20131112,175500,55.0200,55.0800,54.9900,55.0400,17450,0
DLPH.US,5,20131112,180000,55.0400,55.0500,54.9700,55.0000,22509,0
DLPH.US,5,20131112,180500,55.0100,55.1000,54.9900,55.0100,8820,0
DLPH.US,5,20131112,181000,55.0200,55.0200,54.9700,54.9800,29906,0
DLPH.US,5,20131112,181500,54.9800,55.0500,54.9600,55.0400,14844,0
DLPH.US,5,20131112,182000,55.0400,55.0800,55.0000,55.0700,15039,0
DLPH.US,5,20131112,182500,55.0800,55.1100,55.0600,55.0900,14620,0
DLPH.US,5,20131112,183000,55.0700,55.1300,55.0700,55.1000,10000,0
DLPH.US,5,20131112,183500,55.1100,55.1100,55.0300,55.1000,8893,0
DLPH.US,5,20131112,184000,55.1100,55.1100,55.0300,55.0900,5407,0
DLPH.US,5,20131112,184500,55.1000,55.1000,55.0600,55.0800,4792,0
DLPH.US,5,20131112,185000,55.0900,55.1000,55.0500,55.0800,7300,0
DLPH.US,5,20131112,185500,55.0500,55.0700,54.9700,54.9800,9847,0
DLPH.US,5,20131112,190000,54.9800,54.9900,54.9400,54.9500,8590,0
DLPH.US,5,20131112,190500,54.9400,54.9400,54.8900,54.8900,8300,0
DLPH.US,5,20131112,191000,54.9000,54.9900,54.9000,54.9700,26870,0
DLPH.US,5,20131112,191500,54.9900,55.0000,54.9400,54.9400,33933,0
DLPH.US,5,20131112,192000,54.9500,54.9900,54.9500,54.9900,5740,0
DLPH.US,5,20131112,192500,54.9900,55.0000,54.9400,54.9500,10953,0
DLPH.US,5,20131112,193000,54.9600,54.9800,54.9100,54.9400,24406,0
DLPH.US,5,20131112,193500,54.9400,54.9500,54.9000,54.9000,24916,0
DLPH.US,5,20131112,194000,54.8900,54.9200,54.8700,54.8700,15660,0
DLPH.US,5,20131112,194500,54.8700,54.9100,54.8700,54.9000,16005,0
DLPH.US,5,20131112,195000,54.9000,54.9200,54.8900,54.9100,11093,0
DLPH.US,5,20131112,195500,54.9100,54.9100,54.8700,54.8800,13583,0
DLPH.US,5,20131112,200000,54.8900,54.9000,54.8700,54.8700,22057,0
DLPH.US,5,20131112,200500,54.8800,54.8800,54.8200,54.8300,22993,0
DLPH.US,5,20131112,201000,54.8300,54.8500,54.7900,54.8200,78724,0
DLPH.US,5,20131112,201500,54.8200,54.8300,54.8100,54.8300,13200,0
DLPH.US,5,20131112,202000,54.8300,54.8400,54.8000,54.8200,26970,0
