<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DPS.US,5,20131112,153500,47.7500,47.7500,47.6000,47.7100,20234,0
DPS.US,5,20131112,154000,47.7100,47.7700,47.7000,47.7400,10835,0
DPS.US,5,20131112,154500,47.7100,47.7600,47.7000,47.7100,10345,0
DPS.US,5,20131112,155000,47.7500,47.7500,47.5900,47.5900,10311,0
DPS.US,5,20131112,155500,47.6000,47.6400,47.5900,47.6300,11181,0
DPS.US,5,20131112,160000,47.6300,47.6300,47.4800,47.4800,55097,0
DPS.US,5,20131112,160500,47.4900,47.5400,47.4800,47.5000,8476,0
DPS.US,5,20131112,161000,47.5000,47.6200,47.4900,47.6000,19942,0
DPS.US,5,20131112,161500,47.5900,47.6900,47.5900,47.6900,3638,0
DPS.US,5,20131112,162000,47.6800,47.7500,47.6600,47.7400,8806,0
DPS.US,5,20131112,162500,47.7300,47.7300,47.6500,47.6600,18581,0
DPS.US,5,20131112,163000,47.6600,47.6700,47.6200,47.6200,11597,0
DPS.US,5,20131112,163500,47.6300,47.6600,47.6300,47.6500,12450,0
DPS.US,5,20131112,164000,47.6600,47.6600,47.5800,47.5900,9089,0
DPS.US,5,20131112,164500,47.6000,47.6200,47.5100,47.5500,34800,0
DPS.US,5,20131112,165000,47.5500,47.6000,47.5100,47.5700,12900,0
DPS.US,5,20131112,165500,47.5800,47.6500,47.5800,47.6500,2676,0
DPS.US,5,20131112,170000,47.6500,47.6500,47.5700,47.5800,12299,0
DPS.US,5,20131112,170500,47.5800,47.6000,47.5500,47.6000,9435,0
DPS.US,5,20131112,171000,47.6000,47.6300,47.5900,47.6300,5271,0
DPS.US,5,20131112,171500,47.6300,47.6500,47.6100,47.6200,8180,0
DPS.US,5,20131112,172000,47.6300,47.6400,47.6300,47.6300,7101,0
DPS.US,5,20131112,172500,47.6300,47.6400,47.6100,47.6100,9996,0
DPS.US,5,20131112,173000,47.6100,47.6200,47.5800,47.6100,7700,0
DPS.US,5,20131112,173500,47.6200,47.6300,47.5900,47.5900,9221,0
DPS.US,5,20131112,174000,47.5900,47.5900,47.5000,47.5000,8800,0
DPS.US,5,20131112,174500,47.5100,47.5300,47.4900,47.5200,6995,0
DPS.US,5,20131112,175000,47.5200,47.5600,47.5100,47.5200,7536,0
DPS.US,5,20131112,175500,47.5300,47.5300,47.5100,47.5100,6000,0
DPS.US,5,20131112,180000,47.5200,47.5400,47.5100,47.5300,6241,0
DPS.US,5,20131112,180500,47.5200,47.5700,47.5200,47.5600,6300,0
DPS.US,5,20131112,181000,47.5700,47.5700,47.4800,47.5000,4400,0
DPS.US,5,20131112,181500,47.5100,47.5400,47.5100,47.5400,2725,0
DPS.US,5,20131112,182000,47.5300,47.5300,47.4900,47.5300,7300,0
DPS.US,5,20131112,182500,47.5300,47.5300,47.5100,47.5300,7400,0
DPS.US,5,20131112,183000,47.5300,47.5300,47.5000,47.5000,4413,0
DPS.US,5,20131112,183500,47.5000,47.5100,47.4800,47.4900,7865,0
DPS.US,5,20131112,184000,47.4900,47.5200,47.4700,47.5000,24139,0
DPS.US,5,20131112,184500,47.5000,47.5400,47.4900,47.5400,1665,0
DPS.US,5,20131112,185000,47.5300,47.5700,47.5100,47.5600,9984,0
DPS.US,5,20131112,185500,47.5700,47.5900,47.5700,47.5900,3000,0
DPS.US,5,20131112,190000,47.5900,47.6200,47.5900,47.6200,12445,0
DPS.US,5,20131112,190500,47.6200,47.6200,47.5900,47.5900,4600,0
DPS.US,5,20131112,191000,47.6100,47.6100,47.5800,47.5800,4100,0
DPS.US,5,20131112,191500,47.5900,47.6100,47.5900,47.6000,2680,0
DPS.US,5,20131112,192000,47.6000,47.6200,47.5700,47.6100,26959,0
DPS.US,5,20131112,192500,47.6100,47.6500,47.6000,47.6400,5926,0
DPS.US,5,20131112,193000,47.6400,47.6500,47.6100,47.6100,6400,0
DPS.US,5,20131112,193500,47.6100,47.6100,47.5400,47.5600,9913,0
DPS.US,5,20131112,194000,47.5500,47.5700,47.5400,47.5700,6208,0
DPS.US,5,20131112,194500,47.5700,47.5800,47.5600,47.5800,3185,0
DPS.US,5,20131112,195000,47.5800,47.5800,47.5600,47.5800,4896,0
DPS.US,5,20131112,195500,47.5900,47.6200,47.5900,47.6200,22545,0
DPS.US,5,20131112,200000,47.6200,47.7100,47.6200,47.7000,31935,0
DPS.US,5,20131112,200500,47.7000,47.7200,47.6900,47.7100,19767,0
DPS.US,5,20131112,201000,47.7100,47.7100,47.6800,47.7000,5300,0
DPS.US,5,20131112,201500,47.7100,47.7700,47.7100,47.7700,12241,0
DPS.US,5,20131112,202000,47.7700,47.7900,47.7700,47.7900,5352,0
DPS.US,5,20131112,202500,47.7800,47.8300,47.7800,47.8100,10221,0
DPS.US,5,20131112,203000,47.8000,47.8100,47.7500,47.7700,22296,0
DPS.US,5,20131112,203500,47.7800,47.8100,47.7700,47.8100,6714,0
DPS.US,5,20131112,204000,47.8100,47.8500,47.7900,47.7900,10800,0
DPS.US,5,20131112,204500,47.8000,47.8000,47.7800,47.7900,7400,0
DPS.US,5,20131112,205000,47.7900,47.8200,47.7900,47.8200,11060,0
DPS.US,5,20131112,205500,47.8300,47.8400,47.8200,47.8300,6267,0
DPS.US,5,20131112,210000,47.8300,47.8700,47.8100,47.8600,11142,0
DPS.US,5,20131112,210500,47.8700,47.9000,47.8700,47.8800,10315,0
DPS.US,5,20131112,211000,47.8900,47.8900,47.8700,47.8700,7178,0
DPS.US,5,20131112,211500,47.8700,47.9000,47.8700,47.8800,14818,0
DPS.US,5,20131112,212000,47.8900,47.8900,47.8700,47.8800,15851,0
DPS.US,5,20131112,212500,47.8800,47.9200,47.8700,47.9000,25550,0
DPS.US,5,20131112,213000,47.9100,47.9400,47.9000,47.9100,24926,0
DPS.US,5,20131112,213500,47.9000,47.9100,47.8900,47.8900,10829,0
DPS.US,5,20131112,214000,47.9000,47.9300,47.8900,47.9000,21649,0
DPS.US,5,20131112,214500,47.9100,47.9500,47.9000,47.9300,20785,0
DPS.US,5,20131112,215000,47.9400,47.9500,47.9100,47.9200,19853,0
DPS.US,5,20131112,215500,47.9300,47.9300,47.9000,47.9100,21632,0
DPS.US,5,20131112,220000,47.9100,47.9900,47.9000,47.9400,61868,0
DPS.US,5,20131112,220500,47.9400,47.9400,47.9400,47.9400,41268,0
DPS.US,5,20131113,153500,47.6500,47.8800,47.6200,47.6900,20083,0
DPS.US,5,20131113,154000,47.7300,47.8000,47.7000,47.7000,16500,0
DPS.US,5,20131113,154500,47.7000,47.7000,47.5900,47.6500,12314,0
DPS.US,5,20131113,155000,47.6800,47.7800,47.6700,47.7500,11830,0
DPS.US,5,20131113,155500,47.7500,47.7700,47.7000,47.7600,15918,0
DPS.US,5,20131113,160000,47.7700,47.8300,47.7400,47.7800,15014,0
DPS.US,5,20131113,160500,47.8100,47.8200,47.7400,47.8100,18610,0
DPS.US,5,20131113,161000,47.8100,47.8400,47.7500,47.7500,4725,0
DPS.US,5,20131113,161500,47.7600,47.8200,47.6900,47.7100,8836,0
DPS.US,5,20131113,162000,47.7100,47.7100,47.6700,47.6700,7814,0
DPS.US,5,20131113,162500,47.6700,47.6800,47.6200,47.6500,11231,0
DPS.US,5,20131113,163000,47.6500,47.6600,47.6100,47.6500,10560,0
DPS.US,5,20131113,163500,47.6500,47.7000,47.6000,47.6300,8751,0
DPS.US,5,20131113,164000,47.6400,47.6900,47.6300,47.6900,13125,0
DPS.US,5,20131113,164500,47.6800,47.7000,47.6100,47.6900,14407,0
DPS.US,5,20131113,165000,47.7000,47.7100,47.6500,47.7000,9855,0
DPS.US,5,20131113,165500,47.7000,47.7100,47.6500,47.6500,12568,0
DPS.US,5,20131113,170000,47.6500,47.6500,47.6300,47.6300,6193,0
DPS.US,5,20131113,170500,47.6400,47.6400,47.5800,47.5800,13566,0
DPS.US,5,20131113,171000,47.5900,47.6100,47.5900,47.6100,6563,0
DPS.US,5,20131113,171500,47.6100,47.6100,47.5900,47.5900,8378,0
DPS.US,5,20131113,172000,47.5800,47.5800,47.5600,47.5600,5349,0
DPS.US,5,20131113,172500,47.5600,47.5900,47.5600,47.5800,7508,0
DPS.US,5,20131113,173000,47.5900,47.6100,47.5700,47.6000,8178,0
DPS.US,5,20131113,173500,47.5900,47.6100,47.5600,47.5600,6950,0
DPS.US,5,20131113,174000,47.5600,47.5800,47.5500,47.5500,5328,0
DPS.US,5,20131113,174500,47.5500,47.5500,47.5000,47.5000,6398,0
DPS.US,5,20131113,175000,47.5200,47.5300,47.5000,47.5100,3900,0
DPS.US,5,20131113,175500,47.5200,47.5200,47.5000,47.5000,2588,0
DPS.US,5,20131113,180000,47.5100,47.5400,47.5000,47.5300,3600,0
DPS.US,5,20131113,180500,47.5200,47.5300,47.5100,47.5300,6384,0
DPS.US,5,20131113,181000,47.5300,47.5300,47.5100,47.5100,4434,0
DPS.US,5,20131113,181500,47.5100,47.5100,47.4800,47.4800,4900,0
DPS.US,5,20131113,182000,47.4700,47.4900,47.4700,47.4900,7692,0
DPS.US,5,20131113,182500,47.4800,47.5300,47.4800,47.5300,7275,0
DPS.US,5,20131113,183000,47.5400,47.5800,47.5300,47.5600,6470,0
DPS.US,5,20131113,183500,47.5700,47.6100,47.5600,47.5900,18931,0
DPS.US,5,20131113,184000,47.6000,47.6300,47.5900,47.6200,5600,0
DPS.US,5,20131113,184500,47.6300,47.6800,47.6300,47.6800,4360,0
DPS.US,5,20131113,185000,47.6800,47.7200,47.6800,47.7200,4994,0
DPS.US,5,20131113,185500,47.7200,47.7200,47.7100,47.7200,3078,0
DPS.US,5,20131113,190000,47.7200,47.7700,47.7200,47.7600,8483,0
DPS.US,5,20131113,190500,47.7600,47.7900,47.7300,47.7900,10692,0
DPS.US,5,20131113,191000,47.7900,47.8200,47.7900,47.8200,4800,0
DPS.US,5,20131113,191500,47.8100,47.8700,47.8100,47.8600,6316,0
DPS.US,5,20131113,192000,47.8600,47.8700,47.8500,47.8500,4339,0
DPS.US,5,20131113,192500,47.8600,47.9000,47.8600,47.8900,4317,0
DPS.US,5,20131113,193000,47.8900,47.9800,47.8900,47.9800,9592,0
DPS.US,5,20131113,193500,47.9800,47.9900,47.9700,47.9900,7900,0
DPS.US,5,20131113,194000,47.9900,48.0000,47.9100,47.9100,12791,0
DPS.US,5,20131113,194500,47.9000,47.9100,47.8700,47.8900,6118,0
DPS.US,5,20131113,195000,47.9000,47.9600,47.9000,47.9500,5576,0
DPS.US,5,20131113,195500,47.9600,47.9900,47.9600,47.9900,5420,0
DPS.US,5,20131113,200000,47.9900,48.0000,47.9800,47.9800,4600,0
DPS.US,5,20131113,200500,47.9900,48.0400,47.9900,48.0400,20485,0
DPS.US,5,20131113,201000,48.0400,48.0800,48.0400,48.0600,9085,0
DPS.US,5,20131113,201500,48.0600,48.0900,48.0600,48.0700,13327,0
DPS.US,5,20131113,202000,48.0700,48.0800,48.0600,48.0800,6618,0
DPS.US,5,20131113,202500,48.0800,48.1100,48.0800,48.1100,2787,0
DPS.US,5,20131113,203000,48.1200,48.1200,48.1100,48.1100,6063,0
DPS.US,5,20131113,203500,48.1200,48.1200,48.1000,48.1100,2200,0
DPS.US,5,20131113,204000,48.1100,48.1100,48.0500,48.0500,6118,0
DPS.US,5,20131113,204500,48.0400,48.0400,47.9700,47.9700,6611,0
DPS.US,5,20131113,205000,47.9700,47.9700,47.9700,47.9700,1030,0
DPS.US,5,20131113,205500,47.9700,48.0300,47.9700,48.0100,13801,0
DPS.US,5,20131113,210000,48.0200,48.0200,48.0000,48.0000,5700,0
