<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DRE-K.US,5,20131112,160500,23.3900,23.3900,23.3900,23.3900,500,0
DRE-K.US,5,20131112,161000,23.3900,23.4100,23.2800,23.4100,970,0
DRE-K.US,5,20131112,161500,23.4000,23.4000,23.4000,23.4000,1000,0
DRE-K.US,5,20131112,170500,23.4100,23.4100,23.4100,23.4100,1600,0
DRE-K.US,5,20131112,171000,23.4200,23.4200,23.4200,23.4200,100,0
DRE-K.US,5,20131112,194000,23.4600,23.4600,23.4600,23.4600,800,0
DRE-K.US,5,20131112,194500,23.4100,23.4100,23.4100,23.4100,396,0
DRE-K.US,5,20131112,200000,23.4600,23.4600,23.4600,23.4600,600,0
DRE-K.US,5,20131112,205000,23.4600,23.4600,23.4600,23.4600,463,0
DRE-K.US,5,20131112,210000,23.4100,23.4100,23.4100,23.4100,492,0
DRE-K.US,5,20131112,210500,23.4600,23.4600,23.4600,23.4600,374,0
DRE-K.US,5,20131112,211500,23.6700,23.6800,23.6700,23.6800,844,0
DRE-K.US,5,20131113,161500,23.3100,23.3200,23.2900,23.3200,1000,0
DRE-K.US,5,20131113,164000,23.3000,23.3000,23.3000,23.3000,151,0
DRE-K.US,5,20131113,170000,23.3000,23.3000,23.3000,23.3000,100,0
DRE-K.US,5,20131113,174000,23.2900,23.2900,23.2900,23.2900,900,0
DRE-K.US,5,20131113,182000,23.3300,23.4100,23.3100,23.4100,500,0
DRE-K.US,5,20131113,205500,23.4100,23.4100,23.4100,23.4100,481,0
DRE-K.US,5,20131113,211500,23.4100,23.4100,23.4100,23.4100,840,0
DRE-K.US,5,20131113,212500,23.3600,23.3600,23.3600,23.3600,200,0
DRE-K.US,5,20131113,214000,23.3400,23.3400,23.3000,23.3000,780,0
DRE-K.US,5,20131113,214500,23.3000,23.3000,23.3000,23.3000,100,0
DRE-K.US,5,20131113,220000,23.2900,23.2900,23.2900,23.2900,680,0
DRE-K.US,5,20131114,155000,23.4000,23.4000,23.4000,23.4000,300,0
