<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DRH.US,5,20131112,153500,11.3100,11.3600,11.3100,11.3600,22628,0
DRH.US,5,20131112,154000,11.3600,11.4200,11.3500,11.4200,7273,0
DRH.US,5,20131112,154500,11.4100,11.4200,11.3900,11.3900,7996,0
DRH.US,5,20131112,155000,11.3900,11.3900,11.3400,11.3500,2600,0
DRH.US,5,20131112,155500,11.3400,11.3800,11.3200,11.3800,64591,0
DRH.US,5,20131112,160000,11.3800,11.3900,11.3600,11.3800,8557,0
DRH.US,5,20131112,160500,11.3700,11.3800,11.3500,11.3600,5118,0
DRH.US,5,20131112,161000,11.3600,11.3700,11.3600,11.3700,16089,0
DRH.US,5,20131112,161500,11.3700,11.3900,11.3600,11.3700,23909,0
DRH.US,5,20131112,162000,11.3600,11.4000,11.3600,11.4000,14786,0
DRH.US,5,20131112,162500,11.4000,11.4600,11.3900,11.4600,69840,0
DRH.US,5,20131112,163000,11.4500,11.4600,11.4500,11.4600,3524,0
DRH.US,5,20131112,163500,11.4600,11.4700,11.4400,11.4500,12301,0
DRH.US,5,20131112,164000,11.4400,11.4400,11.4100,11.4200,8699,0
DRH.US,5,20131112,164500,11.4100,11.4200,11.4100,11.4200,6100,0
DRH.US,5,20131112,165000,11.4100,11.4200,11.3800,11.3800,13553,0
DRH.US,5,20131112,165500,11.3700,11.3800,11.3300,11.3500,30582,0
DRH.US,5,20131112,170000,11.3400,11.3500,11.3100,11.3200,4963,0
DRH.US,5,20131112,170500,11.3100,11.3200,11.3100,11.3200,13516,0
DRH.US,5,20131112,171000,11.3200,11.3600,11.3100,11.3400,55615,0
DRH.US,5,20131112,171500,11.3400,11.3800,11.3400,11.3800,46054,0
DRH.US,5,20131112,172000,11.3800,11.3900,11.3800,11.3900,5100,0
DRH.US,5,20131112,172500,11.3900,11.3900,11.3900,11.3900,1919,0
DRH.US,5,20131112,173000,11.3900,11.3900,11.3700,11.3700,12958,0
DRH.US,5,20131112,173500,11.3700,11.3800,11.3500,11.3600,12646,0
DRH.US,5,20131112,174000,11.3600,11.3700,11.3200,11.3200,10845,0
DRH.US,5,20131112,174500,11.3300,11.3500,11.3300,11.3300,15589,0
DRH.US,5,20131112,175000,11.3400,11.3700,11.3300,11.3700,62091,0
