<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DUKH.US,5,20131112,153500,21.1200,21.1200,21.1200,21.1200,400,0
DUKH.US,5,20131112,154000,21.1200,21.1200,21.1200,21.1200,800,0
DUKH.US,5,20131112,154500,21.1800,21.1800,21.0900,21.1000,6285,0
DUKH.US,5,20131112,155000,21.0900,21.0900,21.0900,21.0900,2640,0
DUKH.US,5,20131112,155500,21.1000,21.1500,21.0700,21.1300,3320,0
DUKH.US,5,20131112,160000,21.1000,21.1400,21.1000,21.1400,200,0
DUKH.US,5,20131112,160500,21.0800,21.1000,21.0800,21.1000,1000,0
DUKH.US,5,20131112,161500,21.0700,21.0900,21.0700,21.0700,700,0
DUKH.US,5,20131112,162000,21.0700,21.0700,21.0700,21.0700,369,0
DUKH.US,5,20131112,162500,21.1100,21.1300,21.1100,21.1300,600,0
DUKH.US,5,20131112,163000,21.1200,21.1300,21.1100,21.1300,800,0
DUKH.US,5,20131112,164500,21.1100,21.1100,21.1100,21.1100,100,0
DUKH.US,5,20131112,171500,21.1400,21.1500,21.1400,21.1500,900,0
DUKH.US,5,20131112,172500,21.1400,21.1400,21.1400,21.1400,102,0
DUKH.US,5,20131112,174000,21.0800,21.0800,21.0500,21.0500,1904,0
DUKH.US,5,20131112,174500,21.1000,21.1000,21.0500,21.0500,3000,0
DUKH.US,5,20131112,175500,21.0600,21.0600,21.0600,21.0600,116,0
DUKH.US,5,20131112,180000,21.0500,21.0500,21.0500,21.0500,116,0
DUKH.US,5,20131112,181000,21.0900,21.0900,21.0500,21.0500,228,0
DUKH.US,5,20131112,181500,21.0500,21.0500,21.0500,21.0500,200,0
DUKH.US,5,20131112,185000,21.0300,21.0300,21.0300,21.0300,400,0
DUKH.US,5,20131112,190000,21.0300,21.0500,21.0200,21.0500,1200,0
DUKH.US,5,20131112,192000,21.0500,21.0500,20.9900,20.9900,2120,0
DUKH.US,5,20131112,192500,20.9900,20.9900,20.9900,20.9900,170,0
DUKH.US,5,20131112,193000,20.9900,20.9900,20.9900,20.9900,400,0
DUKH.US,5,20131112,194000,21.0100,21.0100,21.0000,21.0000,200,0
DUKH.US,5,20131112,194500,21.0400,21.0400,20.9500,20.9500,6980,0
DUKH.US,5,20131112,195500,20.9800,20.9800,20.9500,20.9500,5200,0
DUKH.US,5,20131112,200000,21.0300,21.0300,21.0300,21.0300,600,0
DUKH.US,5,20131112,200500,20.9600,20.9700,20.9600,20.9700,500,0
DUKH.US,5,20131112,202000,21.0000,21.0000,21.0000,21.0000,200,0
DUKH.US,5,20131112,202500,20.9600,20.9600,20.9600,20.9600,155,0
DUKH.US,5,20131112,204500,21.0300,21.0300,20.9600,20.9600,2963,0
DUKH.US,5,20131112,205000,20.9700,20.9700,20.9700,20.9700,122,0
DUKH.US,5,20131112,210000,21.0000,21.0000,21.0000,21.0000,200,0
DUKH.US,5,20131112,211000,20.9600,20.9700,20.9500,20.9600,2840,0
DUKH.US,5,20131112,211500,20.9600,20.9600,20.9000,20.9000,1956,0
DUKH.US,5,20131112,212000,20.9000,20.9000,20.9000,20.9000,400,0
DUKH.US,5,20131112,212500,20.9000,20.9500,20.8600,20.8600,1123,0
DUKH.US,5,20131112,213000,20.9500,20.9500,20.9400,20.9400,1350,0
DUKH.US,5,20131112,213500,20.9300,20.9300,20.9300,20.9300,300,0
DUKH.US,5,20131112,214000,20.9300,20.9300,20.8600,20.8700,975,0
DUKH.US,5,20131112,214500,20.9300,20.9300,20.8600,20.8600,3800,0
DUKH.US,5,20131112,215000,20.9100,20.9200,20.9100,20.9200,1200,0
DUKH.US,5,20131112,215500,20.9400,20.9600,20.9100,20.9100,2510,0
DUKH.US,5,20131112,220000,20.9200,20.9200,20.8500,20.8800,1300,0
DUKH.US,5,20131112,220500,20.9500,20.9500,20.9500,20.9500,374,0
DUKH.US,5,20131113,153500,20.9500,20.9500,20.9500,20.9500,500,0
DUKH.US,5,20131113,154000,20.9200,20.9400,20.7200,20.8100,3090,0
DUKH.US,5,20131113,160000,20.8000,20.8500,20.7900,20.8300,6900,0
