<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DVN.US,5,20131112,153500,60.6600,60.7000,60.4200,60.4800,32853,0
DVN.US,5,20131112,154000,60.4200,60.4800,60.1700,60.4800,45007,0
DVN.US,5,20131112,154500,60.4600,60.5300,60.3900,60.5300,60687,0
DVN.US,5,20131112,155000,60.5300,60.5700,60.3800,60.4100,53460,0
DVN.US,5,20131112,155500,60.4100,60.4500,60.3300,60.3900,23015,0
DVN.US,5,20131112,160000,60.3400,60.4000,60.2900,60.4000,20004,0
DVN.US,5,20131112,160500,60.4100,60.4600,60.1700,60.1800,66293,0
DVN.US,5,20131112,161000,60.1800,60.1800,59.9600,60.1300,69433,0
DVN.US,5,20131112,161500,60.1400,60.2200,60.1200,60.1700,26510,0
DVN.US,5,20131112,162000,60.1600,60.4000,60.0800,60.3800,42800,0
DVN.US,5,20131112,162500,60.3800,60.3900,60.2000,60.2000,33508,0
DVN.US,5,20131112,163000,60.2100,60.2300,60.1500,60.2100,30706,0
DVN.US,5,20131112,163500,60.2100,60.2400,60.0300,60.0600,37059,0
DVN.US,5,20131112,164000,60.0600,60.1600,60.0200,60.1300,29968,0
DVN.US,5,20131112,164500,60.1200,60.1600,60.0800,60.1300,58888,0
DVN.US,5,20131112,165000,60.1300,60.1400,60.0400,60.0700,28163,0
DVN.US,5,20131112,165500,60.0600,60.1400,59.9800,60.1200,67299,0
DVN.US,5,20131112,170000,60.1200,60.1400,60.0800,60.1100,48720,0
DVN.US,5,20131112,170500,60.1200,60.1200,59.9300,60.0000,45908,0
DVN.US,5,20131112,171000,59.9900,60.0000,59.8900,59.8900,26068,0
DVN.US,5,20131112,171500,59.9000,60.0600,59.8900,59.9400,43233,0
DVN.US,5,20131112,172000,59.9400,60.0500,59.9400,60.0000,78843,0
DVN.US,5,20131112,172500,60.0200,60.0600,59.9000,60.0600,39819,0
DVN.US,5,20131112,173000,60.0500,60.1200,60.0500,60.0900,18157,0
DVN.US,5,20131112,173500,60.0900,60.1900,60.0800,60.1600,47279,0
DVN.US,5,20131112,174000,60.1600,60.1700,60.0400,60.0500,41976,0
DVN.US,5,20131112,174500,60.0400,60.1300,60.0400,60.0700,50772,0
DVN.US,5,20131112,175000,60.0600,60.0700,59.9600,59.9700,20554,0
DVN.US,5,20131112,175500,59.9900,60.0300,59.9600,59.9700,21876,0
DVN.US,5,20131112,180000,59.9700,59.9900,59.8500,59.9700,28425,0
DVN.US,5,20131112,180500,59.9800,60.0800,59.9700,60.0600,33703,0
DVN.US,5,20131112,181000,60.0600,60.0600,59.8500,59.9000,50820,0
DVN.US,5,20131112,181500,59.9000,59.9200,59.8300,59.8500,23615,0
DVN.US,5,20131112,182000,59.8500,59.9500,59.8200,59.9100,23267,0
DVN.US,5,20131112,182500,59.9100,59.9100,59.8000,59.8200,27536,0
DVN.US,5,20131112,183000,59.8100,59.8200,59.7200,59.7900,23888,0
DVN.US,5,20131112,183500,59.7900,59.9600,59.7900,59.9600,35508,0
DVN.US,5,20131112,184000,59.9600,59.9900,59.8900,59.9500,16714,0
DVN.US,5,20131112,184500,59.9500,60.0600,59.9300,60.0200,12650,0
DVN.US,5,20131112,185000,60.0100,60.1100,60.0100,60.1000,14467,0
DVN.US,5,20131112,185500,60.1000,60.1500,60.0700,60.0700,10580,0
DVN.US,5,20131112,190000,60.0700,60.0700,59.9900,60.0100,17112,0
DVN.US,5,20131112,190500,60.0100,60.0400,59.8800,59.8900,17493,0
DVN.US,5,20131112,191000,59.8800,59.9300,59.8500,59.9000,17932,0
DVN.US,5,20131112,191500,59.9000,59.9200,59.8600,59.8800,15341,0
DVN.US,5,20131112,192000,59.8600,59.8700,59.7900,59.8000,13268,0
DVN.US,5,20131112,192500,59.8200,59.8200,59.7600,59.7700,15822,0
DVN.US,5,20131112,193000,59.7700,59.8300,59.7500,59.7500,37401,0
DVN.US,5,20131112,193500,59.7600,59.8000,59.6900,59.7100,19024,0
DVN.US,5,20131112,194000,59.6900,59.7300,59.5600,59.6100,32968,0
DVN.US,5,20131112,194500,59.6000,59.6900,59.5600,59.6900,19051,0
DVN.US,5,20131112,195000,59.6600,59.8300,59.6500,59.8100,21806,0
DVN.US,5,20131112,195500,59.8000,59.8000,59.6500,59.7100,36055,0
DVN.US,5,20131112,200000,59.7400,59.7700,59.6500,59.7100,19070,0
DVN.US,5,20131112,200500,59.7100,59.7500,59.6800,59.6900,33571,0
DVN.US,5,20131112,201000,59.6800,59.7100,59.5900,59.6400,25015,0
DVN.US,5,20131112,201500,59.6400,59.6400,59.5500,59.5600,30321,0
DVN.US,5,20131112,202000,59.5600,59.6200,59.5500,59.6200,44253,0
DVN.US,5,20131112,202500,59.6200,59.6400,59.5200,59.5200,34035,0
DVN.US,5,20131112,203000,59.5300,59.5700,59.4700,59.4900,42013,0
DVN.US,5,20131112,203500,59.4600,59.5600,59.4600,59.5600,13500,0
DVN.US,5,20131112,204000,59.5600,59.6500,59.5500,59.6500,15833,0
DVN.US,5,20131112,204500,59.6700,59.7200,59.6500,59.6700,24988,0
DVN.US,5,20131112,205000,59.6800,59.7500,59.6400,59.7500,35300,0
DVN.US,5,20131112,205500,59.7600,59.8000,59.7600,59.7800,33786,0
DVN.US,5,20131112,210000,59.7700,59.9400,59.7700,59.8500,26033,0
DVN.US,5,20131112,210500,59.8500,59.9200,59.8500,59.8800,23215,0
DVN.US,5,20131112,211000,59.8800,59.8900,59.8000,59.8500,24960,0
DVN.US,5,20131112,211500,59.8600,59.8800,59.7700,59.7700,26270,0
