<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DXB.US,5,20131112,153500,25.0500,25.0500,25.0500,25.0500,490,0
DXB.US,5,20131112,155500,25.1000,25.1000,25.1000,25.1000,436,0
DXB.US,5,20131112,160500,25.0700,25.1000,25.0700,25.1000,1200,0
DXB.US,5,20131112,161000,25.1000,25.1000,25.1000,25.1000,300,0
DXB.US,5,20131112,161500,25.1000,25.1700,25.1000,25.1700,4320,0
DXB.US,5,20131112,162000,25.1300,25.1300,25.1300,25.1300,100,0
DXB.US,5,20131112,162500,25.1500,25.1500,25.1500,25.1500,186,0
DXB.US,5,20131112,163000,25.1500,25.1500,25.1400,25.1400,895,0
DXB.US,5,20131112,164000,25.1500,25.1500,25.1400,25.1500,2100,0
DXB.US,5,20131112,164500,25.1600,25.1600,25.1400,25.1400,3392,0
DXB.US,5,20131112,165500,25.1600,25.1700,25.1200,25.1300,1826,0
DXB.US,5,20131112,170000,25.1700,25.1700,25.1700,25.1700,100,0
DXB.US,5,20131112,170500,25.1300,25.1300,25.1300,25.1300,800,0
DXB.US,5,20131112,171000,25.1700,25.1700,25.1700,25.1700,242,0
DXB.US,5,20131112,171500,25.1700,25.1700,25.1600,25.1700,1280,0
DXB.US,5,20131112,172000,25.1800,25.1800,25.1800,25.1800,180,0
DXB.US,5,20131112,172500,25.1800,25.1800,25.1500,25.1500,800,0
DXB.US,5,20131112,173500,25.1800,25.1800,25.1800,25.1800,100,0
DXB.US,5,20131112,174000,25.1800,25.1800,25.1800,25.1800,100,0
DXB.US,5,20131112,174500,25.1500,25.1500,25.1500,25.1500,306,0
DXB.US,5,20131112,175000,25.1500,25.1500,25.1500,25.1500,2165,0
DXB.US,5,20131112,175500,25.1500,25.1500,25.1200,25.1200,2400,0
DXB.US,5,20131112,180000,25.1200,25.1200,25.1100,25.1100,493,0
DXB.US,5,20131112,180500,25.1200,25.1200,25.1200,25.1200,100,0
DXB.US,5,20131112,181000,25.1200,25.1200,25.1000,25.1100,1576,0
DXB.US,5,20131112,181500,25.1100,25.1100,25.0900,25.0900,1659,0
DXB.US,5,20131112,182000,25.0800,25.0800,25.0700,25.0700,500,0
DXB.US,5,20131112,183000,25.0900,25.0900,25.0900,25.0900,200,0
DXB.US,5,20131112,183500,25.1100,25.1100,25.1100,25.1100,200,0
DXB.US,5,20131112,184000,25.0800,25.0800,25.0500,25.0500,20673,0
DXB.US,5,20131112,184500,25.0500,25.0500,25.0000,25.0000,8140,0
DXB.US,5,20131112,185000,25.0000,25.0000,25.0000,25.0000,8360,0
DXB.US,5,20131112,185500,25.0200,25.0200,25.0100,25.0100,500,0
DXB.US,5,20131112,190500,25.0300,25.0400,25.0300,25.0400,7100,0
DXB.US,5,20131112,191000,25.0500,25.0500,25.0500,25.0500,200,0
DXB.US,5,20131112,191500,25.0500,25.0500,25.0500,25.0500,100,0
DXB.US,5,20131112,192000,25.0500,25.0500,25.0500,25.0500,392,0
DXB.US,5,20131112,192500,25.0500,25.0500,25.0300,25.0300,542,0
DXB.US,5,20131112,193000,25.0600,25.0600,25.0600,25.0600,100,0
DXB.US,5,20131112,193500,25.0600,25.0600,25.0600,25.0600,200,0
DXB.US,5,20131112,194000,25.0400,25.0600,25.0400,25.0600,600,0
