<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EIX.US,5,20131112,153500,48.8300,48.8300,48.6600,48.7600,22227,0
EIX.US,5,20131112,154000,48.7600,48.9100,48.6300,48.8700,14431,0
EIX.US,5,20131112,154500,48.8900,48.9100,48.7700,48.8400,26235,0
EIX.US,5,20131112,155000,48.8400,48.8400,48.6700,48.7600,23092,0
EIX.US,5,20131112,155500,48.7700,48.9100,48.7500,48.7900,47728,0
EIX.US,5,20131112,160000,48.8300,49.0200,48.7900,48.9200,24428,0
EIX.US,5,20131112,160500,48.9000,48.9100,48.8300,48.8800,38705,0
EIX.US,5,20131112,161000,48.8800,48.9600,48.8500,48.9000,27649,0
EIX.US,5,20131112,161500,48.9000,48.9200,48.8500,48.9000,25027,0
EIX.US,5,20131112,162000,48.8800,48.9000,48.8300,48.8600,29663,0
EIX.US,5,20131112,162500,48.8600,48.8600,48.7200,48.7400,34728,0
EIX.US,5,20131112,163000,48.7400,48.7600,48.7000,48.7400,10992,0
EIX.US,5,20131112,163500,48.7300,48.7300,48.6900,48.6900,21442,0
EIX.US,5,20131112,164000,48.7000,48.7300,48.7000,48.7100,7432,0
EIX.US,5,20131112,164500,48.7300,48.7500,48.7000,48.7500,9637,0
EIX.US,5,20131112,165000,48.7500,48.7800,48.7100,48.7300,8543,0
EIX.US,5,20131112,165500,48.7400,48.7400,48.6900,48.7000,14095,0
EIX.US,5,20131112,170000,48.7100,48.7200,48.6600,48.6600,13171,0
EIX.US,5,20131112,170500,48.6600,48.6700,48.6400,48.6500,14117,0
EIX.US,5,20131112,171000,48.6600,48.7000,48.6300,48.6700,10222,0
EIX.US,5,20131112,171500,48.6800,48.6800,48.5900,48.6000,28272,0
EIX.US,5,20131112,172000,48.6000,48.6600,48.5900,48.6100,17934,0
EIX.US,5,20131112,172500,48.6000,48.6000,48.5300,48.5400,14822,0
EIX.US,5,20131112,173000,48.5300,48.5700,48.5000,48.5500,18572,0
EIX.US,5,20131112,173500,48.5500,48.5600,48.4700,48.4900,24334,0
EIX.US,5,20131112,174000,48.4600,48.4600,48.3700,48.4000,53829,0
EIX.US,5,20131112,174500,48.4200,48.4500,48.3800,48.4200,16839,0
EIX.US,5,20131112,175000,48.4200,48.4600,48.3900,48.4300,23911,0
EIX.US,5,20131112,175500,48.4300,48.4400,48.3900,48.4400,30254,0
EIX.US,5,20131112,180000,48.4400,48.4700,48.3600,48.3900,31479,0
EIX.US,5,20131112,180500,48.3800,48.3900,48.2900,48.3100,31306,0
EIX.US,5,20131112,181000,48.3000,48.3100,48.2400,48.2900,28788,0
EIX.US,5,20131112,181500,48.2800,48.2800,48.2300,48.2400,8830,0
EIX.US,5,20131112,182000,48.2400,48.2400,48.1900,48.2300,12197,0
EIX.US,5,20131112,182500,48.2400,48.2900,48.2400,48.2700,7659,0
EIX.US,5,20131112,183000,48.2500,48.2700,48.2300,48.2300,5700,0
EIX.US,5,20131112,183500,48.2200,48.2200,48.1500,48.2000,61515,0
EIX.US,5,20131112,184000,48.2100,48.2700,48.2100,48.2700,86044,0
EIX.US,5,20131112,184500,48.2700,48.3700,48.2700,48.3700,12926,0
