<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ELLI.US,5,20131112,153500,23.6100,23.6600,23.4000,23.4200,7165,0
ELLI.US,5,20131112,154000,23.3300,23.6700,23.3300,23.5500,6267,0
ELLI.US,5,20131112,154500,23.5100,23.5100,23.4600,23.4600,4500,0
ELLI.US,5,20131112,155000,23.4700,23.6100,23.4500,23.5700,4200,0
ELLI.US,5,20131112,155500,23.6500,23.6500,23.4600,23.5000,3402,0
ELLI.US,5,20131112,160000,23.5000,23.5300,23.4700,23.4700,2500,0
ELLI.US,5,20131112,160500,23.4800,23.5100,23.4100,23.4400,2400,0
ELLI.US,5,20131112,161000,23.4000,23.5100,23.4000,23.5100,5463,0
ELLI.US,5,20131112,161500,23.5000,23.5100,23.4400,23.5100,6002,0
ELLI.US,5,20131112,162000,23.4900,23.5700,23.4900,23.5600,3500,0
ELLI.US,5,20131112,162500,23.5100,23.5200,23.4900,23.4900,800,0
ELLI.US,5,20131112,163000,23.4900,23.5600,23.4600,23.5600,2600,0
ELLI.US,5,20131112,163500,23.5600,23.5900,23.4800,23.5000,2256,0
ELLI.US,5,20131112,164000,23.4700,23.5700,23.4700,23.5100,2500,0
ELLI.US,5,20131112,164500,23.5200,23.5600,23.4800,23.5300,2700,0
ELLI.US,5,20131112,165000,23.5400,23.6100,23.5000,23.5500,14000,0
ELLI.US,5,20131112,165500,23.5500,23.6200,23.5400,23.6200,12300,0
ELLI.US,5,20131112,170000,23.6300,23.6300,23.6000,23.6000,5200,0
ELLI.US,5,20131112,170500,23.6000,23.6200,23.6000,23.6100,5700,0
ELLI.US,5,20131112,171000,23.6100,23.6700,23.6000,23.6100,5232,0
ELLI.US,5,20131112,171500,23.6300,23.6500,23.6100,23.6200,1000,0
ELLI.US,5,20131112,172000,23.6000,23.6200,23.6000,23.6000,1400,0
ELLI.US,5,20131112,172500,23.6000,23.6300,23.6000,23.6000,3255,0
ELLI.US,5,20131112,173000,23.6200,23.6300,23.6000,23.6300,2000,0
ELLI.US,5,20131112,173500,23.6500,23.7800,23.6500,23.7600,8079,0
ELLI.US,5,20131112,174000,23.7600,23.7900,23.6900,23.6900,6000,0
ELLI.US,5,20131112,174500,23.7200,23.7900,23.6700,23.7500,5585,0
ELLI.US,5,20131112,175000,23.7500,23.7500,23.6900,23.7500,4656,0
ELLI.US,5,20131112,175500,23.7200,23.7600,23.7200,23.7400,2000,0
ELLI.US,5,20131112,180000,23.7200,23.7600,23.6600,23.7500,6894,0
ELLI.US,5,20131112,180500,23.7500,23.7700,23.7500,23.7600,2134,0
ELLI.US,5,20131112,181000,23.7500,23.7600,23.7000,23.7300,6916,0
ELLI.US,5,20131112,181500,23.7000,23.7000,23.6800,23.7000,600,0
ELLI.US,5,20131112,182000,23.7100,23.7100,23.6900,23.7100,700,0
ELLI.US,5,20131112,182500,23.6900,23.7700,23.6800,23.7500,9200,0
ELLI.US,5,20131112,183000,23.7700,23.7700,23.7500,23.7700,5500,0
ELLI.US,5,20131112,183500,23.7500,23.7800,23.7500,23.7800,3100,0
ELLI.US,5,20131112,184000,23.8000,23.8400,23.7500,23.7700,3100,0
ELLI.US,5,20131112,184500,23.7700,23.7700,23.6500,23.7000,2509,0
ELLI.US,5,20131112,185000,23.6800,23.7000,23.6800,23.7000,300,0
ELLI.US,5,20131112,185500,23.6900,23.7000,23.6500,23.6500,2552,0
ELLI.US,5,20131112,190000,23.6500,23.6700,23.6500,23.6500,3500,0
ELLI.US,5,20131112,190500,23.6500,23.6600,23.6500,23.6600,2555,0
ELLI.US,5,20131112,191000,23.6500,23.6800,23.6500,23.6700,2000,0
ELLI.US,5,20131112,191500,23.6700,23.6700,23.6500,23.6500,1700,0
ELLI.US,5,20131112,192000,23.6600,23.6600,23.6500,23.6500,2700,0
ELLI.US,5,20131112,192500,23.6500,23.6600,23.6000,23.6200,6683,0
ELLI.US,5,20131112,193000,23.6500,23.7000,23.6500,23.6700,5200,0
ELLI.US,5,20131112,193500,23.6500,23.7000,23.6200,23.6600,8329,0
ELLI.US,5,20131112,194000,23.6900,24.3700,23.6700,24.2200,80826,0
ELLI.US,5,20131112,194500,24.2200,24.4500,24.0600,24.3600,66650,0
ELLI.US,5,20131112,195000,24.3300,24.3900,24.2500,24.2600,15162,0
ELLI.US,5,20131112,195500,24.2600,24.2600,24.1000,24.1000,26429,0
ELLI.US,5,20131112,200000,24.1100,24.5400,24.1100,24.5000,97367,0
ELLI.US,5,20131112,200500,24.5000,24.7900,24.5000,24.7200,68987,0
ELLI.US,5,20131112,201000,24.7400,24.8700,24.5400,24.6800,45234,0
ELLI.US,5,20131112,201500,24.6900,25.1400,24.5800,25.1300,127042,0
ELLI.US,5,20131112,202000,25.0300,25.9500,25.0100,25.6500,347266,0
ELLI.US,5,20131112,202500,25.6500,26.1000,25.3000,25.6100,249807,0
ELLI.US,5,20131112,203000,25.6100,26.2800,25.5900,25.8500,166538,0
ELLI.US,5,20131112,203500,25.8900,26.1600,25.6900,25.8100,94771,0
ELLI.US,5,20131112,204000,25.7500,26.4400,25.7500,26.3300,80282,0
ELLI.US,5,20131112,204500,26.3800,26.6900,26.3400,26.6200,98682,0
ELLI.US,5,20131112,205000,26.6000,26.9800,26.6000,26.8400,110012,0
ELLI.US,5,20131112,205500,26.8300,27.1000,26.6400,26.8100,432112,0
ELLI.US,5,20131112,210000,26.8600,28.1200,26.8100,28.0000,333201,0
ELLI.US,5,20131112,210500,28.0000,29.7200,27.8600,28.6700,829193,0
ELLI.US,5,20131112,211000,28.6600,28.9700,27.8900,27.9600,326984,0
ELLI.US,5,20131112,211500,27.9800,28.3200,27.6300,27.6400,179298,0
ELLI.US,5,20131112,212000,27.6500,28.1700,27.1000,27.2200,233853,0
ELLI.US,5,20131112,212500,27.2300,27.3700,26.0800,26.3100,328720,0
ELLI.US,5,20131112,213000,26.3100,26.5000,25.9800,26.4400,191854,0
ELLI.US,5,20131112,213500,26.5000,26.6400,26.0800,26.2700,88253,0
ELLI.US,5,20131112,214000,26.2500,26.7400,26.0700,26.5900,92733,0
ELLI.US,5,20131112,214500,26.6000,26.7600,26.4900,26.6900,59981,0
ELLI.US,5,20131112,215000,26.6900,26.8000,26.5800,26.6700,118907,0
