<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ELP.US,5,20131112,153500,12.6400,12.6900,12.6400,12.6700,5015,0
ELP.US,5,20131112,154000,12.6900,12.7400,12.6700,12.7200,9391,0
ELP.US,5,20131112,154500,12.7200,12.7400,12.7200,12.7400,2200,0
ELP.US,5,20131112,155000,12.7400,12.7400,12.7100,12.7300,4644,0
ELP.US,5,20131112,155500,12.7200,12.7300,12.7100,12.7300,4815,0
ELP.US,5,20131112,160000,12.7300,12.7600,12.7200,12.7400,4740,0
ELP.US,5,20131112,160500,12.7300,12.7300,12.7000,12.7000,2999,0
ELP.US,5,20131112,161000,12.7000,12.7000,12.6800,12.6900,2900,0
ELP.US,5,20131112,161500,12.6900,12.6900,12.6700,12.6800,3700,0
ELP.US,5,20131112,162000,12.6800,12.6900,12.6700,12.6900,6901,0
ELP.US,5,20131112,162500,12.6900,12.7100,12.6900,12.7100,4550,0
ELP.US,5,20131112,163000,12.7100,12.7400,12.7100,12.7400,3833,0
ELP.US,5,20131112,163500,12.7400,12.7500,12.7100,12.7200,6000,0
ELP.US,5,20131112,164000,12.7400,12.7700,12.7400,12.7700,3497,0
ELP.US,5,20131112,164500,12.7700,12.7700,12.7500,12.7600,3600,0
ELP.US,5,20131112,165000,12.7700,12.7800,12.7700,12.7800,1500,0
ELP.US,5,20131112,165500,12.7800,12.7800,12.7600,12.7800,1600,0
ELP.US,5,20131112,170000,12.7700,12.7800,12.7600,12.7700,2000,0
ELP.US,5,20131112,170500,12.7700,12.7700,12.7600,12.7700,2000,0
ELP.US,5,20131112,171000,12.7800,12.8000,12.7800,12.8000,2800,0
ELP.US,5,20131112,171500,12.8100,12.8400,12.8100,12.8400,2490,0
ELP.US,5,20131112,172000,12.8600,12.8600,12.8500,12.8500,500,0
ELP.US,5,20131112,172500,12.8600,12.8700,12.8400,12.8400,3500,0
ELP.US,5,20131112,173000,12.8300,12.8700,12.8300,12.8700,3200,0
ELP.US,5,20131112,173500,12.8800,12.8900,12.8600,12.8600,4165,0
ELP.US,5,20131112,174000,12.8600,12.8700,12.8200,12.8400,2375,0
ELP.US,5,20131112,174500,12.8400,12.8400,12.8100,12.8100,8379,0
ELP.US,5,20131112,175000,12.8000,12.8000,12.7900,12.7900,700,0
ELP.US,5,20131112,175500,12.7900,12.8000,12.7600,12.7700,4994,0
ELP.US,5,20131112,180000,12.7600,12.7700,12.7200,12.7400,4220,0
ELP.US,5,20131112,180500,12.7400,12.7700,12.7400,12.7700,2000,0
ELP.US,5,20131112,181000,12.7700,12.7700,12.7400,12.7500,5900,0
ELP.US,5,20131112,181500,12.7400,12.7500,12.7300,12.7400,3900,0
ELP.US,5,20131112,182000,12.7300,12.7400,12.7200,12.7400,2800,0
ELP.US,5,20131112,182500,12.7300,12.7400,12.7200,12.7300,3600,0
ELP.US,5,20131112,183000,12.7300,12.7300,12.7000,12.7200,8900,0
ELP.US,5,20131112,183500,12.7200,12.7600,12.7100,12.7500,11330,0
ELP.US,5,20131112,184000,12.7600,12.7700,12.7500,12.7500,4674,0
ELP.US,5,20131112,184500,12.7600,12.7600,12.7300,12.7400,7600,0
ELP.US,5,20131112,185000,12.7400,12.7500,12.7000,12.7300,10569,0
ELP.US,5,20131112,185500,12.7200,12.7500,12.7200,12.7500,3500,0
ELP.US,5,20131112,190000,12.7500,12.7900,12.7500,12.7900,4417,0
ELP.US,5,20131112,190500,12.7900,12.8100,12.7900,12.7900,3541,0
ELP.US,5,20131112,191000,12.7900,12.7900,12.7800,12.7800,200,0
ELP.US,5,20131112,191500,12.7800,12.7800,12.7600,12.7700,4486,0
ELP.US,5,20131112,192000,12.7600,12.7600,12.7100,12.7500,10841,0
ELP.US,5,20131112,192500,12.7500,12.7600,12.7400,12.7400,4500,0
ELP.US,5,20131112,193000,12.7500,12.7700,12.7400,12.7600,5599,0
ELP.US,5,20131112,193500,12.7600,12.7600,12.7400,12.7400,2400,0
ELP.US,5,20131112,194000,12.7400,12.7500,12.7200,12.7400,4705,0
ELP.US,5,20131112,194500,12.7400,12.7400,12.7200,12.7400,2100,0
ELP.US,5,20131112,195000,12.7400,12.7600,12.7300,12.7400,8366,0
ELP.US,5,20131112,195500,12.7600,12.7800,12.7500,12.7800,4400,0
ELP.US,5,20131112,200000,12.7900,12.7900,12.7800,12.7800,300,0
ELP.US,5,20131112,200500,12.7800,12.7900,12.7800,12.7800,1500,0
ELP.US,5,20131112,201000,12.7800,12.7800,12.7600,12.7600,1000,0
ELP.US,5,20131112,201500,12.7600,12.7600,12.7600,12.7600,700,0
ELP.US,5,20131112,202000,12.7600,12.7600,12.7500,12.7500,3100,0
ELP.US,5,20131112,202500,12.7500,12.7600,12.7500,12.7500,1520,0
ELP.US,5,20131112,203000,12.7500,12.7500,12.7500,12.7500,800,0
