<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EPL.US,5,20131112,153500,30.5000,30.5000,30.2500,30.3100,1000,0
EPL.US,5,20131112,154000,30.2500,30.2800,30.1800,30.1800,3400,0
EPL.US,5,20131112,154500,30.2900,30.3700,30.1700,30.3700,3121,0
EPL.US,5,20131112,155000,30.4200,30.4800,30.4200,30.4700,2027,0
EPL.US,5,20131112,155500,30.5000,30.5000,30.3300,30.3800,2100,0
EPL.US,5,20131112,160000,30.3700,30.5600,30.3600,30.5600,2200,0
EPL.US,5,20131112,160500,30.5200,30.5600,30.3700,30.5600,5779,0
EPL.US,5,20131112,161000,30.5000,30.5600,30.3900,30.5000,4100,0
EPL.US,5,20131112,161500,30.5100,30.7400,30.5100,30.7400,3600,0
EPL.US,5,20131112,162000,30.6200,30.8800,30.5600,30.8800,3025,0
EPL.US,5,20131112,162500,30.8500,30.8800,30.6900,30.7000,2700,0
EPL.US,5,20131112,163000,30.6700,30.8600,30.5500,30.8200,14137,0
EPL.US,5,20131112,163500,30.8200,30.9900,30.7500,30.8200,13800,0
EPL.US,5,20131112,164000,30.8000,30.9100,30.7700,30.9000,5210,0
EPL.US,5,20131112,164500,30.9100,30.9100,30.7900,30.8700,4900,0
EPL.US,5,20131112,165000,30.8700,30.8900,30.7500,30.8900,4832,0
EPL.US,5,20131112,165500,30.8200,30.9000,30.7800,30.8500,3400,0
EPL.US,5,20131112,170000,30.8400,30.9000,30.8200,30.8600,3400,0
EPL.US,5,20131112,170500,30.8700,30.8700,30.6800,30.7000,4500,0
EPL.US,5,20131112,171000,30.7100,30.8200,30.7100,30.7800,3200,0
EPL.US,5,20131112,171500,30.7900,30.9000,30.7900,30.9000,2275,0
EPL.US,5,20131112,172000,30.9000,30.9000,30.7600,30.7600,1400,0
EPL.US,5,20131112,172500,30.7700,30.8000,30.7100,30.7900,3100,0
EPL.US,5,20131112,173000,30.7800,30.9000,30.7300,30.8200,2400,0
EPL.US,5,20131112,173500,30.8000,30.8600,30.7800,30.7900,1234,0
EPL.US,5,20131112,174000,30.8200,30.8200,30.6900,30.6900,2400,0
EPL.US,5,20131112,174500,30.7000,30.7300,30.6300,30.6400,1900,0
EPL.US,5,20131112,175000,30.6600,30.6600,30.5400,30.5400,2609,0
EPL.US,5,20131112,175500,30.6000,30.6300,30.5500,30.6300,1888,0
EPL.US,5,20131112,180000,30.5900,30.5900,30.5800,30.5800,400,0
EPL.US,5,20131112,180500,30.5800,30.5800,30.5000,30.5500,2100,0
EPL.US,5,20131112,181000,30.5300,30.5300,30.3700,30.4600,3339,0
EPL.US,5,20131112,181500,30.5100,30.5300,30.4800,30.4800,1200,0
EPL.US,5,20131112,182000,30.4400,30.4800,30.4200,30.4200,600,0
EPL.US,5,20131112,182500,30.4400,30.4600,30.3600,30.3900,1800,0
EPL.US,5,20131112,183000,30.3300,30.3800,30.3300,30.3800,600,0
EPL.US,5,20131112,183500,30.3700,30.4800,30.3700,30.4800,4500,0
EPL.US,5,20131112,184000,30.5200,30.5800,30.4600,30.5800,3100,0
EPL.US,5,20131112,184500,30.5900,30.6100,30.5300,30.5500,1200,0
EPL.US,5,20131112,185000,30.5800,30.5900,30.5700,30.5900,1000,0
EPL.US,5,20131112,185500,30.5900,30.6800,30.5900,30.6400,1200,0
EPL.US,5,20131112,190000,30.6200,30.6800,30.6000,30.6200,2301,0
EPL.US,5,20131112,190500,30.6700,30.6700,30.5600,30.6200,3535,0
EPL.US,5,20131112,191000,30.5600,30.6700,30.5300,30.6600,4582,0
EPL.US,5,20131112,191500,30.6800,30.7600,30.6200,30.7100,4500,0
EPL.US,5,20131112,192000,30.5900,30.6400,30.5900,30.6400,200,0
EPL.US,5,20131112,192500,30.5900,30.6500,30.5600,30.6100,4300,0
EPL.US,5,20131112,193000,30.5700,30.6900,30.5700,30.6200,3150,0
EPL.US,5,20131112,193500,30.5900,30.6100,30.5200,30.5700,4600,0
EPL.US,5,20131112,194000,30.5800,30.5900,30.3100,30.3200,4630,0
EPL.US,5,20131112,194500,30.3800,30.4100,30.3200,30.3400,900,0
EPL.US,5,20131112,195000,30.3500,30.4900,30.3500,30.4600,2688,0
EPL.US,5,20131112,195500,30.4300,30.4300,30.2600,30.2600,2750,0
EPL.US,5,20131112,200000,30.2900,30.3000,30.2700,30.3000,1400,0
EPL.US,5,20131112,200500,30.3100,30.3600,30.3100,30.3200,4200,0
EPL.US,5,20131112,201000,30.3500,30.3500,30.3100,30.3300,1600,0
EPL.US,5,20131112,201500,30.3500,30.5200,30.3000,30.3800,9171,0
EPL.US,5,20131112,202000,30.3200,30.3800,30.3200,30.3800,1400,0
EPL.US,5,20131112,202500,30.3800,30.3800,30.3200,30.3500,1200,0
EPL.US,5,20131112,203000,30.3800,30.3800,30.2800,30.3400,8385,0
EPL.US,5,20131112,203500,30.3100,30.3900,30.3100,30.3400,2300,0
EPL.US,5,20131112,204000,30.3900,30.3900,30.3900,30.3900,300,0
EPL.US,5,20131112,204500,30.3600,30.4400,30.3500,30.3800,2600,0
EPL.US,5,20131112,205000,30.3700,30.3700,30.3400,30.3600,3046,0
EPL.US,5,20131112,205500,30.3500,30.3700,30.3300,30.3300,2000,0
EPL.US,5,20131112,210000,30.4000,30.5100,30.3800,30.4800,2700,0
EPL.US,5,20131112,210500,30.4900,30.4900,30.4900,30.4900,100,0
EPL.US,5,20131112,211000,30.4500,30.4700,30.3700,30.4500,4854,0
EPL.US,5,20131112,211500,30.4500,30.4900,30.4000,30.4700,5200,0
EPL.US,5,20131112,212000,30.4900,30.4900,30.4500,30.4600,4800,0
EPL.US,5,20131112,212500,30.4600,30.4800,30.4000,30.4100,6400,0
EPL.US,5,20131112,213000,30.4300,30.4700,30.3700,30.4500,6484,0
EPL.US,5,20131112,213500,30.4500,30.4700,30.4300,30.4700,6497,0
EPL.US,5,20131112,214000,30.4600,30.4900,30.4100,30.4400,5200,0
EPL.US,5,20131112,214500,30.4500,30.4700,30.4200,30.4500,4300,0
EPL.US,5,20131112,215000,30.4700,30.4900,30.4100,30.4600,6409,0
EPL.US,5,20131112,215500,30.4600,30.5000,30.4400,30.4900,6418,0
EPL.US,5,20131112,220000,30.4600,30.5500,30.4400,30.5300,16192,0
EPL.US,5,20131112,220500,30.5400,30.5400,30.5400,30.5400,41379,0
EPL.US,5,20131113,153500,30.2800,30.4700,30.2800,30.4200,3706,0
EPL.US,5,20131113,154000,30.3800,30.3800,30.2300,30.2300,1750,0
EPL.US,5,20131113,154500,30.2700,30.2800,30.2500,30.2800,1294,0
EPL.US,5,20131113,155000,30.2900,30.3700,30.2900,30.3500,2135,0
EPL.US,5,20131113,155500,30.3800,30.4400,30.3300,30.4200,2100,0
EPL.US,5,20131113,160000,30.4200,30.6400,30.4200,30.6200,6500,0
EPL.US,5,20131113,160500,30.7000,30.7000,30.6100,30.6500,2000,0
EPL.US,5,20131113,161000,30.7700,30.7700,30.7700,30.7700,200,0
EPL.US,5,20131113,161500,30.7200,30.7700,30.6200,30.7700,14557,0
EPL.US,5,20131113,162000,30.8000,30.9500,30.7600,30.7600,16816,0
EPL.US,5,20131113,162500,30.7800,30.8200,30.7400,30.7800,1640,0
EPL.US,5,20131113,163000,30.7900,30.9700,30.7300,30.9300,4009,0
EPL.US,5,20131113,163500,30.8400,30.8400,30.7900,30.8200,1500,0
EPL.US,5,20131113,164000,30.8700,30.9600,30.8700,30.9200,1600,0
EPL.US,5,20131113,164500,30.9100,30.9100,30.8500,30.8800,5600,0
EPL.US,5,20131113,165000,30.9400,30.9400,30.8500,30.9200,2411,0
EPL.US,5,20131113,165500,30.9200,30.9200,30.8700,30.8700,700,0
EPL.US,5,20131113,170000,30.8500,30.8800,30.7700,30.7800,5600,0
EPL.US,5,20131113,170500,30.7900,30.8400,30.7600,30.8400,513,0
EPL.US,5,20131113,171000,30.8400,30.8600,30.7200,30.7400,2300,0
EPL.US,5,20131113,171500,30.7400,30.7400,30.7300,30.7300,600,0
EPL.US,5,20131113,172000,30.7300,30.7300,30.6900,30.7300,1811,0
EPL.US,5,20131113,172500,30.8000,30.8000,30.5900,30.6200,2300,0
EPL.US,5,20131113,173000,30.6000,30.8300,30.6000,30.7000,8185,0
EPL.US,5,20131113,173500,30.7500,30.8700,30.7500,30.8000,1850,0
EPL.US,5,20131113,174000,30.7800,30.8200,30.6500,30.7500,4900,0
EPL.US,5,20131113,174500,30.7500,30.8100,30.7000,30.7300,2400,0
EPL.US,5,20131113,175000,30.7400,30.9100,30.7400,30.8100,7822,0
EPL.US,5,20131113,175500,30.8600,30.8600,30.7800,30.8100,600,0
EPL.US,5,20131113,180000,30.7800,30.8600,30.7500,30.7900,2865,0
EPL.US,5,20131113,180500,30.7900,30.8400,30.7700,30.8200,12700,0
EPL.US,5,20131113,181000,30.8300,30.8800,30.7700,30.8100,6700,0
EPL.US,5,20131113,181500,30.8200,30.8600,30.8100,30.8200,14669,0
EPL.US,5,20131113,182000,30.8200,30.8900,30.7600,30.7900,12036,0
EPL.US,5,20131113,182500,30.7600,30.7900,30.6800,30.7300,26107,0
EPL.US,5,20131113,183000,30.7400,30.7400,30.6800,30.6900,3684,0
EPL.US,5,20131113,183500,30.7000,30.7000,30.6600,30.6800,800,0
EPL.US,5,20131113,184000,30.6700,30.6700,30.6100,30.6200,1100,0
EPL.US,5,20131113,184500,30.6200,30.6700,30.6200,30.6700,300,0
EPL.US,5,20131113,185000,30.6800,30.7000,30.6400,30.6700,1600,0
EPL.US,5,20131113,185500,30.6700,30.6700,30.6300,30.6300,700,0
EPL.US,5,20131113,190000,30.6500,30.6600,30.6300,30.6300,800,0
EPL.US,5,20131113,190500,30.6500,30.7100,30.6200,30.6800,3050,0
EPL.US,5,20131113,191000,30.6400,30.6800,30.6000,30.6400,1400,0
EPL.US,5,20131113,191500,30.6100,30.6500,30.5300,30.5800,4475,0
EPL.US,5,20131113,192000,30.6000,30.6200,30.5800,30.6200,400,0
EPL.US,5,20131113,192500,30.6500,30.6700,30.6500,30.6600,700,0
EPL.US,5,20131113,193000,30.6600,30.7100,30.6600,30.7100,900,0
EPL.US,5,20131113,193500,30.7100,30.7600,30.6800,30.7600,1000,0
EPL.US,5,20131113,194000,30.7800,30.8100,30.6900,30.6900,1700,0
EPL.US,5,20131113,194500,30.6900,30.8300,30.6800,30.7800,5296,0
EPL.US,5,20131113,195000,30.7800,30.8400,30.7800,30.8100,900,0
EPL.US,5,20131113,195500,30.7800,30.7800,30.7600,30.7700,1177,0
EPL.US,5,20131113,200000,30.7800,30.7800,30.7400,30.7400,300,0
EPL.US,5,20131113,200500,30.7300,30.7500,30.6900,30.7400,1600,0
EPL.US,5,20131113,201000,30.6900,30.7400,30.6900,30.7400,764,0
EPL.US,5,20131113,201500,30.7400,30.7400,30.7400,30.7400,100,0
EPL.US,5,20131113,202000,30.6500,30.6500,30.6400,30.6400,1200,0
EPL.US,5,20131113,202500,30.6400,30.6400,30.6300,30.6300,400,0
EPL.US,5,20131113,203000,30.6700,30.7300,30.6500,30.6700,1200,0
EPL.US,5,20131113,203500,30.6500,30.6500,30.5400,30.5400,1650,0
EPL.US,5,20131113,204000,30.5200,30.6100,30.5200,30.6100,1800,0
EPL.US,5,20131113,204500,30.5600,30.5900,30.5400,30.5400,899,0
EPL.US,5,20131113,205000,30.5700,30.5700,30.4900,30.5400,2416,0
EPL.US,5,20131113,205500,30.5500,30.5500,30.5000,30.5100,2781,0
EPL.US,5,20131113,210000,30.5400,30.5500,30.5000,30.5500,1500,0
EPL.US,5,20131113,210500,30.5300,30.5400,30.5100,30.5400,900,0
EPL.US,5,20131113,211000,30.5300,30.5400,30.4700,30.4700,1777,0
EPL.US,5,20131113,211500,30.4700,30.4700,30.4300,30.4700,1300,0
EPL.US,5,20131113,212000,30.4100,30.4300,30.3800,30.4100,3140,0
EPL.US,5,20131113,212500,30.4200,30.4800,30.4100,30.4800,3726,0
EPL.US,5,20131113,213000,30.4700,30.5200,30.4500,30.4900,2455,0
EPL.US,5,20131113,213500,30.4900,30.5500,30.4700,30.5500,4600,0
EPL.US,5,20131113,214000,30.5600,30.6300,30.5000,30.6300,4290,0
EPL.US,5,20131113,214500,30.6300,30.6900,30.5800,30.6100,5468,0
EPL.US,5,20131113,215000,30.6300,30.7000,30.6000,30.6400,10910,0
EPL.US,5,20131113,215500,30.6800,30.7700,30.5900,30.7700,11044,0
EPL.US,5,20131113,220000,30.7300,30.8400,30.7300,30.8400,18918,0
EPL.US,5,20131113,220500,30.8400,30.8400,30.8400,30.8400,23119,0
EPL.US,5,20131114,153500,30.7600,30.7600,30.6900,30.6900,1000,0
EPL.US,5,20131114,154000,30.6000,30.7800,30.6000,30.7400,3355,0
EPL.US,5,20131114,154500,30.7300,30.7300,30.5300,30.5900,2000,0
EPL.US,5,20131114,155000,30.5900,30.5900,30.3800,30.4200,3500,0
EPL.US,5,20131114,155500,30.4100,30.4800,30.4000,30.4500,3475,0
EPL.US,5,20131114,160000,30.4300,30.4300,30.2500,30.3400,8149,0
EPL.US,5,20131114,160500,30.2600,30.3100,30.2300,30.3000,5859,0
EPL.US,5,20131114,161000,30.2000,30.2500,30.1200,30.1200,2200,0
EPL.US,5,20131114,161500,30.1500,30.3000,30.1500,30.3000,1100,0
EPL.US,5,20131114,162000,30.3100,30.4000,30.2600,30.4000,1100,0
EPL.US,5,20131114,162500,30.3200,30.4600,30.3200,30.4200,5700,0
EPL.US,5,20131114,163000,30.4200,30.4500,30.3600,30.3800,3500,0
EPL.US,5,20131114,163500,30.4100,30.5200,30.4100,30.5200,2363,0
EPL.US,5,20131114,164000,30.4800,30.7000,30.4600,30.7000,2850,0
EPL.US,5,20131114,164500,30.6600,30.7800,30.6600,30.7800,926,0
EPL.US,5,20131114,165000,30.7400,30.8600,30.7300,30.8600,3700,0
EPL.US,5,20131114,165500,30.8500,30.8600,30.7700,30.7900,3100,0
EPL.US,5,20131114,170000,30.7500,30.8200,30.7300,30.8200,5059,0
EPL.US,5,20131114,170500,30.7700,30.8100,30.6500,30.7300,6000,0
EPL.US,5,20131114,171000,30.7400,30.8100,30.6600,30.6600,1700,0
EPL.US,5,20131114,171500,30.6500,30.7400,30.6500,30.7400,3129,0
EPL.US,5,20131114,172000,30.7100,30.8800,30.6800,30.8400,2761,0
EPL.US,5,20131114,172500,30.8100,31.1000,30.7500,31.1000,5687,0
EPL.US,5,20131114,173000,31.0900,31.1400,30.9700,31.0900,7400,0
EPL.US,5,20131114,173500,31.0500,31.0800,30.9700,30.9800,2331,0
EPL.US,5,20131114,174000,31.0000,31.0000,30.9000,30.9400,2400,0
EPL.US,5,20131114,174500,30.9500,30.9500,30.8600,30.9300,4618,0
EPL.US,5,20131114,175000,30.9500,30.9500,30.8700,30.9400,1200,0
EPL.US,5,20131114,175500,31.0100,31.0300,30.8900,30.9200,4843,0
EPL.US,5,20131114,180000,30.9500,31.0500,30.9400,31.0100,3112,0
EPL.US,5,20131114,180500,31.0400,31.0400,30.9900,31.0000,800,0
EPL.US,5,20131114,181000,31.0300,31.0400,30.9800,31.0000,727,0
EPL.US,5,20131114,181500,30.9900,31.0100,30.9600,30.9600,3000,0
EPL.US,5,20131114,182000,30.9500,31.0600,30.9300,31.0600,1900,0
EPL.US,5,20131114,182500,31.0800,31.2200,30.9500,31.2100,27045,0
EPL.US,5,20131114,183000,31.1800,31.4400,31.1500,31.4000,40068,0
EPL.US,5,20131114,183500,31.4200,31.5300,31.4100,31.4300,6448,0
EPL.US,5,20131114,184000,31.4600,31.5400,31.4100,31.5400,4449,0
EPL.US,5,20131114,184500,31.5000,31.5100,31.4600,31.5100,870,0
EPL.US,5,20131114,185000,31.4700,31.6400,31.4300,31.5700,7204,0
EPL.US,5,20131114,185500,31.5700,31.5700,31.5000,31.5300,896,0
EPL.US,5,20131114,190000,31.5200,31.5200,31.4800,31.4900,700,0
EPL.US,5,20131114,190500,31.5100,31.5500,31.5000,31.5300,900,0
EPL.US,5,20131114,191000,31.5600,31.5600,31.4600,31.4900,3300,0
EPL.US,5,20131114,191500,31.4700,31.4900,31.3600,31.4200,4926,0
EPL.US,5,20131114,192000,31.4600,31.5000,31.4600,31.4600,3000,0
EPL.US,5,20131114,192500,31.4700,31.5000,31.4200,31.4900,5476,0
EPL.US,5,20131114,193000,31.4900,31.5500,31.4900,31.5500,3100,0
EPL.US,5,20131114,193500,31.5400,31.6100,31.5400,31.5700,3000,0
EPL.US,5,20131114,194000,31.6100,31.6100,31.5500,31.5800,1938,0
EPL.US,5,20131114,194500,31.5900,31.6100,31.5200,31.5900,2500,0
EPL.US,5,20131114,195000,31.5100,31.6200,31.4900,31.5600,3046,0
EPL.US,5,20131114,195500,31.5300,31.5300,31.4000,31.4300,1500,0
EPL.US,5,20131114,200000,31.4000,31.4000,31.3000,31.3400,2000,0
EPL.US,5,20131114,200500,31.3000,31.3200,31.2800,31.3100,1000,0
EPL.US,5,20131114,201000,31.3100,31.3100,31.2500,31.2800,1200,0
EPL.US,5,20131114,201500,31.2800,31.3000,31.2400,31.2400,700,0
EPL.US,5,20131114,202000,31.2500,31.2600,31.2200,31.2600,1200,0
EPL.US,5,20131114,202500,31.2900,31.3000,31.2400,31.2400,1800,0
EPL.US,5,20131114,203000,31.2400,31.3200,31.2100,31.3200,1760,0
EPL.US,5,20131114,203500,31.2500,31.2600,31.1800,31.2500,900,0
EPL.US,5,20131114,204000,31.1800,31.1800,31.1000,31.1000,1500,0
EPL.US,5,20131114,204500,31.1400,31.1800,31.1200,31.1800,1000,0
EPL.US,5,20131114,205000,31.1700,31.1700,31.0900,31.0900,900,0
EPL.US,5,20131114,205500,31.0800,31.1000,31.0500,31.0700,2871,0
EPL.US,5,20131114,210000,31.0400,31.0900,31.0300,31.0900,2052,0
EPL.US,5,20131114,210500,31.0700,31.1400,31.0400,31.1000,2700,0
EPL.US,5,20131114,211000,31.0600,31.0900,31.0500,31.0900,2200,0
EPL.US,5,20131114,211500,31.0700,31.1100,31.0600,31.1000,2616,0
EPL.US,5,20131114,212000,31.0900,31.1700,31.0900,31.1000,4245,0
EPL.US,5,20131114,212500,31.1000,31.1100,31.0600,31.0600,2100,0
EPL.US,5,20131114,213000,31.0900,31.0900,31.0400,31.0400,3979,0
EPL.US,5,20131114,213500,31.0900,31.0900,31.0400,31.0600,2800,0
EPL.US,5,20131114,214000,31.0700,31.1100,31.0500,31.0700,1450,0
EPL.US,5,20131114,214500,31.0700,31.1000,31.0300,31.0800,3400,0
EPL.US,5,20131114,215000,31.0600,31.0700,31.0300,31.0700,2300,0
EPL.US,5,20131114,215500,31.0300,31.2800,31.0300,31.2800,9701,0
EPL.US,5,20131114,220000,31.2700,31.2800,31.1400,31.2000,10764,0
EPL.US,5,20131114,220500,31.1800,31.1800,31.1800,31.1800,5285,0
EPL.US,5,20131115,153500,31.0100,31.0100,31.0100,31.0100,100,0
EPL.US,5,20131115,154000,30.9800,30.9800,30.8800,30.8800,1800,0
EPL.US,5,20131115,154500,30.7800,30.9600,30.7300,30.9400,4545,0
EPL.US,5,20131115,155000,30.8400,30.8500,30.5700,30.6700,3419,0
EPL.US,5,20131115,155500,30.7000,31.0900,30.7000,30.9500,6080,0
EPL.US,5,20131115,160000,30.8100,30.8600,30.7000,30.7600,1900,0
EPL.US,5,20131115,160500,30.7600,30.8600,30.7400,30.8000,4200,0
EPL.US,5,20131115,161000,30.7400,30.8300,30.7400,30.8000,3820,0
EPL.US,5,20131115,161500,30.8000,30.8300,30.6900,30.7100,4200,0
EPL.US,5,20131115,162000,30.7200,30.7200,30.5700,30.6700,2500,0
EPL.US,5,20131115,162500,30.6700,30.8000,30.6700,30.7800,2800,0
EPL.US,5,20131115,163000,30.7800,30.9300,30.7600,30.8500,6400,0
EPL.US,5,20131115,163500,30.9100,30.9100,30.8100,30.8100,1664,0
EPL.US,5,20131115,164000,30.8300,30.8600,30.7600,30.8300,5111,0
EPL.US,5,20131115,164500,30.8200,30.8700,30.8100,30.8400,1250,0
EPL.US,5,20131115,165000,30.8300,30.8500,30.7800,30.8500,2000,0
EPL.US,5,20131115,165500,30.9000,30.9700,30.9000,30.9500,1900,0
EPL.US,5,20131115,170000,30.9400,30.9600,30.9300,30.9400,1015,0
EPL.US,5,20131115,170500,30.9500,30.9500,30.9100,30.9500,400,0
EPL.US,5,20131115,171000,30.9500,30.9600,30.9000,30.9100,2408,0
EPL.US,5,20131115,171500,30.9200,30.9300,30.9200,30.9200,600,0
EPL.US,5,20131115,172000,30.8600,30.8600,30.7800,30.8300,1466,0
EPL.US,5,20131115,172500,30.8500,30.9300,30.8000,30.8600,1700,0
EPL.US,5,20131115,173000,30.9100,30.9600,30.8900,30.9400,2400,0
EPL.US,5,20131115,173500,30.9400,30.9500,30.8100,30.8400,3000,0
EPL.US,5,20131115,174000,30.8400,30.9100,30.7800,30.7800,7100,0
EPL.US,5,20131115,174500,30.7800,30.8600,30.7100,30.8500,8200,0
EPL.US,5,20131115,175000,30.8700,30.8700,30.7900,30.8100,1900,0
EPL.US,5,20131115,175500,30.8100,30.8100,30.7300,30.7700,800,0
EPL.US,5,20131115,180000,30.7300,30.7700,30.7200,30.7700,1400,0
EPL.US,5,20131115,180500,30.7600,30.8200,30.7300,30.7700,800,0
EPL.US,5,20131115,181000,30.7700,30.7700,30.7200,30.7300,1700,0
EPL.US,5,20131115,181500,30.7400,30.8000,30.7100,30.7900,1500,0
EPL.US,5,20131115,182000,30.7800,30.9400,30.7800,30.8200,5051,0
EPL.US,5,20131115,182500,30.8700,30.9200,30.8400,30.9200,1979,0
EPL.US,5,20131115,183000,30.9300,30.9500,30.8400,30.9500,3200,0
EPL.US,5,20131115,183500,30.9300,30.9500,30.9000,30.9300,1900,0
EPL.US,5,20131115,184000,30.9200,30.9600,30.9100,30.9300,1000,0
EPL.US,5,20131115,184500,30.9200,30.9200,30.8900,30.8900,500,0
EPL.US,5,20131115,185000,30.8800,30.8800,30.8800,30.8800,100,0
EPL.US,5,20131115,185500,30.8600,30.9000,30.8600,30.9000,900,0
EPL.US,5,20131115,190000,30.8800,30.9000,30.8800,30.9000,235,0
EPL.US,5,20131115,190500,30.9200,30.9200,30.8900,30.8900,1000,0
EPL.US,5,20131115,191000,30.8500,31.0400,30.8400,31.0000,5151,0
EPL.US,5,20131115,191500,30.9400,30.9700,30.9100,30.9700,1900,0
EPL.US,5,20131115,192000,30.9600,30.9700,30.9100,30.9400,1100,0
EPL.US,5,20131115,192500,30.9100,30.9800,30.9100,30.9300,1190,0
EPL.US,5,20131115,193000,30.9400,30.9800,30.9400,30.9800,500,0
EPL.US,5,20131115,193500,30.9500,30.9700,30.8900,30.9400,2920,0
EPL.US,5,20131115,194500,30.9800,30.9800,30.9100,30.9300,1102,0
EPL.US,5,20131115,195000,30.8900,30.9200,30.8900,30.9200,200,0
EPL.US,5,20131115,195500,30.8900,30.8900,30.8400,30.8900,500,0
EPL.US,5,20131115,200000,30.8700,30.9400,30.8400,30.8400,600,0
EPL.US,5,20131115,200500,30.8400,30.8500,30.7900,30.8300,1400,0
EPL.US,5,20131115,201000,30.8200,30.9100,30.7600,30.8600,1000,0
EPL.US,5,20131115,201500,30.8800,30.8800,30.7800,30.8200,1200,0
EPL.US,5,20131115,202000,30.8300,30.8300,30.7600,30.7600,300,0
EPL.US,5,20131115,202500,30.7600,30.7700,30.6700,30.6700,4650,0
EPL.US,5,20131115,203000,30.6600,30.7200,30.6600,30.7000,778,0
EPL.US,5,20131115,203500,30.7600,30.7600,30.6600,30.6600,300,0
EPL.US,5,20131115,204000,30.6600,30.6900,30.6500,30.6700,1070,0
EPL.US,5,20131115,204500,30.6900,30.7500,30.6100,30.6100,4227,0
EPL.US,5,20131115,205000,30.6100,30.6800,30.6100,30.6800,1600,0
EPL.US,5,20131115,205500,30.6700,30.7000,30.6700,30.6900,800,0
EPL.US,5,20131115,210000,30.6900,30.6900,30.6300,30.6300,1500,0
EPL.US,5,20131115,210500,30.6300,30.6300,30.5400,30.5500,4100,0
EPL.US,5,20131115,211000,30.5400,30.7400,30.5400,30.7400,11334,0
EPL.US,5,20131115,211500,30.6900,30.7200,30.6900,30.6900,400,0
EPL.US,5,20131115,212000,30.7000,30.7700,30.7000,30.7400,2100,0
EPL.US,5,20131115,212500,30.7400,30.8000,30.7400,30.7700,1890,0
EPL.US,5,20131115,213000,30.7900,30.8300,30.7900,30.8000,4100,0
EPL.US,5,20131115,213500,30.8300,30.8500,30.8200,30.8500,3277,0
EPL.US,5,20131115,214000,30.8500,30.9100,30.8500,30.8600,2400,0
EPL.US,5,20131115,214500,30.8400,30.8700,30.8300,30.8500,3142,0
EPL.US,5,20131115,215000,30.8700,30.8900,30.8300,30.8700,5000,0
EPL.US,5,20131115,215500,30.8700,30.9100,30.8200,30.8600,9105,0
EPL.US,5,20131115,220000,30.8500,30.9500,30.8500,30.9300,20552,0
EPL.US,5,20131115,221000,30.9400,30.9400,30.9400,30.9400,18272,0
EPL.US,5,20131118,153500,30.8600,31.0500,30.8400,31.0500,1620,0
EPL.US,5,20131118,154000,31.0800,31.0800,30.8000,30.9800,5810,0
EPL.US,5,20131118,154500,30.9900,31.0100,30.7800,30.9100,4500,0
EPL.US,5,20131118,155000,30.9000,30.9800,30.7800,30.8900,7300,0
EPL.US,5,20131118,155500,30.8700,30.8700,30.7200,30.7300,1000,0
EPL.US,5,20131118,160000,30.5600,30.5600,30.4000,30.4700,3850,0
EPL.US,5,20131118,160500,30.4500,30.4500,30.3300,30.3900,4700,0
EPL.US,5,20131118,161000,30.3000,30.3800,30.3000,30.3700,2500,0
EPL.US,5,20131118,161500,30.4100,30.4100,30.2400,30.2400,800,0
EPL.US,5,20131118,162000,30.2000,30.2700,30.1200,30.2700,4612,0
EPL.US,5,20131118,162500,30.3400,30.3400,30.2000,30.2000,1220,0
EPL.US,5,20131118,163000,30.1500,30.2100,30.1500,30.2000,1300,0
EPL.US,5,20131118,163500,30.1100,30.2100,30.0700,30.2100,25933,0
EPL.US,5,20131118,164000,30.2000,30.2700,30.1700,30.2700,3683,0
EPL.US,5,20131118,164500,30.2600,30.3400,30.2500,30.2500,1700,0
EPL.US,5,20131118,165000,30.2600,30.3600,30.2400,30.2900,7850,0
EPL.US,5,20131118,165500,30.3100,30.3300,30.3100,30.3100,600,0
EPL.US,5,20131118,170000,30.3700,30.3700,30.3000,30.3000,1450,0
EPL.US,5,20131118,170500,30.3700,30.4600,30.3700,30.4300,2300,0
EPL.US,5,20131118,171000,30.4500,30.4800,30.4100,30.4800,1700,0
EPL.US,5,20131118,171500,30.4500,30.4900,30.3900,30.4700,1800,0
EPL.US,5,20131118,172000,30.4000,30.4000,30.3700,30.3700,300,0
EPL.US,5,20131118,172500,30.3400,30.3500,30.1100,30.3400,22060,0
EPL.US,5,20131118,173000,30.3500,30.3500,30.3000,30.3300,3146,0
EPL.US,5,20131118,173500,30.3200,30.3200,30.1400,30.1400,1500,0
EPL.US,5,20131118,174000,30.1400,30.1600,30.0900,30.1000,3912,0
EPL.US,5,20131118,174500,30.1000,30.1100,30.1000,30.1000,1104,0
EPL.US,5,20131118,175000,30.0700,30.1400,30.0200,30.0800,5200,0
EPL.US,5,20131118,175500,30.0700,30.0900,29.8000,29.8500,18153,0
EPL.US,5,20131118,180000,29.8800,29.8800,29.8300,29.8300,4154,0
EPL.US,5,20131118,180500,29.8600,29.9500,29.8100,29.8400,2200,0
