<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EPR-F.US,5,20131112,171000,21.4100,21.4100,21.4100,21.4100,300,0
EPR-F.US,5,20131112,190000,21.6800,21.6800,21.6800,21.6800,100,0
EPR-F.US,5,20131112,200000,21.6800,21.6800,21.6800,21.6800,1495,0
EPR-F.US,5,20131112,203500,21.4200,21.4200,21.4200,21.4200,100,0
EPR-F.US,5,20131112,215000,21.4300,21.4300,21.4300,21.4300,100,0
EPR-F.US,5,20131112,220000,21.4000,21.4000,21.4000,21.4000,100,0
EPR-F.US,5,20131113,163000,21.4000,21.4000,21.1000,21.2100,2000,0
EPR-F.US,5,20131113,170000,21.6200,21.6200,21.6200,21.6200,100,0
EPR-F.US,5,20131113,192500,21.2200,21.2200,21.2200,21.2200,100,0
EPR-F.US,5,20131113,212000,21.6200,21.6200,21.6200,21.6200,600,0
EPR-F.US,5,20131113,212500,21.5000,21.5000,21.5000,21.5000,296,0
EPR-F.US,5,20131113,214000,21.4800,21.4800,21.4800,21.4800,500,0
EPR-F.US,5,20131113,215000,21.4000,21.4000,21.4000,21.4000,204,0
EPR-F.US,5,20131113,220000,21.4900,21.4900,21.4700,21.4700,278,0
EPR-F.US,5,20131114,165000,21.4000,21.4000,21.4000,21.4000,210,0
EPR-F.US,5,20131114,192500,21.5500,21.8300,21.5500,21.8300,4057,0
EPR-F.US,5,20131114,200000,21.5300,21.5300,21.5300,21.5300,310,0
EPR-F.US,5,20131114,210500,21.7100,21.7800,21.7100,21.7800,716,0
EPR-F.US,5,20131114,213500,21.8200,21.8300,21.8200,21.8300,900,0
EPR-F.US,5,20131114,214000,21.8200,21.8300,21.8200,21.8300,839,0
EPR-F.US,5,20131114,214500,21.8300,21.8300,21.8300,21.8300,393,0
EPR-F.US,5,20131114,215000,21.8300,21.8300,21.8300,21.8300,100,0
EPR-F.US,5,20131115,161500,21.9900,21.9900,21.9900,21.9900,400,0
EPR-F.US,5,20131115,164000,21.9700,22.0000,21.9700,22.0000,4803,0
EPR-F.US,5,20131115,184500,21.5600,21.5600,21.5600,21.5600,213,0
EPR-F.US,5,20131115,193500,21.9800,21.9900,21.9800,21.9900,500,0
EPR-F.US,5,20131115,202000,21.9400,21.9400,21.9400,21.9400,100,0
EPR-F.US,5,20131115,214000,21.8500,21.8500,21.8200,21.8500,569,0
EPR-F.US,5,20131115,221000,21.8500,21.8500,21.8500,21.8500,100,0
EPR-F.US,5,20131118,165000,21.8100,21.8100,21.7800,21.7800,339,0
EPR-F.US,5,20131118,172500,21.6800,21.9100,21.6800,21.9100,1410,0
EPR-F.US,5,20131118,193500,21.7800,21.7800,21.7800,21.7800,100,0
EPR-F.US,5,20131118,204500,21.9400,21.9400,21.9200,21.9300,658,0
EPR-F.US,5,20131118,214000,21.8400,21.8400,21.8400,21.8400,130,0
EPR-F.US,5,20131119,165000,21.9000,21.9000,21.9000,21.9000,400,0
EPR-F.US,5,20131119,172500,21.8900,21.9000,21.8900,21.9000,300,0
EPR-F.US,5,20131119,173500,21.8900,21.9400,21.8900,21.9300,2595,0
EPR-F.US,5,20131119,174500,21.9400,21.9400,21.9400,21.9400,843,0
EPR-F.US,5,20131119,175000,21.9700,21.9900,21.9700,21.9900,1000,0
EPR-F.US,5,20131119,175500,21.9900,22.0000,21.9900,22.0000,750,0
EPR-F.US,5,20131119,180000,22.0000,22.0000,22.0000,22.0000,976,0
EPR-F.US,5,20131119,180500,22.0000,22.0000,22.0000,22.0000,200,0
EPR-F.US,5,20131119,182500,22.0000,22.0000,22.0000,22.0000,300,0
EPR-F.US,5,20131119,183000,22.0000,22.0000,22.0000,22.0000,100,0
EPR-F.US,5,20131119,184500,22.0000,22.0000,21.9100,21.9100,300,0
EPR-F.US,5,20131119,185500,21.5800,21.6200,21.5700,21.6200,1200,0
EPR-F.US,5,20131119,190000,21.7300,21.7300,21.7300,21.7300,100,0
EPR-F.US,5,20131119,203000,21.7500,21.7500,21.7500,21.7500,300,0
EPR-F.US,5,20131119,205000,21.7500,21.7500,21.7500,21.7500,915,0
EPR-F.US,5,20131119,205500,21.7500,21.7500,21.7500,21.7500,200,0
EPR-F.US,5,20131119,214500,21.7600,21.7600,21.7600,21.7600,1000,0
EPR-F.US,5,20131119,215000,21.7800,21.7800,21.7800,21.7800,100,0
EPR-F.US,5,20131119,215500,21.7800,21.7800,21.7800,21.7800,244,0
EPR-F.US,5,20131119,220000,21.7800,21.7800,21.7800,21.7800,100,0
EPR-F.US,5,20131120,174500,21.9600,21.9600,21.9600,21.9600,100,0
EPR-F.US,5,20131120,182000,21.7900,21.7900,21.7900,21.7900,400,0
EPR-F.US,5,20131120,194000,21.8000,21.8000,21.8000,21.8000,16464,0
EPR-F.US,5,20131120,204000,21.9700,21.9900,21.9600,21.9900,1200,0
EPR-F.US,5,20131120,211000,21.8400,21.8400,21.8400,21.8400,122,0
EPR-F.US,5,20131120,214000,21.8500,21.8500,21.8500,21.8500,100,0
EPR-F.US,5,20131120,220000,21.8400,21.8400,21.8400,21.8400,100,0
EPR-F.US,5,20131121,154500,21.8400,21.8400,21.8400,21.8400,355,0
EPR-F.US,5,20131121,173000,21.9400,21.9400,21.9400,21.9400,574,0
EPR-F.US,5,20131121,181500,21.9400,21.9400,21.9400,21.9400,600,0
EPR-F.US,5,20131121,185000,22.0600,22.0600,22.0600,22.0600,100,0
EPR-F.US,5,20131121,192000,21.9200,21.9200,21.4100,21.4100,3285,0
EPR-F.US,5,20131121,194000,21.6500,21.6500,21.6500,21.6500,270,0
EPR-F.US,5,20131121,194500,21.6400,21.8500,21.6200,21.8200,2500,0
EPR-F.US,5,20131121,210500,21.8100,21.8100,21.8000,21.8100,700,0
EPR-F.US,5,20131121,213000,21.8000,21.8000,21.8000,21.8000,100,0
EPR-F.US,5,20131121,214000,21.7700,21.8000,21.7700,21.8000,200,0
EPR-F.US,5,20131121,220000,21.8000,21.8000,21.5100,21.5100,300,0
EPR-F.US,5,20131122,170500,21.8200,21.8200,21.8200,21.8200,100,0
EPR-F.US,5,20131122,181000,21.8200,21.8200,21.8200,21.8200,500,0
EPR-F.US,5,20131122,181500,21.5400,21.5400,21.5400,21.5400,202,0
EPR-F.US,5,20131122,200000,21.5700,21.6100,21.5600,21.6000,1570,0
EPR-F.US,5,20131122,201500,21.6100,21.6100,21.5900,21.5900,300,0
EPR-F.US,5,20131122,203500,21.5900,21.5900,21.5800,21.5800,200,0
EPR-F.US,5,20131122,204000,21.5500,21.7700,21.5500,21.7700,500,0
EPR-F.US,5,20131122,204500,21.6000,21.6000,21.5800,21.5800,461,0
EPR-F.US,5,20131122,205500,21.7600,22.0600,21.5900,21.5900,2060,0
EPR-F.US,5,20131122,211000,21.5900,21.6100,21.5900,21.6100,642,0
EPR-F.US,5,20131122,212000,21.7200,21.7500,21.7200,21.7500,300,0
EPR-F.US,5,20131122,220000,21.6400,21.6400,21.6400,21.6400,100,0
EPR-F.US,5,20131122,220500,21.6300,21.6300,21.6300,21.6300,1404,0
EPR-F.US,5,20131125,154000,21.6200,21.6200,21.5600,21.5600,969,0
EPR-F.US,5,20131125,161500,21.5700,21.5700,21.5500,21.5500,500,0
EPR-F.US,5,20131125,171500,21.5500,21.5500,21.5500,21.5500,100,0
EPR-F.US,5,20131125,180500,21.8000,21.8200,21.8000,21.8200,1083,0
EPR-F.US,5,20131125,182500,21.7700,21.7700,21.7700,21.7700,600,0
EPR-F.US,5,20131125,183000,21.6300,21.6300,21.6300,21.6300,1000,0
EPR-F.US,5,20131125,192500,21.7600,21.7600,21.7600,21.7600,800,0
EPR-F.US,5,20131125,204000,21.6300,22.0100,21.6300,21.9700,3000,0
EPR-F.US,5,20131125,212000,21.6300,21.6300,21.6300,21.6300,500,0
EPR-F.US,5,20131125,220000,21.6400,21.6400,21.6400,21.6400,200,0
EPR-F.US,5,20131126,155000,21.7600,21.7600,21.7600,21.7600,300,0
EPR-F.US,5,20131126,161500,21.9400,21.9400,21.9400,21.9400,200,0
EPR-F.US,5,20131126,165000,21.9100,21.9300,21.9100,21.9300,1497,0
EPR-F.US,5,20131126,173000,21.9300,21.9800,21.9300,21.9800,800,0
EPR-F.US,5,20131126,174500,21.9300,21.9300,21.9300,21.9300,156,0
EPR-F.US,5,20131126,175500,21.9400,21.9400,21.9300,21.9300,1545,0
EPR-F.US,5,20131126,180500,22.0300,22.2400,22.0300,22.2400,1300,0
EPR-F.US,5,20131126,181000,22.1500,22.1500,22.1500,22.1500,100,0
EPR-F.US,5,20131126,181500,22.1500,22.1500,22.1500,22.1500,300,0
EPR-F.US,5,20131126,182500,22.1500,22.1500,22.1500,22.1500,1000,0
EPR-F.US,5,20131126,183000,22.1500,22.1500,22.1500,22.1500,1700,0
EPR-F.US,5,20131126,190000,22.1500,22.1500,22.1500,22.1500,600,0
EPR-F.US,5,20131126,192000,22.1500,22.1500,22.1500,22.1500,500,0
EPR-F.US,5,20131126,194500,22.1500,22.1600,22.1500,22.1600,1000,0
EPR-F.US,5,20131126,195500,22.1500,22.1500,21.9300,21.9300,3600,0
EPR-F.US,5,20131126,200500,22.1500,22.1500,22.1500,22.1500,3705,0
EPR-F.US,5,20131126,201500,22.2200,22.2200,22.2200,22.2200,234,0
EPR-F.US,5,20131126,213500,22.1500,22.1500,22.1500,22.1500,2400,0
EPR-F.US,5,20131126,214500,22.0000,22.2000,22.0000,22.2000,600,0
EPR-F.US,5,20131126,220000,22.0700,22.0700,22.0700,22.0700,100,0
EPR-F.US,5,20131127,160500,22.2000,22.2500,22.2000,22.2500,1954,0
EPR-F.US,5,20131127,181500,22.0600,22.0600,22.0600,22.0600,245,0
EPR-F.US,5,20131127,203000,22.1000,22.1200,22.1000,22.1000,1800,0
EPR-F.US,5,20131127,204000,22.1800,22.1800,22.1800,22.1800,700,0
EPR-F.US,5,20131127,212000,22.1800,22.1800,22.1800,22.1800,100,0
EPR-F.US,5,20131127,215000,22.1600,22.1600,22.1600,22.1600,100,0
EPR-F.US,5,20131127,220000,22.1600,22.1600,22.1600,22.1600,500,0
EPR-F.US,5,20131129,165000,22.0000,22.0000,22.0000,22.0000,123,0
EPR-F.US,5,20131202,155500,22.2400,22.2400,22.2400,22.2400,250,0
EPR-F.US,5,20131202,165500,22.0200,22.0200,22.0200,22.0200,200,0
EPR-F.US,5,20131202,184500,22.0200,22.0200,22.0200,22.0200,100,0
EPR-F.US,5,20131202,192000,22.0200,22.0200,22.0100,22.0100,700,0
EPR-F.US,5,20131202,203500,22.2200,22.2200,22.2000,22.2100,500,0
EPR-F.US,5,20131202,213000,22.0100,22.0100,22.0000,22.0000,300,0
EPR-F.US,5,20131202,214500,22.1900,22.1900,22.1900,22.1900,200,0
EPR-F.US,5,20131202,220000,21.8000,21.8000,21.8000,21.8000,100,0
EPR-F.US,5,20131203,172500,22.0000,22.0000,21.8200,21.8200,1300,0
EPR-F.US,5,20131203,175500,21.9500,21.9500,21.9500,21.9500,714,0
EPR-F.US,5,20131203,182000,21.6700,21.9500,21.6600,21.6600,2764,0
EPR-F.US,5,20131203,182500,21.6800,21.6800,21.5600,21.6700,4850,0
EPR-F.US,5,20131203,192000,21.7800,21.9300,21.7800,21.9300,422,0
EPR-F.US,5,20131203,194000,21.6500,21.6500,21.6500,21.6500,300,0
EPR-F.US,5,20131203,195000,21.8300,21.8300,21.8300,21.8300,400,0
EPR-F.US,5,20131203,202000,21.7500,21.9100,21.7500,21.9100,350,0
EPR-F.US,5,20131203,202500,21.9000,21.9000,21.8700,21.8700,800,0
EPR-F.US,5,20131203,204000,21.8800,21.9100,21.8800,21.9100,650,0
EPR-F.US,5,20131203,204500,21.9000,21.9000,21.9000,21.9000,110,0
EPR-F.US,5,20131203,211000,21.7500,21.7500,21.7500,21.7500,215,0
EPR-F.US,5,20131203,214500,21.8400,21.8400,21.8400,21.8400,200,0
EPR-F.US,5,20131204,160000,21.7500,21.7500,21.7500,21.7500,100,0
EPR-F.US,5,20131204,160500,21.9600,21.9600,21.9600,21.9600,100,0
EPR-F.US,5,20131204,163500,21.9200,21.9200,21.9200,21.9200,100,0
EPR-F.US,5,20131204,172000,21.9200,21.9200,21.9200,21.9200,100,0
EPR-F.US,5,20131204,173000,21.8800,21.8800,21.8800,21.8800,124,0
EPR-F.US,5,20131204,175000,21.9000,21.9300,21.8500,21.8500,1135,0
EPR-F.US,5,20131204,181000,21.9400,21.9400,21.9400,21.9400,100,0
EPR-F.US,5,20131204,182500,21.8500,21.8500,21.7600,21.7600,1100,0
EPR-F.US,5,20131204,184500,21.8900,21.8900,21.8500,21.8500,1600,0
EPR-F.US,5,20131204,191000,21.8500,21.8600,21.8500,21.8500,1000,0
EPR-F.US,5,20131204,191500,21.8500,21.8500,21.8500,21.8500,400,0
EPR-F.US,5,20131204,193000,21.9200,21.9200,21.9200,21.9200,245,0
EPR-F.US,5,20131204,195000,21.8600,21.8600,21.8600,21.8600,100,0
EPR-F.US,5,20131204,200000,21.8500,21.8500,21.8500,21.8500,934,0
EPR-F.US,5,20131204,202500,21.8500,21.8500,21.8500,21.8500,1000,0
EPR-F.US,5,20131204,211000,21.7500,21.7500,21.6900,21.6900,1987,0
EPR-F.US,5,20131204,213000,21.6800,21.6800,21.6700,21.6700,802,0
EPR-F.US,5,20131204,213500,21.6800,21.6800,21.6500,21.6500,852,0
EPR-F.US,5,20131204,214500,21.6800,21.6800,21.6600,21.6600,400,0
EPR-F.US,5,20131204,220000,21.6900,21.7000,21.6900,21.7000,454,0
EPR-F.US,5,20131205,153500,21.6800,21.6800,21.6500,21.6500,600,0
EPR-F.US,5,20131205,171000,21.5600,21.5600,21.5600,21.5600,1000,0
EPR-F.US,5,20131205,212000,21.6500,21.6500,21.6500,21.6500,100,0
EPR-F.US,5,20131205,215000,21.7300,21.7300,21.6500,21.6500,2200,0
EPR-F.US,5,20131205,215500,21.6300,21.6300,21.6300,21.6300,100,0
EPR-F.US,5,20131205,220000,21.6700,21.6700,21.6700,21.6700,172,0
EPR-F.US,5,20131206,155500,21.7000,21.7000,21.7000,21.7000,958,0
EPR-F.US,5,20131206,190500,21.6800,21.6800,21.6800,21.6800,900,0
EPR-F.US,5,20131206,194000,21.6800,21.6800,21.6800,21.6800,183,0
EPR-F.US,5,20131206,202000,21.6800,21.6800,21.6800,21.6800,100,0
EPR-F.US,5,20131206,204500,21.7000,21.7000,21.7000,21.7000,400,0
EPR-F.US,5,20131206,205000,21.6800,21.6800,21.6800,21.6800,158,0
EPR-F.US,5,20131206,211500,21.6800,21.6800,21.6800,21.6800,100,0
EPR-F.US,5,20131206,212000,21.6800,21.6800,21.6800,21.6800,100,0
EPR-F.US,5,20131206,212500,21.6800,21.6800,21.6800,21.6800,300,0
EPR-F.US,5,20131206,213000,21.6300,21.6300,21.6300,21.6300,100,0
EPR-F.US,5,20131206,213500,21.6300,21.6900,21.6300,21.6900,269,0
EPR-F.US,5,20131206,214000,21.6100,21.6300,21.6100,21.6300,985,0
EPR-F.US,5,20131206,214500,21.6300,21.6300,21.6300,21.6300,400,0
EPR-F.US,5,20131206,215000,21.6300,21.6300,21.6300,21.6300,200,0
EPR-F.US,5,20131206,215500,21.6300,21.6700,21.6300,21.6700,400,0
EPR-F.US,5,20131206,220000,21.6700,21.6900,21.6300,21.6300,983,0
EPR-F.US,5,20131209,153500,21.6400,21.6400,21.6400,21.6400,600,0
EPR-F.US,5,20131209,165500,21.6600,21.6600,21.6100,21.6100,400,0
EPR-F.US,5,20131209,170500,21.7000,21.7300,21.7000,21.7300,500,0
EPR-F.US,5,20131209,171000,21.8800,21.9400,21.8800,21.9400,900,0
EPR-F.US,5,20131209,173500,22.0300,22.0700,21.8400,21.8400,5695,0
EPR-F.US,5,20131209,174000,21.6300,21.6300,21.6300,21.6300,1000,0
EPR-F.US,5,20131209,182500,21.6400,21.8600,21.6000,21.7000,9202,0
EPR-F.US,5,20131209,184000,21.7000,21.7000,21.7000,21.7000,400,0
EPR-F.US,5,20131209,184500,21.7100,21.7100,21.7100,21.7100,200,0
EPR-F.US,5,20131209,195000,21.8100,21.8100,21.8100,21.8100,900,0
EPR-F.US,5,20131209,203000,21.6500,21.6800,21.4300,21.6800,8035,0
EPR-F.US,5,20131209,205500,21.5900,21.5900,21.5900,21.5900,100,0
EPR-F.US,5,20131209,210000,21.6300,21.6300,21.5500,21.5500,2400,0
EPR-F.US,5,20131209,211000,21.5500,21.5700,21.5500,21.5700,300,0
EPR-F.US,5,20131209,211500,21.6000,21.6000,21.6000,21.6000,2400,0
EPR-F.US,5,20131209,212500,21.6000,21.6100,21.6000,21.6000,759,0
EPR-F.US,5,20131209,213500,21.6300,21.6300,21.6300,21.6300,200,0
EPR-F.US,5,20131209,214000,21.6300,21.6300,21.6300,21.6300,500,0
EPR-F.US,5,20131209,214500,21.6300,21.6300,21.6300,21.6300,1100,0
EPR-F.US,5,20131209,215000,21.6300,21.6300,21.6300,21.6300,300,0
EPR-F.US,5,20131209,215500,21.6300,21.6300,21.6300,21.6300,200,0
EPR-F.US,5,20131209,220000,21.6300,21.6300,21.6300,21.6300,200,0
