<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ESBA.US,5,20131112,160500,12.9900,13.0000,12.9900,13.0000,900,0
ESBA.US,5,20131112,165500,12.8000,12.8000,12.3500,12.3500,2292,0
ESBA.US,5,20131112,173000,13.0000,13.0000,13.0000,13.0000,376,0
ESBA.US,5,20131112,191000,12.9800,13.0000,12.9800,13.0000,1414,0
ESBA.US,5,20131112,210000,13.0000,13.0000,13.0000,13.0000,700,0
ESBA.US,5,20131113,154000,12.6200,12.6200,12.6200,12.6200,320,0
ESBA.US,5,20131113,164000,13.0000,13.0000,13.0000,13.0000,200,0
ESBA.US,5,20131113,173500,12.7900,12.7900,12.7500,12.7500,3269,0
ESBA.US,5,20131113,183000,12.9800,12.9900,12.9800,12.9800,300,0
ESBA.US,5,20131113,183500,12.9900,13.0000,12.9900,13.0000,1850,0
ESBA.US,5,20131114,154000,13.0100,13.0100,13.0100,13.0100,100,0
ESBA.US,5,20131114,194500,13.1600,13.1600,13.1600,13.1600,382,0
ESBA.US,5,20131114,220000,13.1600,13.1600,13.1600,13.1600,269,0
ESBA.US,5,20131115,163500,13.2500,13.2500,13.1000,13.1000,300,0
ESBA.US,5,20131115,164000,13.1000,13.1000,12.8000,12.8000,600,0
ESBA.US,5,20131115,175500,13.3900,13.4000,13.3900,13.4000,200,0
ESBA.US,5,20131115,180500,13.0000,13.0400,13.0000,13.0400,200,0
ESBA.US,5,20131118,201000,13.0500,13.0500,13.0500,13.0500,100,0
ESBA.US,5,20131119,163000,13.4000,13.4900,13.4000,13.4000,1230,0
ESBA.US,5,20131119,165500,13.2000,13.2000,13.2000,13.2000,200,0
ESBA.US,5,20131119,170500,13.2000,13.2000,13.2000,13.2000,427,0
ESBA.US,5,20131119,193500,13.1100,13.1100,13.1100,13.1100,300,0
ESBA.US,5,20131120,180500,13.0500,13.0500,13.0500,13.0500,300,0
ESBA.US,5,20131120,193000,13.0100,13.0100,13.0000,13.0000,850,0
ESBA.US,5,20131120,201500,13.0500,13.0500,13.0500,13.0500,100,0
ESBA.US,5,20131120,202500,13.0200,13.0200,12.9300,12.9300,300,0
ESBA.US,5,20131120,212000,13.0000,13.0000,13.0000,13.0000,6700,0
ESBA.US,5,20131122,165000,13.0000,13.0000,13.0000,13.0000,200,0
ESBA.US,5,20131122,171000,13.0000,13.0000,13.0000,13.0000,100,0
ESBA.US,5,20131122,172000,13.0000,13.0000,13.0000,13.0000,300,0
ESBA.US,5,20131122,192000,13.0000,13.0000,13.0000,13.0000,150,0
ESBA.US,5,20131125,161000,12.8700,12.8700,12.8200,12.8200,300,0
ESBA.US,5,20131125,191000,12.8800,12.8800,12.8800,12.8800,138,0
ESBA.US,5,20131125,193000,12.9500,12.9500,12.9500,12.9500,100,0
ESBA.US,5,20131125,202500,12.8800,12.8800,12.8800,12.8800,286,0
ESBA.US,5,20131125,215000,12.8400,12.8600,12.8400,12.8400,3982,0
ESBA.US,5,20131125,215500,12.8100,12.8100,12.8100,12.8100,1053,0
ESBA.US,5,20131126,163000,12.9500,12.9500,12.9500,12.9500,200,0
ESBA.US,5,20131126,163500,12.9500,12.9500,12.9500,12.9500,200,0
ESBA.US,5,20131126,195000,13.1000,13.1000,13.1000,13.1000,573,0
ESBA.US,5,20131126,204500,12.9600,12.9600,12.9600,12.9600,100,0
ESBA.US,5,20131127,203500,13.2000,13.2000,13.2000,13.2000,392,0
ESBA.US,5,20131127,204000,13.1300,13.1400,13.1300,13.1400,600,0
ESBA.US,5,20131127,212500,13.1100,13.1100,13.1100,13.1100,100,0
ESBA.US,5,20131202,182000,13.2000,13.2000,13.2000,13.2000,7200,0
ESBA.US,5,20131202,184000,13.2500,13.2500,13.2500,13.2500,500,0
ESBA.US,5,20131202,193000,13.2600,13.2600,13.2600,13.2600,100,0
ESBA.US,5,20131203,154000,13.0000,13.0000,13.0000,13.0000,600,0
ESBA.US,5,20131203,155500,13.1300,13.1400,12.9300,12.9300,773,0
ESBA.US,5,20131203,162000,13.1500,13.1500,13.1500,13.1500,100,0
ESBA.US,5,20131203,170000,13.0900,13.1500,13.0900,13.1500,500,0
ESBA.US,5,20131203,173500,13.1800,13.1800,13.1800,13.1800,300,0
ESBA.US,5,20131203,180000,12.9400,12.9400,12.9400,12.9400,229,0
ESBA.US,5,20131203,191000,13.1200,13.1200,13.0000,13.0000,2292,0
ESBA.US,5,20131203,212500,13.0000,13.0000,13.0000,13.0000,900,0
ESBA.US,5,20131203,213500,13.0400,13.0400,13.0400,13.0400,700,0
ESBA.US,5,20131204,153500,12.8900,12.8900,12.8900,12.8900,100,0
ESBA.US,5,20131204,183000,13.3000,13.3300,13.3000,13.3300,300,0
ESBA.US,5,20131204,210500,13.2200,13.2200,13.2200,13.2200,300,0
ESBA.US,5,20131204,211000,13.1500,13.1500,13.1400,13.1500,800,0
ESBA.US,5,20131205,171500,13.4100,13.5000,13.4100,13.5000,2860,0
ESBA.US,5,20131205,172000,13.5000,13.5000,13.5000,13.5000,300,0
ESBA.US,5,20131206,165000,13.2600,13.2800,13.2600,13.2800,600,0
ESBA.US,5,20131206,220000,13.4600,13.4600,13.2900,13.2900,682,0
ESBA.US,5,20131209,174500,13.3300,13.3300,13.3300,13.3300,800,0
ESBA.US,5,20131209,175500,13.3400,13.3400,13.3300,13.3300,2292,0
ESBA.US,5,20131209,210000,13.5000,13.5000,13.5000,13.5000,9100,0
ESBA.US,5,20131209,213000,13.4800,13.4800,13.4800,13.4800,197,0
