<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ETH.US,5,20131112,153500,28.2500,28.3800,28.2500,28.3800,400,0
ETH.US,5,20131112,154000,28.1300,28.2100,28.0500,28.0500,2300,0
ETH.US,5,20131112,154500,28.0400,28.1100,28.0400,28.1100,500,0
ETH.US,5,20131112,155000,28.0900,28.1300,28.0900,28.1000,1500,0
ETH.US,5,20131112,155500,28.1100,28.1100,28.1100,28.1100,200,0
ETH.US,5,20131112,160000,28.0900,28.0900,27.9400,27.9700,2000,0
ETH.US,5,20131112,160500,28.0100,28.0100,27.8300,27.9100,1100,0
ETH.US,5,20131112,161000,27.8900,27.9900,27.8900,27.9800,1200,0
ETH.US,5,20131112,161500,28.0200,28.0300,28.0200,28.0300,200,0
ETH.US,5,20131112,162000,28.0200,28.0200,28.0200,28.0200,200,0
ETH.US,5,20131112,162500,28.0100,28.0100,27.8800,27.9300,600,0
ETH.US,5,20131112,163000,27.9200,27.9200,27.9200,27.9200,375,0
ETH.US,5,20131112,163500,28.0000,28.0600,27.8700,27.8700,1500,0
ETH.US,5,20131112,164000,27.8600,27.9200,27.8600,27.9000,700,0
ETH.US,5,20131112,164500,27.9100,27.9300,27.8500,27.8500,500,0
ETH.US,5,20131112,165000,27.8800,27.8800,27.8800,27.8800,100,0
ETH.US,5,20131112,165500,27.8300,27.8300,27.7700,27.7800,1122,0
ETH.US,5,20131112,170000,27.7800,27.8300,27.7300,27.7300,2900,0
ETH.US,5,20131112,170500,27.7300,27.7600,27.6900,27.7600,1900,0
ETH.US,5,20131112,171000,27.7400,27.7400,27.6400,27.6400,700,0
ETH.US,5,20131112,171500,27.6200,27.8900,27.6200,27.8400,3000,0
ETH.US,5,20131112,172500,27.8700,27.8700,27.8300,27.8300,300,0
ETH.US,5,20131112,173000,27.8200,27.8200,27.7800,27.7800,300,0
ETH.US,5,20131112,173500,27.8000,27.8800,27.8000,27.8600,600,0
ETH.US,5,20131112,174000,27.8300,27.8300,27.7300,27.7300,400,0
ETH.US,5,20131112,174500,27.7000,27.7000,27.7000,27.7000,200,0
ETH.US,5,20131112,175000,27.6900,27.6900,27.6000,27.6800,1900,0
ETH.US,5,20131112,175500,27.6700,27.6700,27.6700,27.6700,100,0
ETH.US,5,20131112,180000,27.6800,27.6800,27.6500,27.6500,300,0
ETH.US,5,20131112,180500,27.7000,27.8300,27.6600,27.8300,2500,0
ETH.US,5,20131112,181000,27.7500,27.7500,27.6500,27.6500,700,0
