<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EVG.US,5,20131112,154000,15.2500,15.2600,15.2500,15.2600,3183,0
EVG.US,5,20131112,154500,15.2600,15.2600,15.2600,15.2600,200,0
EVG.US,5,20131112,155500,15.2600,15.2600,15.2600,15.2600,438,0
EVG.US,5,20131112,160000,15.2600,15.2700,15.2500,15.2500,7300,0
EVG.US,5,20131112,160500,15.2500,15.2500,15.2500,15.2500,2500,0
EVG.US,5,20131112,161000,15.2400,15.2400,15.2400,15.2400,1448,0
EVG.US,5,20131112,161500,15.2400,15.2400,15.2400,15.2400,364,0
EVG.US,5,20131112,163500,15.2500,15.2900,15.2400,15.2900,13719,0
EVG.US,5,20131112,164000,15.2900,15.2900,15.2600,15.2600,5020,0
EVG.US,5,20131112,165000,15.2900,15.2900,15.2800,15.2800,1131,0
EVG.US,5,20131112,165500,15.2800,15.2900,15.2800,15.2900,3500,0
EVG.US,5,20131112,174000,15.2800,15.2800,15.2800,15.2800,1454,0
EVG.US,5,20131112,174500,15.2900,15.2900,15.2900,15.2900,1422,0
EVG.US,5,20131112,175000,15.2700,15.2700,15.2700,15.2700,3800,0
EVG.US,5,20131112,175500,15.3000,15.3000,15.3000,15.3000,211,0
EVG.US,5,20131112,182500,15.2700,15.2700,15.2600,15.2600,1574,0
EVG.US,5,20131112,185000,15.2600,15.2600,15.2500,15.2500,1150,0
EVG.US,5,20131112,185500,15.2500,15.2500,15.2500,15.2500,451,0
EVG.US,5,20131112,190000,15.2800,15.2800,15.2400,15.2400,5163,0
EVG.US,5,20131112,190500,15.2300,15.2300,15.2300,15.2300,694,0
EVG.US,5,20131112,194000,15.2500,15.2600,15.2300,15.2300,3022,0
EVG.US,5,20131112,195000,15.2200,15.2200,15.2200,15.2200,800,0
EVG.US,5,20131112,200000,15.2400,15.2400,15.2400,15.2400,193,0
EVG.US,5,20131112,200500,15.2200,15.2200,15.2200,15.2200,100,0
EVG.US,5,20131112,201000,15.2300,15.2300,15.2300,15.2300,104,0
EVG.US,5,20131112,202000,15.2400,15.2400,15.2400,15.2400,133,0
EVG.US,5,20131112,204500,15.2200,15.2200,15.2200,15.2200,100,0
EVG.US,5,20131112,210000,15.2200,15.2200,15.2200,15.2200,700,0
EVG.US,5,20131112,211500,15.2300,15.2300,15.2200,15.2200,517,0
EVG.US,5,20131112,212000,15.2200,15.2300,15.2200,15.2300,2060,0
EVG.US,5,20131112,212500,15.2300,15.2300,15.2300,15.2300,800,0
EVG.US,5,20131112,213000,15.2300,15.2300,15.2300,15.2300,100,0
EVG.US,5,20131112,215000,15.2500,15.2500,15.2500,15.2500,557,0
EVG.US,5,20131112,215500,15.2300,15.2300,15.2100,15.2200,1100,0
