<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EXAR.US,5,20131112,153500,11.9300,12.0000,11.9200,12.0000,1300,0
EXAR.US,5,20131112,154000,12.0100,12.0200,12.0000,12.0000,900,0
EXAR.US,5,20131112,154500,12.0000,12.0000,12.0000,12.0000,500,0
EXAR.US,5,20131112,155000,12.0000,12.0000,12.0000,12.0000,700,0
EXAR.US,5,20131112,155500,12.0000,12.0000,12.0000,12.0000,600,0
EXAR.US,5,20131112,160000,12.0100,12.0100,11.9400,11.9600,2412,0
EXAR.US,5,20131112,161000,11.9200,11.9400,11.9000,11.9200,1278,0
EXAR.US,5,20131112,161500,11.9400,11.9400,11.9400,11.9400,600,0
EXAR.US,5,20131112,162000,11.9400,11.9500,11.9400,11.9500,700,0
EXAR.US,5,20131112,163000,11.9900,11.9900,11.9900,11.9900,2700,0
EXAR.US,5,20131112,163500,12.0000,12.0000,12.0000,12.0000,1900,0
EXAR.US,5,20131112,164000,11.9800,12.0000,11.9600,11.9800,2200,0
EXAR.US,5,20131112,165000,11.9600,11.9600,11.9500,11.9500,1800,0
EXAR.US,5,20131112,165500,11.9400,11.9500,11.9100,11.9500,900,0
EXAR.US,5,20131112,170000,11.9400,11.9600,11.9400,11.9500,1300,0
EXAR.US,5,20131112,170500,11.9500,11.9500,11.9000,11.9300,1000,0
EXAR.US,5,20131112,171000,11.9100,11.9400,11.9000,11.9400,1848,0
EXAR.US,5,20131112,171500,11.9300,11.9300,11.9300,11.9300,500,0
EXAR.US,5,20131112,172000,11.9000,11.9300,11.9000,11.9300,600,0
EXAR.US,5,20131112,172500,11.9000,11.9000,11.9000,11.9000,100,0
EXAR.US,5,20131112,173000,11.9000,11.9000,11.9000,11.9000,600,0
EXAR.US,5,20131112,173500,11.9000,11.9000,11.9000,11.9000,700,0
EXAR.US,5,20131112,174000,11.9000,11.9000,11.9000,11.9000,100,0
EXAR.US,5,20131112,174500,11.9000,11.9100,11.9000,11.9100,700,0
EXAR.US,5,20131112,175000,11.9000,11.9000,11.8500,11.8700,5300,0
EXAR.US,5,20131112,175500,11.8600,11.8600,11.8300,11.8500,1615,0
EXAR.US,5,20131112,180000,11.8400,11.9000,11.8300,11.8300,3900,0
EXAR.US,5,20131112,181000,11.8000,11.8000,11.7800,11.7900,4600,0
EXAR.US,5,20131112,181500,11.8000,11.8400,11.7900,11.8400,1800,0
EXAR.US,5,20131112,182500,11.8300,11.8300,11.8000,11.8200,1100,0
EXAR.US,5,20131112,183000,11.8200,11.8200,11.8000,11.8200,300,0
EXAR.US,5,20131112,183500,11.8200,11.8200,11.8100,11.8100,200,0
EXAR.US,5,20131112,184000,11.8200,11.8200,11.8200,11.8200,200,0
EXAR.US,5,20131112,184500,11.8000,11.8200,11.8000,11.8200,1900,0
EXAR.US,5,20131112,185000,11.8100,11.8100,11.8100,11.8100,100,0
EXAR.US,5,20131112,185500,11.8200,11.8200,11.8100,11.8100,1300,0
EXAR.US,5,20131112,190000,11.8100,11.8200,11.8100,11.8200,700,0
EXAR.US,5,20131112,190500,11.8300,11.8400,11.8000,11.8100,1000,0
EXAR.US,5,20131112,191000,11.8000,11.8000,11.8000,11.8000,100,0
EXAR.US,5,20131112,191500,11.8100,11.8300,11.8100,11.8300,1000,0
EXAR.US,5,20131112,192000,11.8200,11.8400,11.8100,11.8300,1342,0
EXAR.US,5,20131112,192500,11.8300,11.8400,11.8200,11.8300,1400,0
EXAR.US,5,20131112,193000,11.8300,11.8300,11.8300,11.8300,500,0
EXAR.US,5,20131112,193500,11.8300,11.8600,11.8300,11.8500,3500,0
EXAR.US,5,20131112,194000,11.8500,11.8600,11.8500,11.8600,800,0
EXAR.US,5,20131112,194500,11.8600,11.8600,11.8500,11.8600,1312,0
EXAR.US,5,20131112,195000,11.8500,11.8500,11.8500,11.8500,500,0
EXAR.US,5,20131112,195500,11.8800,11.9100,11.8800,11.8900,1200,0
EXAR.US,5,20131112,200000,11.8900,11.9000,11.8700,11.8700,1200,0
EXAR.US,5,20131112,200500,11.9000,11.9100,11.8700,11.8700,1700,0
EXAR.US,5,20131112,201000,11.8600,11.8900,11.8600,11.8900,600,0
EXAR.US,5,20131112,201500,11.9000,11.9100,11.8800,11.8800,1000,0
EXAR.US,5,20131112,202000,11.8800,11.9500,11.8800,11.9500,1000,0
EXAR.US,5,20131112,202500,11.9400,11.9400,11.9300,11.9300,1200,0
EXAR.US,5,20131112,203000,11.9200,11.9600,11.9200,11.9600,5777,0
EXAR.US,5,20131112,203500,11.9500,11.9600,11.9400,11.9600,600,0
EXAR.US,5,20131112,204000,11.9500,11.9500,11.9500,11.9500,500,0
EXAR.US,5,20131112,204500,11.9400,11.9500,11.9400,11.9500,2100,0
EXAR.US,5,20131112,205000,11.9500,11.9500,11.9300,11.9300,2651,0
EXAR.US,5,20131112,205500,11.9300,11.9700,11.9300,11.9400,2500,0
EXAR.US,5,20131112,210000,11.9700,11.9900,11.9600,11.9900,1400,0
EXAR.US,5,20131112,210500,11.9800,11.9800,11.9500,11.9500,2584,0
EXAR.US,5,20131112,211000,11.9300,11.9700,11.9300,11.9400,1200,0
EXAR.US,5,20131112,211500,11.9400,11.9700,11.9400,11.9700,3000,0
EXAR.US,5,20131112,212000,11.9600,11.9700,11.9400,11.9700,1700,0
EXAR.US,5,20131112,212500,11.9700,11.9800,11.9700,11.9700,1200,0
EXAR.US,5,20131112,213000,11.9600,11.9700,11.9500,11.9500,2000,0
EXAR.US,5,20131112,213500,11.9600,11.9600,11.9500,11.9500,900,0
EXAR.US,5,20131112,214000,11.9600,11.9600,11.9500,11.9500,1800,0
EXAR.US,5,20131112,214500,11.9500,11.9500,11.9500,11.9500,700,0
EXAR.US,5,20131112,215000,11.9500,11.9800,11.9500,11.9800,3400,0
EXAR.US,5,20131112,215500,11.9800,12.0100,11.9800,12.0100,3553,0
EXAR.US,5,20131112,220000,12.0100,12.0200,12.0000,12.0200,6404,0
EXAR.US,5,20131112,220500,12.0100,12.0100,12.0100,12.0100,5895,0
EXAR.US,5,20131113,154000,11.9900,12.0100,11.9900,12.0100,900,0
EXAR.US,5,20131113,155000,12.0600,12.0600,12.0600,12.0600,100,0
EXAR.US,5,20131113,160000,12.0500,12.0500,12.0500,12.0500,100,0
EXAR.US,5,20131113,160500,12.0800,12.0800,12.0800,12.0800,300,0
EXAR.US,5,20131113,161000,12.0700,12.0700,12.0700,12.0700,100,0
EXAR.US,5,20131113,161500,12.0700,12.0700,12.0700,12.0700,100,0
EXAR.US,5,20131113,163000,12.0200,12.0200,12.0200,12.0200,100,0
EXAR.US,5,20131113,163500,12.0300,12.0300,12.0300,12.0300,100,0
EXAR.US,5,20131113,165000,12.0200,12.0200,12.0200,12.0200,100,0
EXAR.US,5,20131113,165500,12.0100,12.0200,12.0100,12.0200,300,0
EXAR.US,5,20131113,170000,12.0200,12.0800,12.0200,12.0400,1300,0
EXAR.US,5,20131113,170500,12.0000,12.0000,12.0000,12.0000,100,0
EXAR.US,5,20131113,171000,12.0300,12.0400,12.0300,12.0400,300,0
EXAR.US,5,20131113,171500,12.0200,12.0200,12.0100,12.0100,200,0
EXAR.US,5,20131113,172000,12.0100,12.0100,12.0100,12.0100,100,0
EXAR.US,5,20131113,172500,12.0500,12.0500,12.0200,12.0300,300,0
EXAR.US,5,20131113,173000,12.0300,12.0300,12.0300,12.0300,100,0
EXAR.US,5,20131113,180000,12.0500,12.0500,12.0500,12.0500,100,0
EXAR.US,5,20131113,181000,12.0200,12.0200,12.0200,12.0200,100,0
EXAR.US,5,20131113,182500,12.0500,12.0800,12.0500,12.0800,1200,0
EXAR.US,5,20131113,183000,12.0800,12.0800,12.0800,12.0800,100,0
EXAR.US,5,20131113,184000,12.0800,12.1000,12.0800,12.1000,200,0
EXAR.US,5,20131113,185500,12.0800,12.0800,12.0700,12.0700,239,0
EXAR.US,5,20131113,190000,12.0800,12.0800,12.0800,12.0800,100,0
EXAR.US,5,20131113,190500,12.1000,12.1000,12.0900,12.0900,700,0
EXAR.US,5,20131113,192000,12.0900,12.0900,12.0900,12.0900,400,0
EXAR.US,5,20131113,192500,12.1300,12.1300,12.1300,12.1300,100,0
EXAR.US,5,20131113,193500,12.1100,12.1100,12.1100,12.1100,200,0
EXAR.US,5,20131113,194000,12.1100,12.1100,12.1100,12.1100,400,0
EXAR.US,5,20131113,194500,12.1100,12.1100,12.1100,12.1100,600,0
EXAR.US,5,20131113,195000,12.1300,12.1300,12.1300,12.1300,200,0
EXAR.US,5,20131113,195500,12.1000,12.1000,12.1000,12.1000,100,0
