<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EXL.US,5,20131112,153500,11.5600,11.5600,11.5100,11.5100,1300,0
EXL.US,5,20131112,154000,11.5200,11.5300,11.4800,11.4900,4000,0
EXL.US,5,20131112,155000,11.5100,11.5200,11.4700,11.4700,4385,0
EXL.US,5,20131112,155500,11.4600,11.4700,11.4200,11.4200,6300,0
EXL.US,5,20131112,160000,11.4200,11.4500,11.4100,11.4200,2400,0
EXL.US,5,20131112,160500,11.4300,11.4300,11.4000,11.4100,800,0
EXL.US,5,20131112,161000,11.4100,11.4300,11.4100,11.4200,2200,0
EXL.US,5,20131112,161500,11.4200,11.4200,11.4200,11.4200,200,0
EXL.US,5,20131112,162000,11.4200,11.4600,11.4200,11.4600,1100,0
EXL.US,5,20131112,162500,11.4500,11.4600,11.4200,11.4200,2350,0
EXL.US,5,20131112,163000,11.4300,11.4400,11.4300,11.4400,1250,0
EXL.US,5,20131112,163500,11.4400,11.4400,11.4300,11.4400,800,0
EXL.US,5,20131112,164000,11.4400,11.4400,11.4300,11.4400,1400,0
EXL.US,5,20131112,164500,11.4400,11.4400,11.4400,11.4400,400,0
EXL.US,5,20131112,165000,11.4400,11.4400,11.4400,11.4400,250,0
EXL.US,5,20131112,165500,11.4400,11.4500,11.4400,11.4500,1025,0
EXL.US,5,20131112,170000,11.4500,11.4600,11.4500,11.4500,575,0
EXL.US,5,20131112,170500,11.4500,11.4600,11.4500,11.4600,350,0
EXL.US,5,20131112,171000,11.4500,11.4500,11.4500,11.4500,400,0
EXL.US,5,20131112,171500,11.4500,11.4700,11.4500,11.4500,1125,0
EXL.US,5,20131112,172000,11.4500,11.4600,11.4500,11.4600,900,0
EXL.US,5,20131112,172500,11.4500,11.4500,11.4500,11.4500,100,0
EXL.US,5,20131112,173000,11.4600,11.4600,11.4400,11.4400,2590,0
EXL.US,5,20131112,173500,11.4400,11.4500,11.4400,11.4500,600,0
EXL.US,5,20131112,174000,11.4500,11.4500,11.4400,11.4500,3567,0
EXL.US,5,20131112,174500,11.4400,11.4500,11.4400,11.4500,600,0
EXL.US,5,20131112,175000,11.4500,11.4500,11.4500,11.4500,100,0
EXL.US,5,20131112,180000,11.4500,11.4500,11.4500,11.4500,305,0
EXL.US,5,20131112,180500,11.4500,11.4500,11.4100,11.4300,2235,0
EXL.US,5,20131112,181000,11.4300,11.4300,11.4100,11.4300,1900,0
EXL.US,5,20131112,181500,11.4000,11.4400,11.4000,11.4400,400,0
EXL.US,5,20131112,182000,11.4300,11.4300,11.4200,11.4300,1300,0
EXL.US,5,20131112,182500,11.4400,11.4400,11.4400,11.4400,300,0
EXL.US,5,20131112,183000,11.4300,11.4400,11.4200,11.4200,3000,0
EXL.US,5,20131112,183500,11.4400,11.4400,11.4400,11.4400,400,0
EXL.US,5,20131112,184000,11.4600,11.4600,11.4600,11.4600,500,0
EXL.US,5,20131112,184500,11.4500,11.4500,11.4400,11.4400,800,0
EXL.US,5,20131112,185000,11.4500,11.4500,11.4500,11.4500,560,0
EXL.US,5,20131112,185500,11.4500,11.4600,11.4500,11.4600,600,0
EXL.US,5,20131112,190000,11.4600,11.4600,11.4600,11.4600,100,0
EXL.US,5,20131112,190500,11.4600,11.4600,11.4600,11.4600,200,0
EXL.US,5,20131112,191000,11.4700,11.4700,11.4700,11.4700,400,0
EXL.US,5,20131112,191500,11.4700,11.4800,11.4600,11.4800,953,0
EXL.US,5,20131112,192000,11.4700,11.4800,11.4600,11.4800,3200,0
EXL.US,5,20131112,192500,11.5000,11.5100,11.5000,11.5000,1200,0
EXL.US,5,20131112,193000,11.5100,11.5200,11.5100,11.5200,565,0
EXL.US,5,20131112,193500,11.5100,11.5200,11.5000,11.5200,600,0
EXL.US,5,20131112,194000,11.5000,11.5000,11.4800,11.4800,900,0
EXL.US,5,20131112,195000,11.4700,11.4800,11.4700,11.4800,900,0
EXL.US,5,20131112,195500,11.4800,11.4800,11.4800,11.4800,100,0
EXL.US,5,20131112,200000,11.4800,11.5100,11.4800,11.4800,2052,0
EXL.US,5,20131112,200500,11.4800,11.5200,11.4800,11.5000,2900,0
EXL.US,5,20131112,201000,11.5100,11.5100,11.5100,11.5100,200,0
EXL.US,5,20131112,201500,11.5100,11.5100,11.5100,11.5100,1400,0
EXL.US,5,20131112,202000,11.5100,11.5100,11.5100,11.5100,200,0
EXL.US,5,20131112,202500,11.5100,11.5100,11.5000,11.5000,200,0
EXL.US,5,20131112,203000,11.5000,11.5000,11.4400,11.4400,1311,0
EXL.US,5,20131112,203500,11.4600,11.4700,11.4600,11.4700,200,0
EXL.US,5,20131112,204000,11.4500,11.4500,11.4500,11.4500,200,0
EXL.US,5,20131112,204500,11.4600,11.4600,11.4500,11.4500,400,0
EXL.US,5,20131112,210000,11.4800,11.4800,11.4800,11.4800,300,0
