<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FAF.US,5,20131112,153500,25.0600,25.0600,24.9400,25.0600,2100,0
FAF.US,5,20131112,154000,25.0900,25.1300,25.0600,25.1200,3900,0
FAF.US,5,20131112,154500,25.1200,25.1500,25.0900,25.1000,18500,0
FAF.US,5,20131112,155000,25.1400,25.2000,25.1200,25.2000,9214,0
FAF.US,5,20131112,155500,25.2000,25.2000,25.1000,25.1100,9697,0
FAF.US,5,20131112,160000,25.1000,25.1700,25.1000,25.1600,12322,0
FAF.US,5,20131112,160500,25.1700,25.2400,25.1500,25.2400,10263,0
FAF.US,5,20131112,161000,25.2400,25.2500,25.2000,25.2000,22548,0
FAF.US,5,20131112,161500,25.2100,25.2200,25.1600,25.1700,6163,0
FAF.US,5,20131112,162000,25.1900,25.2100,25.1900,25.2000,5892,0
FAF.US,5,20131112,162500,25.2000,25.2000,25.1400,25.1400,4786,0
FAF.US,5,20131112,163000,25.1400,25.1600,25.1400,25.1600,1915,0
FAF.US,5,20131112,163500,25.1600,25.1900,25.1600,25.1800,1950,0
FAF.US,5,20131112,164000,25.2000,25.2000,25.1700,25.1700,8000,0
FAF.US,5,20131112,164500,25.1700,25.1700,25.1700,25.1700,1000,0
FAF.US,5,20131112,165000,25.1700,25.1800,25.1300,25.1500,5600,0
FAF.US,5,20131112,165500,25.1600,25.1900,25.1600,25.1800,2434,0
FAF.US,5,20131112,170000,25.1900,25.1900,25.0600,25.0600,9744,0
FAF.US,5,20131112,170500,25.0800,25.0800,25.0000,25.0400,14023,0
FAF.US,5,20131112,171000,25.0400,25.0400,25.0000,25.0000,5071,0
FAF.US,5,20131112,171500,25.0000,25.0500,25.0000,25.0300,3580,0
FAF.US,5,20131112,172000,25.0200,25.0500,25.0200,25.0200,3400,0
FAF.US,5,20131112,172500,25.0200,25.0600,25.0200,25.0300,3700,0
FAF.US,5,20131112,173000,25.0600,25.0600,25.0300,25.0300,2400,0
FAF.US,5,20131112,173500,25.0300,25.0500,25.0300,25.0300,5881,0
FAF.US,5,20131112,174000,25.0500,25.0600,25.0100,25.0100,4700,0
FAF.US,5,20131112,174500,25.0100,25.0600,25.0100,25.0100,10583,0
FAF.US,5,20131112,175000,25.0400,25.0500,25.0000,25.0000,5008,0
FAF.US,5,20131112,175500,24.9900,25.0100,24.9800,25.0000,3100,0
FAF.US,5,20131112,180000,25.0000,25.0300,25.0000,25.0200,2589,0
FAF.US,5,20131112,180500,25.0200,25.0300,24.9900,25.0000,7644,0
FAF.US,5,20131112,181000,24.9900,25.0100,24.9500,24.9800,9597,0
FAF.US,5,20131112,181500,24.9700,24.9900,24.9300,24.9900,4602,0
FAF.US,5,20131112,182000,24.9900,24.9900,24.9600,24.9700,6361,0
FAF.US,5,20131112,182500,24.9700,24.9700,24.9400,24.9500,4100,0
FAF.US,5,20131112,183000,24.9500,24.9600,24.9400,24.9600,5115,0
FAF.US,5,20131112,183500,24.9600,24.9700,24.9000,24.9300,13066,0
FAF.US,5,20131112,184000,24.9300,24.9300,24.9000,24.9200,9041,0
FAF.US,5,20131112,184500,24.9200,24.9200,24.9000,24.9100,2400,0
FAF.US,5,20131112,185000,24.9100,24.9100,24.9000,24.9000,1700,0
FAF.US,5,20131112,185500,24.9100,24.9100,24.8800,24.8800,4774,0
FAF.US,5,20131112,190000,24.8800,24.9000,24.8800,24.9000,6703,0
FAF.US,5,20131112,190500,24.9000,24.9000,24.8300,24.8500,10873,0
FAF.US,5,20131112,191000,24.8400,24.8700,24.8400,24.8400,5167,0
FAF.US,5,20131112,191500,24.8500,24.8600,24.8500,24.8500,4400,0
FAF.US,5,20131112,192000,24.8500,24.8800,24.8400,24.8600,18583,0
FAF.US,5,20131112,192500,24.8500,24.8800,24.8400,24.8800,3402,0
FAF.US,5,20131112,193000,24.8700,24.9200,24.8700,24.8700,6679,0
FAF.US,5,20131112,193500,24.8800,24.9300,24.8800,24.9100,23346,0
FAF.US,5,20131112,194000,24.9100,24.9200,24.9100,24.9200,2800,0
FAF.US,5,20131112,194500,24.9200,24.9500,24.9000,24.9100,3600,0
FAF.US,5,20131112,195000,24.9200,24.9800,24.9200,24.9700,4583,0
FAF.US,5,20131112,195500,24.9600,25.0100,24.9600,25.0100,10101,0
FAF.US,5,20131112,200000,25.0100,25.0200,25.0000,25.0000,1600,0
FAF.US,5,20131112,200500,25.0000,25.0100,24.9900,24.9900,3400,0
FAF.US,5,20131112,201000,25.0000,25.0200,24.9900,24.9900,3279,0
FAF.US,5,20131112,201500,25.0000,25.0000,25.0000,25.0000,800,0
FAF.US,5,20131112,202000,24.9900,25.0100,24.9700,25.0000,7100,0
FAF.US,5,20131112,202500,25.0000,25.0100,24.9800,24.9900,7600,0
FAF.US,5,20131112,203000,24.9900,24.9900,24.9500,24.9600,3902,0
FAF.US,5,20131112,203500,24.9600,24.9800,24.9500,24.9700,11900,0
