<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FDP.US,5,20131112,153500,26.5600,26.6700,26.5500,26.6400,1574,0
FDP.US,5,20131112,154000,26.6700,26.6700,26.6700,26.6700,200,0
FDP.US,5,20131112,154500,26.6700,26.7300,26.6700,26.7300,600,0
FDP.US,5,20131112,155000,26.6900,26.7100,26.6500,26.6500,1700,0
FDP.US,5,20131112,155500,26.6800,26.6800,26.6500,26.6500,300,0
FDP.US,5,20131112,160000,26.6100,26.6400,26.5700,26.5900,1000,0
FDP.US,5,20131112,160500,26.5700,26.5700,26.5700,26.5700,100,0
FDP.US,5,20131112,161500,26.5900,26.6400,26.5900,26.6400,1300,0
FDP.US,5,20131112,162000,26.5900,26.6300,26.5800,26.6100,2200,0
FDP.US,5,20131112,162500,26.5800,26.6100,26.5800,26.6100,1000,0
FDP.US,5,20131112,163000,26.6100,26.6100,26.5800,26.5900,1800,0
FDP.US,5,20131112,163500,26.5800,26.6000,26.5700,26.6000,1900,0
FDP.US,5,20131112,164000,26.5800,26.5800,26.5500,26.5500,1700,0
FDP.US,5,20131112,164500,26.5600,26.6000,26.5600,26.5900,4698,0
FDP.US,5,20131112,165000,26.5700,26.5800,26.5200,26.5500,1700,0
FDP.US,5,20131112,165500,26.5500,26.5500,26.5500,26.5500,300,0
FDP.US,5,20131112,170000,26.5400,26.5500,26.5300,26.5400,800,0
FDP.US,5,20131112,170500,26.5400,26.6100,26.5400,26.6100,8900,0
FDP.US,5,20131112,171000,26.6200,26.6800,26.6200,26.6400,2600,0
FDP.US,5,20131112,171500,26.6300,26.6300,26.6200,26.6200,400,0
FDP.US,5,20131112,172000,26.5800,26.6200,26.5700,26.5700,4598,0
FDP.US,5,20131112,172500,26.5700,26.7000,26.5700,26.6800,6769,0
FDP.US,5,20131112,173000,26.6700,26.6800,26.6700,26.6700,400,0
FDP.US,5,20131112,173500,26.6600,26.6600,26.6600,26.6600,500,0
FDP.US,5,20131112,174000,26.6500,26.6600,26.6400,26.6400,800,0
FDP.US,5,20131112,174500,26.6100,26.6100,26.5900,26.6000,1100,0
FDP.US,5,20131112,175000,26.6000,26.6300,26.6000,26.6300,2900,0
FDP.US,5,20131112,175500,26.6000,26.7200,26.6000,26.7200,3000,0
FDP.US,5,20131112,180000,26.7200,26.7200,26.7100,26.7100,1200,0
FDP.US,5,20131112,180500,26.6800,26.6900,26.6500,26.6900,600,0
FDP.US,5,20131112,181000,26.6400,26.6400,26.5600,26.6100,1800,0
FDP.US,5,20131112,181500,26.6600,26.6600,26.6600,26.6600,100,0
FDP.US,5,20131112,182000,26.6100,26.6700,26.6100,26.6700,1200,0
FDP.US,5,20131112,182500,26.6500,26.6500,26.6300,26.6300,600,0
FDP.US,5,20131112,183000,26.6500,26.6500,26.6500,26.6500,300,0
FDP.US,5,20131112,183500,26.6100,26.6200,26.5900,26.6100,1300,0
FDP.US,5,20131112,184000,26.6000,26.6300,26.5800,26.6300,1100,0
FDP.US,5,20131112,184500,26.5900,26.6100,26.5900,26.6100,600,0
FDP.US,5,20131112,185000,26.5900,26.6500,26.5900,26.6400,1800,0
FDP.US,5,20131112,185500,26.6400,26.6800,26.6400,26.6800,1700,0
FDP.US,5,20131112,190000,26.6200,26.6200,26.6100,26.6200,1300,0
FDP.US,5,20131112,191000,26.6300,26.6300,26.6300,26.6300,200,0
FDP.US,5,20131112,192000,26.6400,26.6600,26.6200,26.6400,30800,0
FDP.US,5,20131112,192500,26.6500,26.6700,26.6400,26.6500,680,0
FDP.US,5,20131112,193000,26.6500,26.6500,26.5900,26.5900,26100,0
FDP.US,5,20131112,193500,26.6000,26.6100,26.6000,26.6000,800,0
FDP.US,5,20131112,194000,26.5900,26.6000,26.5900,26.6000,400,0
FDP.US,5,20131112,194500,26.5900,26.5900,26.5900,26.5900,800,0
FDP.US,5,20131112,195000,26.5900,26.5900,26.5900,26.5900,556,0
FDP.US,5,20131112,195500,26.5900,26.5900,26.5800,26.5800,400,0
FDP.US,5,20131112,200000,26.5800,26.6100,26.5800,26.6100,2000,0
FDP.US,5,20131112,200500,26.6100,26.6100,26.6000,26.6000,800,0
FDP.US,5,20131112,201000,26.6000,26.6100,26.5900,26.6000,1700,0
FDP.US,5,20131112,201500,26.5900,26.5900,26.5900,26.5900,100,0
FDP.US,5,20131112,202000,26.5900,26.5900,26.5700,26.5800,1800,0
FDP.US,5,20131112,202500,26.5900,26.6200,26.5900,26.6200,600,0
FDP.US,5,20131112,203000,26.6600,26.6600,26.6100,26.6100,500,0
FDP.US,5,20131112,203500,26.6000,26.6000,26.6000,26.6000,100,0
FDP.US,5,20131112,204000,26.6100,26.6200,26.5900,26.5900,1800,0
FDP.US,5,20131112,204500,26.5800,26.5900,26.5800,26.5800,2400,0
FDP.US,5,20131112,205000,26.5900,26.5900,26.5800,26.5900,900,0
FDP.US,5,20131112,205500,26.6000,26.6200,26.6000,26.6100,1300,0
FDP.US,5,20131112,210000,26.6100,26.6800,26.6100,26.6700,1593,0
FDP.US,5,20131112,210500,26.6700,26.7000,26.6600,26.6900,4454,0
FDP.US,5,20131112,211000,26.6800,26.6900,26.6500,26.6500,1800,0
FDP.US,5,20131112,211500,26.6500,26.6600,26.6400,26.6400,1804,0
FDP.US,5,20131112,212000,26.6400,26.6600,26.6400,26.6600,1700,0
FDP.US,5,20131112,212500,26.6600,26.6600,26.6500,26.6500,900,0
FDP.US,5,20131112,213000,26.6500,26.6600,26.6400,26.6400,3700,0
FDP.US,5,20131112,213500,26.6400,26.6600,26.6300,26.6600,4586,0
FDP.US,5,20131112,214000,26.6600,26.6700,26.6400,26.6500,9990,0
FDP.US,5,20131112,214500,26.6600,26.7200,26.6500,26.7200,9900,0
FDP.US,5,20131112,215000,26.7000,26.7200,26.6300,26.7200,8541,0
FDP.US,5,20131112,215500,26.7000,26.7000,26.6600,26.6700,5017,0
FDP.US,5,20131112,220000,26.6800,26.7800,26.6500,26.7800,27769,0
FDP.US,5,20131112,220500,26.7700,26.7700,26.7700,26.7700,13675,0
FDP.US,5,20131113,153500,26.5600,26.5700,26.4700,26.4700,2000,0
FDP.US,5,20131113,154000,26.5500,26.6400,26.5500,26.6400,578,0
FDP.US,5,20131113,154500,26.6200,26.6400,26.5700,26.6000,2700,0
FDP.US,5,20131113,155000,26.5900,26.6800,26.5900,26.6200,838,0
FDP.US,5,20131113,155500,26.6300,26.6500,26.6300,26.6400,1100,0
FDP.US,5,20131113,160000,26.6500,26.6900,26.6500,26.6900,800,0
FDP.US,5,20131113,160500,26.7000,26.7000,26.6300,26.6300,200,0
FDP.US,5,20131113,161000,26.6300,26.6700,26.6300,26.6400,700,0
FDP.US,5,20131113,161500,26.6100,26.6200,26.6100,26.6200,400,0
FDP.US,5,20131113,162000,26.6100,26.6600,26.6000,26.6500,2850,0
FDP.US,5,20131113,162500,26.7100,26.7100,26.6600,26.6600,400,0
FDP.US,5,20131113,163000,26.6900,26.6900,26.6400,26.6400,500,0
FDP.US,5,20131113,163500,26.6200,26.6600,26.6200,26.6600,300,0
FDP.US,5,20131113,164000,26.6400,26.6400,26.6400,26.6400,100,0
FDP.US,5,20131113,164500,26.6300,26.6700,26.6200,26.6700,1100,0
FDP.US,5,20131113,165000,26.7200,26.7200,26.6800,26.7000,911,0
FDP.US,5,20131113,165500,26.6600,26.6600,26.6600,26.6600,200,0
FDP.US,5,20131113,170000,26.6500,26.7100,26.6500,26.7100,900,0
FDP.US,5,20131113,171000,26.6800,26.7900,26.6700,26.7900,43100,0
FDP.US,5,20131113,171500,26.7500,26.7500,26.7500,26.7500,300,0
FDP.US,5,20131113,172000,26.7400,26.7500,26.7200,26.7300,1200,0
FDP.US,5,20131113,172500,26.7300,26.7300,26.7300,26.7300,400,0
FDP.US,5,20131113,173000,26.7200,26.7200,26.7200,26.7200,200,0
FDP.US,5,20131113,173500,26.7300,26.7300,26.7300,26.7300,200,0
FDP.US,5,20131113,174000,26.7100,26.7100,26.7000,26.7000,300,0
FDP.US,5,20131113,174500,26.6600,26.7000,26.6500,26.7000,1100,0
FDP.US,5,20131113,175000,26.6900,26.6900,26.6800,26.6800,300,0
FDP.US,5,20131113,175500,26.6400,26.6900,26.6400,26.6900,700,0
FDP.US,5,20131113,181000,26.6500,26.6900,26.6500,26.6700,800,0
FDP.US,5,20131113,181500,26.6800,26.6800,26.6800,26.6800,100,0
FDP.US,5,20131113,182000,26.6800,26.6900,26.6800,26.6900,700,0
FDP.US,5,20131113,182500,26.7000,26.7300,26.6900,26.7200,830,0
FDP.US,5,20131113,183000,26.7200,26.7400,26.7200,26.7400,1200,0
FDP.US,5,20131113,183500,26.7300,26.7500,26.7300,26.7500,950,0
FDP.US,5,20131113,184000,26.7700,26.7700,26.7700,26.7700,300,0
FDP.US,5,20131113,184500,26.7300,26.7700,26.7100,26.7700,3552,0
FDP.US,5,20131113,185000,26.7700,26.7700,26.7700,26.7700,100,0
FDP.US,5,20131113,190000,26.7400,26.7400,26.7200,26.7200,300,0
FDP.US,5,20131113,190500,26.7200,26.7200,26.7000,26.7000,500,0
FDP.US,5,20131113,191000,26.6900,26.6900,26.6900,26.6900,100,0
