<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FMO.US,5,20131112,154000,24.9000,24.9000,24.9000,24.9000,200,0
FMO.US,5,20131112,154500,24.9800,24.9900,24.9600,24.9700,3218,0
FMO.US,5,20131112,155000,24.9300,24.9800,24.9300,24.9700,2800,0
FMO.US,5,20131112,155500,24.9400,24.9600,24.9400,24.9600,483,0
FMO.US,5,20131112,160000,24.9600,24.9800,24.9400,24.9800,1700,0
FMO.US,5,20131112,160500,24.9400,24.9400,24.9400,24.9400,1700,0
FMO.US,5,20131112,161000,24.9300,24.9500,24.9300,24.9300,700,0
FMO.US,5,20131112,161500,24.9500,24.9700,24.9500,24.9700,1560,0
FMO.US,5,20131112,162000,24.9400,24.9400,24.9400,24.9400,200,0
FMO.US,5,20131112,163000,24.9700,24.9700,24.9700,24.9700,500,0
FMO.US,5,20131112,163500,24.9700,24.9700,24.9700,24.9700,1000,0
FMO.US,5,20131112,165000,24.9300,24.9300,24.9300,24.9300,546,0
FMO.US,5,20131112,165500,24.9100,24.9100,24.9100,24.9100,1500,0
FMO.US,5,20131112,170000,24.9700,24.9700,24.8100,24.8100,3400,0
FMO.US,5,20131112,170500,24.9400,24.9400,24.9100,24.9100,2257,0
FMO.US,5,20131112,171500,24.9100,24.9100,24.8700,24.8700,600,0
FMO.US,5,20131112,172000,24.8700,24.8700,24.8500,24.8500,665,0
FMO.US,5,20131112,173000,24.9000,24.9300,24.9000,24.9200,600,0
FMO.US,5,20131112,174000,24.8400,24.8900,24.8400,24.8900,370,0
FMO.US,5,20131112,174500,24.9100,24.9200,24.9100,24.9200,525,0
FMO.US,5,20131112,175000,24.8800,24.8800,24.8800,24.8800,160,0
FMO.US,5,20131112,175500,24.8800,24.8800,24.8800,24.8800,160,0
FMO.US,5,20131112,180000,24.9000,24.9000,24.9000,24.9000,200,0
FMO.US,5,20131112,181000,24.9200,24.9200,24.9100,24.9100,2600,0
FMO.US,5,20131112,181500,24.8700,24.9200,24.8600,24.8600,595,0
FMO.US,5,20131112,182000,24.8500,24.8500,24.8300,24.8300,1002,0
FMO.US,5,20131112,182500,24.8300,24.8300,24.8300,24.8300,500,0
FMO.US,5,20131112,183000,24.8300,24.8600,24.8300,24.8600,1376,0
FMO.US,5,20131112,183500,24.8300,24.8300,24.8100,24.8100,1785,0
FMO.US,5,20131112,184000,24.8000,24.8000,24.7800,24.7800,400,0
FMO.US,5,20131112,184500,24.7800,24.7900,24.7800,24.7800,600,0
FMO.US,5,20131112,185000,24.7700,24.7700,24.7600,24.7600,212,0
FMO.US,5,20131112,185500,24.7800,24.7800,24.7800,24.7800,100,0
FMO.US,5,20131112,190000,24.7800,24.7800,24.7200,24.7500,902,0
FMO.US,5,20131112,190500,24.7400,24.7900,24.7400,24.7800,1300,0
FMO.US,5,20131112,191000,24.7300,24.7300,24.7300,24.7300,100,0
FMO.US,5,20131112,191500,24.7300,24.7300,24.7200,24.7200,400,0
FMO.US,5,20131112,192000,24.7600,24.7700,24.7100,24.7600,1242,0
FMO.US,5,20131112,192500,24.7500,24.7500,24.7500,24.7500,500,0
FMO.US,5,20131112,193000,24.7000,24.9900,24.7000,24.9000,11285,0
FMO.US,5,20131112,193500,24.8500,24.8500,24.8500,24.8500,700,0
FMO.US,5,20131112,194000,24.8200,24.8200,24.8200,24.8200,400,0
FMO.US,5,20131112,194500,24.7900,24.7900,24.7900,24.7900,400,0
FMO.US,5,20131112,195000,24.7700,24.7900,24.7700,24.7900,200,0
FMO.US,5,20131112,195500,24.7700,24.8300,24.6900,24.8200,4872,0
FMO.US,5,20131112,200000,24.7000,24.7100,24.7000,24.7100,4300,0
FMO.US,5,20131112,200500,24.8200,24.8300,24.8000,24.8000,400,0
FMO.US,5,20131112,201500,24.7700,24.8200,24.7700,24.8100,500,0
FMO.US,5,20131112,202000,24.8200,24.8200,24.7600,24.7600,996,0
FMO.US,5,20131112,202500,24.7400,24.7600,24.7100,24.7200,2800,0
FMO.US,5,20131112,203000,24.7000,24.7000,24.6800,24.7000,1148,0
FMO.US,5,20131112,204000,24.6900,24.6900,24.6800,24.6800,996,0
FMO.US,5,20131112,204500,24.6800,24.6800,24.6700,24.6700,325,0
FMO.US,5,20131112,205000,24.6900,24.6900,24.6800,24.6800,769,0
FMO.US,5,20131112,205500,24.6900,24.6900,24.6900,24.6900,464,0
FMO.US,5,20131112,210000,24.6900,24.7600,24.6500,24.7600,2480,0
FMO.US,5,20131112,211000,24.7100,24.7100,24.7100,24.7100,100,0
FMO.US,5,20131112,212000,24.7400,24.7400,24.7400,24.7400,100,0
FMO.US,5,20131112,213500,24.7800,24.7900,24.7200,24.7200,423,0
FMO.US,5,20131112,214500,24.7800,24.7900,24.7100,24.7100,5255,0
FMO.US,5,20131112,215000,24.7100,24.7100,24.7000,24.7000,1223,0
FMO.US,5,20131112,215500,24.7000,24.7100,24.6900,24.6900,2544,0
FMO.US,5,20131112,220000,24.6900,24.7900,24.6500,24.6600,9790,0
FMO.US,5,20131112,220500,24.6700,24.6700,24.6700,24.6700,100,0
FMO.US,5,20131113,154000,24.1500,24.1500,24.1500,24.1500,656,0
FMO.US,5,20131113,155000,24.1700,24.2000,24.1400,24.2000,2320,0
FMO.US,5,20131113,160000,24.1300,24.1400,24.1300,24.1400,710,0
FMO.US,5,20131113,160500,24.1300,24.1900,24.1100,24.1300,3384,0
FMO.US,5,20131113,161500,24.1300,24.1600,24.1300,24.1600,2100,0
FMO.US,5,20131113,162000,24.1100,24.1400,24.0200,24.0200,10840,0
FMO.US,5,20131113,162500,24.0300,24.0800,24.0000,24.0800,4080,0
FMO.US,5,20131113,163000,24.0000,24.0100,23.9900,24.0000,1500,0
FMO.US,5,20131113,163500,24.0100,24.0100,24.0000,24.0000,200,0
FMO.US,5,20131113,164000,24.0100,24.0200,24.0100,24.0100,1340,0
FMO.US,5,20131113,164500,24.0200,24.0200,23.9900,24.0000,1800,0
FMO.US,5,20131113,165000,24.0000,24.0000,23.9900,23.9900,2807,0
FMO.US,5,20131113,165500,24.0000,24.0300,23.9800,24.0200,3600,0
FMO.US,5,20131113,170000,24.0200,24.0300,24.0100,24.0100,3200,0
FMO.US,5,20131113,170500,24.0000,24.0100,24.0000,24.0100,218,0
FMO.US,5,20131113,171000,24.0000,24.0000,24.0000,24.0000,1500,0
FMO.US,5,20131113,171500,24.0300,24.0300,24.0300,24.0300,137,0
FMO.US,5,20131113,172000,24.0400,24.0400,24.0300,24.0300,362,0
FMO.US,5,20131113,172500,24.0600,24.0800,24.0600,24.0800,1010,0
FMO.US,5,20131113,173000,24.0200,24.0800,24.0200,24.0800,909,0
FMO.US,5,20131113,173500,24.0700,24.0800,24.0200,24.0200,645,0
FMO.US,5,20131113,174000,24.0700,24.0800,24.0700,24.0800,400,0
FMO.US,5,20131113,174500,24.0500,24.0500,24.0500,24.0500,100,0
FMO.US,5,20131113,175000,24.1000,24.1100,24.0500,24.0500,1300,0
FMO.US,5,20131113,175500,24.0200,24.0200,24.0200,24.0200,100,0
FMO.US,5,20131113,180500,24.0200,24.0200,24.0000,24.0000,1959,0
FMO.US,5,20131113,182500,24.0400,24.0400,24.0400,24.0400,779,0
FMO.US,5,20131113,183000,24.0100,24.0100,23.9900,23.9900,2334,0
FMO.US,5,20131113,184500,24.0000,24.0000,24.0000,24.0000,1500,0
FMO.US,5,20131113,185000,23.9800,23.9800,23.9800,23.9800,4500,0
FMO.US,5,20131113,190500,24.0000,24.0100,24.0000,24.0000,933,0
FMO.US,5,20131113,191000,24.0200,24.0300,24.0000,24.0000,700,0
FMO.US,5,20131113,191500,24.0100,24.0400,24.0000,24.0400,1000,0
FMO.US,5,20131113,192000,24.0100,24.0100,24.0100,24.0100,129,0
FMO.US,5,20131113,192500,24.0200,24.0200,23.9900,24.0000,1830,0
FMO.US,5,20131113,193000,24.0200,24.0200,23.9900,24.0100,4784,0
FMO.US,5,20131113,193500,24.0000,24.0200,24.0000,24.0200,1404,0
FMO.US,5,20131113,194000,24.0000,24.0200,24.0000,24.0200,1800,0
FMO.US,5,20131113,194500,24.0200,24.0200,24.0100,24.0100,300,0
FMO.US,5,20131113,195000,24.0100,24.0700,24.0000,24.0000,2922,0
FMO.US,5,20131113,195500,24.0000,24.0400,24.0000,24.0400,400,0
FMO.US,5,20131113,200000,24.0000,24.0600,24.0000,24.0000,1216,0
FMO.US,5,20131113,200500,24.0000,24.0400,24.0000,24.0400,1577,0
FMO.US,5,20131113,201000,24.0100,24.0200,24.0000,24.0200,600,0
FMO.US,5,20131113,201500,23.9800,24.0100,23.9500,23.9500,1800,0
FMO.US,5,20131113,202000,23.9900,23.9900,23.9400,23.9500,2653,0
FMO.US,5,20131113,202500,23.9400,23.9400,23.9300,23.9300,5436,0
