<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FMS.US,5,20131112,153500,32.2800,32.3100,32.2800,32.2800,3642,0
FMS.US,5,20131112,154000,32.2800,32.2900,32.2700,32.2900,800,0
FMS.US,5,20131112,154500,32.3300,32.3300,32.3300,32.3300,300,0
FMS.US,5,20131112,155000,32.2800,32.2900,32.2800,32.2800,1155,0
FMS.US,5,20131112,155500,32.2600,32.3000,32.2600,32.3000,1989,0
FMS.US,5,20131112,160000,32.3300,32.3300,32.3300,32.3300,500,0
FMS.US,5,20131112,160500,32.3000,32.3000,32.3000,32.3000,393,0
FMS.US,5,20131112,161000,32.3100,32.3100,32.3100,32.3100,100,0
FMS.US,5,20131112,161500,32.3300,32.3400,32.3100,32.3400,326,0
FMS.US,5,20131112,162000,32.3400,32.3400,32.3400,32.3400,200,0
FMS.US,5,20131112,162500,32.3400,32.3400,32.3100,32.3100,666,0
FMS.US,5,20131112,163000,32.3000,32.3000,32.2900,32.2900,200,0
FMS.US,5,20131112,164000,32.2800,32.3000,32.2800,32.3000,400,0
FMS.US,5,20131112,164500,32.2900,32.2900,32.2900,32.2900,100,0
FMS.US,5,20131112,165500,32.3000,32.3000,32.3000,32.3000,100,0
FMS.US,5,20131112,170000,32.3100,32.3100,32.3100,32.3100,100,0
FMS.US,5,20131112,170500,32.2800,32.2800,32.2700,32.2700,599,0
FMS.US,5,20131112,171000,32.2800,32.2800,32.2800,32.2800,100,0
FMS.US,5,20131112,172000,32.2800,32.2900,32.2800,32.2900,208,0
FMS.US,5,20131112,172500,32.3000,32.3000,32.2600,32.2600,338,0
FMS.US,5,20131112,173000,32.2900,32.2900,32.2400,32.2400,1722,0
FMS.US,5,20131112,173500,32.2300,32.2300,32.1800,32.1800,1700,0
FMS.US,5,20131112,174000,32.2000,32.2000,32.1200,32.1200,1400,0
FMS.US,5,20131112,175000,32.1400,32.1400,32.0900,32.0900,501,0
FMS.US,5,20131112,180000,32.1700,32.1700,32.1300,32.1300,200,0
FMS.US,5,20131112,180500,32.1800,32.2400,32.1800,32.2400,200,0
FMS.US,5,20131112,181000,32.1800,32.2000,32.1500,32.1500,830,0
FMS.US,5,20131112,183500,32.1700,32.1700,32.1700,32.1700,100,0
FMS.US,5,20131112,184000,32.1700,32.1700,32.1300,32.1300,4200,0
FMS.US,5,20131112,191000,32.2700,32.2700,32.2700,32.2700,100,0
FMS.US,5,20131112,192500,32.2400,32.2400,32.2300,32.2300,200,0
FMS.US,5,20131112,193000,32.2400,32.2400,32.2400,32.2400,499,0
FMS.US,5,20131112,193500,32.2500,32.2500,32.2500,32.2500,465,0
FMS.US,5,20131112,194000,32.2300,32.2300,32.2100,32.2300,1400,0
FMS.US,5,20131112,194500,32.2300,32.2300,32.1800,32.1800,1400,0
FMS.US,5,20131112,195500,32.2000,32.2000,32.1300,32.1300,1719,0
FMS.US,5,20131112,200000,32.1800,32.1800,32.1200,32.1200,1800,0
FMS.US,5,20131112,200500,32.1400,32.1600,32.1100,32.1100,2614,0
