<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FNF-B.US,5,20131112,155500,28.2800,28.2800,28.2800,28.2800,226,0
FNF-B.US,5,20131112,161500,28.1800,28.1800,28.1800,28.1800,100,0
FNF-B.US,5,20131112,163000,28.2700,28.3000,28.2700,28.3000,2401,0
FNF-B.US,5,20131112,172500,28.2300,28.2400,28.2300,28.2400,643,0
FNF-B.US,5,20131112,173500,28.2800,28.3000,28.2800,28.3000,1335,0
FNF-B.US,5,20131112,174000,28.3000,28.3000,28.3000,28.3000,1130,0
FNF-B.US,5,20131112,180000,28.2600,28.2600,28.2400,28.2400,223,0
FNF-B.US,5,20131112,181000,28.2900,28.2900,28.2900,28.2900,100,0
FNF-B.US,5,20131112,181500,28.2600,28.2600,28.2600,28.2600,100,0
FNF-B.US,5,20131112,191500,28.2800,28.2800,28.2800,28.2800,350,0
FNF-B.US,5,20131112,192000,28.2800,28.3000,28.2800,28.3000,300,0
FNF-B.US,5,20131112,205000,28.2200,28.2200,28.2200,28.2200,123,0
FNF-B.US,5,20131112,210000,28.2100,28.2500,28.2100,28.2500,414,0
FNF-B.US,5,20131112,211500,28.2600,28.2600,28.2500,28.2500,1108,0
FNF-B.US,5,20131112,212000,28.2500,28.2500,28.2500,28.2500,200,0
FNF-B.US,5,20131112,213500,28.2500,28.2500,28.2500,28.2500,500,0
FNF-B.US,5,20131112,215500,28.1700,28.1700,28.0500,28.1500,800,0
FNF-B.US,5,20131112,220000,28.1500,28.1500,28.1500,28.1500,100,0
FNF-B.US,5,20131113,153500,28.2100,28.2100,28.2100,28.2100,100,0
FNF-B.US,5,20131113,161000,28.1800,28.1900,28.1800,28.1800,300,0
FNF-B.US,5,20131113,163000,28.2100,28.2100,28.2100,28.2100,132,0
FNF-B.US,5,20131113,173500,28.1800,28.1800,28.1800,28.1800,100,0
FNF-B.US,5,20131113,175500,28.2000,28.2100,28.1800,28.1800,1099,0
FNF-B.US,5,20131113,182000,28.1900,28.1900,28.1900,28.1900,100,0
FNF-B.US,5,20131113,183000,28.1800,28.1800,28.1800,28.1800,128,0
FNF-B.US,5,20131113,185000,28.2000,28.2100,28.2000,28.2100,502,0
FNF-B.US,5,20131113,191000,28.2200,28.2200,28.2200,28.2200,1853,0
FNF-B.US,5,20131113,191500,28.2100,28.2200,28.2100,28.2200,1684,0
FNF-B.US,5,20131113,192500,28.2200,28.2200,28.2200,28.2200,100,0
FNF-B.US,5,20131113,193500,28.2200,28.2200,28.2200,28.2200,500,0
FNF-B.US,5,20131113,195000,28.2400,28.2400,28.2400,28.2400,101,0
FNF-B.US,5,20131113,201500,28.2200,28.2200,28.2200,28.2200,122,0
FNF-B.US,5,20131113,202000,28.2400,28.2400,28.2400,28.2400,470,0
