<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FRA.US,5,20131112,153500,14.5800,14.5800,14.5600,14.5600,1600,0
FRA.US,5,20131112,154000,14.5200,14.5200,14.5200,14.5200,100,0
FRA.US,5,20131112,154500,14.5500,14.5600,14.5500,14.5600,1000,0
FRA.US,5,20131112,155000,14.5600,14.5700,14.5500,14.5700,3154,0
FRA.US,5,20131112,155500,14.5700,14.5700,14.5600,14.5700,5195,0
FRA.US,5,20131112,160000,14.5700,14.5900,14.5700,14.5900,9914,0
FRA.US,5,20131112,160500,14.6000,14.6000,14.5900,14.5900,8500,0
FRA.US,5,20131112,161000,14.6000,14.6000,14.5900,14.6000,4254,0
FRA.US,5,20131112,161500,14.5900,14.5900,14.5700,14.5900,2400,0
FRA.US,5,20131112,162000,14.5900,14.5900,14.5800,14.5900,1990,0
FRA.US,5,20131112,162500,14.5900,14.5900,14.5900,14.5900,1500,0
FRA.US,5,20131112,163000,14.5900,14.6000,14.5700,14.6000,1904,0
FRA.US,5,20131112,163500,14.6000,14.6000,14.5900,14.6000,2700,0
FRA.US,5,20131112,164000,14.5900,14.6000,14.5900,14.6000,2300,0
FRA.US,5,20131112,164500,14.5900,14.6000,14.5900,14.6000,1100,0
FRA.US,5,20131112,165000,14.6000,14.6100,14.5900,14.5900,3942,0
FRA.US,5,20131112,165500,14.5800,14.6000,14.5800,14.6000,3200,0
FRA.US,5,20131112,170000,14.5900,14.6000,14.5900,14.6000,400,0
FRA.US,5,20131112,170500,14.6000,14.6000,14.5800,14.6000,1300,0
FRA.US,5,20131112,171000,14.6000,14.6200,14.6000,14.6200,1962,0
FRA.US,5,20131112,171500,14.6200,14.6200,14.6000,14.6000,1300,0
FRA.US,5,20131112,172000,14.6100,14.6200,14.6100,14.6100,1850,0
FRA.US,5,20131112,172500,14.6000,14.6200,14.6000,14.6200,600,0
FRA.US,5,20131112,173000,14.6200,14.6200,14.6000,14.6200,5555,0
FRA.US,5,20131112,173500,14.6200,14.6200,14.6000,14.6100,3439,0
FRA.US,5,20131112,174000,14.6100,14.6200,14.6100,14.6200,2726,0
FRA.US,5,20131112,174500,14.6200,14.6300,14.6200,14.6300,2146,0
FRA.US,5,20131112,175000,14.6300,14.6300,14.6300,14.6300,1100,0
FRA.US,5,20131112,175500,14.6300,14.6300,14.6200,14.6300,3309,0
FRA.US,5,20131112,180000,14.6300,14.6300,14.6200,14.6300,1675,0
FRA.US,5,20131112,180500,14.6300,14.6300,14.6100,14.6200,1600,0
FRA.US,5,20131112,181000,14.6200,14.6200,14.6100,14.6200,3977,0
FRA.US,5,20131112,181500,14.6200,14.6200,14.6100,14.6100,1100,0
FRA.US,5,20131112,182000,14.6200,14.6200,14.6100,14.6100,1200,0
FRA.US,5,20131112,182500,14.6200,14.6200,14.6100,14.6200,1100,0
FRA.US,5,20131112,183000,14.6200,14.6200,14.6100,14.6100,1200,0
FRA.US,5,20131112,183500,14.6200,14.6200,14.6100,14.6100,3530,0
FRA.US,5,20131112,184000,14.6200,14.6200,14.6200,14.6200,700,0
FRA.US,5,20131112,184500,14.6200,14.6200,14.6200,14.6200,2000,0
FRA.US,5,20131112,185000,14.6200,14.6200,14.6200,14.6200,1000,0
FRA.US,5,20131112,185500,14.6200,14.6300,14.6200,14.6300,1100,0
FRA.US,5,20131112,190000,14.6300,14.6300,14.6300,14.6300,2900,0
FRA.US,5,20131112,193000,14.6200,14.6300,14.6100,14.6200,4680,0
FRA.US,5,20131112,193500,14.6200,14.6200,14.6200,14.6200,600,0
FRA.US,5,20131112,194000,14.6200,14.6200,14.6200,14.6200,100,0
FRA.US,5,20131112,194500,14.6100,14.6200,14.6100,14.6200,700,0
FRA.US,5,20131112,195000,14.6300,14.6300,14.6300,14.6300,625,0
FRA.US,5,20131112,200000,14.6100,14.6100,14.6100,14.6100,600,0
FRA.US,5,20131112,200500,14.6100,14.6100,14.6100,14.6100,600,0
FRA.US,5,20131112,201000,14.6100,14.6100,14.6000,14.6000,6100,0
FRA.US,5,20131112,201500,14.5800,14.5800,14.5800,14.5800,500,0
FRA.US,5,20131112,202000,14.5800,14.5900,14.5800,14.5900,1645,0
FRA.US,5,20131112,202500,14.5900,14.5900,14.5900,14.5900,100,0
FRA.US,5,20131112,204500,14.5900,14.5900,14.5900,14.5900,200,0
FRA.US,5,20131112,205000,14.5900,14.5900,14.5900,14.5900,2402,0
FRA.US,5,20131112,210000,14.6000,14.6000,14.6000,14.6000,3700,0
FRA.US,5,20131112,211500,14.6000,14.6000,14.6000,14.6000,200,0
FRA.US,5,20131112,212000,14.5900,14.5900,14.5900,14.5900,100,0
FRA.US,5,20131112,213500,14.5900,14.5900,14.5800,14.5900,4151,0
FRA.US,5,20131112,214000,14.5900,14.5900,14.5900,14.5900,2600,0
FRA.US,5,20131112,214500,14.5800,14.5900,14.5700,14.5800,3779,0
FRA.US,5,20131112,215000,14.5800,14.5800,14.5700,14.5700,549,0
FRA.US,5,20131112,215500,14.5700,14.5900,14.5600,14.5900,5792,0
FRA.US,5,20131112,220000,14.6000,14.6000,14.5800,14.5800,3460,0
FRA.US,5,20131112,221000,14.6200,14.6200,14.6200,14.6200,1190,0
FRA.US,5,20131113,153500,14.5200,14.5500,14.5200,14.5300,2300,0
FRA.US,5,20131113,154000,14.5300,14.5300,14.5200,14.5300,900,0
FRA.US,5,20131113,154500,14.5200,14.5300,14.5200,14.5300,1400,0
FRA.US,5,20131113,155000,14.5300,14.5300,14.5200,14.5300,2800,0
FRA.US,5,20131113,155500,14.5300,14.5300,14.5200,14.5200,3550,0
FRA.US,5,20131113,160000,14.5200,14.5200,14.5100,14.5200,2400,0
FRA.US,5,20131113,160500,14.5200,14.5200,14.5100,14.5200,12184,0
FRA.US,5,20131113,161000,14.5000,14.5100,14.5000,14.5100,6600,0
FRA.US,5,20131113,161500,14.5100,14.5100,14.5000,14.5000,4400,0
FRA.US,5,20131113,162000,14.5000,14.5100,14.5000,14.5100,4538,0
FRA.US,5,20131113,162500,14.5000,14.5100,14.5000,14.5100,2800,0
FRA.US,5,20131113,163000,14.5100,14.5100,14.5000,14.5100,1600,0
FRA.US,5,20131113,163500,14.5100,14.5100,14.5000,14.5100,2500,0
FRA.US,5,20131113,164000,14.5100,14.5100,14.5100,14.5100,2500,0
FRA.US,5,20131113,164500,14.5100,14.5100,14.5000,14.5100,1000,0
FRA.US,5,20131113,165000,14.5100,14.5100,14.5000,14.5100,2400,0
FRA.US,5,20131113,165500,14.5100,14.5100,14.5100,14.5100,500,0
FRA.US,5,20131113,170000,14.5100,14.5200,14.5100,14.5100,3768,0
FRA.US,5,20131113,170500,14.5200,14.5200,14.5100,14.5100,500,0
FRA.US,5,20131113,171000,14.5100,14.5200,14.5100,14.5100,4885,0
FRA.US,5,20131113,171500,14.5100,14.5200,14.5100,14.5200,1500,0
FRA.US,5,20131113,172000,14.5100,14.5200,14.5000,14.5200,3285,0
FRA.US,5,20131113,172500,14.5200,14.5200,14.5200,14.5200,1819,0
FRA.US,5,20131113,173000,14.5200,14.5300,14.5200,14.5300,1100,0
FRA.US,5,20131113,173500,14.5300,14.5300,14.5300,14.5300,500,0
FRA.US,5,20131113,174000,14.5300,14.5300,14.5300,14.5300,500,0
FRA.US,5,20131113,174500,14.5300,14.5300,14.5300,14.5300,400,0
FRA.US,5,20131113,175000,14.5300,14.5300,14.5200,14.5300,600,0
FRA.US,5,20131113,175500,14.5300,14.5300,14.5200,14.5200,3300,0
FRA.US,5,20131113,180000,14.5200,14.5300,14.5200,14.5300,600,0
FRA.US,5,20131113,180500,14.5200,14.5300,14.5200,14.5200,600,0
FRA.US,5,20131113,181000,14.5300,14.5300,14.5200,14.5300,2300,0
FRA.US,5,20131113,181500,14.5300,14.5300,14.5200,14.5300,300,0
FRA.US,5,20131113,182000,14.5300,14.5300,14.5300,14.5300,200,0
FRA.US,5,20131113,182500,14.5300,14.5300,14.5300,14.5300,300,0
FRA.US,5,20131113,183000,14.5200,14.5300,14.5200,14.5300,300,0
FRA.US,5,20131113,183500,14.5200,14.5300,14.5200,14.5300,4600,0
FRA.US,5,20131113,184000,14.5300,14.5300,14.5200,14.5300,400,0
FRA.US,5,20131113,184500,14.5300,14.5300,14.5300,14.5300,200,0
FRA.US,5,20131113,185000,14.5300,14.5300,14.5300,14.5300,200,0
FRA.US,5,20131113,185500,14.5300,14.5300,14.5300,14.5300,100,0
FRA.US,5,20131113,190000,14.5300,14.5300,14.5300,14.5300,200,0
FRA.US,5,20131113,190500,14.5200,14.5300,14.5200,14.5300,900,0
FRA.US,5,20131113,191000,14.5200,14.5300,14.5200,14.5300,400,0
FRA.US,5,20131113,191500,14.5300,14.5500,14.5300,14.5500,800,0
FRA.US,5,20131113,192000,14.5500,14.5500,14.5500,14.5500,100,0
FRA.US,5,20131113,192500,14.5500,14.5500,14.5500,14.5500,200,0
FRA.US,5,20131113,193000,14.5500,14.5500,14.5500,14.5500,515,0
FRA.US,5,20131113,193500,14.5500,14.5500,14.5500,14.5500,100,0
FRA.US,5,20131113,194000,14.5500,14.5500,14.5500,14.5500,200,0
FRA.US,5,20131113,194500,14.5500,14.5500,14.5500,14.5500,300,0
FRA.US,5,20131113,195000,14.5500,14.5500,14.5400,14.5400,200,0
FRA.US,5,20131113,195500,14.5300,14.5300,14.5300,14.5300,200,0
FRA.US,5,20131113,200500,14.5300,14.5300,14.5300,14.5300,300,0
FRA.US,5,20131113,201000,14.5300,14.5300,14.5300,14.5300,200,0
FRA.US,5,20131113,201500,14.5300,14.5300,14.5300,14.5300,300,0
FRA.US,5,20131113,202000,14.5300,14.5300,14.5300,14.5300,300,0
FRA.US,5,20131113,202500,14.5300,14.5300,14.5300,14.5300,300,0
FRA.US,5,20131113,203000,14.5300,14.5300,14.5300,14.5300,300,0
FRA.US,5,20131113,203500,14.5400,14.5400,14.5300,14.5400,3100,0
FRA.US,5,20131113,204000,14.5300,14.5300,14.5300,14.5300,300,0
FRA.US,5,20131113,204500,14.5300,14.5300,14.5300,14.5300,400,0
FRA.US,5,20131113,205000,14.5300,14.5300,14.5200,14.5300,2400,0
FRA.US,5,20131113,205500,14.5300,14.5300,14.5300,14.5300,600,0
FRA.US,5,20131113,210000,14.5200,14.5300,14.5200,14.5300,1600,0
FRA.US,5,20131113,210500,14.5300,14.5400,14.5300,14.5300,2250,0
FRA.US,5,20131113,211500,14.5300,14.5300,14.5200,14.5200,400,0
FRA.US,5,20131113,212000,14.5400,14.5400,14.5200,14.5200,900,0
FRA.US,5,20131113,212500,14.5200,14.5200,14.5200,14.5200,400,0
FRA.US,5,20131113,213000,14.5200,14.5200,14.5200,14.5200,200,0
FRA.US,5,20131113,213500,14.5200,14.5200,14.5200,14.5200,800,0
FRA.US,5,20131113,214000,14.5200,14.5200,14.5200,14.5200,500,0
FRA.US,5,20131113,214500,14.5200,14.5200,14.5200,14.5200,700,0
FRA.US,5,20131113,215000,14.5200,14.5300,14.5200,14.5300,2051,0
FRA.US,5,20131113,215500,14.5300,14.5400,14.5300,14.5300,2600,0
FRA.US,5,20131113,220000,14.5300,14.5400,14.5200,14.5200,2460,0
FRA.US,5,20131113,220500,14.5200,14.5200,14.5200,14.5200,583,0
FRA.US,5,20131114,154000,14.5600,14.5700,14.5600,14.5700,700,0
FRA.US,5,20131114,154500,14.5700,14.5700,14.5400,14.5400,3031,0
FRA.US,5,20131114,155000,14.5300,14.5400,14.5300,14.5300,300,0
FRA.US,5,20131114,155500,14.5300,14.5300,14.5300,14.5300,100,0
FRA.US,5,20131114,160000,14.5400,14.5500,14.5400,14.5400,300,0
FRA.US,5,20131114,160500,14.5300,14.5300,14.5300,14.5300,200,0
FRA.US,5,20131114,161000,14.5300,14.5300,14.5300,14.5300,200,0
FRA.US,5,20131114,162500,14.5400,14.5400,14.5200,14.5200,600,0
FRA.US,5,20131114,163500,14.5200,14.5300,14.5200,14.5300,200,0
FRA.US,5,20131114,164000,14.5200,14.5200,14.5100,14.5200,2748,0
FRA.US,5,20131114,164500,14.5200,14.5200,14.5200,14.5200,900,0
FRA.US,5,20131114,165500,14.5200,14.5200,14.5200,14.5200,100,0
FRA.US,5,20131114,170000,14.5100,14.5100,14.5100,14.5100,100,0
FRA.US,5,20131114,170500,14.5200,14.5300,14.5200,14.5300,500,0
FRA.US,5,20131114,171000,14.5200,14.5300,14.5100,14.5300,1401,0
FRA.US,5,20131114,171500,14.5100,14.5200,14.5100,14.5200,3810,0
FRA.US,5,20131114,172000,14.5200,14.5200,14.5100,14.5100,300,0
FRA.US,5,20131114,172500,14.5200,14.5200,14.5200,14.5200,363,0
FRA.US,5,20131114,173500,14.5500,14.5500,14.5400,14.5500,1200,0
FRA.US,5,20131114,174000,14.5500,14.5600,14.5500,14.5500,700,0
FRA.US,5,20131114,180000,14.5600,14.5600,14.5500,14.5500,984,0
FRA.US,5,20131114,180500,14.5600,14.5600,14.5500,14.5500,899,0
FRA.US,5,20131114,181500,14.5600,14.5600,14.5600,14.5600,1100,0
FRA.US,5,20131114,182500,14.5500,14.5500,14.5500,14.5500,800,0
FRA.US,5,20131114,183000,14.5500,14.5600,14.5500,14.5600,400,0
FRA.US,5,20131114,184500,14.5500,14.5500,14.5500,14.5500,700,0
FRA.US,5,20131114,185000,14.5600,14.5600,14.5600,14.5600,100,0
FRA.US,5,20131114,185500,14.5500,14.5500,14.5400,14.5500,3946,0
FRA.US,5,20131114,190000,14.5500,14.5500,14.5400,14.5500,486,0
FRA.US,5,20131114,190500,14.5500,14.5600,14.5300,14.5600,3634,0
FRA.US,5,20131114,191500,14.5600,14.5600,14.5600,14.5600,225,0
FRA.US,5,20131114,193000,14.5600,14.5600,14.5600,14.5600,4507,0
FRA.US,5,20131114,193500,14.5500,14.5500,14.5500,14.5500,300,0
FRA.US,5,20131114,194500,14.5500,14.5500,14.5500,14.5500,800,0
FRA.US,5,20131114,195000,14.5500,14.5500,14.5500,14.5500,1100,0
FRA.US,5,20131114,195500,14.5500,14.5500,14.5500,14.5500,1500,0
FRA.US,5,20131114,200000,14.5400,14.5500,14.5400,14.5500,1900,0
FRA.US,5,20131114,202500,14.5500,14.5500,14.5500,14.5500,2654,0
FRA.US,5,20131114,203500,14.5500,14.5600,14.5500,14.5500,1650,0
FRA.US,5,20131114,204000,14.5500,14.5500,14.5500,14.5500,600,0
FRA.US,5,20131114,204500,14.5500,14.5500,14.5500,14.5500,100,0
FRA.US,5,20131114,205000,14.5600,14.5600,14.5600,14.5600,3793,0
FRA.US,5,20131114,210500,14.5500,14.5500,14.5500,14.5500,800,0
FRA.US,5,20131114,211000,14.5500,14.5500,14.5500,14.5500,800,0
FRA.US,5,20131114,211500,14.5600,14.5600,14.5500,14.5500,400,0
FRA.US,5,20131114,212500,14.5500,14.5500,14.5500,14.5500,400,0
FRA.US,5,20131114,213500,14.5600,14.5600,14.5600,14.5600,345,0
FRA.US,5,20131114,214500,14.5600,14.5600,14.5300,14.5300,9155,0
FRA.US,5,20131114,215500,14.5400,14.5500,14.5300,14.5500,1200,0
FRA.US,5,20131114,220000,14.5400,14.5500,14.5400,14.5400,800,0
FRA.US,5,20131114,221000,14.5700,14.5700,14.5700,14.5700,1245,0
FRA.US,5,20131115,153500,14.5900,14.6000,14.5900,14.6000,400,0
FRA.US,5,20131115,154000,14.5800,14.5800,14.5800,14.5800,200,0
FRA.US,5,20131115,154500,14.5800,14.5900,14.5800,14.5900,300,0
FRA.US,5,20131115,155000,14.5700,14.5800,14.5700,14.5800,2300,0
FRA.US,5,20131115,155500,14.5700,14.5900,14.5700,14.5900,2008,0
FRA.US,5,20131115,160000,14.5900,14.5900,14.5900,14.5900,100,0
FRA.US,5,20131115,160500,14.6000,14.6000,14.5800,14.5800,400,0
FRA.US,5,20131115,161000,14.5900,14.5900,14.5900,14.5900,100,0
FRA.US,5,20131115,161500,14.5700,14.5900,14.5700,14.5900,1123,0
FRA.US,5,20131115,162000,14.5700,14.5800,14.5700,14.5800,660,0
FRA.US,5,20131115,162500,14.5800,14.5800,14.5800,14.5800,200,0
