<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FRO.US,5,20131112,153500,2.4800,2.5200,2.4800,2.5200,30541,0
FRO.US,5,20131112,154000,2.5400,2.5500,2.4600,2.5100,28600,0
FRO.US,5,20131112,154500,2.5000,2.5600,2.5000,2.5600,16500,0
FRO.US,5,20131112,155000,2.5500,2.5600,2.5200,2.5200,3695,0
FRO.US,5,20131112,155500,2.5200,2.5200,2.5200,2.5200,320,0
FRO.US,5,20131112,160000,2.5300,2.5300,2.5200,2.5200,3460,0
FRO.US,5,20131112,160500,2.5300,2.5300,2.4900,2.5000,7600,0
FRO.US,5,20131112,161000,2.5000,2.5100,2.4600,2.4800,30974,0
FRO.US,5,20131112,161500,2.4800,2.4800,2.4800,2.4800,2200,0
FRO.US,5,20131112,162000,2.4700,2.4700,2.4600,2.4600,36600,0
FRO.US,5,20131112,162500,2.4700,2.4700,2.4300,2.4400,37085,0
FRO.US,5,20131112,163000,2.4400,2.4600,2.4400,2.4500,6200,0
FRO.US,5,20131112,163500,2.4500,2.4600,2.4500,2.4600,4800,0
FRO.US,5,20131112,164000,2.4500,2.5100,2.4500,2.4900,37399,0
FRO.US,5,20131112,164500,2.4800,2.4800,2.4600,2.4600,5200,0
FRO.US,5,20131112,165000,2.4700,2.4700,2.4500,2.4500,11435,0
FRO.US,5,20131112,165500,2.4600,2.4600,2.4500,2.4600,4146,0
FRO.US,5,20131112,170000,2.4500,2.4600,2.4500,2.4600,1300,0
FRO.US,5,20131112,170500,2.4600,2.4600,2.4500,2.4600,2819,0
FRO.US,5,20131112,171000,2.4500,2.4600,2.4200,2.4200,39058,0
FRO.US,5,20131112,171500,2.4200,2.4400,2.4200,2.4300,9105,0
FRO.US,5,20131112,172000,2.4100,2.4200,2.3900,2.4200,57892,0
FRO.US,5,20131112,172500,2.4200,2.4200,2.4200,2.4200,1700,0
FRO.US,5,20131112,173000,2.4200,2.4200,2.3900,2.4000,16000,0
FRO.US,5,20131112,173500,2.3900,2.4000,2.3900,2.4000,700,0
FRO.US,5,20131112,174000,2.4000,2.4000,2.4000,2.4000,4200,0
FRO.US,5,20131112,174500,2.3900,2.4000,2.3800,2.3900,10900,0
FRO.US,5,20131112,175000,2.3900,2.3900,2.3800,2.3900,4550,0
FRO.US,5,20131112,175500,2.3900,2.3900,2.3800,2.3900,9300,0
FRO.US,5,20131112,180000,2.3900,2.4100,2.3900,2.4100,9900,0
FRO.US,5,20131112,180500,2.4100,2.4100,2.3900,2.4000,31300,0
FRO.US,5,20131112,181000,2.4000,2.4000,2.4000,2.4000,10681,0
FRO.US,5,20131112,181500,2.3900,2.3900,2.3900,2.3900,100,0
FRO.US,5,20131112,182000,2.3900,2.4000,2.3900,2.3900,6046,0
FRO.US,5,20131112,182500,2.3900,2.4000,2.3900,2.3900,1300,0
FRO.US,5,20131112,183000,2.3800,2.3800,2.3600,2.3600,38050,0
FRO.US,5,20131112,183500,2.3600,2.3600,2.3600,2.3600,300,0
FRO.US,5,20131112,184000,2.3600,2.3700,2.3600,2.3700,9627,0
FRO.US,5,20131112,184500,2.3700,2.3700,2.3600,2.3600,3816,0
FRO.US,5,20131112,185000,2.3600,2.3600,2.3600,2.3600,500,0
FRO.US,5,20131112,185500,2.3600,2.3600,2.3600,2.3600,7821,0
FRO.US,5,20131112,190000,2.3600,2.3700,2.3600,2.3700,3320,0
FRO.US,5,20131112,190500,2.3700,2.3700,2.3600,2.3700,12500,0
FRO.US,5,20131112,191000,2.3600,2.3700,2.3600,2.3700,930,0
FRO.US,5,20131112,191500,2.3700,2.3700,2.3700,2.3700,6800,0
FRO.US,5,20131112,192000,2.3700,2.3800,2.3700,2.3800,11765,0
FRO.US,5,20131112,192500,2.3800,2.4000,2.3800,2.3800,14520,0
FRO.US,5,20131112,193000,2.3900,2.3900,2.3800,2.3900,10300,0
FRO.US,5,20131112,193500,2.3800,2.3900,2.3800,2.3900,2500,0
FRO.US,5,20131112,194000,2.3900,2.3900,2.3900,2.3900,800,0
FRO.US,5,20131112,194500,2.3900,2.3900,2.3700,2.3900,10069,0
FRO.US,5,20131112,195000,2.3800,2.3900,2.3800,2.3900,1400,0
FRO.US,5,20131112,195500,2.3900,2.3900,2.3900,2.3900,1700,0
FRO.US,5,20131112,200000,2.3800,2.3900,2.3800,2.3800,1600,0
FRO.US,5,20131112,200500,2.3900,2.4100,2.3800,2.4000,5872,0
FRO.US,5,20131112,201000,2.3900,2.4000,2.3900,2.4000,300,0
FRO.US,5,20131112,201500,2.3900,2.4000,2.3900,2.4000,2900,0
FRO.US,5,20131112,202000,2.4000,2.4000,2.4000,2.4000,100,0
FRO.US,5,20131112,202500,2.4000,2.4200,2.3900,2.4200,17599,0
FRO.US,5,20131112,203000,2.4200,2.4200,2.4100,2.4100,400,0
FRO.US,5,20131112,203500,2.4100,2.4200,2.4000,2.4200,23300,0
FRO.US,5,20131112,204000,2.4200,2.4200,2.4100,2.4100,4400,0
FRO.US,5,20131112,204500,2.4100,2.4200,2.4100,2.4200,19996,0
FRO.US,5,20131112,205000,2.4200,2.4300,2.4200,2.4200,2100,0
FRO.US,5,20131112,205500,2.4300,2.4300,2.4200,2.4300,2700,0
FRO.US,5,20131112,210000,2.4200,2.4300,2.4200,2.4300,2600,0
FRO.US,5,20131112,210500,2.4200,2.4400,2.4200,2.4400,11100,0
FRO.US,5,20131112,211000,2.4400,2.4400,2.4300,2.4300,6500,0
FRO.US,5,20131112,211500,2.4400,2.4400,2.4300,2.4400,2500,0
FRO.US,5,20131112,212000,2.4300,2.4300,2.4200,2.4300,3200,0
FRO.US,5,20131112,212500,2.4300,2.4300,2.4200,2.4200,900,0
FRO.US,5,20131112,213000,2.4200,2.4300,2.4200,2.4300,3900,0
FRO.US,5,20131112,213500,2.4300,2.4300,2.4200,2.4300,7100,0
FRO.US,5,20131112,214000,2.4300,2.4300,2.4200,2.4300,2991,0
FRO.US,5,20131112,214500,2.4200,2.4300,2.4200,2.4200,6415,0
FRO.US,5,20131112,215000,2.4300,2.4300,2.4200,2.4200,3041,0
FRO.US,5,20131112,215500,2.4200,2.4300,2.4200,2.4200,5300,0
FRO.US,5,20131112,220000,2.4200,2.4300,2.4100,2.4300,37778,0
FRO.US,5,20131112,220500,2.4300,2.4300,2.4300,2.4300,4883,0
FRO.US,5,20131113,153500,2.4500,2.4500,2.4000,2.4200,2700,0
FRO.US,5,20131113,154000,2.4400,2.4600,2.4400,2.4400,7500,0
FRO.US,5,20131113,154500,2.4400,2.4400,2.4200,2.4400,12600,0
FRO.US,5,20131113,155000,2.4400,2.4500,2.4300,2.4500,5400,0
FRO.US,5,20131113,155500,2.4400,2.4500,2.4300,2.4500,18605,0
