<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GAB-H.US,5,20131112,153500,20.9800,20.9800,20.9800,20.9800,260,0
GAB-H.US,5,20131112,154500,20.9900,21.0000,20.9900,21.0000,475,0
GAB-H.US,5,20131112,164000,20.8900,20.9500,20.8900,20.9500,1158,0
GAB-H.US,5,20131112,164500,20.8900,20.9100,20.8800,20.9100,530,0
GAB-H.US,5,20131112,170500,20.9000,20.9000,20.9000,20.9000,300,0
GAB-H.US,5,20131112,172000,20.8800,20.8800,20.8800,20.8800,100,0
GAB-H.US,5,20131112,173000,20.9000,20.9000,20.9000,20.9000,1000,0
GAB-H.US,5,20131112,173500,20.9000,20.9000,20.9000,20.9000,245,0
GAB-H.US,5,20131112,174500,20.9000,20.9000,20.9000,20.9000,1000,0
GAB-H.US,5,20131112,175500,20.9000,20.9000,20.9000,20.9000,147,0
GAB-H.US,5,20131112,182000,20.8800,20.8800,20.8800,20.8800,200,0
GAB-H.US,5,20131112,182500,20.8800,20.8800,20.8800,20.8800,100,0
GAB-H.US,5,20131112,183000,20.8800,20.8800,20.8800,20.8800,100,0
GAB-H.US,5,20131112,193000,20.8700,20.8700,20.8700,20.8700,100,0
GAB-H.US,5,20131112,202500,20.8700,20.8700,20.8700,20.8700,1344,0
GAB-H.US,5,20131112,203500,20.8700,20.8700,20.8700,20.8700,150,0
GAB-H.US,5,20131112,205000,20.8700,20.8700,20.8700,20.8700,100,0
GAB-H.US,5,20131112,210500,20.8700,20.8700,20.8700,20.8700,1900,0
GAB-H.US,5,20131112,211500,20.8700,20.8700,20.8700,20.8700,200,0
GAB-H.US,5,20131112,212500,20.8700,20.8700,20.8700,20.8700,100,0
GAB-H.US,5,20131112,214000,20.8800,20.8800,20.8800,20.8800,200,0
GAB-H.US,5,20131112,214500,20.8800,20.9000,20.8800,20.9000,5257,0
GAB-H.US,5,20131112,215000,20.9000,20.9000,20.9000,20.9000,1552,0
GAB-H.US,5,20131113,154000,20.8900,20.8900,20.8900,20.8900,895,0
GAB-H.US,5,20131113,171500,20.8400,20.8400,20.8400,20.8400,500,0
GAB-H.US,5,20131113,173500,20.8800,20.8900,20.8800,20.8900,700,0
GAB-H.US,5,20131113,180000,20.8500,20.8500,20.8500,20.8500,2000,0
GAB-H.US,5,20131113,180500,20.8900,20.9000,20.8900,20.9000,412,0
GAB-H.US,5,20131113,181000,20.8500,20.8500,20.8500,20.8500,200,0
GAB-H.US,5,20131113,184000,20.9000,20.9000,20.9000,20.9000,1100,0
GAB-H.US,5,20131113,193000,20.8700,20.9000,20.8700,20.9000,200,0
GAB-H.US,5,20131113,201500,20.9000,20.9000,20.9000,20.9000,2500,0
GAB-H.US,5,20131113,204500,20.9000,20.9000,20.9000,20.9000,400,0
GAB-H.US,5,20131113,210500,20.9000,20.9000,20.9000,20.9000,334,0
GAB-H.US,5,20131113,213000,20.8900,20.8900,20.8900,20.8900,352,0
GAB-H.US,5,20131113,214000,20.9000,20.9000,20.9000,20.9000,4648,0
GAB-H.US,5,20131113,215000,20.9000,20.9000,20.9000,20.9000,1987,0
GAB-H.US,5,20131114,153500,20.9600,20.9900,20.9500,20.9900,1800,0
GAB-H.US,5,20131114,154000,20.9900,20.9900,20.9900,20.9900,200,0
GAB-H.US,5,20131114,154500,20.9500,20.9500,20.9500,20.9500,400,0
GAB-H.US,5,20131114,155000,20.9900,21.0400,20.9900,21.0000,18267,0
GAB-H.US,5,20131114,155500,21.0100,21.0100,20.9900,20.9900,4700,0
GAB-H.US,5,20131114,160000,20.9900,20.9900,20.9900,20.9900,4532,0
GAB-H.US,5,20131114,160500,21.0300,21.0400,21.0000,21.0300,7200,0
GAB-H.US,5,20131114,161000,21.0400,21.0400,21.0400,21.0400,200,0
GAB-H.US,5,20131114,161500,21.0000,21.0000,21.0000,21.0000,2800,0
GAB-H.US,5,20131114,162000,21.0000,21.0000,21.0000,21.0000,100,0
GAB-H.US,5,20131114,163000,21.0000,21.0000,20.9900,20.9900,3200,0
GAB-H.US,5,20131114,164000,21.0100,21.0100,21.0100,21.0100,100,0
GAB-H.US,5,20131114,165500,21.0000,21.0000,20.9800,21.0000,13448,0
GAB-H.US,5,20131114,170000,21.0300,21.0300,21.0200,21.0300,4600,0
GAB-H.US,5,20131114,170500,21.0300,21.0300,21.0300,21.0300,1150,0
GAB-H.US,5,20131114,172500,21.0400,21.0400,21.0000,21.0300,6875,0
GAB-H.US,5,20131114,173000,21.0400,21.0400,21.0400,21.0400,125,0
GAB-H.US,5,20131114,180500,21.0000,21.0000,21.0000,21.0000,700,0
GAB-H.US,5,20131114,181000,21.0000,21.0300,21.0000,21.0300,4870,0
GAB-H.US,5,20131114,182000,21.0400,21.0500,21.0400,21.0500,3820,0
GAB-H.US,5,20131114,182500,21.0500,21.0500,21.0500,21.0500,2000,0
GAB-H.US,5,20131114,183000,21.0500,21.0600,21.0500,21.0600,1100,0
GAB-H.US,5,20131114,183500,21.0500,21.0500,21.0500,21.0500,2000,0
GAB-H.US,5,20131114,184000,21.0300,21.0300,21.0300,21.0300,1800,0
GAB-H.US,5,20131114,185000,21.0300,21.0300,21.0300,21.0300,200,0
GAB-H.US,5,20131114,190000,21.0400,21.0400,21.0400,21.0400,200,0
GAB-H.US,5,20131114,191000,21.0400,21.0500,21.0300,21.0400,5355,0
GAB-H.US,5,20131114,193000,21.0400,21.0400,21.0400,21.0400,1000,0
GAB-H.US,5,20131114,193500,21.0400,21.0400,21.0400,21.0400,700,0
GAB-H.US,5,20131114,194000,21.0400,21.0400,21.0400,21.0400,300,0
GAB-H.US,5,20131114,195000,21.0400,21.0400,21.0300,21.0300,2700,0
GAB-H.US,5,20131114,200500,21.0400,21.0400,21.0400,21.0400,1500,0
GAB-H.US,5,20131114,201000,21.0400,21.0400,21.0300,21.0400,5102,0
GAB-H.US,5,20131114,201500,21.0400,21.0400,21.0400,21.0400,6900,0
GAB-H.US,5,20131114,204000,21.0500,21.0500,21.0500,21.0500,3370,0
GAB-H.US,5,20131114,204500,21.0500,21.0500,21.0500,21.0500,2003,0
GAB-H.US,5,20131114,205500,21.0400,21.0400,21.0400,21.0400,2000,0
GAB-H.US,5,20131114,210000,21.0400,21.0400,21.0400,21.0400,2000,0
GAB-H.US,5,20131114,211000,21.0500,21.0500,21.0500,21.0500,1600,0
GAB-H.US,5,20131114,212000,21.0400,21.0700,21.0400,21.0700,5505,0
GAB-H.US,5,20131114,212500,21.0400,21.0500,21.0300,21.0500,1200,0
