<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GCO.US,5,20131112,153500,67.9300,68.0300,67.7000,67.7100,600,0
GCO.US,5,20131112,154000,67.7000,67.7100,67.7000,67.7000,800,0
GCO.US,5,20131112,154500,67.7000,68.0200,67.7000,67.9300,13699,0
GCO.US,5,20131112,155000,68.0100,68.3800,67.7600,68.2300,6300,0
GCO.US,5,20131112,155500,68.2200,68.3500,68.0000,68.2500,4900,0
GCO.US,5,20131112,160000,68.2900,68.3500,68.2000,68.3000,3200,0
GCO.US,5,20131112,160500,68.3500,68.3700,68.1900,68.1900,3005,0
GCO.US,5,20131112,161000,68.1800,68.2200,68.1400,68.1400,902,0
GCO.US,5,20131112,161500,68.1200,68.2200,68.0200,68.0500,4800,0
GCO.US,5,20131112,162000,68.0200,68.2100,67.9300,68.2100,1100,0
GCO.US,5,20131112,162500,68.1000,68.1100,68.1000,68.1100,200,0
GCO.US,5,20131112,163000,68.1900,68.1900,67.9800,67.9800,886,0
GCO.US,5,20131112,163500,67.9200,68.0800,67.9200,67.9900,500,0
GCO.US,5,20131112,164000,67.9800,67.9800,67.9100,67.9500,500,0
GCO.US,5,20131112,164500,67.8800,67.9700,67.8800,67.9300,2102,0
GCO.US,5,20131112,165000,67.9000,67.9300,67.8400,67.8600,2100,0
GCO.US,5,20131112,165500,67.8900,67.8900,67.8900,67.8900,100,0
GCO.US,5,20131112,170000,67.9500,67.9500,67.8700,67.9000,400,0
GCO.US,5,20131112,170500,67.9400,67.9700,67.8700,67.9700,1400,0
GCO.US,5,20131112,171000,67.9700,68.0300,67.9700,68.0200,400,0
GCO.US,5,20131112,171500,68.0300,68.1400,68.0300,68.0700,800,0
GCO.US,5,20131112,172000,68.0500,68.2000,67.9800,68.0800,3549,0
GCO.US,5,20131112,172500,68.1300,68.3300,68.0000,68.3000,2442,0
GCO.US,5,20131112,173000,68.3000,68.4500,68.3000,68.4500,900,0
GCO.US,5,20131112,173500,68.5500,68.7300,68.5500,68.7300,1100,0
GCO.US,5,20131112,174000,68.6200,68.6800,68.4400,68.4400,1900,0
GCO.US,5,20131112,174500,68.4400,68.6900,68.4400,68.4700,3861,0
GCO.US,5,20131112,175000,68.4400,68.5600,68.2800,68.3000,1578,0
GCO.US,5,20131112,180000,68.3600,68.4300,68.3100,68.3900,1000,0
GCO.US,5,20131112,180500,68.3900,68.4100,68.2600,68.2600,900,0
GCO.US,5,20131112,181000,68.3000,68.3000,67.9900,67.9900,1000,0
