<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GDP-D.US,5,20131112,153500,24.6200,24.6200,24.5200,24.5200,300,0
GDP-D.US,5,20131112,154000,24.5200,24.5600,24.5200,24.5600,800,0
GDP-D.US,5,20131112,154500,24.6000,24.6000,24.5300,24.5300,780,0
GDP-D.US,5,20131112,155000,24.5000,24.5200,24.4500,24.4800,700,0
GDP-D.US,5,20131112,155500,24.4400,24.4600,24.4400,24.4600,400,0
GDP-D.US,5,20131112,160000,24.4700,24.4700,24.4700,24.4700,465,0
GDP-D.US,5,20131112,161000,24.5500,24.5500,24.5500,24.5500,200,0
GDP-D.US,5,20131112,162000,24.6200,24.6200,24.6200,24.6200,500,0
GDP-D.US,5,20131112,164500,24.5800,24.5800,24.5500,24.5500,1900,0
GDP-D.US,5,20131112,165000,24.5500,24.5500,24.5500,24.5500,300,0
GDP-D.US,5,20131112,170000,24.5500,24.5500,24.5200,24.5200,1900,0
GDP-D.US,5,20131112,171000,24.5500,24.5500,24.5500,24.5500,400,0
GDP-D.US,5,20131112,171500,24.5500,24.5500,24.5500,24.5500,200,0
GDP-D.US,5,20131112,173500,24.6100,24.6100,24.6100,24.6100,400,0
GDP-D.US,5,20131112,174000,24.6000,24.6000,24.6000,24.6000,1000,0
GDP-D.US,5,20131112,175500,24.5700,24.5700,24.5700,24.5700,200,0
GDP-D.US,5,20131112,180000,24.5800,24.5800,24.5800,24.5800,300,0
GDP-D.US,5,20131112,180500,24.6000,24.6000,24.6000,24.6000,621,0
GDP-D.US,5,20131112,181000,24.5200,24.5200,24.5200,24.5200,100,0
GDP-D.US,5,20131112,185000,24.5300,24.5300,24.5300,24.5300,4000,0
GDP-D.US,5,20131112,185500,24.5300,24.5300,24.5300,24.5300,100,0
GDP-D.US,5,20131112,190000,24.5900,24.5900,24.5900,24.5900,200,0
GDP-D.US,5,20131112,190500,24.5900,24.5900,24.5900,24.5900,100,0
GDP-D.US,5,20131112,192000,24.5400,24.5400,24.5300,24.5300,1000,0
GDP-D.US,5,20131112,194000,24.5300,24.5300,24.5300,24.5300,100,0
GDP-D.US,5,20131112,200000,24.5500,24.5500,24.5500,24.5500,200,0
GDP-D.US,5,20131112,202000,24.5500,24.5500,24.5500,24.5500,100,0
GDP-D.US,5,20131112,202500,24.5500,24.5500,24.5400,24.5500,1300,0
GDP-D.US,5,20131112,203000,24.5500,24.5500,24.5500,24.5500,200,0
GDP-D.US,5,20131112,204500,24.5500,24.5500,24.5500,24.5500,2000,0
GDP-D.US,5,20131112,205000,24.5600,24.5600,24.5600,24.5600,1000,0
GDP-D.US,5,20131112,210000,24.5600,24.5600,24.5600,24.5600,2200,0
GDP-D.US,5,20131112,214000,24.5600,24.5600,24.5600,24.5600,1493,0
GDP-D.US,5,20131112,214500,24.5400,24.5600,24.5400,24.5600,2400,0
GDP-D.US,5,20131112,215000,24.5600,24.5600,24.5600,24.5600,500,0
GDP-D.US,5,20131112,215500,24.5600,24.5600,24.5600,24.5600,400,0
GDP-D.US,5,20131112,220000,24.5600,24.5600,24.5600,24.5600,100,0
GDP-D.US,5,20131113,154500,24.5800,24.5800,24.5800,24.5800,150,0
GDP-D.US,5,20131113,155000,24.5300,24.5300,24.5300,24.5300,1000,0
GDP-D.US,5,20131113,161500,24.5400,24.5400,24.5400,24.5400,1000,0
GDP-D.US,5,20131113,162000,24.5400,24.5500,24.5400,24.5500,2372,0
GDP-D.US,5,20131113,162500,24.5500,24.5500,24.5300,24.5300,1000,0
GDP-D.US,5,20131113,165500,24.5100,24.5100,24.5100,24.5100,100,0
GDP-D.US,5,20131113,170000,24.5500,24.5500,24.5500,24.5500,800,0
GDP-D.US,5,20131113,172500,24.5100,24.5500,24.5100,24.5500,200,0
GDP-D.US,5,20131113,173000,24.5500,24.5500,24.5500,24.5500,120,0
GDP-D.US,5,20131113,174500,24.5200,24.5200,24.5200,24.5200,1920,0
GDP-D.US,5,20131113,175500,24.5200,24.5200,24.5000,24.5000,4000,0
GDP-D.US,5,20131113,180500,24.5300,24.5300,24.5300,24.5300,200,0
GDP-D.US,5,20131113,182000,24.4900,24.4900,24.4900,24.4900,200,0
GDP-D.US,5,20131113,184000,24.5300,24.5300,24.5300,24.5300,500,0
GDP-D.US,5,20131113,185000,24.5000,24.5000,24.5000,24.5000,1230,0
GDP-D.US,5,20131113,190000,24.5300,24.5300,24.5300,24.5300,600,0
GDP-D.US,5,20131113,192000,24.5300,24.5300,24.5300,24.5300,816,0
GDP-D.US,5,20131113,192500,24.5000,24.5000,24.5000,24.5000,10000,0
GDP-D.US,5,20131113,195000,24.5000,24.5000,24.5000,24.5000,100,0
GDP-D.US,5,20131113,202000,24.5100,24.5500,24.5100,24.5500,7993,0
GDP-D.US,5,20131113,202500,24.5500,24.5500,24.5500,24.5500,2626,0
GDP-D.US,5,20131113,203000,24.5500,24.5500,24.5500,24.5500,1200,0
GDP-D.US,5,20131113,203500,24.5500,24.5500,24.5200,24.5500,2400,0
GDP-D.US,5,20131113,204000,24.5500,24.5500,24.5500,24.5500,100,0
GDP-D.US,5,20131113,210000,24.5500,24.5500,24.5300,24.5300,400,0
GDP-D.US,5,20131113,211500,24.5800,24.5800,24.5800,24.5800,1600,0
GDP-D.US,5,20131113,212000,24.5500,24.5800,24.5500,24.5800,3062,0
GDP-D.US,5,20131113,213500,24.6300,24.6300,24.6300,24.6300,300,0
GDP-D.US,5,20131113,214000,24.6000,24.6000,24.6000,24.6000,16473,0
GDP-D.US,5,20131113,214500,24.6000,24.6000,24.6000,24.6000,4000,0
GDP-D.US,5,20131113,215500,24.6100,24.6100,24.6100,24.6100,600,0
GDP-D.US,5,20131113,220000,24.5900,24.6000,24.5900,24.6000,1300,0
GDP-D.US,5,20131114,161000,24.6900,24.6900,24.6900,24.6900,200,0
GDP-D.US,5,20131114,161500,24.6900,24.6900,24.6900,24.6900,500,0
GDP-D.US,5,20131114,162000,24.6800,24.6800,24.6800,24.6800,2000,0
GDP-D.US,5,20131114,162500,24.6900,24.6900,24.6900,24.6900,2500,0
GDP-D.US,5,20131114,163000,24.6900,24.6900,24.6900,24.6900,400,0
GDP-D.US,5,20131114,164000,24.6700,24.6700,24.6700,24.6700,500,0
GDP-D.US,5,20131114,171500,24.6300,24.6300,24.6300,24.6300,1000,0
GDP-D.US,5,20131114,172000,24.6200,24.6200,24.6200,24.6200,100,0
GDP-D.US,5,20131114,175000,24.6200,24.6200,24.6200,24.6200,100,0
GDP-D.US,5,20131114,181500,24.6500,24.6500,24.6500,24.6500,100,0
GDP-D.US,5,20131114,182000,24.6600,24.6600,24.6600,24.6600,400,0
GDP-D.US,5,20131114,182500,24.6500,24.6500,24.6500,24.6500,100,0
GDP-D.US,5,20131114,183000,24.6600,24.6600,24.6600,24.6600,1600,0
GDP-D.US,5,20131114,185000,24.6600,24.6700,24.6600,24.6700,1000,0
GDP-D.US,5,20131114,190500,24.6800,24.6900,24.6800,24.6900,2600,0
GDP-D.US,5,20131114,191000,24.6900,24.7000,24.6900,24.7000,4000,0
GDP-D.US,5,20131114,191500,24.7000,24.7000,24.7000,24.7000,900,0
GDP-D.US,5,20131114,193500,24.7000,24.7300,24.7000,24.7300,3200,0
GDP-D.US,5,20131114,202000,24.7300,24.7300,24.7300,24.7300,355,0
GDP-D.US,5,20131114,205000,24.7000,24.7000,24.7000,24.7000,100,0
GDP-D.US,5,20131114,205500,24.7100,24.7100,24.7100,24.7100,100,0
GDP-D.US,5,20131114,210500,24.7300,24.7300,24.7300,24.7300,2400,0
GDP-D.US,5,20131114,211000,24.7300,24.7300,24.7300,24.7300,890,0
GDP-D.US,5,20131114,213500,24.7700,24.7700,24.7700,24.7700,455,0
GDP-D.US,5,20131114,214000,24.7400,24.7400,24.7400,24.7400,100,0
GDP-D.US,5,20131114,215000,24.7700,24.7700,24.7700,24.7700,1000,0
GDP-D.US,5,20131114,215500,24.7000,24.7000,24.7000,24.7000,100,0
GDP-D.US,5,20131114,220000,24.7500,24.7500,24.7000,24.7500,1200,0
GDP-D.US,5,20131115,155000,24.7900,24.8600,24.7900,24.8600,600,0
GDP-D.US,5,20131115,161000,24.9000,24.9000,24.9000,24.9000,500,0
GDP-D.US,5,20131115,161500,24.8600,24.8600,24.8600,24.8600,300,0
GDP-D.US,5,20131115,163500,24.8400,24.8600,24.8400,24.8500,1200,0
GDP-D.US,5,20131115,170500,24.8900,24.8900,24.8500,24.8500,1100,0
GDP-D.US,5,20131115,180000,24.8800,24.8900,24.8600,24.8600,1991,0
GDP-D.US,5,20131115,181500,24.8900,24.8900,24.8900,24.8900,2000,0
GDP-D.US,5,20131115,183000,24.8500,24.8500,24.8500,24.8500,200,0
GDP-D.US,5,20131115,183500,24.8800,24.8800,24.8100,24.8100,1200,0
GDP-D.US,5,20131115,190000,24.8200,24.8300,24.8200,24.8200,1400,0
GDP-D.US,5,20131115,190500,24.8200,24.8200,24.8200,24.8200,400,0
GDP-D.US,5,20131115,191000,24.8700,24.8700,24.8700,24.8700,100,0
GDP-D.US,5,20131115,193500,24.8900,24.8900,24.8900,24.8900,100,0
GDP-D.US,5,20131115,195000,24.8200,24.8200,24.8200,24.8200,100,0
GDP-D.US,5,20131115,195500,24.8100,24.8100,24.8100,24.8100,363,0
GDP-D.US,5,20131115,200000,24.8100,24.8100,24.8100,24.8100,100,0
GDP-D.US,5,20131115,200500,24.8100,24.8100,24.8100,24.8100,890,0
GDP-D.US,5,20131115,202000,24.8100,24.8100,24.8100,24.8100,2421,0
GDP-D.US,5,20131115,202500,24.8100,24.8100,24.8100,24.8100,2600,0
GDP-D.US,5,20131115,203500,24.8200,24.8200,24.8200,24.8200,400,0
GDP-D.US,5,20131115,205000,24.8200,24.8200,24.8200,24.8200,1300,0
GDP-D.US,5,20131115,210500,24.8800,24.8800,24.8800,24.8800,350,0
GDP-D.US,5,20131115,211500,24.8900,24.8900,24.8900,24.8900,300,0
GDP-D.US,5,20131115,212000,24.8900,24.8900,24.8900,24.8900,3095,0
GDP-D.US,5,20131115,213000,24.9300,24.9300,24.9300,24.9300,100,0
GDP-D.US,5,20131115,213500,24.9100,24.9100,24.9100,24.9100,214,0
GDP-D.US,5,20131115,214500,24.9300,24.9300,24.9300,24.9300,476,0
GDP-D.US,5,20131115,215500,24.9400,24.9500,24.9000,24.9000,1864,0
GDP-D.US,5,20131115,220000,24.9100,24.9600,24.9100,24.9600,1924,0
GDP-D.US,5,20131118,155000,24.9400,24.9400,24.9400,24.9400,100,0
GDP-D.US,5,20131118,155500,24.9500,24.9600,24.9500,24.9600,200,0
GDP-D.US,5,20131118,160000,24.9600,24.9600,24.9600,24.9600,200,0
GDP-D.US,5,20131118,160500,24.9600,24.9700,24.9600,24.9700,300,0
GDP-D.US,5,20131118,161000,24.9000,24.9700,24.9000,24.9700,665,0
GDP-D.US,5,20131118,161500,24.9800,24.9800,24.9800,24.9800,640,0
GDP-D.US,5,20131118,162000,24.9800,24.9800,24.9800,24.9800,100,0
GDP-D.US,5,20131118,162500,24.9800,25.0000,24.9800,25.0000,1100,0
GDP-D.US,5,20131118,163000,25.0000,25.0000,25.0000,25.0000,100,0
GDP-D.US,5,20131118,163500,25.0000,25.0000,25.0000,25.0000,217,0
GDP-D.US,5,20131118,164000,25.0000,25.0000,25.0000,25.0000,100,0
GDP-D.US,5,20131118,164500,25.0000,25.0000,25.0000,25.0000,100,0
GDP-D.US,5,20131118,165000,25.0000,25.0000,25.0000,25.0000,600,0
GDP-D.US,5,20131118,165500,25.0000,25.0000,25.0000,25.0000,200,0
GDP-D.US,5,20131118,170000,25.0000,25.0000,25.0000,25.0000,100,0
GDP-D.US,5,20131118,170500,24.9600,25.0000,24.9600,25.0000,600,0
GDP-D.US,5,20131118,171000,25.0000,25.0500,25.0000,25.0500,4783,0
GDP-D.US,5,20131118,171500,25.0800,25.0800,25.0800,25.0800,100,0
GDP-D.US,5,20131118,172000,25.0600,25.0800,25.0000,25.0800,700,0
GDP-D.US,5,20131118,172500,25.0800,25.0800,25.0800,25.0800,100,0
GDP-D.US,5,20131118,173000,25.0800,25.0800,25.0800,25.0800,1100,0
GDP-D.US,5,20131118,174000,25.0900,25.0900,25.0900,25.0900,100,0
GDP-D.US,5,20131118,174500,25.0900,25.0900,25.0900,25.0900,100,0
GDP-D.US,5,20131118,175000,25.0900,25.0900,25.0900,25.0900,100,0
GDP-D.US,5,20131118,175500,25.0900,25.0900,25.0900,25.0900,100,0
GDP-D.US,5,20131118,180000,25.0900,25.0900,25.0500,25.0600,1500,0
GDP-D.US,5,20131118,180500,25.0900,25.0900,25.0900,25.0900,100,0
GDP-D.US,5,20131118,181000,25.0900,25.0900,25.0900,25.0900,100,0
GDP-D.US,5,20131118,181500,25.0900,25.0900,25.0900,25.0900,100,0
GDP-D.US,5,20131118,182000,25.0800,25.0800,25.0700,25.0800,4000,0
GDP-D.US,5,20131118,183000,25.0800,25.0800,25.0800,25.0800,700,0
GDP-D.US,5,20131118,183500,25.0800,25.0800,25.0600,25.0600,3300,0
GDP-D.US,5,20131118,184500,25.0600,25.0600,25.0500,25.0500,3000,0
GDP-D.US,5,20131118,185000,25.0200,25.0700,25.0200,25.0700,400,0
GDP-D.US,5,20131118,185500,25.0800,25.0800,25.0800,25.0800,100,0
GDP-D.US,5,20131118,190000,25.0800,25.0800,25.0800,25.0800,100,0
GDP-D.US,5,20131118,190500,25.0800,25.0800,25.0800,25.0800,200,0
GDP-D.US,5,20131118,191000,25.0800,25.0800,25.0800,25.0800,100,0
GDP-D.US,5,20131118,191500,25.0800,25.0800,25.0800,25.0800,845,0
GDP-D.US,5,20131118,192000,25.1000,25.1000,25.1000,25.1000,200,0
GDP-D.US,5,20131118,192500,25.1000,25.1000,25.1000,25.1000,100,0
GDP-D.US,5,20131118,193000,25.1000,25.1300,25.1000,25.1300,2700,0
GDP-D.US,5,20131118,194500,25.1000,25.1000,25.0800,25.0800,3800,0
GDP-D.US,5,20131118,202000,25.0800,25.0800,25.0800,25.0800,5873,0
GDP-D.US,5,20131118,202500,25.0800,25.0800,25.0800,25.0800,500,0
GDP-D.US,5,20131118,203500,25.0600,25.0600,25.0500,25.0500,1300,0
GDP-D.US,5,20131118,204500,25.0800,25.0800,25.0500,25.0500,2700,0
