<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GDV-A.US,5,20131112,162500,24.8900,24.8900,24.8900,24.8900,100,0
GDV-A.US,5,20131112,172500,24.9500,24.9500,24.9500,24.9500,800,0
GDV-A.US,5,20131112,183500,24.6400,24.6400,24.6400,24.6400,1000,0
GDV-A.US,5,20131113,160500,24.6400,24.6400,24.6400,24.6400,250,0
GDV-A.US,5,20131113,172500,24.7000,24.7000,24.7000,24.7000,1000,0
GDV-A.US,5,20131113,194500,24.7500,24.7500,24.7500,24.7500,2392,0
GDV-A.US,5,20131113,202500,24.8000,24.8000,24.8000,24.8000,350,0
GDV-A.US,5,20131113,203000,24.7500,24.7500,24.7500,24.7500,100,0
GDV-A.US,5,20131113,204500,24.7500,24.7500,24.7500,24.7500,200,0
GDV-A.US,5,20131113,214000,24.7500,24.7800,24.7500,24.7800,500,0
GDV-A.US,5,20131114,173500,24.8100,24.8200,24.8100,24.8200,400,0
GDV-A.US,5,20131114,202500,24.8200,24.8200,24.8200,24.8200,700,0
GDV-A.US,5,20131115,190000,24.9000,24.9000,24.9000,24.9000,399,0
GDV-A.US,5,20131118,154000,24.9700,24.9700,24.9700,24.9700,200,0
GDV-A.US,5,20131118,181500,24.9900,24.9900,24.9900,24.9900,240,0
GDV-A.US,5,20131118,192000,24.9500,24.9500,24.9500,24.9500,489,0
GDV-A.US,5,20131118,195500,24.9600,24.9600,24.9600,24.9600,275,0
GDV-A.US,5,20131118,204500,24.9600,24.9600,24.9600,24.9600,100,0
GDV-A.US,5,20131119,173500,24.9100,24.9100,24.9100,24.9100,401,0
GDV-A.US,5,20131120,155000,24.9200,24.9200,24.9200,24.9200,250,0
GDV-A.US,5,20131120,160500,24.9100,24.9100,24.8700,24.8700,250,0
GDV-A.US,5,20131120,164500,24.9500,24.9500,24.9500,24.9500,200,0
GDV-A.US,5,20131120,182500,24.9500,24.9800,24.9500,24.9800,1821,0
GDV-A.US,5,20131120,193000,24.9500,24.9500,24.9500,24.9500,300,0
GDV-A.US,5,20131120,193500,24.9500,24.9500,24.9500,24.9500,200,0
GDV-A.US,5,20131120,194000,24.9700,24.9800,24.9700,24.9800,924,0
GDV-A.US,5,20131121,163000,24.8800,24.8800,24.8500,24.8500,400,0
GDV-A.US,5,20131121,220000,24.9000,24.9000,24.9000,24.9000,300,0
GDV-A.US,5,20131122,170500,24.9000,24.9000,24.9000,24.9000,1100,0
GDV-A.US,5,20131122,190500,24.8900,24.8900,24.8900,24.8900,500,0
GDV-A.US,5,20131125,154000,24.8400,24.8500,24.8100,24.8500,1199,0
GDV-A.US,5,20131125,173500,24.8500,24.8500,24.8500,24.8500,500,0
GDV-A.US,5,20131125,174000,24.8500,24.9100,24.8500,24.9100,400,0
GDV-A.US,5,20131125,174500,24.8500,24.8500,24.8500,24.8500,200,0
GDV-A.US,5,20131125,175000,24.8000,24.8000,24.8000,24.8000,100,0
GDV-A.US,5,20131125,175500,24.8500,24.8500,24.8200,24.8200,629,0
GDV-A.US,5,20131125,180000,24.8000,24.8000,24.8000,24.8000,100,0
GDV-A.US,5,20131125,180500,24.8000,24.8000,24.8000,24.8000,200,0
GDV-A.US,5,20131125,181000,24.8000,24.8000,24.8000,24.8000,200,0
GDV-A.US,5,20131125,181500,24.9300,24.9500,24.9300,24.9300,1200,0
GDV-A.US,5,20131125,182000,24.9500,24.9500,24.9500,24.9500,470,0
GDV-A.US,5,20131125,211500,24.9500,25.1300,24.9500,25.1300,2818,0
GDV-A.US,5,20131125,213000,24.9900,24.9900,24.9400,24.9400,400,0
GDV-A.US,5,20131126,163000,24.9600,24.9600,24.9500,24.9500,400,0
GDV-A.US,5,20131126,171500,24.9500,24.9500,24.9500,24.9500,1215,0
GDV-A.US,5,20131126,192500,25.0500,25.0500,25.0500,25.0500,100,0
GDV-A.US,5,20131126,215500,25.0500,25.2700,25.0500,25.1700,1160,0
GDV-A.US,5,20131127,160500,24.9000,24.9000,24.8900,24.9000,1000,0
GDV-A.US,5,20131127,161500,24.7900,24.8100,24.7900,24.8100,1000,0
GDV-A.US,5,20131127,170000,24.9000,24.9000,24.9000,24.9000,672,0
GDV-A.US,5,20131127,175500,24.9000,24.9000,24.9000,24.9000,500,0
GDV-A.US,5,20131127,180000,24.9000,24.9000,24.9000,24.9000,700,0
GDV-A.US,5,20131127,190000,24.9000,24.9000,24.8800,24.8800,800,0
GDV-A.US,5,20131127,191500,24.9000,24.9000,24.9000,24.9000,600,0
GDV-A.US,5,20131127,213500,24.9000,25.2400,24.9000,25.2400,1317,0
GDV-A.US,5,20131202,201000,25.0500,25.0800,25.0500,25.0800,388,0
GDV-A.US,5,20131202,204500,25.0500,25.0900,25.0500,25.0900,640,0
GDV-A.US,5,20131203,154500,25.0500,25.0500,25.0500,25.0500,500,0
GDV-A.US,5,20131203,162000,25.0400,25.0400,25.0400,25.0400,150,0
GDV-A.US,5,20131203,173500,25.0500,25.0500,25.0500,25.0500,150,0
GDV-A.US,5,20131203,181000,25.0500,25.0500,25.0500,25.0500,200,0
GDV-A.US,5,20131203,205000,25.0200,25.0200,25.0200,25.0200,136,0
GDV-A.US,5,20131203,210500,25.0300,25.0300,25.0300,25.0300,200,0
GDV-A.US,5,20131204,154000,25.0200,25.0200,25.0100,25.0100,676,0
GDV-A.US,5,20131204,214000,25.0500,25.0500,25.0500,25.0500,400,0
GDV-A.US,5,20131204,215000,25.0100,25.0100,25.0000,25.0000,500,0
GDV-A.US,5,20131204,220000,25.0000,25.0000,25.0000,25.0000,200,0
GDV-A.US,5,20131205,155000,25.1100,25.1100,25.1100,25.1100,300,0
