<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GD.US,5,20131112,153500,86.7800,87.1100,86.7800,87.0000,14702,0
GD.US,5,20131112,154000,87.0100,87.1600,87.0100,87.1200,17871,0
GD.US,5,20131112,154500,87.1200,87.1400,87.0300,87.0300,4002,0
GD.US,5,20131112,155000,87.0300,87.0700,86.9900,87.0400,3385,0
GD.US,5,20131112,155500,87.0300,87.1200,87.0100,87.1000,17024,0
GD.US,5,20131112,160000,87.1000,87.1200,87.0900,87.1100,15663,0
GD.US,5,20131112,160500,87.1300,87.1300,87.0700,87.1000,17338,0
GD.US,5,20131112,161000,87.0800,87.0900,86.9900,87.0600,8905,0
GD.US,5,20131112,161500,87.0400,87.1000,86.9800,87.0800,6741,0
GD.US,5,20131112,162000,87.0700,87.1700,87.0400,87.1300,11010,0
GD.US,5,20131112,162500,87.1300,87.1300,87.0700,87.1100,3300,0
GD.US,5,20131112,163000,87.1000,87.1300,87.0500,87.0800,6887,0
GD.US,5,20131112,163500,87.0900,87.1500,87.0700,87.1500,9402,0
GD.US,5,20131112,164000,87.1600,87.2400,87.1300,87.2200,13128,0
GD.US,5,20131112,164500,87.2200,87.2400,87.1900,87.2200,14920,0
GD.US,5,20131112,165000,87.2300,87.2500,87.1900,87.2300,22061,0
GD.US,5,20131112,165500,87.2300,87.2400,87.1600,87.1900,6030,0
GD.US,5,20131112,170000,87.2000,87.2300,87.1000,87.1400,9452,0
GD.US,5,20131112,170500,87.1600,87.2000,87.1500,87.1800,5208,0
GD.US,5,20131112,171000,87.1700,87.1700,87.1300,87.1400,4390,0
GD.US,5,20131112,171500,87.1300,87.2400,87.1300,87.2000,4456,0
GD.US,5,20131112,172000,87.2100,87.2200,87.1700,87.2000,3500,0
GD.US,5,20131112,172500,87.2000,87.2100,87.1600,87.2000,9099,0
GD.US,5,20131112,173000,87.2000,87.2200,87.1800,87.2000,10400,0
GD.US,5,20131112,173500,87.2000,87.2100,87.1500,87.1800,4580,0
GD.US,5,20131112,174000,87.1700,87.1800,87.0800,87.0900,9822,0
GD.US,5,20131112,174500,87.0900,87.1400,87.0900,87.1000,9521,0
GD.US,5,20131112,175000,87.1100,87.1500,87.0900,87.1300,11668,0
GD.US,5,20131112,175500,87.1200,87.1300,87.0100,87.0100,6614,0
GD.US,5,20131112,180000,87.0200,87.0300,86.9200,86.9200,3063,0
GD.US,5,20131112,180500,86.9100,86.9900,86.9100,86.9600,4583,0
GD.US,5,20131112,181000,86.9500,86.9500,86.8500,86.8600,3400,0
GD.US,5,20131112,181500,86.8600,86.8600,86.8100,86.8500,3060,0
GD.US,5,20131112,182000,86.8500,86.8500,86.8000,86.8000,13654,0
GD.US,5,20131112,182500,86.8300,86.8300,86.7000,86.7500,14179,0
GD.US,5,20131112,183000,86.7600,86.8200,86.7600,86.8100,4400,0
GD.US,5,20131112,183500,86.8000,86.8100,86.7300,86.7700,24580,0
GD.US,5,20131112,184000,86.7700,86.7800,86.7300,86.7600,9364,0
GD.US,5,20131112,184500,86.7600,86.7800,86.7300,86.7600,9373,0
GD.US,5,20131112,185000,86.7600,86.8200,86.7600,86.8200,4251,0
GD.US,5,20131112,185500,86.8100,86.8300,86.8100,86.8300,7100,0
GD.US,5,20131112,190000,86.8300,86.8500,86.8100,86.8300,9550,0
GD.US,5,20131112,190500,86.8200,86.8400,86.8000,86.8200,6813,0
GD.US,5,20131112,191000,86.8300,86.8500,86.8100,86.8400,5021,0
GD.US,5,20131112,191500,86.8300,86.8300,86.8200,86.8200,4300,0
GD.US,5,20131112,192000,86.8200,86.8200,86.7800,86.8000,4759,0
GD.US,5,20131112,192500,86.8000,86.8200,86.7900,86.8000,8513,0
GD.US,5,20131112,193000,86.8100,86.8300,86.7900,86.8000,9700,0
GD.US,5,20131112,193500,86.8100,86.8200,86.7200,86.7200,21761,0
GD.US,5,20131112,194000,86.7200,86.7400,86.7100,86.7400,9250,0
GD.US,5,20131112,194500,86.7400,86.7400,86.7100,86.7400,7530,0
GD.US,5,20131112,195000,86.7400,86.7500,86.7200,86.7300,4773,0
GD.US,5,20131112,195500,86.7300,86.7300,86.6800,86.6800,6600,0
GD.US,5,20131112,200000,86.7000,86.7300,86.7000,86.7000,7270,0
GD.US,5,20131112,200500,86.7100,86.7300,86.7000,86.7100,6287,0
GD.US,5,20131112,201000,86.7200,86.7500,86.7100,86.7400,7612,0
GD.US,5,20131112,201500,86.7400,86.7400,86.7300,86.7400,7189,0
GD.US,5,20131112,202000,86.7400,86.7700,86.7200,86.7400,9881,0
GD.US,5,20131112,202500,86.7400,86.7800,86.7300,86.7400,7529,0
GD.US,5,20131112,203000,86.7500,86.7500,86.6900,86.7000,9383,0
GD.US,5,20131112,203500,86.7000,86.7400,86.7000,86.7000,11101,0
GD.US,5,20131112,204000,86.7000,86.7600,86.7000,86.7300,6634,0
GD.US,5,20131112,204500,86.7300,86.7800,86.7300,86.7800,5401,0
GD.US,5,20131112,205000,86.7700,86.7900,86.7500,86.7900,8960,0
GD.US,5,20131112,205500,86.8000,86.8200,86.7400,86.7500,8005,0
GD.US,5,20131112,210000,86.7500,86.8700,86.7400,86.8500,8636,0
GD.US,5,20131112,210500,86.8600,86.9000,86.8500,86.9000,9755,0
GD.US,5,20131112,211000,86.9000,86.9400,86.8700,86.8800,11464,0
GD.US,5,20131112,211500,86.8900,86.9000,86.8600,86.8600,6457,0
GD.US,5,20131112,212000,86.8700,86.8900,86.8700,86.8800,5116,0
GD.US,5,20131112,212500,86.8800,86.8900,86.8200,86.8900,31824,0
GD.US,5,20131112,213000,86.9000,86.9000,86.8400,86.8400,8723,0
GD.US,5,20131112,213500,86.8300,86.8400,86.7700,86.7700,17268,0
GD.US,5,20131112,214000,86.7800,86.7800,86.7200,86.7300,16792,0
GD.US,5,20131112,214500,86.7200,86.7800,86.7200,86.7200,16949,0
GD.US,5,20131112,215000,86.7300,86.7300,86.6800,86.7000,24871,0
GD.US,5,20131112,215500,86.7000,86.7100,86.6400,86.6800,55976,0
GD.US,5,20131112,220000,86.6800,86.7700,86.6700,86.7200,68271,0
GD.US,5,20131112,220500,86.7300,86.7300,86.7300,86.7300,55021,0
GD.US,5,20131113,153500,86.5400,86.7200,86.3600,86.7000,11180,0
GD.US,5,20131113,154000,86.7200,86.8000,86.6500,86.6700,13037,0
GD.US,5,20131113,154500,86.6800,86.8500,86.6800,86.7000,13567,0
GD.US,5,20131113,155000,86.7300,86.7400,86.6300,86.6700,13363,0
GD.US,5,20131113,155500,86.6400,86.7500,86.6300,86.6800,299340,0
GD.US,5,20131113,160000,86.6800,86.7700,86.6200,86.7700,88500,0
GD.US,5,20131113,160500,86.7700,86.8000,86.6300,86.6700,60354,0
GD.US,5,20131113,161000,86.6700,86.7200,86.6200,86.7000,19502,0
GD.US,5,20131113,161500,86.6100,86.7000,86.6000,86.6700,21571,0
GD.US,5,20131113,162000,86.6500,86.6600,86.6400,86.6400,2000,0
GD.US,5,20131113,162500,86.6400,86.6800,86.6100,86.6200,7442,0
GD.US,5,20131113,163000,86.6300,86.7000,86.6200,86.6800,7503,0
GD.US,5,20131113,163500,86.6800,86.8700,86.6800,86.8500,30189,0
GD.US,5,20131113,164000,86.8500,86.8500,86.7400,86.8300,11407,0
GD.US,5,20131113,164500,86.8300,86.8600,86.7600,86.8000,20890,0
GD.US,5,20131113,165000,86.8000,86.8200,86.7800,86.8000,38360,0
GD.US,5,20131113,165500,86.8000,86.8400,86.7900,86.8300,31435,0
GD.US,5,20131113,170000,86.8200,86.8200,86.7500,86.8100,12631,0
GD.US,5,20131113,170500,86.8200,86.8400,86.7500,86.8300,6576,0
GD.US,5,20131113,171000,86.8200,86.8300,86.8000,86.8300,5186,0
GD.US,5,20131113,171500,86.8200,86.8200,86.7600,86.7600,4476,0
GD.US,5,20131113,172000,86.8000,86.8300,86.7900,86.7900,3595,0
GD.US,5,20131113,172500,86.8000,86.8400,86.7900,86.8100,5504,0
GD.US,5,20131113,173000,86.8100,86.8600,86.7900,86.8200,8590,0
GD.US,5,20131113,173500,86.8200,86.8700,86.8100,86.8400,15095,0
GD.US,5,20131113,174000,86.8400,86.8400,86.7500,86.8100,14103,0
GD.US,5,20131113,174500,86.8200,86.8200,86.7600,86.7700,7707,0
GD.US,5,20131113,175000,86.7800,86.7900,86.7400,86.7400,4219,0
GD.US,5,20131113,175500,86.7600,86.7900,86.7600,86.7700,6971,0
GD.US,5,20131113,180000,86.7800,86.8000,86.7700,86.8000,3677,0
GD.US,5,20131113,180500,86.8000,86.8300,86.7700,86.8300,7844,0
GD.US,5,20131113,181000,86.8400,86.8500,86.8100,86.8100,4815,0
GD.US,5,20131113,181500,86.8100,86.8300,86.8000,86.8200,3300,0
GD.US,5,20131113,182000,86.8200,86.8400,86.8000,86.8300,7797,0
