<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GGG.US,5,20131112,153500,77.2900,77.2900,77.0700,77.0700,400,0
GGG.US,5,20131112,154000,77.0400,77.2600,76.9900,76.9900,1600,0
GGG.US,5,20131112,154500,77.0100,77.0100,77.0100,77.0100,300,0
GGG.US,5,20131112,155000,77.0600,77.2000,77.0600,77.2000,700,0
GGG.US,5,20131112,155500,77.2300,77.2300,77.2300,77.2300,200,0
GGG.US,5,20131112,160000,77.2500,77.2700,77.1400,77.2000,1900,0
GGG.US,5,20131112,160500,77.1500,77.2400,76.9300,77.0400,3000,0
GGG.US,5,20131112,162000,77.0500,77.4400,77.0500,77.4400,5266,0
GGG.US,5,20131112,162500,77.3900,77.3900,77.3300,77.3400,1000,0
GGG.US,5,20131112,163000,77.3500,77.3800,77.3500,77.3500,800,0
GGG.US,5,20131112,163500,77.3900,77.3900,77.2300,77.2300,1811,0
GGG.US,5,20131112,164000,77.2200,77.2400,77.1700,77.2400,950,0
GGG.US,5,20131112,164500,77.1400,77.2400,77.1400,77.2400,200,0
GGG.US,5,20131112,165000,77.2900,77.3600,77.2400,77.2400,871,0
GGG.US,5,20131112,165500,77.2900,77.2900,77.2500,77.2500,200,0
GGG.US,5,20131112,170000,77.2800,77.2800,77.1900,77.2500,2300,0
GGG.US,5,20131112,170500,77.2800,77.2800,77.2800,77.2800,100,0
GGG.US,5,20131112,171000,77.3100,77.3100,77.2500,77.2900,900,0
GGG.US,5,20131112,171500,77.3600,77.3900,77.3600,77.3800,1000,0
GGG.US,5,20131112,172000,77.3900,77.4000,77.3900,77.4000,500,0
GGG.US,5,20131112,172500,77.4100,77.4500,77.4000,77.4100,1327,0
GGG.US,5,20131112,173000,77.4200,77.5400,77.4200,77.5400,3281,0
GGG.US,5,20131112,173500,77.5400,77.5400,77.4800,77.4800,2800,0
GGG.US,5,20131112,174000,77.5000,77.5400,77.4100,77.5300,4100,0
GGG.US,5,20131112,174500,77.5400,77.5400,77.5000,77.5400,2100,0
GGG.US,5,20131112,175000,77.5300,77.5500,77.5100,77.5100,1602,0
GGG.US,5,20131112,175500,77.5100,77.5300,77.5100,77.5300,200,0
GGG.US,5,20131112,180000,77.4700,77.5200,77.4700,77.5000,400,0
GGG.US,5,20131112,180500,77.4800,77.5000,77.4200,77.4200,899,0
GGG.US,5,20131112,181000,77.3600,77.3600,77.1300,77.1300,1100,0
GGG.US,5,20131112,181500,77.1500,77.1700,77.1500,77.1700,200,0
GGG.US,5,20131112,182000,77.1700,77.1800,77.1700,77.1800,200,0
GGG.US,5,20131112,182500,77.1800,77.1800,77.1400,77.1400,500,0
GGG.US,5,20131112,183000,77.1300,77.1600,77.1300,77.1400,647,0
GGG.US,5,20131112,183500,77.1000,77.1000,77.0500,77.1000,1000,0
GGG.US,5,20131112,184000,77.1100,77.1500,77.0600,77.1500,2000,0
GGG.US,5,20131112,185000,77.1400,77.1400,77.1400,77.1400,100,0
GGG.US,5,20131112,185500,77.1500,77.1500,77.1500,77.1500,349,0
GGG.US,5,20131112,190000,77.1500,77.1500,77.1400,77.1400,900,0
GGG.US,5,20131112,190500,77.1400,77.1700,77.1300,77.1300,400,0
GGG.US,5,20131112,191000,77.1900,77.1900,77.1900,77.1900,200,0
GGG.US,5,20131112,191500,77.2500,77.2500,77.2500,77.2500,100,0
GGG.US,5,20131112,192000,77.2600,77.2900,77.2600,77.2900,300,0
GGG.US,5,20131112,192500,77.3000,77.3400,77.2800,77.3100,600,0
GGG.US,5,20131112,193000,77.3100,77.3200,77.2500,77.2700,1400,0
GGG.US,5,20131112,193500,77.2500,77.2900,77.2100,77.2300,1100,0
GGG.US,5,20131112,194000,77.1500,77.2300,77.1500,77.2000,800,0
GGG.US,5,20131112,194500,77.2400,77.2400,77.2400,77.2400,100,0
GGG.US,5,20131112,195000,77.2600,77.2700,77.2400,77.2700,700,0
GGG.US,5,20131112,195500,77.2700,77.2800,77.2200,77.2200,1400,0
GGG.US,5,20131112,200000,77.2400,77.2500,77.1600,77.1800,1700,0
GGG.US,5,20131112,200500,77.2100,77.2400,77.2100,77.2100,1500,0
GGG.US,5,20131112,201000,77.1800,77.2300,77.1800,77.2100,1413,0
GGG.US,5,20131112,201500,77.2100,77.2400,77.2000,77.2400,5020,0
GGG.US,5,20131112,202000,77.2200,77.2500,77.2200,77.2400,3200,0
GGG.US,5,20131112,202500,77.2500,77.2600,77.2200,77.2200,11700,0
GGG.US,5,20131112,203000,77.2200,77.2300,77.1700,77.2300,1550,0
GGG.US,5,20131112,203500,77.2100,77.2100,77.2100,77.2100,201,0
GGG.US,5,20131112,204000,77.2300,77.2900,77.2200,77.2700,1900,0
GGG.US,5,20131112,204500,77.2900,77.3200,77.2900,77.2900,1500,0
GGG.US,5,20131112,205000,77.3100,77.3300,77.3000,77.3100,1000,0
GGG.US,5,20131112,205500,77.3200,77.3200,77.2800,77.2800,700,0
GGG.US,5,20131112,210000,77.2800,77.3600,77.2500,77.3500,5515,0
GGG.US,5,20131112,210500,77.3500,77.3700,77.3100,77.3400,2900,0
GGG.US,5,20131112,211000,77.3600,77.4000,77.3600,77.4000,400,0
GGG.US,5,20131112,211500,77.4100,77.4700,77.4100,77.4700,3334,0
GGG.US,5,20131112,212000,77.4700,77.5200,77.4700,77.4800,3700,0
GGG.US,5,20131112,212500,77.4900,77.4900,77.3400,77.3700,3400,0
GGG.US,5,20131112,213000,77.4000,77.4100,77.3900,77.4000,1900,0
GGG.US,5,20131112,213500,77.4100,77.5200,77.4000,77.5200,5500,0
GGG.US,5,20131112,214000,77.5000,77.5000,77.4400,77.4400,1000,0
GGG.US,5,20131112,214500,77.4700,77.5300,77.4700,77.5000,900,0
GGG.US,5,20131112,215000,77.4900,77.4900,77.3900,77.4400,6359,0
GGG.US,5,20131112,215500,77.4500,77.4500,77.3300,77.3700,5354,0
GGG.US,5,20131112,220000,77.3500,77.5500,77.3200,77.5300,13064,0
GGG.US,5,20131112,220500,77.5300,77.5300,77.5300,77.5300,10471,0
