<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GGT.US,5,20131112,153500,10.2500,10.2500,10.2500,10.2500,402,0
GGT.US,5,20131112,154000,10.2400,10.2400,10.2400,10.2400,100,0
GGT.US,5,20131112,154500,10.2300,10.2400,10.2300,10.2400,200,0
GGT.US,5,20131112,155000,10.2400,10.2400,10.2400,10.2400,100,0
GGT.US,5,20131112,155500,10.2300,10.2300,10.2300,10.2300,100,0
GGT.US,5,20131112,160000,10.2400,10.2400,10.2200,10.2200,200,0
GGT.US,5,20131112,160500,10.2300,10.2300,10.2300,10.2300,100,0
GGT.US,5,20131112,161500,10.2300,10.2300,10.2300,10.2300,100,0
GGT.US,5,20131112,162000,10.2400,10.2400,10.2100,10.2100,300,0
GGT.US,5,20131112,162500,10.2400,10.2400,10.2400,10.2400,100,0
GGT.US,5,20131112,164500,10.2300,10.2300,10.2300,10.2300,100,0
GGT.US,5,20131112,165000,10.2500,10.2500,10.2500,10.2500,472,0
GGT.US,5,20131112,170000,10.2300,10.2300,10.2300,10.2300,100,0
GGT.US,5,20131112,170500,10.2400,10.2400,10.2200,10.2200,700,0
GGT.US,5,20131112,171000,10.2200,10.2200,10.2200,10.2200,100,0
GGT.US,5,20131112,171500,10.2200,10.2200,10.2200,10.2200,100,0
GGT.US,5,20131112,173500,10.2300,10.2300,10.2300,10.2300,300,0
GGT.US,5,20131112,174000,10.2400,10.2400,10.2400,10.2400,200,0
GGT.US,5,20131112,175000,10.2300,10.2300,10.2300,10.2300,800,0
GGT.US,5,20131112,181500,10.2200,10.2200,10.2200,10.2200,100,0
GGT.US,5,20131112,182500,10.2300,10.2300,10.2300,10.2300,940,0
GGT.US,5,20131112,183000,10.2300,10.2300,10.2200,10.2200,765,0
GGT.US,5,20131112,183500,10.2300,10.2300,10.2300,10.2300,300,0
GGT.US,5,20131112,190000,10.2200,10.2200,10.2200,10.2200,100,0
GGT.US,5,20131112,191500,10.2200,10.2200,10.2200,10.2200,100,0
GGT.US,5,20131112,193000,10.2200,10.2200,10.2200,10.2200,100,0
GGT.US,5,20131112,194000,10.2200,10.2200,10.2000,10.2000,1100,0
GGT.US,5,20131112,194500,10.2000,10.2000,10.2000,10.2000,315,0
