<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GJO.US,5,20131112,162000,18.8000,18.8000,18.8000,18.8000,100,0
GJO.US,5,20131112,220000,18.7000,18.7000,18.7000,18.7000,198,0
GJO.US,5,20131113,182500,18.2600,18.2600,18.0700,18.0700,1100,0
GJO.US,5,20131114,155500,18.4100,18.4100,18.4100,18.4100,800,0
GJO.US,5,20131114,214000,18.3000,18.3000,18.3000,18.3000,100,0
GJO.US,5,20131114,215000,18.3000,18.3000,18.3000,18.3000,300,0
GJO.US,5,20131115,174500,18.3100,18.3100,18.3100,18.3100,500,0
GJO.US,5,20131119,171500,18.8700,18.8700,18.8700,18.8700,111,0
GJO.US,5,20131121,204500,18.9100,18.9100,18.9100,18.9100,582,0
GJO.US,5,20131125,155000,18.3100,18.3100,18.3000,18.3000,600,0
GJO.US,5,20131125,164500,18.3000,18.3200,18.3000,18.3000,600,0
GJO.US,5,20131126,175500,18.2600,18.2600,18.2300,18.2500,1500,0
GJO.US,5,20131126,183000,18.2000,18.2000,18.2000,18.2000,750,0
GJO.US,5,20131126,183500,18.2000,18.2000,18.2000,18.2000,200,0
GJO.US,5,20131126,203500,18.2000,18.2000,18.2000,18.2000,500,0
GJO.US,5,20131126,204000,18.2000,18.2000,18.2000,18.2000,3000,0
GJO.US,5,20131126,210000,18.2000,18.2000,18.2000,18.2000,1000,0
GJO.US,5,20131126,211500,18.2000,18.2000,18.1900,18.2000,2390,0
GJO.US,5,20131127,155000,18.2000,18.2000,18.2000,18.2000,239,0
GJO.US,5,20131127,170000,18.2100,18.2100,18.2100,18.2100,500,0
GJO.US,5,20131127,173000,18.2200,18.2200,18.2200,18.2200,500,0
GJO.US,5,20131129,160500,18.2100,18.2100,18.2100,18.2100,1200,0
GJO.US,5,20131129,183000,18.2200,18.2200,18.2100,18.2100,1200,0
GJO.US,5,20131129,185000,18.2100,18.2100,18.2100,18.2100,100,0
GJO.US,5,20131202,164500,18.2100,18.2100,18.1100,18.1100,2100,0
GJO.US,5,20131202,183000,18.1100,18.1900,18.1100,18.1900,600,0
GJO.US,5,20131202,202500,18.2000,18.2000,18.2000,18.2000,1300,0
GJO.US,5,20131203,162500,18.1000,18.1000,18.1000,18.1000,2450,0
GJO.US,5,20131203,163000,18.0800,18.0800,18.0800,18.0800,200,0
GJO.US,5,20131203,164000,18.1000,18.1000,18.1000,18.1000,200,0
GJO.US,5,20131203,165500,18.0800,18.0800,18.0800,18.0800,500,0
GJO.US,5,20131203,171500,18.0300,18.1000,18.0300,18.1000,4500,0
GJO.US,5,20131203,175500,18.1000,18.1000,18.1000,18.1000,584,0
GJO.US,5,20131203,215000,18.1200,18.1200,18.1000,18.1000,5000,0
GJO.US,5,20131204,162000,18.0300,18.0300,18.0300,18.0300,100,0
GJO.US,5,20131204,182000,18.1000,18.1700,18.1000,18.1700,1475,0
GJO.US,5,20131204,203000,18.1000,18.1000,18.1000,18.1000,175,0
GJO.US,5,20131206,183000,18.1200,18.1400,18.1200,18.1400,1000,0
GJO.US,5,20131206,215500,18.1400,18.1400,18.1400,18.1400,500,0
GJO.US,5,20131209,192000,18.1400,18.1500,18.1400,18.1500,535,0
GJO.US,5,20131209,214500,18.1400,18.1400,18.1400,18.1400,450,0
