<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GNE-A.US,5,20131112,182000,7.9400,7.9400,7.9400,7.9400,200,0
GNE-A.US,5,20131113,212000,7.9800,7.9800,7.9800,7.9800,200,0
GNE-A.US,5,20131113,213500,8.0900,8.1300,8.0900,8.1300,786,0
GNE-A.US,5,20131113,214500,8.1100,8.1100,7.9700,7.9700,800,0
GNE-A.US,5,20131113,215500,8.0000,8.0100,8.0000,8.0000,706,0
GNE-A.US,5,20131113,220000,8.0000,8.0000,8.0000,8.0000,338,0
GNE-A.US,5,20131114,153500,7.9700,7.9700,7.9700,7.9700,700,0
GNE-A.US,5,20131114,160000,7.9600,7.9600,7.9600,7.9600,250,0
GNE-A.US,5,20131114,201000,7.9500,7.9500,7.9500,7.9500,206,0
GNE-A.US,5,20131115,190000,8.0000,8.0000,8.0000,8.0000,200,0
GNE-A.US,5,20131115,215500,8.0000,8.0000,8.0000,8.0000,155,0
GNE-A.US,5,20131118,160500,8.0300,8.0300,8.0300,8.0300,247,0
GNE-A.US,5,20131118,161000,7.9800,8.0400,7.9800,7.9800,750,0
GNE-A.US,5,20131119,161000,7.9500,7.9500,7.9500,7.9500,1200,0
GNE-A.US,5,20131119,171000,8.1200,8.1300,8.1100,8.1100,900,0
GNE-A.US,5,20131119,191500,8.1100,8.1100,8.0900,8.0900,2700,0
GNE-A.US,5,20131119,192000,8.1100,8.1300,8.1100,8.1300,1030,0
GNE-A.US,5,20131119,213000,7.9600,7.9600,7.9600,7.9600,336,0
GNE-A.US,5,20131120,220000,8.1300,8.1300,8.1300,8.1300,100,0
GNE-A.US,5,20131121,213500,8.1300,8.1300,8.1300,8.1300,2100,0
GNE-A.US,5,20131122,214000,8.1100,8.1300,8.1100,8.1300,1571,0
GNE-A.US,5,20131125,162000,8.1300,8.1300,8.1100,8.1100,2600,0
GNE-A.US,5,20131125,163000,8.1300,8.1700,8.1300,8.1700,1100,0
GNE-A.US,5,20131125,175000,8.2000,8.2900,8.2000,8.2900,2400,0
GNE-A.US,5,20131125,180500,8.2200,8.2200,8.2200,8.2200,403,0
GNE-A.US,5,20131125,181500,8.3000,8.3000,8.3000,8.3000,327,0
GNE-A.US,5,20131126,164500,8.3000,8.3000,8.3000,8.3000,1087,0
GNE-A.US,5,20131126,165000,8.3000,8.3000,8.3000,8.3000,1160,0
GNE-A.US,5,20131126,173000,8.3000,8.3000,8.3000,8.3000,2003,0
GNE-A.US,5,20131126,173500,8.3500,8.4000,8.3500,8.4000,1547,0
GNE-A.US,5,20131126,174000,8.4000,8.4000,8.4000,8.4000,1460,0
