<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GNW.US,5,20131112,153500,14.3700,14.3900,14.3200,14.3500,31380,0
GNW.US,5,20131112,154000,14.3500,14.3900,14.3500,14.3900,68603,0
GNW.US,5,20131112,154500,14.3900,14.4100,14.3700,14.3700,25278,0
GNW.US,5,20131112,155000,14.3800,14.4500,14.3800,14.4200,52314,0
GNW.US,5,20131112,155500,14.4200,14.4200,14.3700,14.3800,29501,0
GNW.US,5,20131112,160000,14.3700,14.4000,14.3400,14.4000,118035,0
GNW.US,5,20131112,160500,14.4000,14.4000,14.3000,14.3000,101157,0
GNW.US,5,20131112,161000,14.3100,14.3200,14.2600,14.2700,79041,0
GNW.US,5,20131112,161500,14.2800,14.2800,14.2100,14.2200,99023,0
GNW.US,5,20131112,162000,14.2200,14.2700,14.2000,14.2600,77457,0
GNW.US,5,20131112,162500,14.2600,14.2700,14.2400,14.2400,32068,0
GNW.US,5,20131112,163000,14.2500,14.2700,14.2500,14.2700,30382,0
GNW.US,5,20131112,163500,14.2700,14.2900,14.2600,14.2700,26489,0
GNW.US,5,20131112,164000,14.2800,14.2900,14.2600,14.2800,43053,0
GNW.US,5,20131112,164500,14.2700,14.2900,14.2600,14.2900,14557,0
GNW.US,5,20131112,165000,14.2900,14.3000,14.2800,14.2800,34140,0
GNW.US,5,20131112,165500,14.2900,14.2900,14.2600,14.2700,19751,0
GNW.US,5,20131112,170000,14.2700,14.2700,14.2300,14.2300,32286,0
GNW.US,5,20131112,170500,14.2300,14.2500,14.2300,14.2400,14442,0
GNW.US,5,20131112,171000,14.2400,14.2500,14.2100,14.2200,38190,0
GNW.US,5,20131112,171500,14.2100,14.2400,14.2100,14.2200,23317,0
GNW.US,5,20131112,172000,14.2200,14.2500,14.2200,14.2400,36363,0
GNW.US,5,20131112,172500,14.2500,14.2500,14.2200,14.2300,77036,0
GNW.US,5,20131112,173000,14.2300,14.2600,14.2200,14.2600,23879,0
GNW.US,5,20131112,173500,14.2500,14.2700,14.2500,14.2700,39288,0
GNW.US,5,20131112,174000,14.2700,14.2700,14.2000,14.2100,40595,0
GNW.US,5,20131112,174500,14.2100,14.2200,14.2000,14.2200,16168,0
GNW.US,5,20131112,175000,14.2200,14.2300,14.1800,14.2000,36876,0
GNW.US,5,20131112,175500,14.2000,14.2100,14.1900,14.2100,10038,0
GNW.US,5,20131112,180000,14.2100,14.2200,14.1800,14.1800,70224,0
GNW.US,5,20131112,180500,14.1900,14.2100,14.1900,14.2000,36787,0
GNW.US,5,20131112,181000,14.2000,14.2000,14.1200,14.1400,87834,0
GNW.US,5,20131112,181500,14.1400,14.1500,14.1300,14.1400,37489,0
GNW.US,5,20131112,182000,14.1500,14.1700,14.1400,14.1700,32088,0
GNW.US,5,20131112,182500,14.1700,14.1700,14.1500,14.1700,31721,0
GNW.US,5,20131112,183000,14.1700,14.1900,14.1700,14.1900,14254,0
GNW.US,5,20131112,183500,14.1800,14.1800,14.1400,14.1500,61389,0
GNW.US,5,20131112,184000,14.1500,14.1500,14.1400,14.1500,24078,0
GNW.US,5,20131112,184500,14.1500,14.1700,14.1400,14.1600,24069,0
GNW.US,5,20131112,185000,14.1600,14.1600,14.1400,14.1400,28822,0
GNW.US,5,20131112,185500,14.1500,14.1600,14.1400,14.1500,17380,0
GNW.US,5,20131112,190000,14.1400,14.1500,14.1400,14.1400,5326,0
GNW.US,5,20131112,190500,14.1500,14.1500,14.1300,14.1300,20350,0
GNW.US,5,20131112,191000,14.1400,14.1500,14.1300,14.1500,15029,0
GNW.US,5,20131112,191500,14.1500,14.1700,14.1500,14.1700,22749,0
GNW.US,5,20131112,192000,14.1600,14.1600,14.1500,14.1600,15500,0
GNW.US,5,20131112,192500,14.1600,14.1700,14.1500,14.1600,12105,0
GNW.US,5,20131112,193000,14.1600,14.1800,14.1500,14.1500,15902,0
GNW.US,5,20131112,193500,14.1500,14.1600,14.1200,14.1200,21067,0
GNW.US,5,20131112,194000,14.1200,14.1200,14.1000,14.1200,45993,0
GNW.US,5,20131112,194500,14.1100,14.1200,14.0900,14.1100,83513,0
GNW.US,5,20131112,195000,14.1100,14.1300,14.1100,14.1300,31758,0
GNW.US,5,20131112,195500,14.1300,14.1400,14.1200,14.1300,8506,0
GNW.US,5,20131112,200000,14.1400,14.1400,14.1200,14.1300,19496,0
GNW.US,5,20131112,200500,14.1200,14.1400,14.1200,14.1300,25761,0
GNW.US,5,20131112,201000,14.1300,14.1500,14.1300,14.1300,21618,0
GNW.US,5,20131112,201500,14.1200,14.1500,14.1100,14.1300,212709,0
GNW.US,5,20131112,202000,14.1300,14.1400,14.1100,14.1400,21495,0
GNW.US,5,20131112,202500,14.1400,14.1500,14.1300,14.1500,22773,0
GNW.US,5,20131112,203000,14.1500,14.1500,14.1300,14.1300,25512,0
GNW.US,5,20131112,203500,14.1300,14.1500,14.1300,14.1500,13990,0
GNW.US,5,20131112,204000,14.1400,14.1700,14.1400,14.1600,30162,0
GNW.US,5,20131112,204500,14.1600,14.1800,14.1500,14.1800,26218,0
GNW.US,5,20131112,205000,14.1900,14.1900,14.1700,14.1900,19203,0
GNW.US,5,20131112,205500,14.1900,14.1900,14.1800,14.1900,6100,0
GNW.US,5,20131112,210000,14.1800,14.2100,14.1800,14.1900,34963,0
GNW.US,5,20131112,210500,14.1900,14.2100,14.1800,14.1800,72588,0
GNW.US,5,20131112,211000,14.1900,14.1900,14.1700,14.1900,79191,0
GNW.US,5,20131112,211500,14.1900,14.1900,14.1500,14.1600,44041,0
GNW.US,5,20131112,212000,14.1600,14.1900,14.1500,14.1800,27586,0
GNW.US,5,20131112,212500,14.1900,14.1900,14.1400,14.1400,40559,0
GNW.US,5,20131112,213000,14.1500,14.1600,14.1300,14.1400,53826,0
GNW.US,5,20131112,213500,14.1400,14.1600,14.1400,14.1400,53247,0
GNW.US,5,20131112,214000,14.1500,14.1700,14.1400,14.1500,63754,0
GNW.US,5,20131112,214500,14.1500,14.1700,14.1500,14.1600,71418,0
GNW.US,5,20131112,215000,14.1600,14.1600,14.1300,14.1400,72585,0
GNW.US,5,20131112,215500,14.1400,14.1400,14.1200,14.1400,119984,0
GNW.US,5,20131112,220000,14.1400,14.1600,14.1300,14.1600,251874,0
GNW.US,5,20131112,220500,14.1500,14.1500,14.1500,14.1500,93652,0
GNW.US,5,20131113,153500,14.1000,14.1300,14.0100,14.0200,88668,0
