<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GRAM.US,5,20131112,154500,20.6700,20.6700,20.6700,20.6700,200,0
GRAM.US,5,20131112,160000,20.6000,20.6000,20.6000,20.6000,100,0
GRAM.US,5,20131112,161000,20.6600,20.6600,20.6600,20.6600,100,0
GRAM.US,5,20131112,161500,20.6400,20.6400,20.6400,20.6400,100,0
GRAM.US,5,20131112,162000,20.7100,20.7100,20.7100,20.7100,100,0
GRAM.US,5,20131112,162500,20.8500,20.8500,20.6900,20.8300,1500,0
GRAM.US,5,20131112,163500,20.8200,20.8500,20.7800,20.8500,1200,0
GRAM.US,5,20131112,164000,20.9700,20.9700,20.9700,20.9700,100,0
GRAM.US,5,20131112,171000,20.9000,20.9000,20.8400,20.8900,600,0
GRAM.US,5,20131112,171500,20.8900,20.8900,20.8900,20.8900,100,0
GRAM.US,5,20131112,172500,20.9900,20.9900,20.8800,20.8800,200,0
GRAM.US,5,20131112,175000,20.9000,20.9000,20.9000,20.9000,100,0
GRAM.US,5,20131112,180500,20.9100,20.9900,20.8600,20.9900,1000,0
GRAM.US,5,20131112,181500,20.9800,20.9800,20.9000,20.9800,400,0
GRAM.US,5,20131112,183500,20.9000,20.9800,20.9000,20.9800,1701,0
GRAM.US,5,20131112,184000,20.9800,20.9800,20.9700,20.9700,200,0
GRAM.US,5,20131112,190500,20.9500,21.0000,20.9100,21.0000,10397,0
GRAM.US,5,20131112,191000,21.0500,21.0500,21.0500,21.0500,100,0
GRAM.US,5,20131112,191500,21.0500,21.0500,21.0500,21.0500,100,0
GRAM.US,5,20131112,192000,20.9700,21.0400,20.8900,21.0200,16385,0
GRAM.US,5,20131112,192500,20.9600,20.9600,20.9600,20.9600,100,0
GRAM.US,5,20131112,193000,20.9600,20.9600,20.9600,20.9600,100,0
GRAM.US,5,20131112,193500,20.9600,20.9600,20.9600,20.9600,100,0
GRAM.US,5,20131112,195000,20.9600,21.0100,20.9500,21.0100,2900,0
GRAM.US,5,20131112,195500,21.0100,21.0200,21.0100,21.0200,400,0
GRAM.US,5,20131112,200000,21.0200,21.0200,21.0100,21.0200,2000,0
GRAM.US,5,20131112,200500,21.0400,21.0400,21.0000,21.0300,600,0
GRAM.US,5,20131112,201000,21.0700,21.2200,21.0400,21.2100,4300,0
GRAM.US,5,20131112,201500,21.2000,21.2400,21.2000,21.2400,300,0
GRAM.US,5,20131112,202000,21.2700,21.3200,21.2000,21.3100,2840,0
GRAM.US,5,20131112,202500,21.2900,21.3000,21.2900,21.3000,200,0
GRAM.US,5,20131112,203000,21.3000,21.3000,21.0600,21.0700,1600,0
GRAM.US,5,20131112,204000,21.1400,21.1400,21.1400,21.1400,100,0
GRAM.US,5,20131112,204500,21.1500,21.1500,21.1400,21.1400,200,0
GRAM.US,5,20131112,205000,21.1400,21.1700,21.1200,21.1700,605,0
GRAM.US,5,20131112,205500,21.0500,21.0700,21.0500,21.0600,600,0
GRAM.US,5,20131112,210000,21.1100,21.1100,21.1100,21.1100,200,0
GRAM.US,5,20131112,210500,21.1000,21.1000,21.1000,21.1000,300,0
GRAM.US,5,20131112,211000,21.1400,21.1400,21.1400,21.1400,100,0
GRAM.US,5,20131112,211500,21.0500,21.0900,21.0500,21.0900,400,0
GRAM.US,5,20131112,212000,21.0900,21.0900,21.0900,21.0900,100,0
GRAM.US,5,20131112,212500,21.0100,21.0800,21.0000,21.0800,300,0
GRAM.US,5,20131112,213000,21.0900,21.0900,21.0000,21.0000,2157,0
GRAM.US,5,20131112,213500,21.0000,21.0000,21.0000,21.0000,361,0
GRAM.US,5,20131112,214000,21.0600,21.0800,21.0000,21.0800,3900,0
GRAM.US,5,20131112,215000,21.0700,21.0700,20.9800,20.9800,300,0
GRAM.US,5,20131112,215500,21.0400,21.0800,21.0400,21.0800,3000,0
GRAM.US,5,20131112,220000,21.0600,21.1600,20.9900,21.0100,7122,0
GRAM.US,5,20131112,220500,20.9000,20.9000,20.9000,20.9000,100,0
GRAM.US,5,20131113,194000,20.9400,20.9400,20.9400,20.9400,200,0
GRAM.US,5,20131113,220000,20.8700,20.8800,20.8600,20.8600,400,0
GRAM.US,5,20131113,220500,20.8500,20.8500,20.8500,20.8500,2800,0
GRAM.US,5,20131114,153500,20.8500,20.8600,20.8500,20.8500,380,0
GRAM.US,5,20131114,182500,20.8800,20.8800,20.8800,20.8800,100,0
GRAM.US,5,20131114,184000,20.8700,20.8700,20.8700,20.8700,100,0
GRAM.US,5,20131114,192500,20.8800,20.8800,20.8600,20.8600,1000,0
GRAM.US,5,20131114,194500,20.9700,20.9700,20.9500,20.9500,700,0
GRAM.US,5,20131114,195000,21.0600,21.1700,21.0000,21.1700,1800,0
