<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GRP_U.US,5,20131112,163500,34.0500,34.0500,34.0500,34.0500,200,0
GRP_U.US,5,20131112,164000,34.0500,34.1300,34.0500,34.1200,700,0
GRP_U.US,5,20131112,172500,34.1100,34.1100,34.1100,34.1100,100,0
GRP_U.US,5,20131112,180000,34.0200,34.0200,34.0200,34.0200,300,0
GRP_U.US,5,20131112,181000,33.9700,33.9700,33.9700,33.9700,100,0
GRP_U.US,5,20131112,191000,33.9700,34.0300,33.2800,34.0000,2600,0
GRP_U.US,5,20131112,191500,33.9800,34.0000,33.9800,34.0000,700,0
GRP_U.US,5,20131112,194500,33.9500,33.9500,33.9500,33.9500,500,0
GRP_U.US,5,20131112,200000,33.8900,33.8900,33.8900,33.8900,100,0
GRP_U.US,5,20131112,204000,33.9300,33.9300,33.9300,33.9300,100,0
GRP_U.US,5,20131112,210000,33.8900,33.8900,33.8900,33.8900,100,0
GRP_U.US,5,20131112,210500,33.8800,33.8800,33.8800,33.8800,600,0
GRP_U.US,5,20131112,211000,33.9700,33.9700,33.9100,33.9400,1305,0
GRP_U.US,5,20131112,211500,33.9700,33.9700,33.9000,33.9200,2000,0
GRP_U.US,5,20131112,212000,33.9000,33.9000,33.8400,33.9000,1000,0
GRP_U.US,5,20131112,212500,33.8500,33.8700,33.8500,33.8700,400,0
GRP_U.US,5,20131112,213000,33.8500,33.8600,33.6100,33.6700,2100,0
GRP_U.US,5,20131112,213500,33.6600,33.6600,33.6600,33.6600,100,0
GRP_U.US,5,20131112,214000,33.6500,33.6600,33.5500,33.5500,2800,0
GRP_U.US,5,20131112,215000,33.7300,33.7300,33.7000,33.7000,300,0
GRP_U.US,5,20131112,215500,33.7000,33.7000,33.7000,33.7000,100,0
GRP_U.US,5,20131112,220000,33.7700,33.7700,33.7100,33.7100,200,0
GRP_U.US,5,20131113,160000,33.6200,33.6200,33.6200,33.6200,300,0
GRP_U.US,5,20131113,160500,33.6300,33.6300,33.6300,33.6300,100,0
GRP_U.US,5,20131113,170500,33.6700,33.6800,33.6700,33.6700,300,0
GRP_U.US,5,20131113,172000,33.6600,33.6600,33.6500,33.6500,200,0
GRP_U.US,5,20131113,180000,33.6100,33.6100,33.6100,33.6100,100,0
GRP_U.US,5,20131113,184000,33.5900,33.5900,33.5900,33.5900,200,0
GRP_U.US,5,20131113,184500,33.5500,33.5500,33.5500,33.5500,100,0
GRP_U.US,5,20131113,190000,33.5800,33.5800,33.5800,33.5800,100,0
GRP_U.US,5,20131113,204500,33.6800,33.7400,33.6800,33.7400,200,0
GRP_U.US,5,20131113,211000,33.7300,33.7300,33.7300,33.7300,100,0
GRP_U.US,5,20131113,212000,33.6600,33.6600,33.6600,33.6600,100,0
GRP_U.US,5,20131113,212500,33.6300,33.6900,33.5800,33.6100,800,0
GRP_U.US,5,20131113,213000,33.6100,33.6100,33.6100,33.6100,100,0
GRP_U.US,5,20131113,214000,33.7100,33.7100,33.6800,33.6800,200,0
GRP_U.US,5,20131113,220500,34.0000,34.0000,34.0000,34.0000,107,0
GRP_U.US,5,20131114,153500,33.9000,34.2900,33.9000,34.2900,1700,0
GRP_U.US,5,20131114,154000,34.2000,34.2000,34.2000,34.2000,100,0
GRP_U.US,5,20131114,154500,34.1500,34.1500,34.1500,34.1500,1300,0
GRP_U.US,5,20131114,155000,34.1400,34.1500,34.1400,34.1500,400,0
GRP_U.US,5,20131114,155500,34.0900,34.0900,34.0900,34.0900,500,0
GRP_U.US,5,20131114,160000,34.1300,34.1300,34.1300,34.1300,100,0
GRP_U.US,5,20131114,161000,34.1200,34.1200,34.0500,34.0800,3181,0
GRP_U.US,5,20131114,161500,34.0800,34.0800,34.0800,34.0800,100,0
GRP_U.US,5,20131114,162000,34.0400,34.0400,34.0400,34.0400,2400,0
GRP_U.US,5,20131114,162500,34.0900,34.0900,34.0700,34.0900,600,0
GRP_U.US,5,20131114,163000,34.0100,34.0100,34.0000,34.0000,200,0
GRP_U.US,5,20131114,163500,34.0400,34.0400,34.0400,34.0400,200,0
GRP_U.US,5,20131114,164000,34.0800,34.1000,34.0600,34.0600,700,0
GRP_U.US,5,20131114,164500,34.0600,34.0600,34.0600,34.0600,100,0
GRP_U.US,5,20131114,165500,34.0600,34.0600,34.0600,34.0600,200,0
GRP_U.US,5,20131114,170500,34.0800,34.0800,34.0800,34.0800,300,0
GRP_U.US,5,20131114,171000,34.0600,34.0600,34.0600,34.0600,1000,0
GRP_U.US,5,20131114,173000,34.0700,34.0700,34.0600,34.0600,500,0
GRP_U.US,5,20131114,173500,34.0400,34.0400,34.0300,34.0400,300,0
GRP_U.US,5,20131114,174000,34.0000,34.0600,34.0000,34.0300,500,0
GRP_U.US,5,20131114,174500,34.0400,34.0400,34.0400,34.0400,100,0
GRP_U.US,5,20131114,175500,34.0500,34.0500,34.0500,34.0500,100,0
GRP_U.US,5,20131114,181000,34.0000,34.0000,33.9000,33.9200,1150,0
GRP_U.US,5,20131114,181500,33.9600,34.0000,33.9600,34.0000,500,0
GRP_U.US,5,20131114,182500,34.0700,34.0700,34.0700,34.0700,100,0
GRP_U.US,5,20131114,185500,34.0800,34.0800,34.0800,34.0800,100,0
GRP_U.US,5,20131114,191000,34.1300,34.1300,34.1300,34.1300,100,0
GRP_U.US,5,20131114,192000,34.1400,34.1400,34.1200,34.1200,600,0
GRP_U.US,5,20131114,202000,34.1300,34.1300,34.1300,34.1300,200,0
GRP_U.US,5,20131114,203500,34.1400,34.1400,34.1400,34.1400,200,0
GRP_U.US,5,20131114,204000,34.1400,34.1400,34.1300,34.1300,300,0
GRP_U.US,5,20131114,204500,34.1400,34.1400,34.1400,34.1400,100,0
