<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GRX-A.US,5,20131112,181500,25.9400,25.9400,25.9400,25.9400,100,0
GRX-A.US,5,20131112,184000,25.9800,25.9800,25.8800,25.8800,750,0
GRX-A.US,5,20131113,194000,25.6800,25.6800,25.6800,25.6800,116,0
GRX-A.US,5,20131114,175500,25.5500,25.5500,25.5500,25.5500,150,0
GRX-A.US,5,20131114,220000,25.5200,25.5200,25.5000,25.5000,200,0
GRX-A.US,5,20131115,153500,25.5000,25.5000,25.5000,25.5000,200,0
GRX-A.US,5,20131115,161000,25.3200,25.3200,25.3200,25.3200,100,0
GRX-A.US,5,20131115,161500,25.5000,25.5000,25.5000,25.5000,479,0
GRX-A.US,5,20131115,174000,25.3900,25.3900,25.3900,25.3900,192,0
GRX-A.US,5,20131115,180000,25.3500,25.3500,25.3500,25.3500,200,0
GRX-A.US,5,20131115,213000,25.4500,25.4500,25.4500,25.4500,192,0
GRX-A.US,5,20131118,200000,25.5000,25.5000,25.5000,25.5000,500,0
GRX-A.US,5,20131118,200500,25.5000,25.5000,25.5000,25.5000,700,0
GRX-A.US,5,20131118,202500,25.4700,25.4700,25.4700,25.4700,200,0
GRX-A.US,5,20131119,193000,25.3400,25.3400,25.3400,25.3400,200,0
GRX-A.US,5,20131119,195500,25.3400,25.3400,25.3300,25.3300,900,0
GRX-A.US,5,20131120,203000,25.3800,25.3800,25.3800,25.3800,400,0
GRX-A.US,5,20131122,184000,25.3000,25.3000,25.3000,25.3000,396,0
GRX-A.US,5,20131122,185500,25.3000,25.3000,25.2100,25.2100,1380,0
GRX-A.US,5,20131122,213000,25.2500,25.2500,25.2500,25.2500,100,0
GRX-A.US,5,20131125,154000,25.2200,25.2200,25.1200,25.1200,1000,0
GRX-A.US,5,20131125,174500,25.2000,25.2000,25.2000,25.2000,1000,0
GRX-A.US,5,20131125,211500,25.2000,25.2000,25.2000,25.2000,1000,0
GRX-A.US,5,20131125,213000,25.2000,25.2000,25.2000,25.2000,200,0
GRX-A.US,5,20131126,180500,25.5000,25.5000,25.5000,25.5000,977,0
GRX-A.US,5,20131126,181500,25.5700,25.5700,25.5000,25.5000,1141,0
GRX-A.US,5,20131126,212000,25.5500,25.5500,25.2600,25.2600,1125,0
GRX-A.US,5,20131126,214500,25.5500,25.5500,25.5500,25.5500,200,0
GRX-A.US,5,20131127,164500,25.2700,25.2700,25.2700,25.2700,200,0
GRX-A.US,5,20131127,174000,25.5000,25.5000,25.5000,25.5000,500,0
GRX-A.US,5,20131127,192500,25.5300,25.5300,25.5300,25.5300,100,0
GRX-A.US,5,20131127,195500,25.5500,25.5500,25.5500,25.5500,100,0
GRX-A.US,5,20131129,154500,25.5500,25.5500,25.5500,25.5500,200,0
GRX-A.US,5,20131202,160000,25.5000,25.5000,25.5000,25.5000,390,0
GRX-A.US,5,20131202,213000,25.5400,25.5400,25.5400,25.5400,100,0
GRX-A.US,5,20131203,185500,25.5500,25.5500,25.5500,25.5500,400,0
GRX-A.US,5,20131204,213500,25.3300,25.3300,25.3300,25.3300,900,0
GRX-A.US,5,20131205,165000,25.3500,25.3500,25.3500,25.3500,200,0
GRX-A.US,5,20131205,192000,25.5800,25.5800,25.5800,25.5800,3262,0
GRX-A.US,5,20131206,164000,25.7000,25.7000,25.7000,25.7000,295,0
GRX-A.US,5,20131209,153500,25.6800,25.6800,25.6800,25.6800,400,0
GRX-A.US,5,20131209,164500,25.6800,25.6800,25.6500,25.6500,750,0
GRX-A.US,5,20131209,205500,25.6500,25.6500,25.6500,25.6500,500,0
