<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GTN.US,5,20131112,153500,10.1700,10.3900,10.1300,10.2000,40838,0
GTN.US,5,20131112,154000,10.2000,10.3100,10.1900,10.2400,14209,0
GTN.US,5,20131112,154500,10.2500,10.3700,10.2400,10.3500,9323,0
GTN.US,5,20131112,155000,10.3500,10.5700,10.3400,10.5400,53164,0
GTN.US,5,20131112,155500,10.5500,10.6000,10.5200,10.5400,19682,0
GTN.US,5,20131112,160000,10.5200,10.6000,10.4800,10.4900,22139,0
GTN.US,5,20131112,160500,10.4900,10.5200,10.3300,10.3500,48919,0
GTN.US,5,20131112,161000,10.3400,10.3500,10.2600,10.3300,25029,0
GTN.US,5,20131112,161500,10.3400,10.3700,10.3200,10.3300,14150,0
GTN.US,5,20131112,162000,10.3200,10.3200,10.2500,10.2700,14934,0
GTN.US,5,20131112,162500,10.2800,10.2800,10.2300,10.2500,8110,0
GTN.US,5,20131112,163000,10.2500,10.3800,10.2400,10.3600,9450,0
GTN.US,5,20131112,163500,10.4000,10.4000,10.2700,10.2800,11978,0
GTN.US,5,20131112,164000,10.2900,10.3000,10.2400,10.2400,12434,0
GTN.US,5,20131112,164500,10.2400,10.2500,10.2100,10.2400,12366,0
GTN.US,5,20131112,165000,10.2400,10.3100,10.2300,10.2300,21398,0
GTN.US,5,20131112,165500,10.2300,10.2400,10.2100,10.2100,8330,0
GTN.US,5,20131112,170000,10.2400,10.2500,10.2100,10.2200,11150,0
GTN.US,5,20131112,170500,10.2200,10.2900,10.2100,10.2400,13134,0
GTN.US,5,20131112,171000,10.2200,10.2200,10.1900,10.2000,18720,0
GTN.US,5,20131112,171500,10.1800,10.2000,10.1400,10.1600,24345,0
GTN.US,5,20131112,172000,10.1700,10.2000,10.1500,10.2000,6536,0
GTN.US,5,20131112,172500,10.2000,10.2100,10.1600,10.2000,6300,0
GTN.US,5,20131112,173000,10.1900,10.2400,10.1600,10.2400,4304,0
GTN.US,5,20131112,173500,10.2300,10.2800,10.2300,10.2500,3000,0
GTN.US,5,20131112,174000,10.2500,10.2900,10.2000,10.2100,17567,0
GTN.US,5,20131112,174500,10.2000,10.2400,10.1900,10.1900,11500,0
GTN.US,5,20131112,175000,10.1900,10.1900,10.1400,10.1400,5608,0
GTN.US,5,20131112,175500,10.1400,10.1700,10.1100,10.1200,23127,0
GTN.US,5,20131112,180000,10.1300,10.1500,10.1200,10.1300,7702,0
GTN.US,5,20131112,180500,10.1300,10.1500,10.1200,10.1200,5900,0
GTN.US,5,20131112,181000,10.0900,10.0900,10.0000,10.0400,32606,0
GTN.US,5,20131112,181500,10.0300,10.0400,10.0200,10.0400,4500,0
GTN.US,5,20131112,182000,10.0300,10.0400,9.9900,10.0400,12352,0
GTN.US,5,20131112,182500,10.0500,10.0500,10.0200,10.0400,2720,0
GTN.US,5,20131112,183000,10.0500,10.0500,10.0200,10.0500,2703,0
GTN.US,5,20131112,183500,10.0400,10.0500,10.0300,10.0400,7609,0
GTN.US,5,20131112,184000,10.0500,10.1100,10.0400,10.1000,13504,0
GTN.US,5,20131112,184500,10.1000,10.1000,10.0700,10.0900,3534,0
GTN.US,5,20131112,185000,10.0900,10.0900,10.0500,10.0600,5600,0
GTN.US,5,20131112,185500,10.0500,10.0800,10.0500,10.0700,6708,0
GTN.US,5,20131112,190000,10.0600,10.0700,10.0400,10.0400,2906,0
GTN.US,5,20131112,190500,10.0300,10.0400,10.0100,10.0300,3200,0
GTN.US,5,20131112,191000,10.0400,10.0900,10.0200,10.0700,9302,0
GTN.US,5,20131112,191500,10.0800,10.0800,10.0400,10.0500,2613,0
GTN.US,5,20131112,192000,10.0600,10.0900,10.0500,10.0900,4891,0
GTN.US,5,20131112,192500,10.0800,10.0800,10.0400,10.0600,11197,0
GTN.US,5,20131112,193000,10.0700,10.1000,10.0700,10.0700,10000,0
GTN.US,5,20131112,193500,10.0600,10.0600,10.0100,10.0300,4915,0
GTN.US,5,20131112,194000,10.0200,10.0600,10.0200,10.0600,5559,0
GTN.US,5,20131112,194500,10.0600,10.0600,10.0200,10.0200,5730,0
GTN.US,5,20131112,195000,10.0300,10.0800,10.0300,10.0800,13056,0
GTN.US,5,20131112,195500,10.0800,10.0800,10.0300,10.0600,8853,0
GTN.US,5,20131112,200000,10.0500,10.1100,10.0400,10.1000,6942,0
GTN.US,5,20131112,200500,10.0800,10.0800,10.0800,10.0800,2000,0
GTN.US,5,20131112,201000,10.0800,10.1300,10.0800,10.1100,10576,0
GTN.US,5,20131112,201500,10.1100,10.1100,10.0800,10.1000,2300,0
