<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GWR.US,5,20131112,153500,99.5500,99.5500,98.3800,98.3800,1242,0
GWR.US,5,20131112,154000,98.5000,98.5700,98.3800,98.5700,1100,0
GWR.US,5,20131112,154500,98.6600,98.8400,98.5500,98.8400,2100,0
GWR.US,5,20131112,155000,98.7600,98.8000,98.7200,98.8000,1355,0
GWR.US,5,20131112,155500,98.9900,99.0100,98.8200,98.8200,1753,0
GWR.US,5,20131112,160000,98.7200,98.7300,98.5800,98.7300,4600,0
GWR.US,5,20131112,160500,98.7200,98.7200,98.2800,98.2800,2600,0
GWR.US,5,20131112,161000,98.3600,98.3900,98.3000,98.3900,400,0
GWR.US,5,20131112,161500,98.3100,98.3300,98.1100,98.1100,1100,0
GWR.US,5,20131112,162000,98.0800,98.4100,98.0200,98.4100,3300,0
GWR.US,5,20131112,162500,98.3500,98.3500,98.1600,98.2500,1605,0
GWR.US,5,20131112,163000,98.1200,98.3000,98.1200,98.3000,300,0
GWR.US,5,20131112,163500,98.3700,98.5000,98.1900,98.1900,1795,0
GWR.US,5,20131112,164000,98.1900,98.1900,98.1700,98.1700,300,0
GWR.US,5,20131112,164500,98.1900,98.2900,98.1900,98.2900,600,0
GWR.US,5,20131112,165000,98.3700,98.4600,98.3200,98.4600,5673,0
GWR.US,5,20131112,165500,98.4300,98.5500,98.3900,98.4300,9000,0
GWR.US,5,20131112,170000,98.4200,98.5400,98.4200,98.4900,400,0
GWR.US,5,20131112,171000,98.6200,98.6200,98.5400,98.5400,300,0
GWR.US,5,20131112,171500,98.8100,98.8100,98.7500,98.7500,300,0
GWR.US,5,20131112,172000,98.7300,98.7300,98.7000,98.7000,400,0
GWR.US,5,20131112,172500,98.8000,98.8100,98.7400,98.7900,400,0
GWR.US,5,20131112,173000,98.8100,99.0400,98.8100,99.0400,600,0
GWR.US,5,20131112,173500,99.0400,99.1700,99.0400,99.1700,300,0
GWR.US,5,20131112,174000,99.0700,99.1200,98.8300,98.9300,3314,0
GWR.US,5,20131112,174500,98.9900,98.9900,98.9900,98.9900,100,0
GWR.US,5,20131112,175000,98.9000,98.9400,98.7600,98.8100,4900,0
GWR.US,5,20131112,175500,98.8000,98.9400,98.7800,98.9000,4006,0
GWR.US,5,20131112,180000,99.0200,99.0200,98.8500,98.9600,300,0
GWR.US,5,20131112,180500,98.9100,99.0300,98.9100,99.0300,1200,0
GWR.US,5,20131112,181000,98.8100,98.8100,98.6200,98.7000,2100,0
GWR.US,5,20131112,181500,98.6200,98.6400,98.6100,98.6400,300,0
GWR.US,5,20131112,182000,98.6000,98.6000,98.5100,98.6000,2500,0
GWR.US,5,20131112,182500,98.5500,98.5800,98.5300,98.5800,502,0
