<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HBA-G.US,5,20131112,154000,20.4800,20.5300,20.4800,20.5300,915,0
HBA-G.US,5,20131112,155000,20.4600,20.5200,20.4600,20.4800,1201,0
HBA-G.US,5,20131112,155500,20.5000,20.5300,20.5000,20.5300,1500,0
HBA-G.US,5,20131112,160000,20.5200,20.5200,20.5000,20.5000,1500,0
HBA-G.US,5,20131112,160500,20.5100,20.5100,20.5100,20.5100,1300,0
HBA-G.US,5,20131112,161000,20.5000,20.5000,20.4800,20.4800,1996,0
HBA-G.US,5,20131112,161500,20.4100,20.4700,20.3800,20.4700,3772,0
HBA-G.US,5,20131112,163500,20.4400,20.4400,20.4400,20.4400,200,0
HBA-G.US,5,20131112,164500,20.3800,20.4000,20.3800,20.4000,400,0
HBA-G.US,5,20131112,171000,20.3800,20.3800,20.3200,20.3200,4000,0
HBA-G.US,5,20131112,174500,20.3300,20.3300,20.3200,20.3200,350,0
HBA-G.US,5,20131112,180500,20.3500,20.3500,20.3200,20.3300,725,0
HBA-G.US,5,20131112,181000,20.3200,20.3200,20.3200,20.3200,366,0
HBA-G.US,5,20131112,183000,20.3300,20.3300,20.3300,20.3300,100,0
HBA-G.US,5,20131112,192500,20.3200,20.3600,20.2800,20.2800,2466,0
HBA-G.US,5,20131112,193000,20.2800,20.2900,20.2800,20.2900,735,0
HBA-G.US,5,20131112,193500,20.2700,20.2700,20.2500,20.2500,1187,0
HBA-G.US,5,20131112,194000,20.2700,20.2800,20.2700,20.2800,2334,0
HBA-G.US,5,20131112,194500,20.2500,20.3100,20.2500,20.2500,2324,0
HBA-G.US,5,20131112,195000,20.2500,20.2500,20.2500,20.2500,261,0
HBA-G.US,5,20131112,200000,20.2500,20.2600,20.2500,20.2600,1300,0
HBA-G.US,5,20131112,201000,20.2900,20.2900,20.2900,20.2900,500,0
HBA-G.US,5,20131112,202000,20.2700,20.2700,20.2700,20.2700,1000,0
