<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HGH.US,5,20131112,160000,28.7100,28.7500,28.7100,28.7500,800,0
HGH.US,5,20131112,163000,28.7000,28.7000,28.7000,28.7000,250,0
HGH.US,5,20131112,163500,28.7300,28.7300,28.7300,28.7300,150,0
HGH.US,5,20131112,170000,28.7100,28.7100,28.7100,28.7100,2850,0
HGH.US,5,20131112,171000,28.6400,28.6400,28.6400,28.6400,600,0
HGH.US,5,20131112,172500,28.6300,28.6300,28.6300,28.6300,3073,0
HGH.US,5,20131112,173000,28.6300,28.6300,28.6300,28.6300,700,0
HGH.US,5,20131112,180000,28.6300,28.7100,28.5500,28.5500,2817,0
HGH.US,5,20131112,180500,28.5800,28.5800,28.5800,28.5800,600,0
HGH.US,5,20131112,181000,28.6100,28.6100,28.6100,28.6100,100,0
HGH.US,5,20131112,181500,28.6100,28.6100,28.6100,28.6100,100,0
HGH.US,5,20131112,185000,28.6300,28.6300,28.6300,28.6300,200,0
HGH.US,5,20131112,192500,28.5900,28.5900,28.5900,28.5900,143,0
HGH.US,5,20131112,195500,28.6200,28.6200,28.6000,28.6000,200,0
HGH.US,5,20131112,200000,28.6200,28.6400,28.6200,28.6400,300,0
HGH.US,5,20131112,200500,28.6300,28.6300,28.6300,28.6300,300,0
HGH.US,5,20131112,201000,28.6400,28.6400,28.6400,28.6400,300,0
HGH.US,5,20131112,201500,28.6400,28.6400,28.6400,28.6400,100,0
HGH.US,5,20131112,202000,28.6800,28.6800,28.6800,28.6800,123,0
HGH.US,5,20131112,202500,28.6500,28.6800,28.6500,28.6500,890,0
HGH.US,5,20131112,203500,28.6500,28.6800,28.6500,28.6800,375,0
HGH.US,5,20131112,205000,28.5900,28.6500,28.5900,28.6500,358,0
HGH.US,5,20131112,211500,28.6500,28.6600,28.6500,28.6600,1005,0
HGH.US,5,20131112,212000,28.5900,28.5900,28.5900,28.5900,267,0
HGH.US,5,20131112,214000,28.6300,28.6600,28.6300,28.6600,1800,0
HGH.US,5,20131112,215500,28.5900,28.5900,28.5800,28.5900,1505,0
HGH.US,5,20131112,220000,28.5900,28.5900,28.5800,28.5800,600,0
HGH.US,5,20131113,160000,28.9500,28.9500,28.9500,28.9500,200,0
HGH.US,5,20131113,161000,28.6200,28.6200,28.6200,28.6200,269,0
HGH.US,5,20131113,162000,28.6500,28.6500,28.6500,28.6500,100,0
HGH.US,5,20131113,163000,28.6200,28.6200,28.6200,28.6200,319,0
HGH.US,5,20131113,165000,28.8100,28.8100,28.8100,28.8100,325,0
HGH.US,5,20131113,180500,28.7300,28.7300,28.7300,28.7300,250,0
HGH.US,5,20131113,181500,28.7000,28.7000,28.7000,28.7000,300,0
HGH.US,5,20131113,182500,28.7000,28.7000,28.7000,28.7000,119,0
HGH.US,5,20131113,183000,28.7100,28.7100,28.7100,28.7100,251,0
HGH.US,5,20131113,192500,28.7600,28.7600,28.7500,28.7500,800,0
HGH.US,5,20131113,193000,28.7500,28.7500,28.7500,28.7500,166,0
HGH.US,5,20131113,193500,28.7600,28.7600,28.7600,28.7600,100,0
HGH.US,5,20131113,200000,28.7500,28.7500,28.7500,28.7500,200,0
HGH.US,5,20131113,202500,28.7600,28.7600,28.7600,28.7600,700,0
