<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HHS.US,5,20131112,154000,7.4300,7.4300,7.4300,7.4300,100,0
HHS.US,5,20131112,155000,7.4200,7.4300,7.4200,7.4200,2100,0
HHS.US,5,20131112,160000,7.4600,7.4700,7.4400,7.4400,1600,0
HHS.US,5,20131112,160500,7.4400,7.4600,7.4200,7.4300,900,0
HHS.US,5,20131112,161000,7.4300,7.4300,7.4200,7.4200,300,0
HHS.US,5,20131112,161500,7.4200,7.4500,7.3900,7.4500,5300,0
HHS.US,5,20131112,162000,7.4500,7.4700,7.4500,7.4700,713,0
HHS.US,5,20131112,162500,7.4500,7.4500,7.4500,7.4500,100,0
HHS.US,5,20131112,163000,7.4500,7.4500,7.4300,7.4300,700,0
HHS.US,5,20131112,163500,7.4100,7.4100,7.4100,7.4100,300,0
HHS.US,5,20131112,164000,7.4000,7.4000,7.3900,7.3900,200,0
HHS.US,5,20131112,164500,7.3800,7.3800,7.3800,7.3800,1400,0
HHS.US,5,20131112,165000,7.3800,7.3900,7.3800,7.3900,600,0
HHS.US,5,20131112,170000,7.3800,7.4000,7.3800,7.4000,1200,0
HHS.US,5,20131112,170500,7.3800,7.3800,7.3800,7.3800,100,0
HHS.US,5,20131112,171000,7.3800,7.3900,7.3800,7.3900,700,0
HHS.US,5,20131112,171500,7.3800,7.3800,7.3800,7.3800,100,0
HHS.US,5,20131112,172000,7.4000,7.4100,7.3900,7.4100,1500,0
HHS.US,5,20131112,172500,7.4100,7.4100,7.4000,7.4000,200,0
HHS.US,5,20131112,173000,7.4000,7.4200,7.4000,7.4100,400,0
HHS.US,5,20131112,173500,7.4300,7.4400,7.4100,7.4400,500,0
HHS.US,5,20131112,174000,7.4200,7.4200,7.3900,7.3900,1200,0
HHS.US,5,20131112,174500,7.3900,7.4000,7.3900,7.3900,850,0
HHS.US,5,20131112,175000,7.3900,7.3900,7.3900,7.3900,100,0
HHS.US,5,20131112,175500,7.4000,7.4000,7.4000,7.4000,1030,0
HHS.US,5,20131112,180000,7.4100,7.4100,7.4000,7.4100,699,0
HHS.US,5,20131112,180500,7.4100,7.4200,7.4100,7.4100,600,0
HHS.US,5,20131112,181000,7.4000,7.4000,7.3800,7.3800,1300,0
HHS.US,5,20131112,181500,7.3800,7.4000,7.3800,7.3900,500,0
HHS.US,5,20131112,182000,7.3900,7.4000,7.3800,7.3900,1600,0
HHS.US,5,20131112,183000,7.3900,7.4100,7.3900,7.4100,200,0
HHS.US,5,20131112,183500,7.4000,7.4200,7.4000,7.4200,1300,0
HHS.US,5,20131112,184000,7.4200,7.4400,7.4200,7.4200,900,0
HHS.US,5,20131112,184500,7.4500,7.4500,7.4400,7.4400,300,0
HHS.US,5,20131112,185000,7.4400,7.4500,7.4400,7.4500,700,0
HHS.US,5,20131112,185500,7.4800,7.4800,7.4800,7.4800,100,0
HHS.US,5,20131112,190000,7.4500,7.4500,7.4500,7.4500,100,0
HHS.US,5,20131112,190500,7.4700,7.4700,7.4600,7.4600,200,0
HHS.US,5,20131112,191000,7.4600,7.4600,7.4400,7.4500,2300,0
HHS.US,5,20131112,191500,7.4600,7.4600,7.4500,7.4600,600,0
HHS.US,5,20131112,192000,7.4600,7.5200,7.4600,7.5000,8834,0
HHS.US,5,20131112,192500,7.5000,7.5000,7.5000,7.5000,200,0
HHS.US,5,20131112,193000,7.5200,7.5200,7.5100,7.5100,698,0
HHS.US,5,20131112,193500,7.5100,7.5100,7.5000,7.5000,600,0
HHS.US,5,20131112,194000,7.5000,7.5100,7.5000,7.5100,700,0
HHS.US,5,20131112,194500,7.5000,7.5000,7.4900,7.4900,939,0
HHS.US,5,20131112,195000,7.4900,7.5300,7.4900,7.5300,600,0
HHS.US,5,20131112,195500,7.5100,7.5100,7.5100,7.5100,300,0
HHS.US,5,20131112,200000,7.5000,7.5000,7.5000,7.5000,100,0
HHS.US,5,20131112,200500,7.5200,7.5200,7.5000,7.5000,1000,0
HHS.US,5,20131112,201000,7.5000,7.5000,7.5000,7.5000,100,0
HHS.US,5,20131112,201500,7.5100,7.5200,7.5000,7.5100,2900,0
HHS.US,5,20131112,202000,7.5000,7.5000,7.5000,7.5000,900,0
HHS.US,5,20131112,202500,7.5000,7.5000,7.5000,7.5000,100,0
HHS.US,5,20131112,203000,7.5000,7.5000,7.5000,7.5000,300,0
HHS.US,5,20131112,203500,7.5000,7.5200,7.5000,7.5200,250,0
HHS.US,5,20131112,204000,7.5200,7.5300,7.5200,7.5300,200,0
HHS.US,5,20131112,204500,7.5400,7.5400,7.5300,7.5300,900,0
HHS.US,5,20131112,205000,7.5300,7.5300,7.5100,7.5100,500,0
HHS.US,5,20131112,205500,7.5200,7.5200,7.5200,7.5200,100,0
HHS.US,5,20131112,210000,7.5100,7.5300,7.5100,7.5300,1700,0
HHS.US,5,20131112,210500,7.5400,7.5500,7.5400,7.5500,300,0
HHS.US,5,20131112,211000,7.5500,7.5500,7.5300,7.5300,2700,0
HHS.US,5,20131112,211500,7.5300,7.5600,7.5300,7.5500,1100,0
HHS.US,5,20131112,212000,7.5500,7.5600,7.5400,7.5600,800,0
HHS.US,5,20131112,212500,7.5500,7.5500,7.5200,7.5200,1600,0
HHS.US,5,20131112,213000,7.5200,7.5400,7.5200,7.5200,1200,0
HHS.US,5,20131112,213500,7.5400,7.5400,7.5300,7.5400,500,0
HHS.US,5,20131112,214000,7.5300,7.5400,7.5300,7.5400,800,0
HHS.US,5,20131112,214500,7.5300,7.5500,7.5300,7.5400,2400,0
HHS.US,5,20131112,215000,7.5300,7.5400,7.5200,7.5400,1800,0
HHS.US,5,20131112,215500,7.5300,7.5400,7.5300,7.5300,3100,0
HHS.US,5,20131112,220000,7.5300,7.5500,7.5300,7.5500,8158,0
HHS.US,5,20131112,220500,7.5500,7.5500,7.5500,7.5500,8556,0
HHS.US,5,20131113,154000,7.4800,7.5000,7.4700,7.5000,900,0
HHS.US,5,20131113,154500,7.5300,7.5300,7.5000,7.5000,200,0
HHS.US,5,20131113,155000,7.5100,7.5400,7.5000,7.5400,900,0
HHS.US,5,20131113,155500,7.5000,7.5100,7.4600,7.5000,1411,0
HHS.US,5,20131113,160000,7.4700,7.4900,7.4700,7.4700,900,0
HHS.US,5,20131113,160500,7.4800,7.4800,7.4600,7.4700,400,0
HHS.US,5,20131113,161000,7.4900,7.4900,7.4600,7.4900,1200,0
HHS.US,5,20131113,161500,7.4600,7.4600,7.4600,7.4600,300,0
HHS.US,5,20131113,162000,7.4600,7.5000,7.4600,7.4800,5335,0
HHS.US,5,20131113,162500,7.4800,7.4800,7.4600,7.4600,400,0
HHS.US,5,20131113,163000,7.4600,7.4800,7.4600,7.4700,500,0
HHS.US,5,20131113,163500,7.4800,7.4800,7.4700,7.4700,600,0
