<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HIG_W.US,5,20131112,153500,25.7200,25.7200,25.6100,25.6100,902,0
HIG_W.US,5,20131112,155000,25.8600,25.8600,25.8600,25.8600,100,0
HIG_W.US,5,20131112,155500,25.8200,25.8200,25.8200,25.8200,1200,0
HIG_W.US,5,20131112,162000,25.4400,25.4400,25.4400,25.4400,800,0
HIG_W.US,5,20131112,173000,25.6900,25.6900,25.6900,25.6900,100,0
HIG_W.US,5,20131112,174500,25.6700,25.6700,25.6700,25.6700,100,0
HIG_W.US,5,20131112,183000,25.5800,25.5800,25.5800,25.5800,400,0
HIG_W.US,5,20131112,185000,25.5200,25.5200,25.5200,25.5200,100,0
HIG_W.US,5,20131112,191500,25.5500,25.5500,25.5500,25.5500,100,0
HIG_W.US,5,20131112,220500,25.4900,25.4900,25.4900,25.4900,400,0
HIG_W.US,5,20131113,153500,25.4800,25.4800,24.8800,25.2300,1350,0
HIG_W.US,5,20131113,154000,25.6000,25.6000,25.6000,25.6000,100,0
HIG_W.US,5,20131113,154500,25.6600,25.6600,25.6600,25.6600,200,0
HIG_W.US,5,20131113,155500,25.6300,25.6300,25.6300,25.6300,250,0
HIG_W.US,5,20131113,161500,25.6300,25.6300,25.6300,25.6300,100,0
HIG_W.US,5,20131113,165500,25.5100,25.5100,25.5000,25.5000,495,0
HIG_W.US,5,20131113,172500,25.5500,25.5500,25.5500,25.5500,1293,0
HIG_W.US,5,20131113,190500,25.9100,25.9100,25.9100,25.9100,500,0
HIG_W.US,5,20131113,192500,25.9300,25.9300,25.9300,25.9300,294,0
HIG_W.US,5,20131113,202000,25.9100,25.9200,25.9100,25.9200,1000,0
HIG_W.US,5,20131113,210000,25.9500,25.9500,25.9500,25.9500,1190,0
HIG_W.US,5,20131113,212500,25.9200,25.9200,25.9200,25.9200,1071,0
HIG_W.US,5,20131113,214500,26.0000,26.0000,26.0000,26.0000,100,0
HIG_W.US,5,20131113,215000,25.9700,25.9700,25.9400,25.9400,371,0
HIG_W.US,5,20131113,220000,26.0300,26.0300,26.0300,26.0300,100,0
HIG_W.US,5,20131113,220500,26.1400,26.1400,26.1400,26.1400,400,0
HIG_W.US,5,20131114,153500,26.1100,26.1800,26.1100,26.1800,400,0
HIG_W.US,5,20131114,154000,26.2000,26.2000,26.2000,26.2000,200,0
HIG_W.US,5,20131114,160500,26.1300,26.1300,26.1300,26.1300,500,0
HIG_W.US,5,20131114,161500,26.2000,26.2000,26.2000,26.2000,595,0
HIG_W.US,5,20131114,164000,26.4100,26.4100,26.4100,26.4100,200,0
HIG_W.US,5,20131114,165000,26.5200,26.5400,26.5200,26.5300,400,0
HIG_W.US,5,20131114,170500,26.4200,26.5400,26.4200,26.5400,1100,0
HIG_W.US,5,20131114,180500,26.5300,26.5300,26.5300,26.5300,250,0
HIG_W.US,5,20131114,181000,26.5400,26.5800,26.5400,26.5600,1000,0
HIG_W.US,5,20131114,194000,26.5400,26.5400,26.4700,26.4700,295,0
HIG_W.US,5,20131114,195500,26.5400,26.5400,26.5400,26.5400,100,0
HIG_W.US,5,20131114,200000,26.5300,26.5300,26.5300,26.5300,100,0
HIG_W.US,5,20131114,201000,26.5800,26.5800,26.5700,26.5700,3000,0
HIG_W.US,5,20131114,205000,26.5700,26.5700,26.5700,26.5700,200,0
HIG_W.US,5,20131114,212000,26.7000,26.7000,26.7000,26.7000,300,0
HIG_W.US,5,20131114,215500,26.6900,26.6900,26.6900,26.6900,2390,0
HIG_W.US,5,20131114,220000,26.7100,26.7100,26.7100,26.7100,590,0
HIG_W.US,5,20131114,220500,26.7200,26.7200,26.7200,26.7200,400,0
HIG_W.US,5,20131115,155500,26.5300,26.5300,26.5300,26.5300,768,0
HIG_W.US,5,20131115,162500,26.5900,26.5900,26.5900,26.5900,259,0
HIG_W.US,5,20131115,163000,26.6600,26.6600,26.6600,26.6600,295,0
HIG_W.US,5,20131115,190000,26.5300,26.5300,26.5300,26.5300,230,0
HIG_W.US,5,20131115,191000,26.5800,26.5800,26.5700,26.5700,500,0
HIG_W.US,5,20131115,193500,26.5800,26.5800,26.5800,26.5800,149,0
HIG_W.US,5,20131115,203500,26.5400,26.5500,26.5400,26.5500,3090,0
HIG_W.US,5,20131115,204500,26.5500,26.5500,26.5500,26.5500,300,0
HIG_W.US,5,20131115,205000,26.5600,26.5600,26.5600,26.5600,1100,0
HIG_W.US,5,20131115,210500,26.5700,26.5700,26.5700,26.5700,1900,0
HIG_W.US,5,20131115,211000,26.5700,26.5900,26.5700,26.5900,1495,0
HIG_W.US,5,20131115,211500,26.6100,26.6100,26.6100,26.6100,100,0
HIG_W.US,5,20131115,213000,26.5900,26.5900,26.5900,26.5900,200,0
HIG_W.US,5,20131115,214000,26.6100,26.6300,26.6100,26.6300,1500,0
HIG_W.US,5,20131115,214500,26.6200,26.6200,26.6200,26.6200,100,0
HIG_W.US,5,20131115,215000,26.6400,26.6400,26.6400,26.6400,100,0
HIG_W.US,5,20131115,220000,26.6100,26.6400,26.6000,26.6400,1695,0
HIG_W.US,5,20131118,154500,26.4400,26.4400,26.4400,26.4400,200,0
HIG_W.US,5,20131118,163000,26.4500,26.4500,26.4400,26.4400,1238,0
HIG_W.US,5,20131118,171000,26.4900,26.5500,26.4900,26.5500,600,0
HIG_W.US,5,20131118,182500,26.3700,26.3700,26.3300,26.3500,2500,0
HIG_W.US,5,20131118,183000,26.3300,26.3300,26.3300,26.3300,100,0
HIG_W.US,5,20131118,190500,26.3500,26.3500,26.3500,26.3500,400,0
HIG_W.US,5,20131118,195500,26.3300,26.3300,26.3300,26.3300,195,0
HIG_W.US,5,20131118,202000,26.4100,26.4100,26.4100,26.4100,100,0
HIG_W.US,5,20131118,204500,26.3800,26.4000,26.3800,26.4000,300,0
HIG_W.US,5,20131118,213500,26.1600,26.1600,26.1600,26.1600,390,0
HIG_W.US,5,20131118,220500,26.2600,26.2600,26.2600,26.2600,400,0
HIG_W.US,5,20131119,154000,26.2400,26.2400,26.2200,26.2400,1700,0
HIG_W.US,5,20131119,155000,26.2200,26.2200,26.2200,26.2200,500,0
HIG_W.US,5,20131119,161000,26.2200,26.2200,26.2200,26.2200,200,0
HIG_W.US,5,20131119,162500,26.2400,26.2400,26.1900,26.1900,240,0
HIG_W.US,5,20131119,181500,26.0600,26.0600,26.0600,26.0600,100,0
HIG_W.US,5,20131119,183500,26.0200,26.0200,25.9800,26.0200,695,0
HIG_W.US,5,20131119,200500,25.9200,25.9200,25.8200,25.8200,4090,0
HIG_W.US,5,20131119,201000,25.8800,25.9400,25.8400,25.8500,4519,0
HIG_W.US,5,20131119,201500,25.8000,25.8200,25.8000,25.8200,765,0
HIG_W.US,5,20131119,202000,25.8500,25.8800,25.8500,25.8800,600,0
HIG_W.US,5,20131119,205500,25.8800,25.8800,25.8800,25.8800,100,0
HIG_W.US,5,20131119,210000,25.8800,25.9400,25.8800,25.9400,1500,0
HIG_W.US,5,20131119,212000,25.9600,25.9600,25.9600,25.9600,200,0
HIG_W.US,5,20131119,214500,25.9000,25.9000,25.9000,25.9000,700,0
HIG_W.US,5,20131119,220000,25.8400,25.8400,25.8400,25.8400,100,0
HIG_W.US,5,20131120,160500,26.0000,26.0000,26.0000,26.0000,100,0
HIG_W.US,5,20131120,180500,26.2400,26.2400,26.2400,26.2400,200,0
HIG_W.US,5,20131120,182500,26.2900,26.2900,26.2900,26.2900,100,0
HIG_W.US,5,20131120,184000,26.2600,26.2600,26.2600,26.2600,900,0
HIG_W.US,5,20131120,184500,26.2500,26.2500,26.2500,26.2500,500,0
HIG_W.US,5,20131120,194500,26.2300,26.2300,26.2300,26.2300,500,0
HIG_W.US,5,20131120,201500,26.1500,26.1500,26.0400,26.0700,1200,0
HIG_W.US,5,20131120,205500,26.1400,26.1400,26.1400,26.1400,150,0
HIG_W.US,5,20131120,215500,26.0500,26.0500,26.0500,26.0500,491,0
HIG_W.US,5,20131120,220500,26.1800,26.1800,26.1800,26.1800,400,0
HIG_W.US,5,20131121,154500,26.3200,26.3200,26.3200,26.3200,400,0
HIG_W.US,5,20131121,155000,26.4400,26.4400,26.3400,26.3400,800,0
HIG_W.US,5,20131121,163000,26.4200,26.4300,26.4200,26.4300,300,0
HIG_W.US,5,20131121,164000,26.4300,26.4300,26.4300,26.4300,1100,0
HIG_W.US,5,20131121,165500,26.5000,26.5000,26.5000,26.5000,200,0
HIG_W.US,5,20131121,171000,26.5400,26.5400,26.5400,26.5400,2000,0
HIG_W.US,5,20131121,175000,26.5300,26.5300,26.5300,26.5300,200,0
HIG_W.US,5,20131121,182000,26.5100,26.5100,26.5100,26.5100,500,0
HIG_W.US,5,20131121,185000,26.5100,26.5100,26.5100,26.5100,300,0
