<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HIL.US,5,20131112,153500,3.5500,3.5500,3.5500,3.5500,300,0
HIL.US,5,20131112,154000,3.6000,3.6000,3.6000,3.6000,483,0
HIL.US,5,20131112,154500,3.5800,3.6000,3.5800,3.6000,460,0
HIL.US,5,20131112,160500,3.5600,3.5600,3.5600,3.5600,100,0
HIL.US,5,20131112,162500,3.5900,3.5900,3.5900,3.5900,250,0
HIL.US,5,20131112,163500,3.5800,3.5800,3.5800,3.5800,100,0
HIL.US,5,20131112,164500,3.5900,3.5900,3.5900,3.5900,600,0
HIL.US,5,20131112,170000,3.5900,3.5900,3.5900,3.5900,500,0
HIL.US,5,20131112,170500,3.5900,3.5900,3.5900,3.5900,400,0
HIL.US,5,20131112,171500,3.6000,3.6000,3.6000,3.6000,548,0
HIL.US,5,20131112,173500,3.6000,3.6000,3.6000,3.6000,1100,0
HIL.US,5,20131112,174500,3.5700,3.5700,3.5700,3.5700,100,0
HIL.US,5,20131112,175500,3.6200,3.6200,3.6200,3.6200,100,0
HIL.US,5,20131112,181000,3.6000,3.6000,3.6000,3.6000,300,0
HIL.US,5,20131112,181500,3.6200,3.6200,3.6200,3.6200,100,0
HIL.US,5,20131112,182000,3.6300,3.7100,3.5800,3.5800,23500,0
HIL.US,5,20131112,182500,3.5800,3.5800,3.5800,3.5800,200,0
HIL.US,5,20131112,183500,3.5900,3.5900,3.5900,3.5900,300,0
HIL.US,5,20131112,185000,3.5800,3.5800,3.5800,3.5800,200,0
HIL.US,5,20131112,190000,3.5800,3.5800,3.5800,3.5800,100,0
HIL.US,5,20131112,190500,3.5900,3.6000,3.5900,3.6000,900,0
HIL.US,5,20131112,192000,3.6000,3.6100,3.6000,3.6100,1400,0
HIL.US,5,20131112,192500,3.6000,3.6000,3.6000,3.6000,500,0
HIL.US,5,20131112,193500,3.6000,3.6000,3.5700,3.5700,500,0
HIL.US,5,20131112,194000,3.5700,3.5700,3.5700,3.5700,100,0
HIL.US,5,20131112,194500,3.5600,3.5600,3.5600,3.5600,1430,0
HIL.US,5,20131112,195000,3.5600,3.5600,3.5400,3.5600,2500,0
HIL.US,5,20131112,195500,3.5600,3.5600,3.5600,3.5600,300,0
HIL.US,5,20131112,200500,3.5700,3.5700,3.5700,3.5700,100,0
HIL.US,5,20131112,201500,3.5600,3.5600,3.5400,3.5400,300,0
HIL.US,5,20131112,202500,3.5600,3.5700,3.5600,3.5700,1300,0
HIL.US,5,20131112,204000,3.5600,3.5700,3.5600,3.5600,800,0
HIL.US,5,20131112,204500,3.5600,3.5600,3.5600,3.5600,800,0
HIL.US,5,20131112,210000,3.5600,3.5700,3.5600,3.5600,1100,0
HIL.US,5,20131112,211000,3.5600,3.5600,3.5600,3.5600,100,0
HIL.US,5,20131112,211500,3.5600,3.5700,3.5600,3.5700,1590,0
HIL.US,5,20131112,212000,3.5800,3.5900,3.5800,3.5900,2300,0
HIL.US,5,20131112,213000,3.5900,3.5900,3.5800,3.5800,200,0
HIL.US,5,20131112,214000,3.5800,3.5800,3.5800,3.5800,100,0
HIL.US,5,20131112,214500,3.5800,3.5900,3.5700,3.5900,1700,0
HIL.US,5,20131112,215000,3.6000,3.6000,3.5700,3.5700,514,0
HIL.US,5,20131112,215500,3.6100,3.6100,3.6100,3.6100,100,0
HIL.US,5,20131112,220000,3.5900,3.6500,3.5900,3.6200,2500,0
HIL.US,5,20131112,220500,3.5800,3.5800,3.5800,3.5800,2147,0
HIL.US,5,20131113,161500,3.6200,3.6500,3.6200,3.6500,2800,0
HIL.US,5,20131113,163500,3.6500,3.6500,3.6500,3.6500,1070,0
HIL.US,5,20131113,165000,3.6500,3.6500,3.6500,3.6500,1610,0
HIL.US,5,20131113,165500,3.6300,3.6300,3.6100,3.6100,2900,0
HIL.US,5,20131113,170500,3.6100,3.6100,3.6100,3.6100,1000,0
HIL.US,5,20131113,171000,3.6000,3.6000,3.6000,3.6000,200,0
HIL.US,5,20131113,172500,3.6000,3.6100,3.6000,3.6100,200,0
HIL.US,5,20131113,173000,3.6000,3.6000,3.6000,3.6000,100,0
HIL.US,5,20131113,174500,3.6000,3.6000,3.6000,3.6000,503,0
HIL.US,5,20131113,175000,3.6100,3.6100,3.6100,3.6100,100,0
HIL.US,5,20131113,175500,3.6100,3.6100,3.6100,3.6100,100,0
HIL.US,5,20131113,180000,3.6100,3.6100,3.6100,3.6100,100,0
HIL.US,5,20131113,181000,3.6300,3.6300,3.6300,3.6300,100,0
HIL.US,5,20131113,184500,3.6100,3.6100,3.6100,3.6100,100,0
HIL.US,5,20131113,185500,3.6300,3.6300,3.6300,3.6300,500,0
HIL.US,5,20131113,190000,3.6200,3.6200,3.5900,3.6000,1600,0
HIL.US,5,20131113,190500,3.6000,3.6000,3.6000,3.6000,300,0
HIL.US,5,20131113,191000,3.6000,3.6000,3.6000,3.6000,300,0
HIL.US,5,20131113,191500,3.5900,3.5900,3.5900,3.5900,300,0
HIL.US,5,20131113,192000,3.5900,3.5900,3.5900,3.5900,200,0
HIL.US,5,20131113,192500,3.5900,3.6100,3.5900,3.6100,3470,0
HIL.US,5,20131113,193000,3.6100,3.6100,3.6100,3.6100,100,0
HIL.US,5,20131113,194000,3.6400,3.6400,3.6400,3.6400,100,0
HIL.US,5,20131113,195500,3.6400,3.6400,3.6400,3.6400,100,0
HIL.US,5,20131113,200000,3.6400,3.6400,3.6400,3.6400,100,0
HIL.US,5,20131113,201000,3.6400,3.6400,3.6400,3.6400,100,0
HIL.US,5,20131113,202000,3.6400,3.6400,3.6400,3.6400,100,0
HIL.US,5,20131113,203500,3.6400,3.6400,3.6400,3.6400,100,0
HIL.US,5,20131113,204000,3.6300,3.6300,3.6200,3.6200,1640,0
HIL.US,5,20131113,210500,3.6200,3.6200,3.6200,3.6200,317,0
HIL.US,5,20131113,211000,3.6200,3.6200,3.6100,3.6100,300,0
HIL.US,5,20131113,212500,3.6200,3.6400,3.6200,3.6400,300,0
HIL.US,5,20131113,213500,3.6400,3.6400,3.6400,3.6400,100,0
HIL.US,5,20131113,215000,3.6500,3.6500,3.6300,3.6500,300,0
HIL.US,5,20131113,215500,3.6500,3.6500,3.6400,3.6500,600,0
HIL.US,5,20131113,220000,3.6500,3.6500,3.6000,3.6100,18741,0
HIL.US,5,20131113,220500,3.6000,3.6000,3.6000,3.6000,1909,0
HIL.US,5,20131114,155500,3.5900,3.5900,3.5900,3.5900,395,0
HIL.US,5,20131114,160000,3.6100,3.6100,3.6100,3.6100,200,0
HIL.US,5,20131114,161500,3.6100,3.6200,3.6100,3.6200,300,0
HIL.US,5,20131114,162000,3.6200,3.6200,3.6200,3.6200,100,0
HIL.US,5,20131114,162500,3.6100,3.6200,3.6100,3.6200,200,0
HIL.US,5,20131114,163000,3.6100,3.6100,3.6100,3.6100,100,0
HIL.US,5,20131114,164000,3.6200,3.6200,3.6200,3.6200,100,0
HIL.US,5,20131114,164500,3.6200,3.6200,3.6200,3.6200,400,0
HIL.US,5,20131114,165500,3.6100,3.6100,3.6100,3.6100,100,0
HIL.US,5,20131114,170000,3.6100,3.6100,3.6100,3.6100,200,0
HIL.US,5,20131114,170500,3.6100,3.6100,3.6100,3.6100,200,0
HIL.US,5,20131114,171000,3.6200,3.6200,3.6200,3.6200,300,0
HIL.US,5,20131114,171500,3.6200,3.6200,3.6200,3.6200,100,0
HIL.US,5,20131114,173500,3.6100,3.6200,3.6000,3.6200,330,0
HIL.US,5,20131114,174500,3.6300,3.6300,3.6300,3.6300,100,0
HIL.US,5,20131114,175000,3.6300,3.6300,3.6300,3.6300,100,0
HIL.US,5,20131114,181000,3.6200,3.6300,3.6200,3.6200,1696,0
HIL.US,5,20131114,181500,3.6300,3.6300,3.6300,3.6300,100,0
HIL.US,5,20131114,182500,3.6300,3.6300,3.6300,3.6300,100,0
HIL.US,5,20131114,183500,3.6200,3.6300,3.6200,3.6300,300,0
HIL.US,5,20131114,184500,3.6300,3.6300,3.6300,3.6300,200,0
HIL.US,5,20131114,191500,3.6200,3.6300,3.6100,3.6300,1900,0
HIL.US,5,20131114,193500,3.6300,3.6300,3.6300,3.6300,200,0
HIL.US,5,20131114,195500,3.6300,3.6300,3.6300,3.6300,200,0
